btrfs,InnoDB,1682633287.648668517,1682633590.125294608
ext4,InnoDB,1682634108.942919970,1682634410.353826636
zfs,InnoDB,1682634952.665762859,1682635253.691371400
xfs,InnoDB,1682635743.712888346,1682636044.817731613
btrfs,MyISAM,1682636775.167414853,1682637076.285808915
ext4,MyISAM,1682637689.326571981,1682637990.056867484
zfs,MyISAM,1682638706.326336653,1682639006.709514175
xfs,MyISAM,1682639595.439147243,1682639895.949656140
btrfs,CSV,1682641106.938023538,1682641472.959696268
ext4,CSV,1682642406.797341754,1682642731.314306008
zfs,CSV,1682643901.957355434,1682644269.042720606
xfs,CSV,1682645197.952372365,1682645526.206561334
