"Database Query/s (QPS)","Database Query/s (QPS)"
2023-04-27 19:18:25,55.41
2023-04-27 19:18:30,55.44
2023-04-27 19:18:35,55.46
2023-04-27 19:18:40,55.50
2023-04-27 19:18:45,55.50
2023-04-27 19:18:50,55.49
2023-04-27 19:18:55,55.49
2023-04-27 19:19:00,55.43
2023-04-27 19:19:05,55.39
2023-04-27 19:19:10,55.40
2023-04-27 19:19:15,55.40
2023-04-27 19:19:20,55.41
2023-04-27 19:19:25,55.41
2023-04-27 19:19:30,55.44
2023-04-27 19:19:35,55.42
2023-04-27 19:19:40,55.44
2023-04-27 19:19:45,55.44
2023-04-27 19:19:50,55.43
2023-04-27 19:19:55,55.43
2023-04-27 19:20:00,55.45
2023-04-27 19:20:05,55.46
2023-04-27 19:20:10,55.43
2023-04-27 19:20:15,55.39
2023-04-27 19:20:20,54.27
2023-04-27 19:20:25,52.51
2023-04-27 19:20:30,50.80
2023-04-27 19:20:35,47.01
2023-04-27 19:20:40,45.07
2023-04-27 19:20:45,42.65
2023-04-27 19:20:50,40.34
2023-04-27 19:20:55,37.64
2023-04-27 19:21:00,34.43
2023-04-27 19:21:05,32.76
2023-04-27 19:21:10,32.77
2023-04-27 19:21:15,31.64
2023-04-27 19:21:20,31.67
2023-04-27 19:21:25,30.53
2023-04-27 19:21:30,30.55
2023-04-27 19:21:35,29.43
2023-04-27 19:21:40,29.47
2023-04-27 19:21:45,28.36
2023-04-27 19:21:50,26.10
2023-04-27 19:21:55,23.83
2023-04-27 19:22:00,23.42
2023-04-27 19:22:05,22.70
2023-04-27 19:22:10,21.58
2023-04-27 19:22:15,20.44
2023-04-27 19:22:20,20.45
2023-04-27 19:22:25,17.41
2023-04-27 19:22:30,15.91
2023-04-27 19:22:35,15.95
2023-04-27 19:22:40,15.95
2023-04-27 19:22:45,15.96
2023-04-27 19:22:50,15.97
2023-04-27 19:22:55,15.99
2023-04-27 19:23:00,16.02
2023-04-27 19:23:05,16.02
2023-04-27 19:23:10,16.06
2023-04-27 19:23:15,16.07
2023-04-27 19:23:20,16.08
2023-04-27 19:23:25,16.09
2023-04-27 19:23:30,16.09
2023-04-27 19:23:35,16.07
2023-04-27 19:23:40,16.04
2023-04-27 19:23:45,16.05
2023-04-27 19:23:50,16.05
2023-04-27 19:23:55,16.02
2023-04-27 19:24:00,16.02
2023-04-27 19:24:05,16.03
2023-04-27 19:24:10,16.02
2023-04-27 19:24:15,16.01
2023-04-27 19:24:20,16.01
2023-04-27 19:24:25,16.02
2023-04-27 19:24:30,16.01

