"Time","Write","Read"
2023-04-27 19:18:26,592282,0
2023-04-27 19:18:27,592282,0
2023-04-27 19:18:28,54067,54886
2023-04-27 19:18:29,46694,54886
2023-04-27 19:18:30,46694,54886
2023-04-27 19:18:31,46694,54886
2023-04-27 19:18:32,54067,54886
2023-04-27 19:18:33,9011,0
2023-04-27 19:18:34,9011,0
2023-04-27 19:18:35,1965261,0
2023-04-27 19:18:36,1965261,0
2023-04-27 19:18:37,1957888,0
2023-04-27 19:18:38,3842867,0
2023-04-27 19:18:39,3842867,0
2023-04-27 19:18:40,1984102,0
2023-04-27 19:18:41,1984102,0
2023-04-27 19:18:42,1984102,0
2023-04-27 19:18:43,98304,0
2023-04-27 19:18:44,98304,0
2023-04-27 19:18:45,2949939,0
2023-04-27 19:18:46,3380838,0
2023-04-27 19:18:47,3384115,0
2023-04-27 19:18:48,3383296,0
2023-04-27 19:18:49,3384115,0
2023-04-27 19:18:50,435814,25395
2023-04-27 19:18:51,1866957,25395
2023-04-27 19:18:52,3444736,25395
2023-04-27 19:18:53,3452109,25395
2023-04-27 19:18:54,3452109,25395
2023-04-27 19:18:55,3451290,9011
2023-04-27 19:18:56,1589248,9011
2023-04-27 19:18:57,1790771,9011
2023-04-27 19:18:58,3389030,9011
2023-04-27 19:18:59,4467098,21299
2023-04-27 19:19:00,4467098,12288
2023-04-27 19:19:01,4467098,36045
2023-04-27 19:19:02,2690253,36045
2023-04-27 19:19:03,3312845,36045
2023-04-27 19:19:04,3372646,23757
2023-04-27 19:19:05,3372646,41779
2023-04-27 19:19:06,3372646,18022
2023-04-27 19:19:07,3366912,18022
2023-04-27 19:19:08,1141965,18022
2023-04-27 19:19:09,2741043,18022
2023-04-27 19:19:10,3377562,0
2023-04-27 19:19:11,3377562,0
2023-04-27 19:19:12,3377562,0
2023-04-27 19:19:13,3374285,0
2023-04-27 19:19:14,647987,0
2023-04-27 19:19:15,3290726,0
2023-04-27 19:19:16,3384115,0
2023-04-27 19:19:17,3387392,0
2023-04-27 19:19:18,3387392,0
2023-04-27 19:19:19,3376742,0
2023-04-27 19:19:20,97485,0
2023-04-27 19:19:21,2874573,4096
2023-04-27 19:19:22,3396403,4096
2023-04-27 19:19:23,3402957,4096
2023-04-27 19:19:24,3411968,4096
2023-04-27 19:19:25,3411968,4096
2023-04-27 19:19:26,541491,0
2023-04-27 19:19:27,3135898,0
2023-04-27 19:19:28,3385754,0
2023-04-27 19:19:29,3382477,0
2023-04-27 19:19:30,3436544,0
2023-04-27 19:19:31,3436544,0
2023-04-27 19:19:32,317030,0
2023-04-27 19:19:33,4192666,0
2023-04-27 19:19:34,4186931,0
2023-04-27 19:19:35,4132864,0
2023-04-27 19:19:36,4139418,0
2023-04-27 19:19:37,4139418,0
2023-04-27 19:19:38,7373,0
2023-04-27 19:19:39,3379200,0
2023-04-27 19:19:40,3379200,0
2023-04-27 19:19:41,3372646,0
2023-04-27 19:19:42,3372646,0
2023-04-27 19:19:43,3375923,0
2023-04-27 19:19:44,33587,0
2023-04-27 19:19:45,3416064,0
2023-04-27 19:19:46,3446374,0
2023-04-27 19:19:47,3476685,0
2023-04-27 19:19:48,3473408,0
2023-04-27 19:19:49,3443098,14746
2023-04-27 19:19:50,68813,14746
2023-04-27 19:19:51,3424256,14746
2023-04-27 19:19:52,3401318,14746
2023-04-27 19:19:53,3401318,14746
2023-04-27 19:19:54,3401318,0
2023-04-27 19:19:55,3402957,0
2023-04-27 19:19:56,17203,0
2023-04-27 19:19:57,3389030,0
2023-04-27 19:19:58,3465216,0
2023-04-27 19:19:59,3465216,0
2023-04-27 19:20:00,3466854,0
2023-04-27 19:20:01,3466854,9830
2023-04-27 19:20:02,87654,9830
2023-04-27 19:20:03,13107,9830
2023-04-27 19:20:04,2608333,9830
2023-04-27 19:20:05,4041114,9830
2023-04-27 19:20:06,4041114,0
2023-04-27 19:20:07,4043571,0
2023-04-27 19:20:08,4078797,0
2023-04-27 19:20:09,1483571,0
2023-04-27 19:20:10,3352166,0
2023-04-27 19:20:11,3398861,0
2023-04-27 19:20:12,3396403,0
2023-04-27 19:20:13,3364454,0
2023-04-27 19:20:14,3364454,0
2023-04-27 19:20:15,51610,0
2023-04-27 19:20:16,3384115,0
2023-04-27 19:20:17,3384115,0
