"Disk Reads","Disk Reads"
2023-04-27 19:18:25,0.0 B/s
2023-04-27 19:18:30,54.9 kB/s
2023-04-27 19:18:35,0.0 B/s
2023-04-27 19:18:40,0.0 B/s
2023-04-27 19:18:45,0.0 B/s
2023-04-27 19:18:50,25.4 kB/s
2023-04-27 19:18:55,9.0 kB/s
2023-04-27 19:19:00,12.3 kB/s
2023-04-27 19:19:05,41.8 kB/s
2023-04-27 19:19:10,0.0 B/s
2023-04-27 19:19:15,0.0 B/s
2023-04-27 19:19:20,0.0 B/s
2023-04-27 19:19:25,4.1 kB/s
2023-04-27 19:19:30,0.0 B/s
2023-04-27 19:19:35,0.0 B/s
2023-04-27 19:19:40,0.0 B/s
2023-04-27 19:19:45,0.0 B/s
2023-04-27 19:19:50,29.9 kB/s
2023-04-27 19:19:55,0.0 B/s
2023-04-27 19:20:00,0.0 B/s
2023-04-27 19:20:05,9.8 kB/s
2023-04-27 19:20:10,0.0 B/s
2023-04-27 19:20:15,0.0 B/s
2023-04-27 19:20:20,0.0 B/s
2023-04-27 19:20:25,0.0 B/s
2023-04-27 19:20:30,5.7 kB/s
2023-04-27 19:20:35,0.0 B/s
2023-04-27 19:20:40,0.0 B/s
2023-04-27 19:20:45,0.0 B/s
2023-04-27 19:20:50,6.6 kB/s
2023-04-27 19:20:55,0.0 B/s
2023-04-27 19:21:00,0.0 B/s
2023-04-27 19:21:05,0.0 B/s
2023-04-27 19:21:10,0.0 B/s
2023-04-27 19:21:15,0.0 B/s
2023-04-27 19:21:20,0.0 B/s
2023-04-27 19:21:25,0.0 B/s
2023-04-27 19:21:30,0.0 B/s
2023-04-27 19:21:35,0.0 B/s
2023-04-27 19:21:40,0.0 B/s
2023-04-27 19:21:45,0.0 B/s
2023-04-27 19:21:50,0.0 B/s
2023-04-27 19:21:55,0.0 B/s
2023-04-27 19:22:00,0.0 B/s
2023-04-27 19:22:05,4.9 kB/s
2023-04-27 19:22:10,0.0 B/s
2023-04-27 19:22:15,0.0 B/s
2023-04-27 19:22:20,0.0 B/s
2023-04-27 19:22:25,0.0 B/s
2023-04-27 19:22:30,0.0 B/s
2023-04-27 19:22:35,0.0 B/s
2023-04-27 19:22:40,0.0 B/s
2023-04-27 19:22:45,0.0 B/s
2023-04-27 19:22:50,0.0 B/s
2023-04-27 19:22:55,0.0 B/s
2023-04-27 19:23:00,0.0 B/s
2023-04-27 19:23:05,0.0 B/s
2023-04-27 19:23:10,0.0 B/s
2023-04-27 19:23:15,0.0 B/s
2023-04-27 19:23:20,13.9 kB/s
2023-04-27 19:23:25,10.6 kB/s
2023-04-27 19:23:30,0.0 B/s
2023-04-27 19:23:35,0.0 B/s
2023-04-27 19:23:40,0.0 B/s
2023-04-27 19:23:45,0.0 B/s
2023-04-27 19:23:50,0.0 B/s
2023-04-27 19:23:55,0.0 B/s
2023-04-27 19:24:00,0.0 B/s
2023-04-27 19:24:05,0.0 B/s
2023-04-27 19:24:10,0.0 B/s
2023-04-27 19:24:15,0.0 B/s
2023-04-27 19:24:20,0.0 B/s
2023-04-27 19:24:25,731.5 kB/s
2023-04-27 19:24:30,7.4 kB/s

