"Disk Writes","Disk Writes"
2023-04-27 19:18:25,592.3 kB/s
2023-04-27 19:18:30,46.7 kB/s
2023-04-27 19:18:35,2.0 MB/s
2023-04-27 19:18:40,2.0 MB/s
2023-04-27 19:18:45,3.0 MB/s
2023-04-27 19:18:50,396.5 kB/s
2023-04-27 19:18:55,3.5 MB/s
2023-04-27 19:19:00,4.5 MB/s
2023-04-27 19:19:05,3.4 MB/s
2023-04-27 19:19:10,3.4 MB/s
2023-04-27 19:19:15,3.3 MB/s
2023-04-27 19:19:20,113.0 kB/s
2023-04-27 19:19:25,3.4 MB/s
2023-04-27 19:19:30,3.4 MB/s
2023-04-27 19:19:35,4.1 MB/s
2023-04-27 19:19:40,3.4 MB/s
2023-04-27 19:19:45,3.4 MB/s
2023-04-27 19:19:50,68.8 kB/s
2023-04-27 19:19:55,3.4 MB/s
2023-04-27 19:20:00,3.5 MB/s
2023-04-27 19:20:05,4.0 MB/s
2023-04-27 19:20:10,3.4 MB/s
2023-04-27 19:20:15,51.6 kB/s
2023-04-27 19:20:20,3.4 MB/s
2023-04-27 19:20:25,3.4 MB/s
2023-04-27 19:20:30,3.7 MB/s
2023-04-27 19:20:35,4.6 MB/s
2023-04-27 19:20:40,4.4 MB/s
2023-04-27 19:20:45,2.3 MB/s
2023-04-27 19:20:50,5.1 MB/s
2023-04-27 19:20:55,3.3 MB/s
2023-04-27 19:21:00,2.2 MB/s
2023-04-27 19:21:05,5.3 MB/s
2023-04-27 19:21:10,3.8 MB/s
2023-04-27 19:21:15,2.2 MB/s
2023-04-27 19:21:20,5.3 MB/s
2023-04-27 19:21:25,3.1 MB/s
2023-04-27 19:21:30,3.9 MB/s
2023-04-27 19:21:35,3.5 MB/s
2023-04-27 19:21:40,3.8 MB/s
2023-04-27 19:21:45,3.8 MB/s
2023-04-27 19:21:50,76.2 kB/s
2023-04-27 19:21:55,3.4 MB/s
2023-04-27 19:22:00,3.4 MB/s
2023-04-27 19:22:05,3.4 MB/s
2023-04-27 19:22:10,3.4 MB/s
2023-04-27 19:22:15,754.5 kB/s
2023-04-27 19:22:20,3.4 MB/s
2023-04-27 19:22:25,3.4 MB/s
2023-04-27 19:22:30,3.4 MB/s
2023-04-27 19:22:35,3.5 MB/s
2023-04-27 19:22:40,3.4 MB/s
2023-04-27 19:22:45,2.2 MB/s
2023-04-27 19:22:50,1.7 MB/s
2023-04-27 19:22:55,3.4 MB/s
2023-04-27 19:23:00,17.2 kB/s
2023-04-27 19:23:05,102.4 kB/s
2023-04-27 19:23:10,2.0 MB/s
2023-04-27 19:23:15,4.2 MB/s
2023-04-27 19:23:20,3.4 MB/s
2023-04-27 19:23:25,1.1 MB/s
2023-04-27 19:23:30,2.5 MB/s
2023-04-27 19:23:35,3.4 MB/s
2023-04-27 19:23:40,3.4 MB/s
2023-04-27 19:23:45,3.4 MB/s
2023-04-27 19:23:50,4.1 MB/s
2023-04-27 19:23:55,9.8 kB/s
2023-04-27 19:24:00,3.4 MB/s
2023-04-27 19:24:05,3.4 MB/s
2023-04-27 19:24:10,3.4 MB/s
2023-04-27 19:24:15,3.4 MB/s
2023-04-27 19:24:20,9.0 kB/s
2023-04-27 19:24:25,611.1 kB/s
2023-04-27 19:24:30,3.4 MB/s

