"Time","iowait","irq","nice","softirq","steal","system","user","Max Core Utilization"
2023-04-27 19:18:26,0.1000,0,0,0,0,1.000,3.60,4.80
2023-04-27 19:18:27,0.1000,0,0,0.100,0,1.000,3.50,5.00
2023-04-27 19:18:28,0.200,0,0,0.100,0,1.000,5.20,7.40
2023-04-27 19:18:29,0.200,0,0,0.200,0,1.60,14.8,18.2
2023-04-27 19:18:30,0.200,0,0,0.200,0.1000,2.00,24.8,34.6
2023-04-27 19:18:31,0.200,0,0,0.200,0.1000,2.40,34.2,53.6
2023-04-27 19:18:32,0.200,0,0,0.1000,0.1000,2.90,43.8,56.0
2023-04-27 19:18:33,0,0,0,0.200,0.1000,3.50,51.3,74.0
2023-04-27 19:18:34,0,0,0,0.100,0.1000,3.10,51.4,66.8
2023-04-27 19:18:35,0.200,0,0,0.200,0,8.30,47.2,67.6
2023-04-27 19:18:36,0.200,0,0,0.200,0,8.60,47.3,68.2
2023-04-27 19:18:37,0.200,0,0,0.300,0,8.70,47.4,79.6
2023-04-27 19:18:38,0.300,0,0,0.300,0,13.8,44.2,75.2
2023-04-27 19:18:39,0.300,0,0,0.500,0,14.1,44.3,89.0
2023-04-27 19:18:40,0.200,0,0,0.400,0,8.80,48.1,81.2
2023-04-27 19:18:41,0.200,0,0,0.500,0,8.60,48.0,79.4
2023-04-27 19:18:42,0.200,0,0,0.500,0.1000,8.60,47.9,84.4
2023-04-27 19:18:43,0.1000,0,0,0.400,0.1000,2.80,51.7,75
2023-04-27 19:18:44,0.1000,0,0,0.300,0.1000,2.90,51.6,74.8
2023-04-27 19:18:45,0,0,0,0.500,0.1000,14.1,44.4,84.6
2023-04-27 19:18:46,0.1000,0,0,0.500,0.1000,14.9,43.8,84.2
2023-04-27 19:18:47,0.1000,0,0,0.500,0,15.4,43.4,82.6
2023-04-27 19:18:48,0.1000,0,0,0.600,0,15.7,43.5,94.8
2023-04-27 19:18:49,0.1000,0,0,0.500,0,15.7,45.7,89.4
2023-04-27 19:18:50,0.1000,0,0,0.300,0,4.60,53.8,89.6
2023-04-27 19:18:51,0,0,0,0.400,0,11.6,49.0,80.4
2023-04-27 19:18:52,0.1000,0,0,0.500,0,14.7,47.5,73.0
2023-04-27 19:18:53,0.1000,0,0,0.600,0,14.6,47.2,74.4
2023-04-27 19:18:54,0.1000,0,0,0.600,0,14.6,45.2,67.2
2023-04-27 19:18:55,0.1000,0,0,0.600,0,14.7,43.8,60.0
2023-04-27 19:18:56,0.1000,0,0,0.500,0,6.80,49.8,69.6
2023-04-27 19:18:57,0,0,0,0.300,0,10.7,46.6,78.4
2023-04-27 19:18:58,0.1000,0,0,0.200,0,15.1,44.0,72.0
2023-04-27 19:18:59,0.200,0,0,0.300,0,15.4,44.1,84.2
2023-04-27 19:19:00,0.200,0,0,0.500,0,15,44.5,92.6
2023-04-27 19:19:01,0.200,0,0,0.400,0,15.1,44.7,92.4
2023-04-27 19:19:02,0.200,0,0,0.400,0,7.30,50.1,91.2
2023-04-27 19:19:03,0.1000,0,0,0.400,0,10.7,48.1,90.6
2023-04-27 19:19:04,0,0,0,0.400,0,13.5,45.5,75.2
2023-04-27 19:19:05,0.1000,0,0,0.200,0,13.8,45.7,62.0
2023-04-27 19:19:06,0.1000,0,0,0.200,0,13.9,44.9,65.6
2023-04-27 19:19:07,0.1000,0,0,0.200,0,14.0,44.7,75.4
2023-04-27 19:19:08,0.1000,0,0,0.300,0,6.40,49.3,67.8
2023-04-27 19:19:09,0.1000,0,0,0.200,0,13.1,45.8,64.6
2023-04-27 19:19:10,0.1000,0,0,0.200,0,14.7,44.4,61.6
2023-04-27 19:19:11,0.1000,0,0,0.200,0,14.9,44.3,67.0
2023-04-27 19:19:12,0.1000,0,0,0.300,0,15.1,44.3,73.2
2023-04-27 19:19:13,0.1000,0,0,0.1000,0,15.0,44.4,84.8
2023-04-27 19:19:14,0.1000,0,0,0.1000,0,5.20,50.4,88.8
2023-04-27 19:19:15,0,0,0,0.1000,0,14.3,45.0,84.2
2023-04-27 19:19:16,0,0,0,0.200,0.1000,15.0,44.6,92.0
2023-04-27 19:19:17,0,0,0,0.200,0.1000,15.0,44.4,77.0
