"Database Query/s (QPS)","Database Query/s (QPS)"
2023-04-27 17:08:06,19.25
2023-04-27 17:08:08,19.23
2023-04-27 17:08:10,25.02
2023-04-27 17:08:12,30.38
2023-04-27 17:08:14,33.91
2023-04-27 17:08:16,39.20
2023-04-27 17:08:18,43.46
2023-04-27 17:08:20,48.34
2023-04-27 17:08:22,53.11
2023-04-27 17:08:24,56.94
2023-04-27 17:08:26,61.19
2023-04-27 17:08:28,66.79
2023-04-27 17:08:30,71.83
2023-04-27 17:08:32,74.12
2023-04-27 17:08:34,74.24
2023-04-27 17:08:36,75.13
2023-04-27 17:08:38,78.70
2023-04-27 17:08:40,84.41
2023-04-27 17:08:42,89.39
2023-04-27 17:08:44,94.38
2023-04-27 17:08:46,98.35
2023-04-27 17:08:48,103.74
2023-04-27 17:08:50,109.58
2023-04-27 17:08:52,114.96
2023-04-27 17:08:54,120.81
2023-04-27 17:08:56,123.62
2023-04-27 17:08:58,124.25
2023-04-27 17:09:00,127.60
2023-04-27 17:09:02,131.88
2023-04-27 17:09:04,137.18
2023-04-27 17:09:06,141.86
2023-04-27 17:09:08,146.80
2023-04-27 17:09:10,152.50
2023-04-27 17:09:12,157.79
2023-04-27 17:09:14,163.27
2023-04-27 17:09:16,169.10
2023-04-27 17:09:18,175.28
2023-04-27 17:09:20,180.70
2023-04-27 17:09:22,180.87
2023-04-27 17:09:24,181.05
2023-04-27 17:09:26,183.56
2023-04-27 17:09:28,187.96
2023-04-27 17:09:30,193.38
2023-04-27 17:09:32,200.27
2023-04-27 17:09:34,205.67
2023-04-27 17:09:36,211.83
2023-04-27 17:09:38,217.71
2023-04-27 17:09:40,223.84
2023-04-27 17:09:42,229.74
2023-04-27 17:09:44,235.10
2023-04-27 17:09:46,240.38
2023-04-27 17:09:48,246.72
2023-04-27 17:09:50,249.90
2023-04-27 17:09:52,250.06
2023-04-27 17:09:54,250.01
2023-04-27 17:09:56,253.78
2023-04-27 17:09:58,259.95
2023-04-27 17:10:00,266.50
2023-04-27 17:10:02,270.99
2023-04-27 17:10:04,276.22
2023-04-27 17:10:06,282.13
2023-04-27 17:10:08,287.17
2023-04-27 17:10:10,293.82
2023-04-27 17:10:12,299.97
2023-04-27 17:10:14,305.59
2023-04-27 17:10:16,311.49
2023-04-27 17:10:18,317.14
2023-04-27 17:10:20,317.21
2023-04-27 17:10:22,317.55
2023-04-27 17:10:24,321.33
2023-04-27 17:10:26,323.88
2023-04-27 17:10:28,325.90
2023-04-27 17:10:30,328.89
2023-04-27 17:10:32,331.81
2023-04-27 17:10:34,334.19
2023-04-27 17:10:36,336.47
2023-04-27 17:10:38,339.93
2023-04-27 17:10:40,346.31
2023-04-27 17:10:42,353.14
2023-04-27 17:10:44,358.41
2023-04-27 17:10:46,364.41
2023-04-27 17:10:48,371.02
2023-04-27 17:10:50,371.33
2023-04-27 17:10:52,372.32
2023-04-27 17:10:54,375.56
2023-04-27 17:10:56,381.32
2023-04-27 17:10:58,386.43
2023-04-27 17:11:00,393.97
2023-04-27 17:11:02,398.07
2023-04-27 17:11:04,405.27
2023-04-27 17:11:06,411.30
2023-04-27 17:11:08,417.92
2023-04-27 17:11:10,422.64
2023-04-27 17:11:12,426.61
2023-04-27 17:11:14,426.76
2023-04-27 17:11:16,427.03
2023-04-27 17:11:18,432.84
2023-04-27 17:11:20,436.53
2023-04-27 17:11:22,442.71
2023-04-27 17:11:24,449.31
2023-04-27 17:11:26,456.70
2023-04-27 17:11:28,462.04
2023-04-27 17:11:30,466.48
2023-04-27 17:11:32,466.59
2023-04-27 17:11:34,468.48
2023-04-27 17:11:36,474.13
2023-04-27 17:11:38,478.93
2023-04-27 17:11:40,484.06
2023-04-27 17:11:42,489.40
2023-04-27 17:11:44,497.15
2023-04-27 17:11:46,501.21
2023-04-27 17:11:48,505.09
2023-04-27 17:11:50,512.01
2023-04-27 17:11:52,518.35
2023-04-27 17:11:54,522.18
2023-04-27 17:11:56,529.48
2023-04-27 17:11:58,536.12
2023-04-27 17:12:00,539.99
2023-04-27 17:12:02,540.08
2023-04-27 17:12:04,540.50
2023-04-27 17:12:06,542.01
2023-04-27 17:12:08,549.43
2023-04-27 17:12:10,554.25
2023-04-27 17:12:12,560.60
2023-04-27 17:12:14,565.61
2023-04-27 17:12:16,572.59
2023-04-27 17:12:18,577.19
2023-04-27 17:12:20,582.95
2023-04-27 17:12:22,589.02
2023-04-27 17:12:24,594.07
2023-04-27 17:12:26,599.94
2023-04-27 17:12:28,607.56
2023-04-27 17:12:30,612.44
2023-04-27 17:12:32,613.78
2023-04-27 17:12:34,613.94
2023-04-27 17:12:36,615.60
2023-04-27 17:12:38,618.87
2023-04-27 17:12:40,625.91
2023-04-27 17:12:42,630.40
2023-04-27 17:12:44,635.58
2023-04-27 17:12:46,642.56
2023-04-27 17:12:48,649.54
2023-04-27 17:12:50,651.37
2023-04-27 17:12:52,651.53
2023-04-27 17:12:54,653.31
2023-04-27 17:12:56,659.38
2023-04-27 17:12:58,664.43
2023-04-27 17:13:00,670.60
2023-04-27 17:13:02,677.49
2023-04-27 17:13:04,681.91
2023-04-27 17:13:06,687.98
2023-04-27 17:13:08,695.56
2023-04-27 17:13:10,690.50

