"Time","Write","Read"
2023-04-27 17:08:07,14746,0
2023-04-27 17:08:08,4096,0
2023-04-27 17:08:09,3826483,435814
2023-04-27 17:08:10,13470106,435814
2023-04-27 17:08:11,22776218,435814
2023-04-27 17:08:12,32758170,435814
2023-04-27 17:08:13,40919040,435814
2023-04-27 17:08:14,44466176,0
2023-04-27 17:08:15,44608717,0
2023-04-27 17:08:16,44100813,0
2023-04-27 17:08:17,42160947,0
2023-04-27 17:08:18,43234099,0
2023-04-27 17:08:19,43873075,0
2023-04-27 17:08:20,42848256,0
2023-04-27 17:08:21,42524672,0
2023-04-27 17:08:22,45052723,0
2023-04-27 17:08:23,43431526,0
2023-04-27 17:08:24,43705139,0
2023-04-27 17:08:25,43326669,0
2023-04-27 17:08:26,42682778,0
2023-04-27 17:08:27,40176845,0
2023-04-27 17:08:28,40722432,0
2023-04-27 17:08:29,40932147,0
2023-04-27 17:08:30,41144320,0
2023-04-27 17:08:31,41706291,0
2023-04-27 17:08:32,40668365,0
2023-04-27 17:08:33,39268352,0
2023-04-27 17:08:34,36532224,0
2023-04-27 17:08:35,32891699,0
2023-04-27 17:08:36,30620058,0
2023-04-27 17:08:37,28880896,0
2023-04-27 17:08:38,29403546,0
2023-04-27 17:08:39,31892275,0
2023-04-27 17:08:40,35180544,0
2023-04-27 17:08:41,37262131,0
2023-04-27 17:08:42,40216166,0
2023-04-27 17:08:43,41343386,0
2023-04-27 17:08:44,41735782,0
2023-04-27 17:08:45,41943859,0
2023-04-27 17:08:46,42097869,0
2023-04-27 17:08:47,41663693,0
2023-04-27 17:08:48,43374182,0
2023-04-27 17:08:49,41544090,0
2023-04-27 17:08:50,41327821,0
2023-04-27 17:08:51,40917402,0
2023-04-27 17:08:52,41511322,0
2023-04-27 17:08:53,39713178,0
2023-04-27 17:08:54,40547942,0
2023-04-27 17:08:55,40031846,0
2023-04-27 17:08:56,39887667,0
2023-04-27 17:08:57,38092800,0
2023-04-27 17:08:58,35309158,0
2023-04-27 17:08:59,34364621,0
2023-04-27 17:09:00,34856141,0
2023-04-27 17:09:01,35353395,0
2023-04-27 17:09:02,36874650,0
2023-04-27 17:09:03,39973683,0
2023-04-27 17:09:04,41331917,0
2023-04-27 17:09:05,41965158,0
2023-04-27 17:09:06,41601434,0
2023-04-27 17:09:07,41638298,0
2023-04-27 17:09:08,41179546,0
2023-04-27 17:09:09,41415475,0
2023-04-27 17:09:10,40932966,0
2023-04-27 17:09:11,41112371,0
2023-04-27 17:09:12,41462170,0
2023-04-27 17:09:13,41860301,0
2023-04-27 17:09:14,42097050,0
2023-04-27 17:09:15,41964339,0
2023-04-27 17:09:16,42079027,0
2023-04-27 17:09:17,41843098,0
2023-04-27 17:09:18,41076326,0
2023-04-27 17:09:19,40094925,0
