"Time","Disk Reads (Page In)","Disk Writes (Page Out)","Total","Swap In (Reads)","Swap Out (Writes)"
2023-04-27 17:08:07,0,14746,14746,0,0
2023-04-27 17:08:08,0,4096,4096,0,0
2023-04-27 17:08:09,435814,3826483,4262298,0,0
2023-04-27 17:08:10,435814,13470106,13905920,0,0
2023-04-27 17:08:11,435814,22776218,23212032,0,0
2023-04-27 17:08:12,435814,32706560,33142374,0,0
2023-04-27 17:08:13,435814,40919040,41354854,0,0
2023-04-27 17:08:14,0,44466176,44466176,0,0
2023-04-27 17:08:15,0,44608717,44608717,0,0
2023-04-27 17:08:16,0,44141773,44141773,0,0
2023-04-27 17:08:17,0,42235494,42235494,0,0
2023-04-27 17:08:18,0,43261133,43261133,0,0
2023-04-27 17:08:19,0,43831296,43831296,0,0
2023-04-27 17:08:20,0,42832691,42832691,0,0
2023-04-27 17:08:21,0,42545971,42545971,0,0
2023-04-27 17:08:22,0,45030605,45030605,0,0
2023-04-27 17:08:23,0,43404493,43404493,0,0
2023-04-27 17:08:24,0,43746099,43746099,0,0
2023-04-27 17:08:25,0,43342234,43342234,0,0
2023-04-27 17:08:26,0,42620518,42620518,0,0
2023-04-27 17:08:27,0,40176026,40176026,0,0
2023-04-27 17:08:28,0,40722432,40722432,0,0
2023-04-27 17:08:29,0,40975565,40975565,0,0
2023-04-27 17:08:30,0,41167258,41167258,0,0
2023-04-27 17:08:31,0,41712845,41712845,0,0
2023-04-27 17:08:32,0,40656896,40656896,0,0
2023-04-27 17:08:33,0,39228211,39228211,0,0
2023-04-27 17:08:34,0,36489626,36489626,0,0
2023-04-27 17:08:35,0,32868762,32868762,0,0
2023-04-27 17:08:36,0,30598758,30598758,0,0
2023-04-27 17:08:37,0,28892365,28892365,0,0
2023-04-27 17:08:38,0,29464166,29464166,0,0
2023-04-27 17:08:39,0,31871795,31871795,0,0
2023-04-27 17:08:40,0,35161702,35161702,0,0
2023-04-27 17:08:41,0,37289984,37289984,0,0
2023-04-27 17:08:42,0,40215347,40215347,0,0
2023-04-27 17:08:43,0,41323725,41323725,0,0
2023-04-27 17:08:44,0,41757082,41757082,0,0
2023-04-27 17:08:45,0,41962701,41962701,0,0
2023-04-27 17:08:46,0,42071654,42071654,0,0
2023-04-27 17:08:47,0,41664512,41664512,0,0
2023-04-27 17:08:48,0,43494605,43494605,0,0
2023-04-27 17:08:49,0,41557197,41557197,0,0
2023-04-27 17:08:50,0,41327821,41327821,0,0
2023-04-27 17:08:51,0,40930509,40930509,0,0
2023-04-27 17:08:52,0,41527706,41527706,0,0
2023-04-27 17:08:53,0,39611597,39611597,0,0
2023-04-27 17:08:54,0,40360346,40360346,0,0
2023-04-27 17:08:55,0,39935181,39935181,0,0
2023-04-27 17:08:56,0,39887667,39887667,0,0
2023-04-27 17:08:57,0,38076416,38076416,0,0
2023-04-27 17:08:58,0,35296051,35296051,0,0
2023-04-27 17:08:59,0,34467021,34467021,0,0
2023-04-27 17:09:00,0,34986394,34986394,0,0
2023-04-27 17:09:01,0,35353395,35353395,0,0
2023-04-27 17:09:02,0,36874650,36874650,0,0
2023-04-27 17:09:03,0,39967130,39967130,0,0
2023-04-27 17:09:04,0,41422848,41422848,0,0
2023-04-27 17:09:05,0,41932390,41932390,0,0
2023-04-27 17:09:06,0,41600614,41600614,0,0
2023-04-27 17:09:07,0,41657958,41657958,0,0
2023-04-27 17:09:08,0,41176269,41176269,0,0
2023-04-27 17:09:09,0,41358950,41358950,0,0
2023-04-27 17:09:10,0,40932966,40932966,0,0
2023-04-27 17:09:11,0,41145958,41145958,0,0
2023-04-27 17:09:12,0,41442509,41442509,0,0
2023-04-27 17:09:13,0,41863578,41863578,0,0
2023-04-27 17:09:14,0,42133914,42133914,0,0
2023-04-27 17:09:15,0,41963520,41963520,0,0
2023-04-27 17:09:16,0,42049536,42049536,0,0
2023-04-27 17:09:17,0,41843098,41843098,0,0
2023-04-27 17:09:18,0,41005056,41005056,0,0
2023-04-27 17:09:19,0,40049869,40049869,0,0
2023-04-27 17:09:20,0,39969587,39969587,0,0
2023-04-27 17:09:21,0,37114675,37114675,0,0
2023-04-27 17:09:22,0,35232154,35232154,0,0
2023-04-27 17:09:23,0,32664781,32664781,0,0
2023-04-27 17:09:24,0,30421811,30421811,0,0
2023-04-27 17:09:25,0,29044736,29044736,0,0
2023-04-27 17:09:26,0,29202842,29202842,0,0
2023-04-27 17:09:27,0,31109120,31109120,0,0
2023-04-27 17:09:28,0,34208973,34208973,0,0
2023-04-27 17:09:29,0,37341594,37341594,0,0
2023-04-27 17:09:30,0,38441779,38441779,0,0
2023-04-27 17:09:31,0,41133670,41133670,0,0
2023-04-27 17:09:32,0,41048474,41048474,0,0
2023-04-27 17:09:33,0,40973926,40973926,0,0
2023-04-27 17:09:34,0,41088614,41088614,0,0
2023-04-27 17:09:35,0,40950170,40950170,0,0
2023-04-27 17:09:36,0,40651162,40651162,0,0
2023-04-27 17:09:37,0,40143258,40143258,0,0
2023-04-27 17:09:38,0,39772160,39772160,0,0
2023-04-27 17:09:39,0,39194624,39194624,0,0
2023-04-27 17:09:40,0,39555072,39555072,0,0
2023-04-27 17:09:41,0,39781171,39781171,0,0
2023-04-27 17:09:42,0,40599552,40599552,0,0
2023-04-27 17:09:43,0,40958362,40958362,0,0
