"Time","Read","Write"
2023-04-27 17:08:07,0,1.60
2023-04-27 17:08:08,0,0.600
2023-04-27 17:08:09,11.8,148
2023-04-27 17:08:10,11.8,475
2023-04-27 17:08:11,11.8,815
2023-04-27 17:08:12,11.8,1180
2023-04-27 17:08:13,11.8,1513
2023-04-27 17:08:14,0,1695
2023-04-27 17:08:15,0,1739
2023-04-27 17:08:16,0,1758
2023-04-27 17:08:17,0,1738
2023-04-27 17:08:18,0,1789
2023-04-27 17:08:19,0,1788
2023-04-27 17:08:20,0,1770
2023-04-27 17:08:21,0,1750
2023-04-27 17:08:22,0,1812
2023-04-27 17:08:23,0,1766
2023-04-27 17:08:24,0,1811
2023-04-27 17:08:25,0,1830
2023-04-27 17:08:26,0,1841
2023-04-27 17:08:27,0,1789
2023-04-27 17:08:28,0,1789
2023-04-27 17:08:29,0,1766
2023-04-27 17:08:30,0,1765
2023-04-27 17:08:31,0,1778
2023-04-27 17:08:32,0,1665
2023-04-27 17:08:33,0,1629
2023-04-27 17:08:34,0,1470
2023-04-27 17:08:35,0,1327
2023-04-27 17:08:36,0,1202
2023-04-27 17:08:37,0,1161
2023-04-27 17:08:38,0,1188
2023-04-27 17:08:39,0,1336
2023-04-27 17:08:40,0,1467
2023-04-27 17:08:41,0,1571
2023-04-27 17:08:42,0,1692
2023-04-27 17:08:43,0,1701
2023-04-27 17:08:44,0,1713
2023-04-27 17:08:45,0,1679
2023-04-27 17:08:46,0,1676
2023-04-27 17:08:47,0,1664
2023-04-27 17:08:48,0,1682
2023-04-27 17:08:49,0,1710
2023-04-27 17:08:50,0,1779
2023-04-27 17:08:51,0,1783
2023-04-27 17:08:52,0,1838
2023-04-27 17:08:53,0,1856
2023-04-27 17:08:54,0,1788
2023-04-27 17:08:55,0,1675
2023-04-27 17:08:56,0,1621
2023-04-27 17:08:57,0,1539
2023-04-27 17:08:58,0,1443
2023-04-27 17:08:59,0,1434
2023-04-27 17:09:00,0,1503
2023-04-27 17:09:01,0,1595
2023-04-27 17:09:02,0,1647
2023-04-27 17:09:03,0,1734
2023-04-27 17:09:04,0,1750
2023-04-27 17:09:05,0,1840
2023-04-27 17:09:06,0,1832
2023-04-27 17:09:07,0,1853
2023-04-27 17:09:08,0,1869
2023-04-27 17:09:09,0,1901
2023-04-27 17:09:10,0,1833
2023-04-27 17:09:11,0,1811
2023-04-27 17:09:12,0,1798
2023-04-27 17:09:13,0,1764
2023-04-27 17:09:14,0,1778
2023-04-27 17:09:15,0,1756
2023-04-27 17:09:16,0,1745
2023-04-27 17:09:17,0,1826
2023-04-27 17:09:18,0,1842
2023-04-27 17:09:19,0,1811
2023-04-27 17:09:20,0,1819
2023-04-27 17:09:21,0,1721
2023-04-27 17:09:22,0,1553
2023-04-27 17:09:23,0,1328
2023-04-27 17:09:24,0,1241
2023-04-27 17:09:25,0,1163
2023-04-27 17:09:26,0,1177
2023-04-27 17:09:27,0,1247
2023-04-27 17:09:28,0,1452
