"Disk Writes","Disk Writes"
2023-04-27 17:08:06,16.4 kB/s
2023-04-27 17:08:08,4.1 kB/s
2023-04-27 17:08:10,13.5 MB/s
2023-04-27 17:08:12,32.7 MB/s
2023-04-27 17:08:14,44.5 MB/s
2023-04-27 17:08:16,44.1 MB/s
2023-04-27 17:08:18,43.3 MB/s
2023-04-27 17:08:20,42.8 MB/s
2023-04-27 17:08:22,45.0 MB/s
2023-04-27 17:08:24,43.7 MB/s
2023-04-27 17:08:26,42.6 MB/s
2023-04-27 17:08:28,40.7 MB/s
2023-04-27 17:08:30,41.2 MB/s
2023-04-27 17:08:32,40.7 MB/s
2023-04-27 17:08:34,36.5 MB/s
2023-04-27 17:08:36,30.6 MB/s
2023-04-27 17:08:38,29.5 MB/s
2023-04-27 17:08:40,35.2 MB/s
2023-04-27 17:08:42,40.2 MB/s
2023-04-27 17:08:44,41.8 MB/s
2023-04-27 17:08:46,42.1 MB/s
2023-04-27 17:08:48,43.5 MB/s
2023-04-27 17:08:50,41.3 MB/s
2023-04-27 17:08:52,41.5 MB/s
2023-04-27 17:08:54,40.4 MB/s
2023-04-27 17:08:56,39.9 MB/s
2023-04-27 17:08:58,35.3 MB/s
2023-04-27 17:09:00,35.0 MB/s
2023-04-27 17:09:02,36.9 MB/s
2023-04-27 17:09:04,41.4 MB/s
2023-04-27 17:09:06,41.6 MB/s
2023-04-27 17:09:08,41.2 MB/s
2023-04-27 17:09:10,40.9 MB/s
2023-04-27 17:09:12,41.4 MB/s
2023-04-27 17:09:14,42.1 MB/s
2023-04-27 17:09:16,42.0 MB/s
2023-04-27 17:09:18,41.0 MB/s
2023-04-27 17:09:20,40.0 MB/s
2023-04-27 17:09:22,35.2 MB/s
2023-04-27 17:09:24,30.4 MB/s
2023-04-27 17:09:26,29.2 MB/s
2023-04-27 17:09:28,34.2 MB/s
2023-04-27 17:09:30,38.4 MB/s
2023-04-27 17:09:32,41.0 MB/s
2023-04-27 17:09:34,41.1 MB/s
2023-04-27 17:09:36,40.7 MB/s
2023-04-27 17:09:38,39.8 MB/s
2023-04-27 17:09:40,39.6 MB/s
2023-04-27 17:09:42,40.6 MB/s
2023-04-27 17:09:44,40.7 MB/s
2023-04-27 17:09:46,40.9 MB/s
2023-04-27 17:09:48,39.4 MB/s
2023-04-27 17:09:50,35.6 MB/s
2023-04-27 17:09:52,33.8 MB/s
2023-04-27 17:09:54,31.8 MB/s
2023-04-27 17:09:56,33.4 MB/s
2023-04-27 17:09:58,37.0 MB/s
2023-04-27 17:10:00,41.1 MB/s
2023-04-27 17:10:02,41.5 MB/s
2023-04-27 17:10:04,40.7 MB/s
2023-04-27 17:10:06,36.9 MB/s
2023-04-27 17:10:08,36.3 MB/s
2023-04-27 17:10:10,37.6 MB/s
2023-04-27 17:10:12,39.5 MB/s
2023-04-27 17:10:14,40.4 MB/s
2023-04-27 17:10:16,40.6 MB/s
2023-04-27 17:10:18,36.6 MB/s
2023-04-27 17:10:20,30.0 MB/s
2023-04-27 17:10:22,25.3 MB/s
2023-04-27 17:10:24,28.6 MB/s
2023-04-27 17:10:26,28.0 MB/s
2023-04-27 17:10:28,26.3 MB/s
2023-04-27 17:10:30,23.6 MB/s
2023-04-27 17:10:32,24.1 MB/s
2023-04-27 17:10:34,21.7 MB/s
2023-04-27 17:10:36,18.9 MB/s
2023-04-27 17:10:38,23.2 MB/s
2023-04-27 17:10:40,31.7 MB/s
2023-04-27 17:10:42,37.1 MB/s
2023-04-27 17:10:44,50.1 MB/s
2023-04-27 17:10:46,48.0 MB/s
2023-04-27 17:10:48,36.8 MB/s
2023-04-27 17:10:50,35.3 MB/s
2023-04-27 17:10:52,29.2 MB/s
2023-04-27 17:10:54,30.3 MB/s
2023-04-27 17:10:56,34.8 MB/s
2023-04-27 17:10:58,40.6 MB/s
2023-04-27 17:11:00,38.4 MB/s
2023-04-27 17:11:02,37.1 MB/s
2023-04-27 17:11:04,37.7 MB/s
2023-04-27 17:11:06,37.7 MB/s
2023-04-27 17:11:08,37.9 MB/s
2023-04-27 17:11:10,38.0 MB/s
2023-04-27 17:11:12,35.4 MB/s
2023-04-27 17:11:14,29.4 MB/s
2023-04-27 17:11:16,25.0 MB/s
2023-04-27 17:11:18,30.1 MB/s
2023-04-27 17:11:20,35.4 MB/s
2023-04-27 17:11:22,38.5 MB/s
2023-04-27 17:11:24,38.2 MB/s
2023-04-27 17:11:26,37.5 MB/s
2023-04-27 17:11:28,38.8 MB/s
2023-04-27 17:11:30,36.9 MB/s
2023-04-27 17:11:32,30.7 MB/s
2023-04-27 17:11:34,26.6 MB/s
2023-04-27 17:11:36,32.2 MB/s
2023-04-27 17:11:38,38.2 MB/s
2023-04-27 17:11:40,39.1 MB/s
2023-04-27 17:11:42,38.1 MB/s
2023-04-27 17:11:44,37.5 MB/s
2023-04-27 17:11:46,38.0 MB/s
2023-04-27 17:11:48,37.5 MB/s
2023-04-27 17:11:50,36.6 MB/s
2023-04-27 17:11:52,35.2 MB/s
2023-04-27 17:11:54,36.6 MB/s
2023-04-27 17:11:56,36.9 MB/s
2023-04-27 17:11:58,36.0 MB/s
2023-04-27 17:12:00,35.9 MB/s
