"Time","Data Fsyncs","Log Fsyncs"
2023-04-27 17:08:07,0,0
2023-04-27 17:08:08,0,0
2023-04-27 17:08:09,46.8,23.6
2023-04-27 17:08:10,117,66.4
2023-04-27 17:08:11,200,99.6
2023-04-27 17:08:12,290,126
2023-04-27 17:08:13,373,155
2023-04-27 17:08:14,411,154
2023-04-27 17:08:15,434,142
2023-04-27 17:08:16,445,136
2023-04-27 17:08:17,439,134
2023-04-27 17:08:18,458,132
2023-04-27 17:08:19,457,135
2023-04-27 17:08:20,455,132
2023-04-27 17:08:21,447,125
2023-04-27 17:08:22,456,131
2023-04-27 17:08:23,437,127
2023-04-27 17:08:24,449,124
2023-04-27 17:08:25,454,124
2023-04-27 17:08:26,455,130
2023-04-27 17:08:27,450,128
2023-04-27 17:08:28,456,129
2023-04-27 17:08:29,451,129
2023-04-27 17:08:30,449,129
2023-04-27 17:08:31,453,126
2023-04-27 17:08:32,368,99.2
2023-04-27 17:08:33,285,76
2023-04-27 17:08:34,205,55.4
2023-04-27 17:08:35,124,29
2023-04-27 17:08:36,67.8,14
2023-04-27 17:08:37,74.6,16.4
2023-04-27 17:08:38,157,41.4
2023-04-27 17:08:39,241,69
2023-04-27 17:08:40,321,98.2
2023-04-27 17:08:41,372,108
2023-04-27 17:08:42,449,133
2023-04-27 17:08:43,447,129
2023-04-27 17:08:44,448,128
2023-04-27 17:08:45,441,122
2023-04-27 17:08:46,446,122
2023-04-27 17:08:47,442,120
2023-04-27 17:08:48,441,126
2023-04-27 17:08:49,441,122
2023-04-27 17:08:50,454,127
2023-04-27 17:08:51,451,133
2023-04-27 17:08:52,464,136
2023-04-27 17:08:53,474,137
2023-04-27 17:08:54,435,134
2023-04-27 17:08:55,358,122
2023-04-27 17:08:56,287,113
2023-04-27 17:08:57,214,91
2023-04-27 17:08:58,132,65
2023-04-27 17:08:59,130,52.2
2023-04-27 17:09:00,199,64.8
2023-04-27 17:09:01,270,70.6
2023-04-27 17:09:02,329,90.2
2023-04-27 17:09:03,411,114
2023-04-27 17:09:04,431,131
2023-04-27 17:09:05,459,121
2023-04-27 17:09:06,465,129
2023-04-27 17:09:07,476,125
2023-04-27 17:09:08,485,126
2023-04-27 17:09:09,494,127
2023-04-27 17:09:10,474,139
2023-04-27 17:09:11,473,128
2023-04-27 17:09:12,468,134
2023-04-27 17:09:13,446,132
2023-04-27 17:09:14,454,133
2023-04-27 17:09:15,450,131
2023-04-27 17:09:16,439,139
2023-04-27 17:09:17,444,137
2023-04-27 17:09:18,453,141
2023-04-27 17:09:19,445,140
2023-04-27 17:09:20,442,140
2023-04-27 17:09:21,366,117
2023-04-27 17:09:22,276,89.8
2023-04-27 17:09:23,190,61.8
2023-04-27 17:09:24,113,36
2023-04-27 17:09:25,52.2,26.2
2023-04-27 17:09:26,75.4,29
2023-04-27 17:09:27,161,47.2
2023-04-27 17:09:28,244,68.4
2023-04-27 17:09:29,325,95
2023-04-27 17:09:30,380,103
2023-04-27 17:09:31,438,130
2023-04-27 17:09:32,445,145
2023-04-27 17:09:33,445,151
2023-04-27 17:09:34,443,150
2023-04-27 17:09:35,460,152
2023-04-27 17:09:36,462,149
2023-04-27 17:09:37,461,147
2023-04-27 17:09:38,461,144
2023-04-27 17:09:39,464,146
2023-04-27 17:09:40,449,144
2023-04-27 17:09:41,445,143
2023-04-27 17:09:42,442,141
2023-04-27 17:09:43,441,144
2023-04-27 17:09:44,434,139
2023-04-27 17:09:45,449,135
2023-04-27 17:09:46,441,135
2023-04-27 17:09:47,442,133
2023-04-27 17:09:48,456,132
2023-04-27 17:09:49,440,120
2023-04-27 17:09:50,363,117
2023-04-27 17:09:51,285,90.4
2023-04-27 17:09:52,205,63.8
2023-04-27 17:09:53,111,36.4
2023-04-27 17:09:54,79.8,25.4
2023-04-27 17:09:55,120,11.6
2023-04-27 17:09:56,208,38
2023-04-27 17:09:57,290,68.8
2023-04-27 17:09:58,365,94
2023-04-27 17:09:59,418,122
2023-04-27 17:10:00,450,145
2023-04-27 17:10:01,437,136
2023-04-27 17:10:02,433,132
2023-04-27 17:10:03,424,129
2023-04-27 17:10:04,425,132
2023-04-27 17:10:05,405,129
2023-04-27 17:10:06,410,138
2023-04-27 17:10:07,406,136
2023-04-27 17:10:08,417,138
2023-04-27 17:10:09,413,135
2023-04-27 17:10:10,425,134
2023-04-27 17:10:11,425,134
2023-04-27 17:10:12,427,137
2023-04-27 17:10:13,425,142
2023-04-27 17:10:14,424,140
2023-04-27 17:10:15,428,140
2023-04-27 17:10:16,432,143
2023-04-27 17:10:17,425,149
2023-04-27 17:10:18,383,136
2023-04-27 17:10:19,298,109
2023-04-27 17:10:20,213,82.8
2023-04-27 17:10:21,126,54.6
2023-04-27 17:10:22,62,23.6
2023-04-27 17:10:23,58.4,18.2
2023-04-27 17:10:24,121,48
2023-04-27 17:10:25,162,63
2023-04-27 17:10:26,220,84.8
2023-04-27 17:10:27,248,92.8
2023-04-27 17:10:28,264,104
2023-04-27 17:10:29,257,94
2023-04-27 17:10:30,272,98.6
2023-04-27 17:10:31,271,101
2023-04-27 17:10:32,269,108
2023-04-27 17:10:33,256,98.6
2023-04-27 17:10:34,234,92
2023-04-27 17:10:35,221,87.4
2023-04-27 17:10:36,202,80.2
2023-04-27 17:10:37,214,78.2
2023-04-27 17:10:38,252,89.2
2023-04-27 17:10:39,278,113
2023-04-27 17:10:40,305,120
2023-04-27 17:10:41,356,140
2023-04-27 17:10:42,382,157
2023-04-27 17:10:43,370,151
2023-04-27 17:10:44,405,146
2023-04-27 17:10:45,395,161
2023-04-27 17:10:46,385,150
2023-04-27 17:10:47,397,146
2023-04-27 17:10:48,400,163
2023-04-27 17:10:49,378,162
2023-04-27 17:10:50,259,97
2023-04-27 17:10:51,184,71.6
2023-04-27 17:10:52,108,52
2023-04-27 17:10:53,54.2,27.6
2023-04-27 17:10:54,109,46.3
2023-04-27 17:10:55,193,80.6
2023-04-27 17:10:56,275,108
2023-04-27 17:10:57,345,127
2023-04-27 17:10:58,414,141
2023-04-27 17:10:59,409,158
2023-04-27 17:11:00,417,156
2023-04-27 17:11:01,412,146
2023-04-27 17:11:02,414,142
2023-04-27 17:11:03,412,150
2023-04-27 17:11:04,412,139
2023-04-27 17:11:05,400,139
2023-04-27 17:11:06,394,149
2023-04-27 17:11:07,384,154
2023-04-27 17:11:08,385,151
2023-04-27 17:11:09,386,148
2023-04-27 17:11:10,390,144
2023-04-27 17:11:11,353,144
2023-04-27 17:11:12,292,117
2023-04-27 17:11:13,210,89
2023-04-27 17:11:14,144,59.8
2023-04-27 17:11:15,77,39.4
2023-04-27 17:11:16,45.2,11.8
2023-04-27 17:11:17,108,30.4
2023-04-27 17:11:18,177,66.6
2023-04-27 17:11:19,252,91.4
2023-04-27 17:11:20,310,108
2023-04-27 17:11:21,389,134
2023-04-27 17:11:22,387,142
2023-04-27 17:11:23,398,137
2023-04-27 17:11:24,388,143
2023-04-27 17:11:25,391,155
2023-04-27 17:11:26,379,162
2023-04-27 17:11:27,382,161
2023-04-27 17:11:28,386,156
2023-04-27 17:11:29,394,161
2023-04-27 17:11:30,328,131
2023-04-27 17:11:31,257,97.8
2023-04-27 17:11:32,185,69
2023-04-27 17:11:33,109,45.4
2023-04-27 17:11:34,90.4,28.6
2023-04-27 17:11:35,151,55
2023-04-27 17:11:36,235,82.2
2023-04-27 17:11:37,310,106
2023-04-27 17:11:38,384,129
2023-04-27 17:11:39,392,140
2023-04-27 17:11:40,401,133
2023-04-27 17:11:41,395,130
2023-04-27 17:11:42,392,134
2023-04-27 17:11:43,386,137
2023-04-27 17:11:44,384,147
2023-04-27 17:11:45,382,150
2023-04-27 17:11:46,389,149
2023-04-27 17:11:47,396,149
2023-04-27 17:11:48,401,140
2023-04-27 17:11:49,410,131
2023-04-27 17:11:50,401,142
2023-04-27 17:11:51,385,153
2023-04-27 17:11:52,376,152
2023-04-27 17:11:53,383,156
2023-04-27 17:11:54,385,145
2023-04-27 17:11:55,398,137
2023-04-27 17:11:56,389,138
2023-04-27 17:11:57,393,135
2023-04-27 17:11:58,367,149
2023-04-27 17:11:59,373,150
2023-04-27 17:12:00,367,143
2023-04-27 17:12:01,307,106
2023-04-27 17:12:02,228,83.8
2023-04-27 17:12:03,171,47
2023-04-27 17:12:04,100,26.2
2023-04-27 17:12:05,34.6,9.60
2023-04-27 17:12:06,81,24.4
2023-04-27 17:12:07,156,62.6
2023-04-27 17:12:08,226,94.6
2023-04-27 17:12:09,290,118
2023-04-27 17:12:10,362,137
2023-04-27 17:12:11,391,154
2023-04-27 17:12:12,392,143
2023-04-27 17:12:13,389,138
2023-04-27 17:12:14,395,137
2023-04-27 17:12:15,386,151
2023-04-27 17:12:16,386,150
2023-04-27 17:12:17,385,145
2023-04-27 17:12:18,401,143
2023-04-27 17:12:19,381,158
2023-04-27 17:12:20,392,141
2023-04-27 17:12:21,398,141
2023-04-27 17:12:22,387,148
2023-04-27 17:12:23,370,154
2023-04-27 17:12:24,388,139
2023-04-27 17:12:25,377,149
2023-04-27 17:12:26,375,143
2023-04-27 17:12:27,374,146
2023-04-27 17:12:28,371,147
2023-04-27 17:12:29,373,150
2023-04-27 17:12:30,377,145
2023-04-27 17:12:31,343,136
2023-04-27 17:12:32,279,103
2023-04-27 17:12:33,210,70.2
2023-04-27 17:12:34,137,44.4
2023-04-27 17:12:35,83,33.2
2023-04-27 17:12:36,51.6,21
2023-04-27 17:12:37,107,34
2023-04-27 17:12:38,190,57.6
2023-04-27 17:12:39,262,81.2
2023-04-27 17:12:40,306,110
2023-04-27 17:12:41,367,137
2023-04-27 17:12:42,387,142
2023-04-27 17:12:43,377,153
2023-04-27 17:12:44,371,148
2023-04-27 17:12:45,378,130
2023-04-27 17:12:46,366,138
2023-04-27 17:12:47,368,145
2023-04-27 17:12:48,359,149
2023-04-27 17:12:49,353,151
2023-04-27 17:12:50,282,129
2023-04-27 17:12:51,220,90.8
2023-04-27 17:12:52,148,66.2
2023-04-27 17:12:53,92.2,29
2023-04-27 17:12:54,89.2,25
2023-04-27 17:12:55,165,48.2
2023-04-27 17:12:56,236,89.2
2023-04-27 17:12:57,312,114
2023-04-27 17:12:58,379,143
2023-04-27 17:12:59,376,160
2023-04-27 17:13:00,373,159
2023-04-27 17:13:01,375,155
2023-04-27 17:13:02,373,161
2023-04-27 17:13:03,375,160
2023-04-27 17:13:04,391,146
2023-04-27 17:13:05,387,144
2023-04-27 17:13:06,381,141
2023-04-27 17:13:07,381,148
2023-04-27 17:13:08,372,150
2023-04-27 17:13:09,368,150
2023-04-27 17:13:10,370,151

