"Time","Log Writes","Log Written"
2023-04-27 17:08:07,0,0
2023-04-27 17:08:08,0,0
2023-04-27 17:08:09,66.4,114893
2023-04-27 17:08:10,195,298189
2023-04-27 17:08:11,300,447898
2023-04-27 17:08:12,367,538419
2023-04-27 17:08:13,441,658739
2023-04-27 17:08:14,425,606003
2023-04-27 17:08:15,392,544256
2023-04-27 17:08:16,363,490803
2023-04-27 17:08:17,346,460390
2023-04-27 17:08:18,354,438886
2023-04-27 17:08:19,372,457114
2023-04-27 17:08:20,362,446566
2023-04-27 17:08:21,341,418816
2023-04-27 17:08:22,382,461210
2023-04-27 17:08:23,356,428954
2023-04-27 17:08:24,353,434074
2023-04-27 17:08:25,346,418202
2023-04-27 17:08:26,349,430182
2023-04-27 17:08:27,348,428749
2023-04-27 17:08:28,362,443597
2023-04-27 17:08:29,350,417075
2023-04-27 17:08:30,372,414822
2023-04-27 17:08:31,383,406630
2023-04-27 17:08:32,294,306074
2023-04-27 17:08:33,225,225485
2023-04-27 17:08:34,178,171213
2023-04-27 17:08:35,83,82842
2023-04-27 17:08:36,32,30515
2023-04-27 17:08:37,37.6,39834
2023-04-27 17:08:38,132,133939
2023-04-27 17:08:39,210,227430
2023-04-27 17:08:40,294,307917
2023-04-27 17:08:41,337,338227
2023-04-27 17:08:42,414,405197
2023-04-27 17:08:43,381,369152
2023-04-27 17:08:44,387,368026
2023-04-27 17:08:45,366,352973
2023-04-27 17:08:46,343,346112
2023-04-27 17:08:47,333,333619
2023-04-27 17:08:48,355,355840
2023-04-27 17:08:49,347,326656
2023-04-27 17:08:50,369,344781
2023-04-27 17:08:51,395,364749
2023-04-27 17:08:52,414,375501
2023-04-27 17:08:53,433,387277
2023-04-27 17:08:54,424,394035
2023-04-27 17:08:55,373,345600
2023-04-27 17:08:56,342,310170
2023-04-27 17:08:57,265,252621
2023-04-27 17:08:58,166,163840
2023-04-27 17:08:59,113,108646
2023-04-27 17:09:00,148,137318
2023-04-27 17:09:01,187,175514
2023-04-27 17:09:02,232,222618
2023-04-27 17:09:03,319,294400
2023-04-27 17:09:04,365,331366
2023-04-27 17:09:05,339,314778
2023-04-27 17:09:06,359,326349
2023-04-27 17:09:07,356,308941
2023-04-27 17:09:08,346,305050
2023-04-27 17:09:09,347,300339
2023-04-27 17:09:10,406,337101
2023-04-27 17:09:11,375,315187
2023-04-27 17:09:12,417,359936
2023-04-27 17:09:13,400,344371
2023-04-27 17:09:14,428,369357
2023-04-27 17:09:15,419,370381
2023-04-27 17:09:16,421,369869
2023-04-27 17:09:17,405,348160
2023-04-27 17:09:18,448,380211
2023-04-27 17:09:19,431,356352
2023-04-27 17:09:20,424,339866
2023-04-27 17:09:21,366,289382
2023-04-27 17:09:22,283,219136
2023-04-27 17:09:23,179,135270
2023-04-27 17:09:24,105,86118
2023-04-27 17:09:25,68.2,71885
2023-04-27 17:09:26,77,79974
2023-04-27 17:09:27,113,100762
2023-04-27 17:09:28,196,170394
2023-04-27 17:09:29,283,241562
2023-04-27 17:09:30,299,234598
2023-04-27 17:09:31,387,313139
2023-04-27 17:09:32,458,377242
2023-04-27 17:09:33,465,377958
2023-04-27 17:09:34,445,360141
2023-04-27 17:09:35,459,372736
2023-04-27 17:09:36,449,349389
2023-04-27 17:09:37,434,332800
2023-04-27 17:09:38,422,326451
2023-04-27 17:09:39,449,338842
2023-04-27 17:09:40,438,332800
2023-04-27 17:09:41,433,334848
2023-04-27 17:09:42,430,325222
2023-04-27 17:09:43,441,331571
2023-04-27 17:09:44,399,303104
2023-04-27 17:09:45,394,289075
2023-04-27 17:09:46,391,280576
2023-04-27 17:09:47,387,272589
2023-04-27 17:09:48,387,274022
2023-04-27 17:09:49,355,265318
2023-04-27 17:09:50,342,279859
2023-04-27 17:09:51,259,219034
2023-04-27 17:09:52,176,169677
2023-04-27 17:09:53,84.2,94003
2023-04-27 17:09:54,61.6,62054
2023-04-27 17:09:55,20.8,18637
2023-04-27 17:09:56,105,86016
2023-04-27 17:09:57,202,150118
2023-04-27 17:09:58,280,203469
2023-04-27 17:09:59,369,265011
2023-04-27 17:10:00,448,314982
2023-04-27 17:10:01,401,270950
2023-04-27 17:10:02,391,269005
2023-04-27 17:10:03,363,247501
2023-04-27 17:10:04,368,249651
2023-04-27 17:10:05,365,263373
2023-04-27 17:10:06,406,300544
2023-04-27 17:10:07,375,275558
2023-04-27 17:10:08,400,300646
2023-04-27 17:10:09,400,307200
2023-04-27 17:10:10,402,292147
2023-04-27 17:10:11,405,278323
2023-04-27 17:10:12,434,293274
2023-04-27 17:10:13,434,289280
2023-04-27 17:10:14,423,286310
2023-04-27 17:10:15,414,286106
2023-04-27 17:10:16,424,305766
2023-04-27 17:10:17,433,317747
2023-04-27 17:10:18,423,323379
2023-04-27 17:10:19,340,256819
2023-04-27 17:10:20,256,194662
2023-04-27 17:10:21,165,128102
2023-04-27 17:10:22,76.4,67379
2023-04-27 17:10:23,39.4,29286
2023-04-27 17:10:24,114,80384
2023-04-27 17:10:25,145,99533
2023-04-27 17:10:26,211,149606
2023-04-27 17:10:27,224,157389
2023-04-27 17:10:28,243,163328
2023-04-27 17:10:29,224,146022
2023-04-27 17:10:30,237,154522
2023-04-27 17:10:31,240,156365
2023-04-27 17:10:32,270,177766
2023-04-27 17:10:33,263,178074
2023-04-27 17:10:34,246,165581
2023-04-27 17:10:35,243,165888
2023-04-27 17:10:36,220,154010
2023-04-27 17:10:37,219,155648
2023-04-27 17:10:38,243,173978
2023-04-27 17:10:39,327,238387
2023-04-27 17:10:40,338,256922
2023-04-27 17:10:41,396,294400
2023-04-27 17:10:42,439,330854
2023-04-27 17:10:43,418,313446
2023-04-27 17:10:44,401,297984
2023-04-27 17:10:45,453,320000
2023-04-27 17:10:46,411,289587
2023-04-27 17:10:47,409,274227
2023-04-27 17:10:48,466,312422
2023-04-27 17:10:49,451,301440
2023-04-27 17:10:50,267,195277
2023-04-27 17:10:51,206,149402
2023-04-27 17:10:52,145,113971
2023-04-27 17:10:53,66.2,63590
2023-04-27 17:10:54,115,91733
2023-04-27 17:10:55,221,171930
2023-04-27 17:10:56,297,233779
2023-04-27 17:10:57,358,280474
2023-04-27 17:10:58,395,305664
2023-04-27 17:10:59,471,358605
2023-04-27 17:11:00,447,311091
2023-04-27 17:11:01,410,277197
2023-04-27 17:11:02,388,258765
2023-04-27 17:11:03,442,305459
2023-04-27 17:11:04,395,282112
2023-04-27 17:11:05,407,305459
2023-04-27 17:11:06,446,334131
2023-04-27 17:11:07,471,346522
2023-04-27 17:11:08,453,319488
2023-04-27 17:11:09,435,305664
2023-04-27 17:11:10,412,288563
2023-04-27 17:11:11,425,299213
2023-04-27 17:11:12,339,243507
2023-04-27 17:11:13,244,183706
2023-04-27 17:11:14,163,124826
2023-04-27 17:11:15,113,87142
2023-04-27 17:11:16,21.6,22630
2023-04-27 17:11:17,74.8,57651
2023-04-27 17:11:18,173,121242
2023-04-27 17:11:19,241,169984
2023-04-27 17:11:20,284,209306
2023-04-27 17:11:21,365,276992
2023-04-27 17:11:22,396,299827
2023-04-27 17:11:23,391,306483
2023-04-27 17:11:24,417,316211
2023-04-27 17:11:25,467,341606
2023-04-27 17:11:26,486,351846
2023-04-27 17:11:27,478,351334
2023-04-27 17:11:28,463,349184
2023-04-27 17:11:29,476,366080
2023-04-27 17:11:30,383,304026
2023-04-27 17:11:31,282,222106
2023-04-27 17:11:32,203,185446
2023-04-27 17:11:33,128,118886
2023-04-27 17:11:34,77,86528
2023-04-27 17:11:35,157,149709
2023-04-27 17:11:36,229,203059
2023-04-27 17:11:37,282,223027
2023-04-27 17:11:38,354,278835
2023-04-27 17:11:39,381,285491
2023-04-27 17:11:40,357,272589
2023-04-27 17:11:41,356,274227
2023-04-27 17:11:42,378,284058
2023-04-27 17:11:43,379,278630
2023-04-27 17:11:44,426,321229
2023-04-27 17:11:45,429,322458
2023-04-27 17:11:46,410,305254
2023-04-27 17:11:47,393,288256
2023-04-27 17:11:48,367,263270
2023-04-27 17:11:49,326,225075
2023-04-27 17:11:50,363,236851
2023-04-27 17:11:51,413,281600
2023-04-27 17:11:52,422,295526
2023-04-27 17:11:53,429,312320
2023-04-27 17:11:54,393,294912
2023-04-27 17:11:55,380,291840
2023-04-27 17:11:56,395,300442
2023-04-27 17:11:57,388,291430
2023-04-27 17:11:58,445,331674
2023-04-27 17:11:59,442,323686
2023-04-27 17:12:00,406,292147
2023-04-27 17:12:01,287,200602
2023-04-27 17:12:02,226,160461
2023-04-27 17:12:03,114,78541
2023-04-27 17:12:04,64.4,51917
2023-04-27 17:12:05,16.4,22938
2023-04-27 17:12:06,51.2,48333
2023-04-27 17:12:07,170,133837
2023-04-27 17:12:08,264,204186
2023-04-27 17:12:09,338,264806
2023-04-27 17:12:10,394,302797
2023-04-27 17:12:11,458,359834
2023-04-27 17:12:12,417,332698
2023-04-27 17:12:13,404,322867
2023-04-27 17:12:14,389,301261
2023-04-27 17:12:15,432,332698
2023-04-27 17:12:16,417,310477
2023-04-27 17:12:17,409,304026
2023-04-27 17:12:18,395,299315
2023-04-27 17:12:19,446,336794
2023-04-27 17:12:20,391,302387
2023-04-27 17:12:21,391,308224
2023-04-27 17:12:22,412,325018
2023-04-27 17:12:23,438,330650
2023-04-27 17:12:24,377,283136
2023-04-27 17:12:25,417,297574
2023-04-27 17:12:26,403,287539
2023-04-27 17:12:27,412,294502
2023-04-27 17:12:28,429,312832
2023-04-27 17:12:29,448,325222
2023-04-27 17:12:30,427,316826
2023-04-27 17:12:31,396,293683
2023-04-27 17:12:32,294,214630
2023-04-27 17:12:33,182,131584
2023-04-27 17:12:34,114,90829
2023-04-27 17:12:35,87.2,73421
2023-04-27 17:12:36,54.2,44134
2023-04-27 17:12:37,88.4,77005
2023-04-27 17:12:38,147,128307
2023-04-27 17:12:39,207,172749
2023-04-27 17:12:40,310,261325
2023-04-27 17:12:41,385,314163
2023-04-27 17:12:42,393,314266
2023-04-27 17:12:43,440,333926
2023-04-27 17:12:44,424,315494
2023-04-27 17:12:45,345,240333
2023-04-27 17:12:46,392,274534
2023-04-27 17:12:47,422,288563
2023-04-27 17:12:48,442,317850
2023-04-27 17:12:49,442,319078
2023-04-27 17:12:50,378,274944
2023-04-27 17:12:51,251,184422
2023-04-27 17:12:52,179,138854
2023-04-27 17:12:53,60.2,47206
2023-04-27 17:12:54,59.4,51712
2023-04-27 17:12:55,123,105267
2023-04-27 17:12:56,241,184832
2023-04-27 17:12:57,304,223539
2023-04-27 17:12:58,382,269926
2023-04-27 17:12:59,451,319181
2023-04-27 17:13:00,445,303923
2023-04-27 17:13:01,438,300749
2023-04-27 17:13:02,459,317542
2023-04-27 17:13:03,456,319488
2023-04-27 17:13:04,393,266650
2023-04-27 17:13:05,398,282214
2023-04-27 17:13:06,398,289690
2023-04-27 17:13:07,440,334746
2023-04-27 17:13:08,459,352358
2023-04-27 17:13:09,453,360960
2023-04-27 17:13:10,445,374784

