"Time","Time to Use Redo Log Space "
2023-04-27 17:08:07,∞
2023-04-27 17:08:08,∞
2023-04-27 17:08:09,876
2023-04-27 17:08:10,338
2023-04-27 17:08:11,225
2023-04-27 17:08:12,187
2023-04-27 17:08:13,153
2023-04-27 17:08:14,166
2023-04-27 17:08:15,185
2023-04-27 17:08:16,205
2023-04-27 17:08:17,219
2023-04-27 17:08:18,229
2023-04-27 17:08:19,220
2023-04-27 17:08:20,225
2023-04-27 17:08:21,240
2023-04-27 17:08:22,218
2023-04-27 17:08:23,235
2023-04-27 17:08:24,232
2023-04-27 17:08:25,241
2023-04-27 17:08:26,234
2023-04-27 17:08:27,235
2023-04-27 17:08:28,227
2023-04-27 17:08:29,241
2023-04-27 17:08:30,243
2023-04-27 17:08:31,248
2023-04-27 17:08:32,329
2023-04-27 17:08:33,446
2023-04-27 17:08:34,588
2023-04-27 17:08:35,1215
2023-04-27 17:08:36,3299
2023-04-27 17:08:37,2527
2023-04-27 17:08:38,752
2023-04-27 17:08:39,443
2023-04-27 17:08:40,327
2023-04-27 17:08:41,298
2023-04-27 17:08:42,248
2023-04-27 17:08:43,273
2023-04-27 17:08:44,274
2023-04-27 17:08:45,285
2023-04-27 17:08:46,291
2023-04-27 17:08:47,302
2023-04-27 17:08:48,283
2023-04-27 17:08:49,308
2023-04-27 17:08:50,292
2023-04-27 17:08:51,276
2023-04-27 17:08:52,268
2023-04-27 17:08:53,260
2023-04-27 17:08:54,255
2023-04-27 17:08:55,291
2023-04-27 17:08:56,325
2023-04-27 17:08:57,398
2023-04-27 17:08:58,614
2023-04-27 17:08:59,927
2023-04-27 17:09:00,733
2023-04-27 17:09:01,574
2023-04-27 17:09:02,452
2023-04-27 17:09:03,342
2023-04-27 17:09:04,304
2023-04-27 17:09:05,320
2023-04-27 17:09:06,308
2023-04-27 17:09:07,326
2023-04-27 17:09:08,330
2023-04-27 17:09:09,335
2023-04-27 17:09:10,299
2023-04-27 17:09:11,319
2023-04-27 17:09:12,280
2023-04-27 17:09:13,292
2023-04-27 17:09:14,273
2023-04-27 17:09:15,272
2023-04-27 17:09:16,272
2023-04-27 17:09:17,289
2023-04-27 17:09:18,265
2023-04-27 17:09:19,282
2023-04-27 17:09:20,296
2023-04-27 17:09:21,348
2023-04-27 17:09:22,459
2023-04-27 17:09:23,744
2023-04-27 17:09:24,1169
2023-04-27 17:09:25,1400
2023-04-27 17:09:26,1259
2023-04-27 17:09:27,999
2023-04-27 17:09:28,591
2023-04-27 17:09:29,417
2023-04-27 17:09:30,429
2023-04-27 17:09:31,321
2023-04-27 17:09:32,267
2023-04-27 17:09:33,266
2023-04-27 17:09:34,280
2023-04-27 17:09:35,270
2023-04-27 17:09:36,288
2023-04-27 17:09:37,302
2023-04-27 17:09:38,308
2023-04-27 17:09:39,297
2023-04-27 17:09:40,302
2023-04-27 17:09:41,301
