"Time","iowait","irq","nice","softirq","steal","system","user","Max Core Utilization"
2023-04-27 17:08:07,0,0,0,0.1000,0.100,1.000,2.90,4.40
2023-04-27 17:08:08,0,0,0,0.200,0,0.900,3.10,4.20
2023-04-27 17:08:09,2.70,0,0,0.300,0,3.00,4.50,9.20
2023-04-27 17:08:10,7.70,0,0,0.500,0,7.30,8.80,18.0
2023-04-27 17:08:11,13.4,0,0,0.700,0.1000,11.2,12.1,27.4
2023-04-27 17:08:12,19.0,0,0,1.10,0.1000,14.9,15.2,35.2
2023-04-27 17:08:13,24.6,0,0,1.20,0.200,18.8,18.0,43.8
2023-04-27 17:08:14,27.7,0,0,1.50,0.200,20.3,19.8,46.8
2023-04-27 17:08:15,28.3,0,0,1.80,0.300,20.4,18.7,47.4
2023-04-27 17:08:16,28.5,0,0,1.80,0.200,20.2,18.4,46.2
2023-04-27 17:08:17,28.9,0,0,1.60,0.200,19.7,17.5,44.6
2023-04-27 17:08:18,29.1,0,0,1.70,0.200,19.6,17.1,43.2
2023-04-27 17:08:19,27.8,0,0,1.70,0.200,20.2,20.6,46.2
2023-04-27 17:08:20,27.5,0,0,1.40,0.200,20,21.3,45.6
2023-04-27 17:08:21,27.4,0,0,1.50,0.200,19.3,21.1,44.0
2023-04-27 17:08:22,26.3,0,0,1.40,0.300,21.4,22.2,46.8
2023-04-27 17:08:23,26.1,0,0,1.50,0.200,21.2,23.1,47.4
2023-04-27 17:08:24,27.5,0,0,1.60,0.200,21.3,19.3,45.2
2023-04-27 17:08:25,28.3,0,0,1.70,0.200,21.2,18.5,44.4
2023-04-27 17:08:26,28.6,0,0,1.50,0.200,22.0,18.4,44.6
2023-04-27 17:08:27,29.3,0,0,1.70,0.200,21.3,18.0,45.2
2023-04-27 17:08:28,29.4,0,0,1.50,0.200,21.4,17.7,44.8
2023-04-27 17:08:29,29.6,0,0,1.30,0.300,21.4,17.7,44.0
