"Database Query/s (QPS)","Database Query/s (QPS)"
2023-04-27 18:06:14,18.93
2023-04-27 18:06:16,19.07
2023-04-27 18:06:18,23.38
2023-04-27 18:06:20,27.33
2023-04-27 18:06:22,31.32
2023-04-27 18:06:24,34.92
2023-04-27 18:06:26,38.83
2023-04-27 18:06:28,42.58
2023-04-27 18:06:30,46.49
2023-04-27 18:06:32,50.61
2023-04-27 18:06:34,54.56
2023-04-27 18:06:36,58.33
2023-04-27 18:06:38,60.70
2023-04-27 18:06:40,62.98
2023-04-27 18:06:42,66.59
2023-04-27 18:06:44,70.08
2023-04-27 18:06:46,73.88
2023-04-27 18:06:48,77.64
2023-04-27 18:06:50,81.38
2023-04-27 18:06:52,85.08
2023-04-27 18:06:54,88.89
2023-04-27 18:06:56,93.13
2023-04-27 18:06:58,96.99
2023-04-27 18:07:00,100.21
2023-04-27 18:07:02,103.21
2023-04-27 18:07:04,105.07
2023-04-27 18:07:06,108.09
2023-04-27 18:07:08,111.49
2023-04-27 18:07:10,115.47
2023-04-27 18:07:12,119.56
2023-04-27 18:07:14,123.21
2023-04-27 18:07:16,126.91
2023-04-27 18:07:18,130.80
2023-04-27 18:07:20,134.48
2023-04-27 18:07:22,138.51
2023-04-27 18:07:24,142.86
2023-04-27 18:07:26,146.74
2023-04-27 18:07:28,148.37
2023-04-27 18:07:30,151.30
2023-04-27 18:07:32,154.51
2023-04-27 18:07:34,157.96
2023-04-27 18:07:36,161.46
2023-04-27 18:07:38,165.29
2023-04-27 18:07:40,169.22
2023-04-27 18:07:42,172.69
2023-04-27 18:07:44,175.86
2023-04-27 18:07:46,178.81
2023-04-27 18:07:48,182.05
2023-04-27 18:07:50,184.87
2023-04-27 18:07:52,187.93
2023-04-27 18:07:54,191.08
2023-04-27 18:07:56,193.54
2023-04-27 18:07:58,196.08
2023-04-27 18:08:00,198.76
2023-04-27 18:08:02,201.44
2023-04-27 18:08:04,204.20
2023-04-27 18:08:06,207.13
2023-04-27 18:08:08,210.39
2023-04-27 18:08:10,213.48
2023-04-27 18:08:12,217.03
2023-04-27 18:08:14,220.38
2023-04-27 18:08:16,224.16
2023-04-27 18:08:18,227.65
2023-04-27 18:08:20,231.18
2023-04-27 18:08:22,234.67
2023-04-27 18:08:24,237.23
2023-04-27 18:08:26,240.48
2023-04-27 18:08:28,242.84
2023-04-27 18:08:30,245.61
2023-04-27 18:08:32,249.02
2023-04-27 18:08:34,252.59
2023-04-27 18:08:36,256.18
2023-04-27 18:08:38,259.83
2023-04-27 18:08:40,264.05
2023-04-27 18:08:42,268.07
2023-04-27 18:08:44,271.68
2023-04-27 18:08:46,275.41
2023-04-27 18:08:48,279.25
2023-04-27 18:08:50,282.81
2023-04-27 18:08:52,286.79
2023-04-27 18:08:54,290.86
2023-04-27 18:08:56,294.99
2023-04-27 18:08:58,297.04
2023-04-27 18:09:00,299.51
2023-04-27 18:09:02,302.74
2023-04-27 18:09:04,306.12
2023-04-27 18:09:06,309.83
2023-04-27 18:09:08,314.02
2023-04-27 18:09:10,318.24
2023-04-27 18:09:12,321.90
2023-04-27 18:09:14,325.52
2023-04-27 18:09:16,329.27
2023-04-27 18:09:18,332.96
2023-04-27 18:09:20,336.44
2023-04-27 18:09:22,340.06
2023-04-27 18:09:24,344.19
2023-04-27 18:09:26,346.95
2023-04-27 18:09:28,349.46
2023-04-27 18:09:30,352.21
2023-04-27 18:09:32,356.07
2023-04-27 18:09:34,359.73
2023-04-27 18:09:36,363.54
2023-04-27 18:09:38,367.43
2023-04-27 18:09:40,371.22
2023-04-27 18:09:42,375.47
2023-04-27 18:09:44,379.12
2023-04-27 18:09:46,382.78
2023-04-27 18:09:48,386.81
2023-04-27 18:09:50,390.49
2023-04-27 18:09:52,394.42
2023-04-27 18:09:54,398.49
2023-04-27 18:09:56,401.65
2023-04-27 18:09:58,403.45
2023-04-27 18:10:00,406.70
2023-04-27 18:10:02,409.44
2023-04-27 18:10:04,413.10
2023-04-27 18:10:06,416.63
2023-04-27 18:10:08,420.79
2023-04-27 18:10:10,424.89
2023-04-27 18:10:12,428.54
2023-04-27 18:10:14,432.16
2023-04-27 18:10:16,436.00
2023-04-27 18:10:18,439.61
2023-04-27 18:10:20,443.35
2023-04-27 18:10:22,447.50
2023-04-27 18:10:24,451.53
2023-04-27 18:10:26,453.57
2023-04-27 18:10:28,456.02
2023-04-27 18:10:30,459.07
2023-04-27 18:10:32,462.26
2023-04-27 18:10:34,465.93
2023-04-27 18:10:36,469.90
2023-04-27 18:10:38,473.19
2023-04-27 18:10:40,477.09
2023-04-27 18:10:42,480.62
2023-04-27 18:10:44,483.89
2023-04-27 18:10:46,487.36
2023-04-27 18:10:48,490.82
2023-04-27 18:10:50,494.55
2023-04-27 18:10:52,498.65
2023-04-27 18:10:54,500.88
2023-04-27 18:10:56,502.93
2023-04-27 18:10:58,506.26
2023-04-27 18:11:00,509.16
2023-04-27 18:11:02,512.72
2023-04-27 18:11:04,516.44
2023-04-27 18:11:06,519.84
2023-04-27 18:11:08,523.76
2023-04-27 18:11:10,527.74
2023-04-27 18:11:12,531.49
2023-04-27 18:11:14,535.10
2023-04-27 18:11:16,538.72

