"Time","Write","Read"
2023-04-27 18:06:15,0,0
2023-04-27 18:06:16,0,0
2023-04-27 18:06:17,2441216,28672
2023-04-27 18:06:18,6215270,28672
2023-04-27 18:06:19,10285056,28672
2023-04-27 18:06:20,14569472,28672
2023-04-27 18:06:21,19300352,28672
2023-04-27 18:06:22,21778432,0
2023-04-27 18:06:23,22897459,0
2023-04-27 18:06:24,24170496,44237
2023-04-27 18:06:25,24817664,44237
2023-04-27 18:06:26,25171558,44237
2023-04-27 18:06:27,25459917,44237
2023-04-27 18:06:28,25201050,44237
2023-04-27 18:06:29,24526848,0
2023-04-27 18:06:30,23901798,0
2023-04-27 18:06:31,21668659,0
2023-04-27 18:06:32,21840691,0
2023-04-27 18:06:33,21681766,0
2023-04-27 18:06:34,21861990,0
2023-04-27 18:06:35,22555034,0
2023-04-27 18:06:36,25491866,0
2023-04-27 18:06:37,24952832,0
2023-04-27 18:06:38,27469414,0
2023-04-27 18:06:39,29981082,0
2023-04-27 18:06:40,31933235,0
2023-04-27 18:06:41,29985997,0
2023-04-27 18:06:42,29298688,0
2023-04-27 18:06:43,26408550,0
2023-04-27 18:06:44,24852070,0
2023-04-27 18:06:45,22825370,0
2023-04-27 18:06:46,23851008,0
2023-04-27 18:06:47,24515379,0
2023-04-27 18:06:48,26073498,0
2023-04-27 18:06:49,25143706,0
2023-04-27 18:06:50,25423872,0
2023-04-27 18:06:51,25483674,0
2023-04-27 18:06:52,26240614,0
2023-04-27 18:06:53,25595904,0
2023-04-27 18:06:54,26779648,0
2023-04-27 18:06:55,24192614,0
2023-04-27 18:06:56,22887629,0
2023-04-27 18:06:57,22580429,0
2023-04-27 18:06:58,22470656,0
2023-04-27 18:06:59,20502938,0
2023-04-27 18:07:00,22448538,0
2023-04-27 18:07:01,24166400,0
2023-04-27 18:07:02,24529306,0
2023-04-27 18:07:03,26805043,0
2023-04-27 18:07:04,30579917,0
2023-04-27 18:07:05,32393626,0
2023-04-27 18:07:06,32865485,0
2023-04-27 18:07:07,33267712,0
2023-04-27 18:07:08,31771034,0
2023-04-27 18:07:09,28773581,0
2023-04-27 18:07:10,26700186,0
2023-04-27 18:07:11,23339827,0
2023-04-27 18:07:12,21301658,0
2023-04-27 18:07:13,20824883,0
2023-04-27 18:07:14,20630733,0
2023-04-27 18:07:15,21371290,0
2023-04-27 18:07:16,24233574,0
2023-04-27 18:07:17,24853709,0
2023-04-27 18:07:18,24585830,0
2023-04-27 18:07:19,25454182,0
2023-04-27 18:07:20,25204326,0
2023-04-27 18:07:21,25282970,0
2023-04-27 18:07:22,27031962,0
2023-04-27 18:07:23,24824218,0
2023-04-27 18:07:24,22512435,0
2023-04-27 18:07:25,23165338,0
2023-04-27 18:07:26,22182298,0
2023-04-27 18:07:27,21963571,0
2023-04-27 18:07:28,26761626,0
2023-04-27 18:07:29,30538138,0
2023-04-27 18:07:30,31704678,0
2023-04-27 18:07:31,33745306,0
2023-04-27 18:07:32,32722944,0
2023-04-27 18:07:33,31385190,0
2023-04-27 18:07:34,29050470,0
2023-04-27 18:07:35,27036877,0
2023-04-27 18:07:36,26068582,0
2023-04-27 18:07:37,25566413,0
2023-04-27 18:07:38,23459430,0
2023-04-27 18:07:39,21261517,0
2023-04-27 18:07:40,20359578,0
2023-04-27 18:07:41,19744358,0
2023-04-27 18:07:42,19166822,0
2023-04-27 18:07:43,19356058,0
2023-04-27 18:07:44,20634010,0
2023-04-27 18:07:45,21590835,0
2023-04-27 18:07:46,20619264,0
2023-04-27 18:07:47,20685619,0
2023-04-27 18:07:48,19813990,0
2023-04-27 18:07:49,20105626,0
2023-04-27 18:07:50,19477299,0
2023-04-27 18:07:51,20085146,0
2023-04-27 18:07:52,19784499,0
2023-04-27 18:07:53,19968000,0
2023-04-27 18:07:54,19955712,0
2023-04-27 18:07:55,18063360,0
2023-04-27 18:07:56,19134054,0
2023-04-27 18:07:57,20739686,0
2023-04-27 18:07:58,23157146,0
2023-04-27 18:07:59,23325082,0
2023-04-27 18:08:00,26306970,0
2023-04-27 18:08:01,24566170,0
2023-04-27 18:08:02,25312461,0
2023-04-27 18:08:03,23067034,0
2023-04-27 18:08:04,23684710,0
2023-04-27 18:08:05,22047130,0
2023-04-27 18:08:06,22380544,0
2023-04-27 18:08:07,20542259,0
2023-04-27 18:08:08,21404877,0
2023-04-27 18:08:09,20568474,0
2023-04-27 18:08:10,22577971,0
2023-04-27 18:08:11,20313702,0
2023-04-27 18:08:12,18241946,0
2023-04-27 18:08:13,16919757,0
2023-04-27 18:08:14,17914266,0
2023-04-27 18:08:15,16996762,0
2023-04-27 18:08:16,19924582,0
2023-04-27 18:08:17,23067853,0
2023-04-27 18:08:18,24508826,0
2023-04-27 18:08:19,24283546,0
2023-04-27 18:08:20,25028198,0
2023-04-27 18:08:21,24923341,0
2023-04-27 18:08:22,24438374,0
2023-04-27 18:08:23,24526848,0
2023-04-27 18:08:24,25075712,0
2023-04-27 18:08:25,25504973,0
2023-04-27 18:08:26,24771789,0
2023-04-27 18:08:27,25391923,0
2023-04-27 18:08:28,26474906,0
2023-04-27 18:08:29,27860173,0
2023-04-27 18:08:30,28585984,0
2023-04-27 18:08:31,31193498,0
2023-04-27 18:08:32,30635622,0
2023-04-27 18:08:33,30387405,0
2023-04-27 18:08:34,28498330,0
2023-04-27 18:08:35,27519386,0
2023-04-27 18:08:36,26877952,0
2023-04-27 18:08:37,26729677,0
2023-04-27 18:08:38,26465894,0
2023-04-27 18:08:39,25108480,0
2023-04-27 18:08:40,22595174,0
2023-04-27 18:08:41,22278144,0
2023-04-27 18:08:42,21843149,0
2023-04-27 18:08:43,21185331,0
2023-04-27 18:08:44,23402906,0
2023-04-27 18:08:45,25325568,0
2023-04-27 18:08:46,24741478,0
2023-04-27 18:08:47,25622118,0
2023-04-27 18:08:48,26027622,0
2023-04-27 18:08:49,24974950,0
2023-04-27 18:08:50,25532006,0
2023-04-27 18:08:51,25237094,0
2023-04-27 18:08:52,25327206,0
2023-04-27 18:08:53,23141581,0
2023-04-27 18:08:54,22334669,0
2023-04-27 18:08:55,21482701,0
2023-04-27 18:08:56,22834381,0
2023-04-27 18:08:57,23448781,0
2023-04-27 18:08:58,27827405,0
2023-04-27 18:08:59,30999347,0
2023-04-27 18:09:00,31729254,0
2023-04-27 18:09:01,30800282,0
2023-04-27 18:09:02,30661837,0
2023-04-27 18:09:03,28866150,119603
2023-04-27 18:09:04,26680525,154829
2023-04-27 18:09:05,26184090,154829
2023-04-27 18:09:06,26333184,154829
2023-04-27 18:09:07,25564774,154829
2023-04-27 18:09:08,24411341,35226
2023-04-27 18:09:09,22330573,0
2023-04-27 18:09:10,22917939,0
2023-04-27 18:09:11,21654733,0
2023-04-27 18:09:12,21253325,0
2023-04-27 18:09:13,21535949,0
2023-04-27 18:09:14,24321229,0
2023-04-27 18:09:15,23561830,0
2023-04-27 18:09:16,24167219,0
2023-04-27 18:09:17,24835686,0
2023-04-27 18:09:18,24938086,0
2023-04-27 18:09:19,23262003,0
2023-04-27 18:09:20,23796941,0
2023-04-27 18:09:21,23753523,0
2023-04-27 18:09:22,23733862,0
2023-04-27 18:09:23,24597299,0
2023-04-27 18:09:24,24240128,0
2023-04-27 18:09:25,22146253,0
2023-04-27 18:09:26,25074074,0
2023-04-27 18:09:27,25536922,0
2023-04-27 18:09:28,25132237,0
2023-04-27 18:09:29,27526758,0
2023-04-27 18:09:30,30310400,0
2023-04-27 18:09:31,27665203,0
2023-04-27 18:09:32,26903347,0
2023-04-27 18:09:33,27906867,0
2023-04-27 18:09:34,27293286,0
2023-04-27 18:09:35,26385613,0
2023-04-27 18:09:36,27055718,0
2023-04-27 18:09:37,26964787,819
2023-04-27 18:09:38,26283213,819
2023-04-27 18:09:39,25747456,819
2023-04-27 18:09:40,25127322,819
2023-04-27 18:09:41,21943091,819
2023-04-27 18:09:42,20860109,0
2023-04-27 18:09:43,20270285,0
2023-04-27 18:09:44,19892634,0
2023-04-27 18:09:45,20321894,0
2023-04-27 18:09:46,23554458,0
2023-04-27 18:09:47,24672666,0
2023-04-27 18:09:48,24605491,0
2023-04-27 18:09:49,25391104,0
2023-04-27 18:09:50,25006080,0
2023-04-27 18:09:51,24260608,0
2023-04-27 18:09:52,24181146,0
2023-04-27 18:09:53,21900493,0
2023-04-27 18:09:54,20739686,0
2023-04-27 18:09:55,21704704,0
2023-04-27 18:09:56,21667840,0
2023-04-27 18:09:57,24454758,0
2023-04-27 18:09:58,29395354,0
2023-04-27 18:09:59,31876710,0
2023-04-27 18:10:00,32360858,0
2023-04-27 18:10:01,33784627,0
2023-04-27 18:10:02,32556646,0
2023-04-27 18:10:03,29686170,0
2023-04-27 18:10:04,28033024,0
2023-04-27 18:10:05,27629978,0
2023-04-27 18:10:06,25972736,0
2023-04-27 18:10:07,24556339,9830
2023-04-27 18:10:08,22374810,9830
2023-04-27 18:10:09,21538406,9830
2023-04-27 18:10:10,21532672,9830
2023-04-27 18:10:11,21302477,9830
2023-04-27 18:10:12,21110784,0
2023-04-27 18:10:13,24151654,0
2023-04-27 18:10:14,25225626,0
2023-04-27 18:10:15,24616141,0
2023-04-27 18:10:16,25866240,0
2023-04-27 18:10:17,25652429,0
2023-04-27 18:10:18,24077926,0
2023-04-27 18:10:19,24227840,0
2023-04-27 18:10:20,24363008,0
2023-04-27 18:10:21,24577638,0
2023-04-27 18:10:22,22460826,0
2023-04-27 18:10:23,21300019,0
2023-04-27 18:10:24,21649818,819
2023-04-27 18:10:25,22475571,819
2023-04-27 18:10:26,22931866,819
2023-04-27 18:10:27,26642022,819
2023-04-27 18:10:28,29401907,819
2023-04-27 18:10:29,29310976,83558
2023-04-27 18:10:30,28373811,83558
2023-04-27 18:10:31,28599910,83558
2023-04-27 18:10:32,26993459,83558
2023-04-27 18:10:33,26234880,83558
2023-04-27 18:10:34,26132480,0
2023-04-27 18:10:35,26268467,0
2023-04-27 18:10:36,25287885,0
2023-04-27 18:10:37,25141248,0
2023-04-27 18:10:38,24887296,0
2023-04-27 18:10:39,21822669,0
2023-04-27 18:10:40,19987661,0
2023-04-27 18:10:41,19383910,0
2023-04-27 18:10:42,18735923,0
2023-04-27 18:10:43,18345984,0
2023-04-27 18:10:44,20203110,0
2023-04-27 18:10:45,22175744,0
2023-04-27 18:10:46,21684224,0
2023-04-27 18:10:47,22479667,0
2023-04-27 18:10:48,22721331,0
2023-04-27 18:10:49,23776461,0
2023-04-27 18:10:50,23417651,0
2023-04-27 18:10:51,24039424,0
2023-04-27 18:10:52,21918515,5734
2023-04-27 18:10:53,21277901,5734
2023-04-27 18:10:54,22935142,5734
2023-04-27 18:10:55,25206784,5734
2023-04-27 18:10:56,26719846,5734
2023-04-27 18:10:57,29519872,0
2023-04-27 18:10:58,29525606,0
2023-04-27 18:10:59,26868122,0
2023-04-27 18:11:00,24716083,0
2023-04-27 18:11:01,22164275,0
2023-04-27 18:11:02,21851341,0
2023-04-27 18:11:03,22581248,0
2023-04-27 18:11:04,23125197,0
2023-04-27 18:11:05,23397171,0
2023-04-27 18:11:06,23667507,0
2023-04-27 18:11:07,24228659,0
2023-04-27 18:11:08,22056141,0
2023-04-27 18:11:09,20136755,0
2023-04-27 18:11:10,20126925,0
2023-04-27 18:11:11,20003226,0
2023-04-27 18:11:12,19102925,0
2023-04-27 18:11:13,21426995,0
2023-04-27 18:11:14,23997645,0
2023-04-27 18:11:15,23816602,0
2023-04-27 18:11:16,24189338,0

