"Time","Read","Write"
2023-04-27 18:06:15,0,0
2023-04-27 18:06:16,0,0
2023-04-27 18:06:17,3.40,240
2023-04-27 18:06:18,3.40,478
2023-04-27 18:06:19,3.40,700
2023-04-27 18:06:20,3.40,933
2023-04-27 18:06:21,3.40,1375
2023-04-27 18:06:22,0,1362
2023-04-27 18:06:23,0,1342
2023-04-27 18:06:24,1,1525
2023-04-27 18:06:25,1,1512
2023-04-27 18:06:26,1,1297
2023-04-27 18:06:27,1,1449
2023-04-27 18:06:28,1,1440
2023-04-27 18:06:29,0,1245
2023-04-27 18:06:30,0,1289
2023-04-27 18:06:31,0,1319
2023-04-27 18:06:32,0,1469
2023-04-27 18:06:33,0,1495
2023-04-27 18:06:34,0,1501
2023-04-27 18:06:35,0,1461
2023-04-27 18:06:36,0,1624
2023-04-27 18:06:37,0,1320
2023-04-27 18:06:38,0,1419
2023-04-27 18:06:39,0,1571
2023-04-27 18:06:40,0,1670
2023-04-27 18:06:41,0,1555
2023-04-27 18:06:42,0,1588
2023-04-27 18:06:43,0,1477
2023-04-27 18:06:44,0,1535
2023-04-27 18:06:45,0,1431
2023-04-27 18:06:46,0,1345
2023-04-27 18:06:47,0,1305
2023-04-27 18:06:48,0,1502
2023-04-27 18:06:49,0,1295
2023-04-27 18:06:50,0,1407
2023-04-27 18:06:51,0,1408
2023-04-27 18:06:52,0,1576
2023-04-27 18:06:53,0,1382
2023-04-27 18:06:54,0,1408
2023-04-27 18:06:55,0,1335
2023-04-27 18:06:56,0,1364
2023-04-27 18:06:57,0,1495
2023-04-27 18:06:58,0,1498
2023-04-27 18:06:59,0,1435
2023-04-27 18:07:00,0,1381
2023-04-27 18:07:01,0,1537
2023-04-27 18:07:02,0,1302
2023-04-27 18:07:03,0,1380
2023-04-27 18:07:04,0,1542
2023-04-27 18:07:05,0,1646
2023-04-27 18:07:06,0,1518
2023-04-27 18:07:07,0,1499
2023-04-27 18:07:08,0,1518
2023-04-27 18:07:09,0,1393
2023-04-27 18:07:10,0,1345
2023-04-27 18:07:11,0,1308
2023-04-27 18:07:12,0,1277
2023-04-27 18:07:13,0,1466
2023-04-27 18:07:14,0,1460
2023-04-27 18:07:15,0,1428
2023-04-27 18:07:16,0,1610
2023-04-27 18:07:17,0,1595
2023-04-27 18:07:18,0,1301
2023-04-27 18:07:19,0,1494
2023-04-27 18:07:20,0,1475
2023-04-27 18:07:21,0,1358
2023-04-27 18:07:22,0,1385
2023-04-27 18:07:23,0,1434
2023-04-27 18:07:24,0,1273
2023-04-27 18:07:25,0,1593
2023-04-27 18:07:26,0,1521
2023-04-27 18:07:27,0,1548
2023-04-27 18:07:28,0,1620
2023-04-27 18:07:29,0,1697
2023-04-27 18:07:30,0,1491
2023-04-27 18:07:31,0,1546
2023-04-27 18:07:32,0,1491
2023-04-27 18:07:33,0,1537
2023-04-27 18:07:34,0,1425
2023-04-27 18:07:35,0,1307
2023-04-27 18:07:36,0,1402
2023-04-27 18:07:37,0,1390
2023-04-27 18:07:38,0,1248
2023-04-27 18:07:39,0,1280
2023-04-27 18:07:40,0,1298
2023-04-27 18:07:41,0,1401
2023-04-27 18:07:42,0,1393
2023-04-27 18:07:43,0,1338
2023-04-27 18:07:44,0,1265
2023-04-27 18:07:45,0,1420
2023-04-27 18:07:46,0,1110
2023-04-27 18:07:47,0,1096
2023-04-27 18:07:48,0,1087
2023-04-27 18:07:49,0,1265
2023-04-27 18:07:50,0,1065
2023-04-27 18:07:51,0,1180
2023-04-27 18:07:52,0,1163
2023-04-27 18:07:53,0,1143
2023-04-27 18:07:54,0,1006
2023-04-27 18:07:55,0,1027
2023-04-27 18:07:56,0,1053
2023-04-27 18:07:57,0,1155
2023-04-27 18:07:58,0,1329
2023-04-27 18:07:59,0,1355
2023-04-27 18:08:00,0,1396
2023-04-27 18:08:01,0,1275
2023-04-27 18:08:02,0,1312
2023-04-27 18:08:03,0,1143
2023-04-27 18:08:04,0,1282
2023-04-27 18:08:05,0,1198
2023-04-27 18:08:06,0,1188
2023-04-27 18:08:07,0,1074
2023-04-27 18:08:08,0,1254
2023-04-27 18:08:09,0,1055
2023-04-27 18:08:10,0,1110
2023-04-27 18:08:11,0,1112
2023-04-27 18:08:12,0,1136
2023-04-27 18:08:13,0,974
2023-04-27 18:08:14,0,1317
2023-04-27 18:08:15,0,1326
2023-04-27 18:08:16,0,1359
2023-04-27 18:08:17,0,1557
2023-04-27 18:08:18,0,1583
2023-04-27 18:08:19,0,1277
2023-04-27 18:08:20,0,1438
2023-04-27 18:08:21,0,1429
2023-04-27 18:08:22,0,1294
2023-04-27 18:08:23,0,1297
2023-04-27 18:08:24,0,1438
2023-04-27 18:08:25,0,1305
2023-04-27 18:08:26,0,1391
2023-04-27 18:08:27,0,1421
2023-04-27 18:08:28,0,1498
2023-04-27 18:08:29,0,1462
2023-04-27 18:08:30,0,1526
2023-04-27 18:08:31,0,1552
2023-04-27 18:08:32,0,1470
2023-04-27 18:08:33,0,1572
2023-04-27 18:08:34,0,1468
2023-04-27 18:08:35,0,1371
2023-04-27 18:08:36,0,1446
2023-04-27 18:08:37,0,1435
2023-04-27 18:08:38,0,1259
2023-04-27 18:08:39,0,1323
2023-04-27 18:08:40,0,1352
2023-04-27 18:08:41,0,1516
2023-04-27 18:08:42,0,1539
2023-04-27 18:08:43,0,1535
2023-04-27 18:08:44,0,1685
2023-04-27 18:08:45,0,1660
2023-04-27 18:08:46,0,1326
2023-04-27 18:08:47,0,1425
2023-04-27 18:08:48,0,1497
2023-04-27 18:08:49,0,1275
2023-04-27 18:08:50,0,1438
2023-04-27 18:08:51,0,1424
2023-04-27 18:08:52,0,1341
2023-04-27 18:08:53,0,1408
2023-04-27 18:08:54,0,1438
2023-04-27 18:08:55,0,1306
2023-04-27 18:08:56,0,1578
2023-04-27 18:08:57,0,1594
2023-04-27 18:08:58,0,1569
2023-04-27 18:08:59,0,1678
2023-04-27 18:09:00,0,1743
2023-04-27 18:09:01,0,1513
2023-04-27 18:09:02,0,1586
2023-04-27 18:09:03,3.40,1568
2023-04-27 18:09:04,11.8,1436
2023-04-27 18:09:05,11.8,1333
2023-04-27 18:09:06,11.8,1453
2023-04-27 18:09:07,11.8,1333
2023-04-27 18:09:08,8.40,1295
2023-04-27 18:09:09,0,1340
2023-04-27 18:09:10,0,1660
2023-04-27 18:09:11,0,1510
2023-04-27 18:09:12,0,1501
2023-04-27 18:09:13,0,1442
2023-04-27 18:09:14,0,1601
2023-04-27 18:09:15,0,1276
2023-04-27 18:09:16,0,1260
2023-04-27 18:09:17,0,1428
2023-04-27 18:09:18,0,1431
2023-04-27 18:09:19,0,1221
2023-04-27 18:09:20,0,1381
2023-04-27 18:09:21,0,1380
2023-04-27 18:09:22,0,1371
2023-04-27 18:09:23,0,1384
2023-04-27 18:09:24,0,1442
2023-04-27 18:09:25,0,1315
2023-04-27 18:09:26,0,1482
2023-04-27 18:09:27,0,1426
2023-04-27 18:09:28,0,1456
2023-04-27 18:09:29,0,1477
2023-04-27 18:09:30,0,1559
2023-04-27 18:09:31,0,1412
2023-04-27 18:09:32,0,1316
2023-04-27 18:09:33,0,1480
2023-04-27 18:09:34,0,1473
2023-04-27 18:09:35,0,1371
2023-04-27 18:09:36,0,1530
2023-04-27 18:09:37,0.200,1526
2023-04-27 18:09:38,0.200,1473
2023-04-27 18:09:39,0.200,1412
2023-04-27 18:09:40,0.200,1447
2023-04-27 18:09:41,0.200,1297
2023-04-27 18:09:42,0,1310
2023-04-27 18:09:43,0,1434
2023-04-27 18:09:44,0,1425
2023-04-27 18:09:45,0,1385
2023-04-27 18:09:46,0,1574
2023-04-27 18:09:47,0,1564
2023-04-27 18:09:48,0,1289
2023-04-27 18:09:49,0,1433
2023-04-27 18:09:50,0,1476
2023-04-27 18:09:51,0,1269
2023-04-27 18:09:52,0,1289
2023-04-27 18:09:53,0,1327
2023-04-27 18:09:54,0,1217
2023-04-27 18:09:55,0,1496
2023-04-27 18:09:56,0,1478
2023-04-27 18:09:57,0,1631
2023-04-27 18:09:58,0,1720
2023-04-27 18:09:59,0,1775
2023-04-27 18:10:00,0,1514
2023-04-27 18:10:01,0,1611
2023-04-27 18:10:02,0,1568
2023-04-27 18:10:03,0,1430
2023-04-27 18:10:04,0,1347
2023-04-27 18:10:05,0,1457
2023-04-27 18:10:06,0,1365
2023-04-27 18:10:07,0.400,1265
2023-04-27 18:10:08,0.400,1306
2023-04-27 18:10:09,0.400,1343
2023-04-27 18:10:10,0.400,1491
2023-04-27 18:10:11,0.400,1497
2023-04-27 18:10:12,0,1461
2023-04-27 18:10:13,0,1638
2023-04-27 18:10:14,0,1612
2023-04-27 18:10:15,0,1292
2023-04-27 18:10:16,0,1484
2023-04-27 18:10:17,0,1475
2023-04-27 18:10:18,0,1261
2023-04-27 18:10:19,0,1394
2023-04-27 18:10:20,0,1400
2023-04-27 18:10:21,0,1234
2023-04-27 18:10:22,0,1272
2023-04-27 18:10:23,0,1296
2023-04-27 18:10:24,0.200,1501
2023-04-27 18:10:25,0.200,1541
2023-04-27 18:10:26,0.200,1616
2023-04-27 18:10:27,0.200,1682
2023-04-27 18:10:28,0.200,1749
2023-04-27 18:10:29,4.60,1450
2023-04-27 18:10:30,4.60,1444
2023-04-27 18:10:31,4.60,1549
2023-04-27 18:10:32,4.60,1444
2023-04-27 18:10:33,4.60,1355
2023-04-27 18:10:34,0,1480
2023-04-27 18:10:35,0,1446
2023-04-27 18:10:36,0,1402
2023-04-27 18:10:37,0,1403
2023-04-27 18:10:38,0,1400
2023-04-27 18:10:39,0,1233
2023-04-27 18:10:40,0,1242
2023-04-27 18:10:41,0,1360
2023-04-27 18:10:42,0,1354
2023-04-27 18:10:43,0,1328
2023-04-27 18:10:44,0,1291
2023-04-27 18:10:45,0,1458
2023-04-27 18:10:46,0,1166
2023-04-27 18:10:47,0,1172
2023-04-27 18:10:48,0,1221
2023-04-27 18:10:49,0,1414
2023-04-27 18:10:50,0,1230
2023-04-27 18:10:51,0,1265
2023-04-27 18:10:52,0.600,1303
2023-04-27 18:10:53,0.600,1305
2023-04-27 18:10:54,0.600,1250
2023-04-27 18:10:55,0.600,1400
2023-04-27 18:10:56,0.600,1522
2023-04-27 18:10:57,0,1555
2023-04-27 18:10:58,0,1525
2023-04-27 18:10:59,0,1409
2023-04-27 18:11:00,0,1402
2023-04-27 18:11:01,0,1227
2023-04-27 18:11:02,0,1262
2023-04-27 18:11:03,0,1256
2023-04-27 18:11:04,0,1260
2023-04-27 18:11:05,0,1276
2023-04-27 18:11:06,0,1288
2023-04-27 18:11:07,0,1219
2023-04-27 18:11:08,0,1246
2023-04-27 18:11:09,0,1266
2023-04-27 18:11:10,0,1416
2023-04-27 18:11:11,0,1444
2023-04-27 18:11:12,0,1411
2023-04-27 18:11:13,0,1391
2023-04-27 18:11:14,0,1569
2023-04-27 18:11:15,0,1267
2023-04-27 18:11:16,0,1262

