"Disk Reads","Disk Reads"
2023-04-27 18:06:14,0.0 B/s
2023-04-27 18:06:16,0.0 B/s
2023-04-27 18:06:18,28.7 kB/s
2023-04-27 18:06:20,28.7 kB/s
2023-04-27 18:06:22,0.0 B/s
2023-04-27 18:06:24,44.2 kB/s
2023-04-27 18:06:26,44.2 kB/s
2023-04-27 18:06:28,44.2 kB/s
2023-04-27 18:06:30,0.0 B/s
2023-04-27 18:06:32,0.0 B/s
2023-04-27 18:06:34,0.0 B/s
2023-04-27 18:06:36,0.0 B/s
2023-04-27 18:06:38,0.0 B/s
2023-04-27 18:06:40,0.0 B/s
2023-04-27 18:06:42,0.0 B/s
2023-04-27 18:06:44,0.0 B/s
2023-04-27 18:06:46,0.0 B/s
2023-04-27 18:06:48,0.0 B/s
2023-04-27 18:06:50,0.0 B/s
2023-04-27 18:06:52,0.0 B/s
2023-04-27 18:06:54,0.0 B/s
2023-04-27 18:06:56,0.0 B/s
2023-04-27 18:06:58,0.0 B/s
2023-04-27 18:07:00,0.0 B/s
2023-04-27 18:07:02,0.0 B/s
2023-04-27 18:07:04,0.0 B/s
2023-04-27 18:07:06,0.0 B/s
2023-04-27 18:07:08,0.0 B/s
2023-04-27 18:07:10,0.0 B/s
2023-04-27 18:07:12,0.0 B/s
2023-04-27 18:07:14,0.0 B/s
2023-04-27 18:07:16,0.0 B/s
2023-04-27 18:07:18,0.0 B/s
2023-04-27 18:07:20,0.0 B/s
2023-04-27 18:07:22,0.0 B/s
2023-04-27 18:07:24,0.0 B/s
2023-04-27 18:07:26,0.0 B/s
2023-04-27 18:07:28,0.0 B/s
2023-04-27 18:07:30,0.0 B/s
2023-04-27 18:07:32,0.0 B/s
2023-04-27 18:07:34,0.0 B/s
2023-04-27 18:07:36,0.0 B/s
2023-04-27 18:07:38,0.0 B/s
2023-04-27 18:07:40,0.0 B/s
2023-04-27 18:07:42,0.0 B/s
2023-04-27 18:07:44,0.0 B/s
2023-04-27 18:07:46,0.0 B/s
2023-04-27 18:07:48,0.0 B/s
2023-04-27 18:07:50,0.0 B/s
2023-04-27 18:07:52,0.0 B/s
2023-04-27 18:07:54,0.0 B/s
2023-04-27 18:07:56,0.0 B/s
2023-04-27 18:07:58,0.0 B/s
2023-04-27 18:08:00,0.0 B/s
2023-04-27 18:08:02,0.0 B/s
2023-04-27 18:08:04,0.0 B/s
2023-04-27 18:08:06,0.0 B/s
2023-04-27 18:08:08,0.0 B/s
2023-04-27 18:08:10,0.0 B/s
2023-04-27 18:08:12,0.0 B/s
2023-04-27 18:08:14,0.0 B/s
2023-04-27 18:08:16,0.0 B/s
2023-04-27 18:08:18,0.0 B/s
2023-04-27 18:08:20,0.0 B/s
2023-04-27 18:08:22,0.0 B/s
2023-04-27 18:08:24,0.0 B/s
2023-04-27 18:08:26,0.0 B/s
2023-04-27 18:08:28,0.0 B/s
2023-04-27 18:08:30,0.0 B/s
2023-04-27 18:08:32,0.0 B/s
2023-04-27 18:08:34,0.0 B/s
2023-04-27 18:08:36,0.0 B/s
2023-04-27 18:08:38,0.0 B/s
2023-04-27 18:08:40,0.0 B/s
2023-04-27 18:08:42,0.0 B/s
2023-04-27 18:08:44,0.0 B/s
2023-04-27 18:08:46,0.0 B/s
2023-04-27 18:08:48,0.0 B/s
2023-04-27 18:08:50,0.0 B/s
2023-04-27 18:08:52,0.0 B/s
2023-04-27 18:08:54,0.0 B/s
2023-04-27 18:08:56,0.0 B/s
2023-04-27 18:08:58,0.0 B/s
2023-04-27 18:09:00,0.0 B/s
2023-04-27 18:09:02,0.0 B/s
2023-04-27 18:09:04,154.8 kB/s
2023-04-27 18:09:06,154.8 kB/s
2023-04-27 18:09:08,42.6 kB/s
2023-04-27 18:09:10,0.0 B/s
2023-04-27 18:09:12,0.0 B/s
2023-04-27 18:09:14,0.0 B/s
2023-04-27 18:09:16,0.0 B/s
2023-04-27 18:09:18,0.0 B/s
2023-04-27 18:09:20,0.0 B/s
2023-04-27 18:09:22,0.0 B/s
2023-04-27 18:09:24,0.0 B/s
2023-04-27 18:09:26,0.0 B/s
2023-04-27 18:09:28,0.0 B/s
2023-04-27 18:09:30,0.0 B/s
2023-04-27 18:09:32,0.0 B/s
2023-04-27 18:09:34,0.0 B/s
2023-04-27 18:09:36,0.0 B/s
2023-04-27 18:09:38,819.2 B/s
2023-04-27 18:09:40,819.2 B/s
2023-04-27 18:09:42,0.0 B/s
2023-04-27 18:09:44,0.0 B/s
2023-04-27 18:09:46,0.0 B/s
2023-04-27 18:09:48,0.0 B/s
2023-04-27 18:09:50,0.0 B/s
2023-04-27 18:09:52,0.0 B/s
2023-04-27 18:09:54,0.0 B/s
2023-04-27 18:09:56,0.0 B/s
2023-04-27 18:09:58,0.0 B/s
2023-04-27 18:10:00,0.0 B/s
