"Disk Writes","Disk Writes"
2023-04-27 18:06:14,0.0 B/s
2023-04-27 18:06:16,0.0 B/s
2023-04-27 18:06:18,6.2 MB/s
2023-04-27 18:06:20,14.6 MB/s
2023-04-27 18:06:22,21.8 MB/s
2023-04-27 18:06:24,24.1 MB/s
2023-04-27 18:06:26,25.2 MB/s
2023-04-27 18:06:28,25.2 MB/s
2023-04-27 18:06:30,23.9 MB/s
2023-04-27 18:06:32,21.8 MB/s
2023-04-27 18:06:34,21.9 MB/s
2023-04-27 18:06:36,25.5 MB/s
2023-04-27 18:06:38,27.5 MB/s
2023-04-27 18:06:40,31.9 MB/s
2023-04-27 18:06:42,29.3 MB/s
2023-04-27 18:06:44,24.8 MB/s
2023-04-27 18:06:46,23.6 MB/s
2023-04-27 18:06:48,26.1 MB/s
2023-04-27 18:06:50,25.4 MB/s
2023-04-27 18:06:52,26.3 MB/s
2023-04-27 18:06:54,26.8 MB/s
2023-04-27 18:06:56,22.8 MB/s
2023-04-27 18:06:58,22.5 MB/s
2023-04-27 18:07:00,22.4 MB/s
2023-04-27 18:07:02,24.5 MB/s
2023-04-27 18:07:04,30.6 MB/s
2023-04-27 18:07:06,32.9 MB/s
2023-04-27 18:07:08,32.0 MB/s
2023-04-27 18:07:10,26.7 MB/s
2023-04-27 18:07:12,21.3 MB/s
2023-04-27 18:07:14,20.6 MB/s
2023-04-27 18:07:16,24.2 MB/s
2023-04-27 18:07:18,24.6 MB/s
2023-04-27 18:07:20,25.2 MB/s
2023-04-27 18:07:22,27.0 MB/s
2023-04-27 18:07:24,22.5 MB/s
2023-04-27 18:07:26,22.1 MB/s
2023-04-27 18:07:28,26.8 MB/s
2023-04-27 18:07:30,31.6 MB/s
2023-04-27 18:07:32,32.7 MB/s
2023-04-27 18:07:34,29.1 MB/s
2023-04-27 18:07:36,26.1 MB/s
2023-04-27 18:07:38,23.4 MB/s
2023-04-27 18:07:40,20.4 MB/s
2023-04-27 18:07:42,19.1 MB/s
2023-04-27 18:07:44,20.7 MB/s
2023-04-27 18:07:46,20.6 MB/s
2023-04-27 18:07:48,19.8 MB/s
2023-04-27 18:07:50,19.5 MB/s
2023-04-27 18:07:52,19.8 MB/s
2023-04-27 18:07:54,19.9 MB/s
2023-04-27 18:07:56,19.1 MB/s
2023-04-27 18:07:58,23.2 MB/s
2023-04-27 18:08:00,26.3 MB/s
2023-04-27 18:08:02,25.3 MB/s
2023-04-27 18:08:04,23.5 MB/s
2023-04-27 18:08:06,22.4 MB/s
2023-04-27 18:08:08,21.4 MB/s
2023-04-27 18:08:10,22.6 MB/s
2023-04-27 18:08:12,18.2 MB/s
2023-04-27 18:08:14,17.9 MB/s
2023-04-27 18:08:16,19.9 MB/s
2023-04-27 18:08:18,24.5 MB/s
2023-04-27 18:08:20,25.0 MB/s
2023-04-27 18:08:22,24.4 MB/s
2023-04-27 18:08:24,25.0 MB/s
2023-04-27 18:08:26,24.8 MB/s
2023-04-27 18:08:28,26.5 MB/s
2023-04-27 18:08:30,28.6 MB/s
2023-04-27 18:08:32,30.6 MB/s
2023-04-27 18:08:34,28.5 MB/s
2023-04-27 18:08:36,26.9 MB/s
2023-04-27 18:08:38,26.6 MB/s
2023-04-27 18:08:40,22.6 MB/s
2023-04-27 18:08:42,21.8 MB/s
2023-04-27 18:08:44,23.4 MB/s
2023-04-27 18:08:46,24.8 MB/s
2023-04-27 18:08:48,26.0 MB/s
2023-04-27 18:08:50,25.6 MB/s
2023-04-27 18:08:52,25.0 MB/s
2023-04-27 18:08:54,22.3 MB/s
2023-04-27 18:08:56,22.7 MB/s
2023-04-27 18:08:58,27.8 MB/s
2023-04-27 18:09:00,31.7 MB/s
2023-04-27 18:09:02,30.5 MB/s
2023-04-27 18:09:04,26.7 MB/s
2023-04-27 18:09:06,26.4 MB/s
2023-04-27 18:09:08,24.4 MB/s
2023-04-27 18:09:10,22.9 MB/s
2023-04-27 18:09:12,21.3 MB/s
2023-04-27 18:09:14,24.3 MB/s
2023-04-27 18:09:16,24.2 MB/s
2023-04-27 18:09:18,25.0 MB/s
2023-04-27 18:09:20,23.8 MB/s
2023-04-27 18:09:22,23.7 MB/s
2023-04-27 18:09:24,24.3 MB/s
2023-04-27 18:09:26,25.1 MB/s
2023-04-27 18:09:28,25.3 MB/s
2023-04-27 18:09:30,30.3 MB/s
2023-04-27 18:09:32,26.9 MB/s
2023-04-27 18:09:34,27.3 MB/s
2023-04-27 18:09:36,27.1 MB/s
2023-04-27 18:09:38,26.2 MB/s
2023-04-27 18:09:40,25.1 MB/s
2023-04-27 18:09:42,20.9 MB/s
2023-04-27 18:09:44,19.9 MB/s
2023-04-27 18:09:46,23.6 MB/s
2023-04-27 18:09:48,24.6 MB/s
2023-04-27 18:09:50,25.0 MB/s
2023-04-27 18:09:52,24.1 MB/s
