"Time","iowait","irq","nice","softirq","steal","system","user","Max Core Utilization"
2023-04-27 18:06:15,0,0,0,0.1000,0.1000,1.000,3.50,5.00
2023-04-27 18:06:16,0,0,0,0.1000,0.1000,0.900,3.50,4.60
2023-04-27 18:06:17,5.90,0,0,0.400,0.1000,3.00,4.70,10.8
2023-04-27 18:06:18,12.1,0,0,0.500,0.1000,4.60,6.10,15.4
2023-04-27 18:06:19,17.1,0,0,0.600,0.1000,6.60,10.5,23.0
2023-04-27 18:06:20,23.1,0,0,0.900,0.1000,8.40,12.5,29.6
2023-04-27 18:06:21,28.4,0,0,1.10,0.1000,10.8,13.9,35.4
2023-04-27 18:06:22,28.4,0,0,1.10,0.1000,10.5,13.7,33.8
2023-04-27 18:06:23,27.9,0,0,1.10,0,10.6,13.4,34.4
2023-04-27 18:06:24,28.4,0,0,1.40,0,11.4,10.7,34.0
2023-04-27 18:06:25,28.3,0,0,1.40,0.1000,11.9,9.90,34.4
2023-04-27 18:06:26,28.9,0,0,1.40,0.200,11.5,10.2,35.6
2023-04-27 18:06:27,28.6,0,0,1.60,0.200,12.0,11.2,38.0
2023-04-27 18:06:28,28.2,0,0,1.50,0.200,12.8,12.2,40.8
2023-04-27 18:06:29,28.3,0,0,1.10,0.200,13.2,12.2,41.4
2023-04-27 18:06:30,28.1,0,0,1.10,0.1000,13.7,12.2,40.8
2023-04-27 18:06:31,28.3,0,0,1.30,0,13.4,12.3,40.4
2023-04-27 18:06:32,28.3,0,0,1.000,0.100,13.8,12.1,39.8
2023-04-27 18:06:33,28.8,0,0,1.10,0.100,12.7,11.0,36.0
2023-04-27 18:06:34,29.0,0,0,1.40,0.200,11.7,10.9,35.2
2023-04-27 18:06:35,29.2,0,0,1.30,0.200,10.8,11.3,35.2
2023-04-27 18:06:36,28.9,0,0,1.00,0.200,11.9,11.1,35.2
2023-04-27 18:06:37,28.5,0,0,1.000,0.1000,13.9,10.8,36.0
2023-04-27 18:06:38,25.9,0,0,1.10,0.1000,26.7,10.3,44.8
2023-04-27 18:06:39,23.3,0,0,1.000,0,38.1,9.60,50.0
2023-04-27 18:06:40,21.4,0,0,1.00,0,46.6,9.20,58.2
2023-04-27 18:06:41,21.4,0,0,1.10,0.1000,49.3,9.10,62.4
2023-04-27 18:06:42,21.5,0,0,1.20,0.1000,47.2,9.00,60.4
2023-04-27 18:06:43,24.3,0,0,1.10,0.1000,35.3,10.1,48.0
2023-04-27 18:06:44,26.4,0,0,1.20,0.1000,27.0,10.6,44.2
2023-04-27 18:06:45,28.1,0,0,1.20,0.200,18.6,11.0,38.6
2023-04-27 18:06:46,28.3,0,0,1.10,0.100,15,10.3,35.6
2023-04-27 18:06:47,28.6,0,0,1.10,0.100,14.6,10.7,37.8
2023-04-27 18:06:48,28.4,0,0,1.10,0.200,14.4,10.8,37.6
2023-04-27 18:06:49,28.5,0,0,1.000,0.200,11.8,13.8,37.8
2023-04-27 18:06:50,28.5,0,0,1.000,0.1000,12.2,13.9,38.8
2023-04-27 18:06:51,28.4,0,0,1.30,0.1000,12.8,14.5,40.8
2023-04-27 18:06:52,28.5,0,0,1.30,0.1000,12.8,14.6,38.8
2023-04-27 18:06:53,28.5,0,0,1.30,0,12.2,14.9,39.2
2023-04-27 18:06:54,28.9,0,0,1.60,0,12.9,11.7,38.2
2023-04-27 18:06:55,29.3,0,0,1.40,0.200,12.2,11.4,36.0
2023-04-27 18:06:56,29.5,0,0,1.20,0.200,10.7,12.0,34.4
2023-04-27 18:06:57,29.6,0,0,1.20,0.200,11.0,12.0,35.4
2023-04-27 18:06:58,29.4,0,0,1.10,0.200,11.3,11.6,34.2
2023-04-27 18:06:59,28.7,0,0,1.000,0.200,10.5,12.1,33.8
2023-04-27 18:07:00,27.9,0,0,1.50,0,11.3,13.2,37.0
2023-04-27 18:07:01,27.1,0,0,1.50,0,13.1,13.0,39.0
2023-04-27 18:07:02,25.7,0,0,1.40,0,20.5,12.3,43.2
2023-04-27 18:07:03,23.8,0,0,1.50,0,30.7,12.0,49.4
2023-04-27 18:07:04,22.0,0,0,1.20,0,41.4,11.2,54.2
2023-04-27 18:07:05,22.1,0,0,0.900,0.100,45.5,9.80,59.0
2023-04-27 18:07:06,22.4,0,0,1.000,0.100,46.7,9.40,62.0
2023-04-27 18:07:07,22.8,0,0,1.10,0.200,42.6,9.70,56.2
2023-04-27 18:07:08,24.0,0,0,1.10,0.200,34.7,10.3,47.4
2023-04-27 18:07:09,26.5,0,0,1.10,0.200,23.4,10.8,41.2
2023-04-27 18:07:10,26.8,0,0,1.10,0.1000,19.2,11.6,40.6
2023-04-27 18:07:11,27.3,0,0,0.800,0.1000,16.7,12.2,40.2
