"Database Query/s (QPS)","Database Query/s (QPS)"
2023-04-27 19:40:06,56.83
2023-04-27 19:40:08,56.85
2023-04-27 19:40:10,56.87
2023-04-27 19:40:12,56.88
2023-04-27 19:40:14,56.90
2023-04-27 19:40:16,56.89
2023-04-27 19:40:18,56.89
2023-04-27 19:40:20,56.88
2023-04-27 19:40:22,56.89
2023-04-27 19:40:24,56.90
2023-04-27 19:40:26,56.90
2023-04-27 19:40:28,56.91
2023-04-27 19:40:30,56.92
2023-04-27 19:40:32,56.93
2023-04-27 19:40:34,56.93
2023-04-27 19:40:36,56.94
2023-04-27 19:40:38,56.94
2023-04-27 19:40:40,56.94
2023-04-27 19:40:42,56.95
2023-04-27 19:40:44,56.83
2023-04-27 19:40:46,56.80
2023-04-27 19:40:48,56.82
2023-04-27 19:40:50,56.82
2023-04-27 19:40:52,56.78
2023-04-27 19:40:54,56.72
2023-04-27 19:40:56,56.68
2023-04-27 19:40:58,55.58
2023-04-27 19:41:00,55.58
2023-04-27 19:41:02,55.58
2023-04-27 19:41:04,55.57
2023-04-27 19:41:06,55.58
2023-04-27 19:41:08,55.58
2023-04-27 19:41:10,55.57
2023-04-27 19:41:12,55.56
2023-04-27 19:41:14,55.56
2023-04-27 19:41:16,55.55
2023-04-27 19:41:18,55.54
2023-04-27 19:41:20,55.49
2023-04-27 19:41:22,55.47
2023-04-27 19:41:24,55.47
2023-04-27 19:41:26,55.45
2023-04-27 19:41:28,55.47
2023-04-27 19:41:30,55.45
2023-04-27 19:41:32,55.45
2023-04-27 19:41:34,55.46
2023-04-27 19:41:36,55.47
2023-04-27 19:41:38,55.49
2023-04-27 19:41:40,55.48
2023-04-27 19:41:42,55.47
2023-04-27 19:41:44,55.48
2023-04-27 19:41:46,55.46
2023-04-27 19:41:48,55.45
2023-04-27 19:41:50,55.46
2023-04-27 19:41:52,55.46
2023-04-27 19:41:54,55.44
2023-04-27 19:41:56,55.42
2023-04-27 19:41:58,55.43
2023-04-27 19:42:00,55.41
2023-04-27 19:42:02,55.42
2023-04-27 19:42:04,55.44
2023-04-27 19:42:06,55.43
2023-04-27 19:42:08,55.43
2023-04-27 19:42:10,55.44
2023-04-27 19:42:12,55.44
2023-04-27 19:42:14,55.40
2023-04-27 19:42:16,54.27
2023-04-27 19:42:18,54.27
2023-04-27 19:42:20,53.22
2023-04-27 19:42:22,53.17
2023-04-27 19:42:24,52.02
2023-04-27 19:42:26,52.03
2023-04-27 19:42:28,50.77
2023-04-27 19:42:30,49.08
2023-04-27 19:42:32,47.51
2023-04-27 19:42:34,46.34
2023-04-27 19:42:36,45.20
2023-04-27 19:42:38,44.07
2023-04-27 19:42:40,42.93
2023-04-27 19:42:42,41.78
2023-04-27 19:42:44,40.79
2023-04-27 19:42:46,39.50
2023-04-27 19:42:48,38.37
2023-04-27 19:42:50,37.31
2023-04-27 19:42:52,35.96
2023-04-27 19:42:54,34.58
2023-04-27 19:42:56,32.98
2023-04-27 19:42:58,32.68
2023-04-27 19:43:00,32.70
2023-04-27 19:43:02,32.70
2023-04-27 19:43:04,32.63
2023-04-27 19:43:06,31.58
2023-04-27 19:43:08,31.60
2023-04-27 19:43:10,31.60
2023-04-27 19:43:12,31.60
2023-04-27 19:43:14,30.49
2023-04-27 19:43:16,30.48
2023-04-27 19:43:18,30.49
2023-04-27 19:43:20,30.50
2023-04-27 19:43:22,30.11
2023-04-27 19:43:24,29.36
2023-04-27 19:43:26,29.38
2023-04-27 19:43:28,29.38
2023-04-27 19:43:30,29.39
2023-04-27 19:43:32,28.25
2023-04-27 19:43:34,26.91
2023-04-27 19:43:36,25.65
2023-04-27 19:43:38,24.35
2023-04-27 19:43:40,23.69
2023-04-27 19:43:42,23.68
2023-04-27 19:43:44,23.30
2023-04-27 19:43:46,22.57
2023-04-27 19:43:48,22.56
2023-04-27 19:43:50,22.48
2023-04-27 19:43:52,21.43
2023-04-27 19:43:54,21.43
2023-04-27 19:43:56,21.41
2023-04-27 19:43:58,20.30
2023-04-27 19:44:00,20.31
2023-04-27 19:44:02,20.32
2023-04-27 19:44:04,19.14
2023-04-27 19:44:06,17.19
2023-04-27 19:44:08,15.77
2023-04-27 19:44:10,15.77
2023-04-27 19:44:12,15.79
2023-04-27 19:44:14,15.80
2023-04-27 19:44:16,15.80
2023-04-27 19:44:18,15.81
2023-04-27 19:44:20,15.80
2023-04-27 19:44:22,15.81
2023-04-27 19:44:24,15.82
2023-04-27 19:44:26,15.81
2023-04-27 19:44:28,15.83
2023-04-27 19:44:30,15.84
2023-04-27 19:44:32,15.83
2023-04-27 19:44:34,15.85
2023-04-27 19:44:36,15.84
2023-04-27 19:44:38,15.84
2023-04-27 19:44:40,15.85
2023-04-27 19:44:42,15.84
2023-04-27 19:44:44,15.84
2023-04-27 19:44:46,15.86
2023-04-27 19:44:48,15.85
2023-04-27 19:44:50,15.87
2023-04-27 19:44:52,15.86
2023-04-27 19:44:54,15.87
2023-04-27 19:44:56,15.87
2023-04-27 19:44:58,15.87
2023-04-27 19:45:00,15.89
2023-04-27 19:45:02,15.89
2023-04-27 19:45:04,15.88
2023-04-27 19:45:06,15.90
2023-04-27 19:45:08,15.90
2023-04-27 19:45:10,15.89
2023-04-27 19:45:12,15.89
2023-04-27 19:45:14,15.86
2023-04-27 19:45:16,15.87
2023-04-27 19:45:18,15.88
2023-04-27 19:45:20,15.89
2023-04-27 19:45:22,15.89
2023-04-27 19:45:24,15.88
2023-04-27 19:45:26,15.89
2023-04-27 19:45:28,15.87
2023-04-27 19:45:30,15.87

