"Time","Read","Write"
2023-04-27 19:40:06,0,3
2023-04-27 19:40:07,0,3
2023-04-27 19:40:08,19.4,1.80
2023-04-27 19:40:09,19.4,3.60
2023-04-27 19:40:10,19.4,3.60
2023-04-27 19:40:11,19.4,4.20
2023-04-27 19:40:12,19.4,4.20
2023-04-27 19:40:13,0,4.20
2023-04-27 19:40:14,0,0.600
2023-04-27 19:40:15,0,81.8
2023-04-27 19:40:16,0,104
2023-04-27 19:40:17,0,104
2023-04-27 19:40:18,0,115
2023-04-27 19:40:19,0,115
2023-04-27 19:40:20,0,34
2023-04-27 19:40:21,0,40.6
2023-04-27 19:40:22,0,114
2023-04-27 19:40:23,0,103
2023-04-27 19:40:24,0,103
2023-04-27 19:40:25,0,103
2023-04-27 19:40:26,0,73.8
2023-04-27 19:40:27,0,1
2023-04-27 19:40:28,0,104
2023-04-27 19:40:29,0,105
2023-04-27 19:40:30,0,105
2023-04-27 19:40:31,0,105
2023-04-27 19:40:32,0,106
2023-04-27 19:40:33,0,2.60
2023-04-27 19:40:34,0,89.6
2023-04-27 19:40:35,0,104
2023-04-27 19:40:36,0,104
2023-04-27 19:40:37,0,103
2023-04-27 19:40:38,0,104
2023-04-27 19:40:39,0,15.4
2023-04-27 19:40:40,0,66
2023-04-27 19:40:41,0,107
2023-04-27 19:40:42,0,107
2023-04-27 19:40:43,0,106
2023-04-27 19:40:44,0,106
2023-04-27 19:40:45,0,40.6
2023-04-27 19:40:46,0,24.2
2023-04-27 19:40:47,0,104
2023-04-27 19:40:48,0,117
2023-04-27 19:40:49,0,117
2023-04-27 19:40:50,0,118
2023-04-27 19:40:51,0,94
2023-04-27 19:40:52,0,14.2
2023-04-27 19:40:53,0,1.80
2023-04-27 19:40:54,0,86.4
2023-04-27 19:40:55,0,105
2023-04-27 19:40:56,0,105
2023-04-27 19:40:57,0,105
2023-04-27 19:40:58,0,104
2023-04-27 19:40:59,0,19.4
2023-04-27 19:41:00,0,69.8
2023-04-27 19:41:01,0,103
2023-04-27 19:41:02,0,103
2023-04-27 19:41:03,0,103
2023-04-27 19:41:04,0,103
2023-04-27 19:41:05,0,33.6
2023-04-27 19:41:06,0,56.2
2023-04-27 19:41:07,0,105
2023-04-27 19:41:08,0,105
2023-04-27 19:41:09,0,105
2023-04-27 19:41:10,0,106
2023-04-27 19:41:11,0,50.4
2023-04-27 19:41:12,0,47
2023-04-27 19:41:13,0,105
2023-04-27 19:41:14,0,105
2023-04-27 19:41:15,0,104
2023-04-27 19:41:16,0,104
2023-04-27 19:41:17,0,57.8
2023-04-27 19:41:18,0,35.6
2023-04-27 19:41:19,0,105
2023-04-27 19:41:20,0,105
2023-04-27 19:41:21,0,105
2023-04-27 19:41:22,0,105
2023-04-27 19:41:23,0,69.8
2023-04-27 19:41:24,0,23.6
2023-04-27 19:41:25,0,104
