"Disk Reads","Disk Reads"
2023-04-27 19:40:06,0.0 B/s
2023-04-27 19:40:08,252.3 kB/s
2023-04-27 19:40:10,252.3 kB/s
2023-04-27 19:40:12,252.3 kB/s
2023-04-27 19:40:14,0.0 B/s
2023-04-27 19:40:16,0.0 B/s
2023-04-27 19:40:18,0.0 B/s
2023-04-27 19:40:20,0.0 B/s
2023-04-27 19:40:22,0.0 B/s
2023-04-27 19:40:24,0.0 B/s
2023-04-27 19:40:26,0.0 B/s
2023-04-27 19:40:28,0.0 B/s
2023-04-27 19:40:30,0.0 B/s
2023-04-27 19:40:32,0.0 B/s
2023-04-27 19:40:34,0.0 B/s
2023-04-27 19:40:36,0.0 B/s
2023-04-27 19:40:38,0.0 B/s
2023-04-27 19:40:40,0.0 B/s
2023-04-27 19:40:42,0.0 B/s
2023-04-27 19:40:44,0.0 B/s
2023-04-27 19:40:46,0.0 B/s
2023-04-27 19:40:48,0.0 B/s
2023-04-27 19:40:50,0.0 B/s
2023-04-27 19:40:52,0.0 B/s
2023-04-27 19:40:54,0.0 B/s
2023-04-27 19:40:56,0.0 B/s
2023-04-27 19:40:58,0.0 B/s
2023-04-27 19:41:00,0.0 B/s
2023-04-27 19:41:02,0.0 B/s
2023-04-27 19:41:04,0.0 B/s
2023-04-27 19:41:06,0.0 B/s
2023-04-27 19:41:08,0.0 B/s
2023-04-27 19:41:10,0.0 B/s
2023-04-27 19:41:12,0.0 B/s
2023-04-27 19:41:14,0.0 B/s
2023-04-27 19:41:16,0.0 B/s
2023-04-27 19:41:18,0.0 B/s
2023-04-27 19:41:20,0.0 B/s
2023-04-27 19:41:22,0.0 B/s
2023-04-27 19:41:24,0.0 B/s
2023-04-27 19:41:26,0.0 B/s
2023-04-27 19:41:28,0.0 B/s
2023-04-27 19:41:30,0.0 B/s
2023-04-27 19:41:32,0.0 B/s
2023-04-27 19:41:34,0.0 B/s
2023-04-27 19:41:36,0.0 B/s
2023-04-27 19:41:38,0.0 B/s
2023-04-27 19:41:40,0.0 B/s
2023-04-27 19:41:42,0.0 B/s
2023-04-27 19:41:44,0.0 B/s
2023-04-27 19:41:46,0.0 B/s
2023-04-27 19:41:48,0.0 B/s
2023-04-27 19:41:50,0.0 B/s
2023-04-27 19:41:52,0.0 B/s
2023-04-27 19:41:54,0.0 B/s
2023-04-27 19:41:56,0.0 B/s
2023-04-27 19:41:58,0.0 B/s
2023-04-27 19:42:00,0.0 B/s
2023-04-27 19:42:02,0.0 B/s
2023-04-27 19:42:04,0.0 B/s
2023-04-27 19:42:06,0.0 B/s
2023-04-27 19:42:08,0.0 B/s
2023-04-27 19:42:10,0.0 B/s
2023-04-27 19:42:12,0.0 B/s
2023-04-27 19:42:14,0.0 B/s
2023-04-27 19:42:16,0.0 B/s
2023-04-27 19:42:18,0.0 B/s
2023-04-27 19:42:20,0.0 B/s
2023-04-27 19:42:22,0.0 B/s
2023-04-27 19:42:24,0.0 B/s
2023-04-27 19:42:26,0.0 B/s
2023-04-27 19:42:28,0.0 B/s
2023-04-27 19:42:30,0.0 B/s
2023-04-27 19:42:32,0.0 B/s
2023-04-27 19:42:34,0.0 B/s
2023-04-27 19:42:36,0.0 B/s
2023-04-27 19:42:38,0.0 B/s
2023-04-27 19:42:40,0.0 B/s
2023-04-27 19:42:42,0.0 B/s
2023-04-27 19:42:44,0.0 B/s
2023-04-27 19:42:46,0.0 B/s
2023-04-27 19:42:48,0.0 B/s
2023-04-27 19:42:50,0.0 B/s
2023-04-27 19:42:52,0.0 B/s
2023-04-27 19:42:54,0.0 B/s
2023-04-27 19:42:56,0.0 B/s
2023-04-27 19:42:58,0.0 B/s
2023-04-27 19:43:00,0.0 B/s
2023-04-27 19:43:02,0.0 B/s
2023-04-27 19:43:04,0.0 B/s
2023-04-27 19:43:06,0.0 B/s
