"Disk Writes","Disk Writes"
2023-04-27 19:40:06,27.0 kB/s
2023-04-27 19:40:08,20.5 kB/s
2023-04-27 19:40:10,31.1 kB/s
2023-04-27 19:40:12,42.6 kB/s
2023-04-27 19:40:14,11.5 kB/s
2023-04-27 19:40:16,26.3 MB/s
2023-04-27 19:40:18,26.3 MB/s
2023-04-27 19:40:20,4.5 MB/s
2023-04-27 19:40:22,26.3 MB/s
2023-04-27 19:40:24,26.3 MB/s
2023-04-27 19:40:26,14.5 MB/s
2023-04-27 19:40:28,26.3 MB/s
2023-04-27 19:40:30,26.3 MB/s
2023-04-27 19:40:32,26.3 MB/s
2023-04-27 19:40:34,26.3 MB/s
2023-04-27 19:40:36,26.3 MB/s
2023-04-27 19:40:38,26.3 MB/s
2023-04-27 19:40:40,20.2 MB/s
2023-04-27 19:40:42,26.3 MB/s
2023-04-27 19:40:44,26.3 MB/s
2023-04-27 19:40:46,10.1 MB/s
2023-04-27 19:40:48,26.3 MB/s
2023-04-27 19:40:50,26.4 MB/s
2023-04-27 19:40:52,100.8 kB/s
2023-04-27 19:40:54,25.2 MB/s
2023-04-27 19:40:56,26.3 MB/s
2023-04-27 19:40:58,26.3 MB/s
2023-04-27 19:41:00,25.2 MB/s
2023-04-27 19:41:02,26.3 MB/s
2023-04-27 19:41:04,26.3 MB/s
2023-04-27 19:41:06,23.5 MB/s
2023-04-27 19:41:08,26.3 MB/s
2023-04-27 19:41:10,26.3 MB/s
2023-04-27 19:41:12,15.1 MB/s
2023-04-27 19:41:14,26.3 MB/s
2023-04-27 19:41:16,26.3 MB/s
2023-04-27 19:41:18,15.1 MB/s
2023-04-27 19:41:20,26.3 MB/s
2023-04-27 19:41:22,26.3 MB/s
2023-04-27 19:41:24,8.4 MB/s
2023-04-27 19:41:26,26.3 MB/s
2023-04-27 19:41:28,26.3 MB/s
2023-04-27 19:41:30,31.9 kB/s
2023-04-27 19:41:32,26.3 MB/s
2023-04-27 19:41:34,26.3 MB/s
2023-04-27 19:41:36,10.6 kB/s
2023-04-27 19:41:38,26.3 MB/s
2023-04-27 19:41:40,26.3 MB/s
2023-04-27 19:41:42,3.3 kB/s
2023-04-27 19:41:44,26.3 MB/s
2023-04-27 19:41:46,26.3 MB/s
2023-04-27 19:41:48,59.0 kB/s
2023-04-27 19:41:50,26.3 MB/s
2023-04-27 19:41:52,26.3 MB/s
2023-04-27 19:41:54,4.5 MB/s
2023-04-27 19:41:56,26.3 MB/s
2023-04-27 19:41:58,26.3 MB/s
2023-04-27 19:42:00,4.5 MB/s
2023-04-27 19:42:02,26.3 MB/s
2023-04-27 19:42:04,26.3 MB/s
2023-04-27 19:42:06,11.2 MB/s
2023-04-27 19:42:08,10.6 kB/s
2023-04-27 19:42:10,26.3 MB/s
2023-04-27 19:42:12,26.3 MB/s
2023-04-27 19:42:14,0.0 B/s
2023-04-27 19:42:16,26.3 MB/s
2023-04-27 19:42:18,26.3 MB/s
2023-04-27 19:42:20,1.1 MB/s
