"Time","iowait","irq","nice","softirq","steal","system","user","Max Core Utilization"
2023-04-27 19:40:06,0.1000,0,0,0.100,0.1000,0.900,3.30,5.00
2023-04-27 19:40:07,0.1000,0,0,0,0.1000,1.10,3.30,4.60
2023-04-27 19:40:08,0.200,0,0,0,0.1000,1.50,6.20,10.2
2023-04-27 19:40:09,0.300,0,0,0,0,2.60,14.8,21.2
2023-04-27 19:40:10,0.300,0,0,0,0,3.30,24.0,36.6
2023-04-27 19:40:11,0.300,0,0,0.1000,0,4.20,33.4,51.4
2023-04-27 19:40:12,0.300,0,0,0.1000,0,4.60,43.0,60.6
2023-04-27 19:40:13,0.100,0,0,0.200,0,4.70,49.8,56.6
2023-04-27 19:40:14,0,0,0,0.200,0,3.90,50.6,60.2
2023-04-27 19:40:15,4.70,0,0,0.300,0,5.50,44.0,58.8
2023-04-27 19:40:16,6.10,0,0,0.200,0,5.10,42.6,53.4
2023-04-27 19:40:17,6.10,0,0,0.300,0,5.30,42.6,50.8
2023-04-27 19:40:18,6.20,0,0,0.300,0,5.30,42.2,49.2
2023-04-27 19:40:19,6.20,0,0,0.300,0,5.60,44.2,61.6
2023-04-27 19:40:20,1.50,0,0,0.200,0,3.50,51.5,73.4
2023-04-27 19:40:21,1.000,0,0,0.300,0,6.70,48.9,74.8
2023-04-27 19:40:22,6.10,0,0,0.200,0,7.00,43.5,66.4
2023-04-27 19:40:23,6.00,0,0,0.300,0,6.90,43.8,66.4
2023-04-27 19:40:24,6.00,0,0,0.300,0,7.00,41.5,49.2
2023-04-27 19:40:25,6.00,0,0,0.300,0,7.10,41.3,61.0
2023-04-27 19:40:26,5.10,0,0,0.300,0,3.50,46.1,61.4
2023-04-27 19:40:27,0,0,0,0.400,0,4.10,50.5,66.2
2023-04-27 19:40:28,6.40,0,0,0.200,0,5.70,42.5,50.4
2023-04-27 19:40:29,6.40,0,0,0.400,0,5.40,42.6,50.0
2023-04-27 19:40:30,6.40,0,0,0.400,0.1000,5.80,42.8,55.8
2023-04-27 19:40:31,6.40,0,0,0.400,0.1000,6.30,42.3,73.8
