"Database Query/s (QPS)","Database Query/s (QPS)"
2023-04-27 17:21:48,20.35
2023-04-27 17:21:50,21.07
2023-04-27 17:21:52,27.09
2023-04-27 17:21:54,32.72
2023-04-27 17:21:56,36.71
2023-04-27 17:21:58,42.16
2023-04-27 17:22:00,48.49
2023-04-27 17:22:02,53.41
2023-04-27 17:22:04,60.87
2023-04-27 17:22:06,68.29
2023-04-27 17:22:08,76.23
2023-04-27 17:22:10,84.27
2023-04-27 17:22:12,92.46
2023-04-27 17:22:14,102.75
2023-04-27 17:22:16,110.20
2023-04-27 17:22:18,118.21
2023-04-27 17:22:20,127.20
2023-04-27 17:22:22,136.71
2023-04-27 17:22:24,145.00
2023-04-27 17:22:26,155.48
2023-04-27 17:22:28,162.36
2023-04-27 17:22:30,170.80
2023-04-27 17:22:32,181.21
2023-04-27 17:22:34,190.02
2023-04-27 17:22:36,200.32
2023-04-27 17:22:38,209.64
2023-04-27 17:22:40,217.33
2023-04-27 17:22:42,225.88
2023-04-27 17:22:44,235.86
2023-04-27 17:22:46,245.28
2023-04-27 17:22:48,255.16
2023-04-27 17:22:50,264.42
2023-04-27 17:22:52,274.04
2023-04-27 17:22:54,283.83
2023-04-27 17:22:56,294.40
2023-04-27 17:22:58,304.03
2023-04-27 17:23:00,313.17
2023-04-27 17:23:02,323.23
2023-04-27 17:23:04,331.78
2023-04-27 17:23:06,341.45
2023-04-27 17:23:08,350.87
2023-04-27 17:23:10,360.57
2023-04-27 17:23:12,369.73
2023-04-27 17:23:14,380.52
2023-04-27 17:23:16,390.92
2023-04-27 17:23:18,398.81
2023-04-27 17:23:20,409.01
2023-04-27 17:23:22,419.53
2023-04-27 17:23:24,429.12
2023-04-27 17:23:26,439.05
2023-04-27 17:23:28,450.03
2023-04-27 17:23:30,459.05
2023-04-27 17:23:32,470.23
2023-04-27 17:23:34,480.23
2023-04-27 17:23:36,489.48
2023-04-27 17:23:38,500.20
2023-04-27 17:23:40,508.91
2023-04-27 17:23:42,519.23
2023-04-27 17:23:44,529.01
2023-04-27 17:23:46,538.48
2023-04-27 17:23:48,548.51
2023-04-27 17:23:50,557.81
2023-04-27 17:23:52,567.77
2023-04-27 17:23:54,576.44
2023-04-27 17:23:56,587.09
2023-04-27 17:23:58,598.24
2023-04-27 17:24:00,607.52
2023-04-27 17:24:02,618.76
2023-04-27 17:24:04,629.73
2023-04-27 17:24:06,637.60
2023-04-27 17:24:08,648.02
2023-04-27 17:24:10,658.60
2023-04-27 17:24:12,670.08
2023-04-27 17:24:14,680.35
2023-04-27 17:24:16,689.53
2023-04-27 17:24:18,699.48
2023-04-27 17:24:20,708.74
2023-04-27 17:24:22,717.86
2023-04-27 17:24:24,729.23
2023-04-27 17:24:26,738.51
2023-04-27 17:24:28,748.59
2023-04-27 17:24:30,759.11
2023-04-27 17:24:32,767.83
2023-04-27 17:24:34,778.26
2023-04-27 17:24:36,788.56
2023-04-27 17:24:38,799.12
2023-04-27 17:24:40,809.04
2023-04-27 17:24:42,818.30
2023-04-27 17:24:44,827.74
2023-04-27 17:24:46,838.81
2023-04-27 17:24:48,848.66
2023-04-27 17:24:50,856.42
2023-04-27 17:24:52,866.54
2023-04-27 17:24:54,874.50
2023-04-27 17:24:56,885.44
2023-04-27 17:24:58,895.60
2023-04-27 17:25:00,903.97
2023-04-27 17:25:02,915.95
2023-04-27 17:25:04,925.03
2023-04-27 17:25:06,934.63
2023-04-27 17:25:08,944.86
2023-04-27 17:25:10,954.25
2023-04-27 17:25:12,963.68
2023-04-27 17:25:14,973.71
2023-04-27 17:25:16,982.71
2023-04-27 17:25:18,992.52
2023-04-27 17:25:20,1.00 K
2023-04-27 17:25:22,1.01 K
2023-04-27 17:25:24,1.02 K
2023-04-27 17:25:26,1.03 K
2023-04-27 17:25:28,1.04 K
2023-04-27 17:25:30,1.05 K
2023-04-27 17:25:32,1.06 K
2023-04-27 17:25:34,1.07 K
2023-04-27 17:25:36,1.08 K
2023-04-27 17:25:38,1.09 K
2023-04-27 17:25:40,1.10 K
2023-04-27 17:25:42,1.11 K
2023-04-27 17:25:44,1.12 K
2023-04-27 17:25:46,1.12 K
2023-04-27 17:25:48,1.13 K
2023-04-27 17:25:50,1.14 K
2023-04-27 17:25:52,1.15 K
2023-04-27 17:25:54,1.16 K
2023-04-27 17:25:56,1.17 K
2023-04-27 17:25:58,1.18 K
2023-04-27 17:26:00,1.19 K
2023-04-27 17:26:02,1.20 K
2023-04-27 17:26:04,1.21 K
2023-04-27 17:26:06,1.22 K
2023-04-27 17:26:08,1.23 K
2023-04-27 17:26:10,1.24 K
2023-04-27 17:26:12,1.25 K
2023-04-27 17:26:14,1.26 K
2023-04-27 17:26:16,1.27 K
2023-04-27 17:26:18,1.28 K
2023-04-27 17:26:20,1.29 K
2023-04-27 17:26:22,1.30 K
2023-04-27 17:26:24,1.31 K
2023-04-27 17:26:26,1.32 K
2023-04-27 17:26:28,1.33 K
2023-04-27 17:26:30,1.34 K
2023-04-27 17:26:32,1.35 K
2023-04-27 17:26:34,1.36 K
2023-04-27 17:26:36,1.37 K
2023-04-27 17:26:38,1.38 K
2023-04-27 17:26:40,1.39 K
2023-04-27 17:26:42,1.40 K
2023-04-27 17:26:44,1.41 K
2023-04-27 17:26:46,1.42 K
2023-04-27 17:26:48,1.43 K
2023-04-27 17:26:50,1.43 K

