"Time","Write","Read"
2023-04-27 17:21:48,70451,0
2023-04-27 17:21:49,76186,0
2023-04-27 17:21:50,1116570,400589
2023-04-27 17:21:51,5210112,3226829
2023-04-27 17:21:52,9692774,5902336
2023-04-27 17:21:53,16230810,7589888
2023-04-27 17:21:54,22114304,9689498
2023-04-27 17:21:55,26098893,11268915
2023-04-27 17:21:56,26941850,10692198
2023-04-27 17:21:57,25819546,10575872
2023-04-27 17:21:58,23737139,11037901
2023-04-27 17:21:59,21578547,11093606
2023-04-27 17:22:00,22084813,10713498
2023-04-27 17:22:01,22053683,10226074
2023-04-27 17:22:02,25036390,9502720
2023-04-27 17:22:03,24331059,9777971
2023-04-27 17:22:04,25585254,8969421
2023-04-27 17:22:05,25065062,8608154
2023-04-27 17:22:06,25099469,8537702
2023-04-27 17:22:07,24318771,7539917
2023-04-27 17:22:08,26802586,5975245
2023-04-27 17:22:09,26873856,6138266
2023-04-27 17:22:10,26592870,5999002
2023-04-27 17:22:11,26665779,5808947
2023-04-27 17:22:12,27183514,5714739
2023-04-27 17:22:13,27004928,5310874
2023-04-27 17:22:14,26088243,4767744
2023-04-27 17:22:15,27332608,4174643
2023-04-27 17:22:16,26583859,4062413
2023-04-27 17:22:17,27424358,4383539
2023-04-27 17:22:18,26460160,4707942
2023-04-27 17:22:19,27874918,4557210
2023-04-27 17:22:20,27467776,4567040
2023-04-27 17:22:21,27891302,3968205
2023-04-27 17:22:22,26793574,3767501
2023-04-27 17:22:23,27685683,3552870
2023-04-27 17:22:24,26752614,3131802
2023-04-27 17:22:25,25336218,3322675
2023-04-27 17:22:26,26125926,2993357
2023-04-27 17:22:27,25899008,2461696
2023-04-27 17:22:28,24041882,2791014
2023-04-27 17:22:29,26349568,3536486
2023-04-27 17:22:30,26777190,3111322
2023-04-27 17:22:31,25883443,3026944
2023-04-27 17:22:32,25503334,3073638
2023-04-27 17:22:33,26062029,2827059
2023-04-27 17:22:34,24752128,2501837
2023-04-27 17:22:35,25844122,2841805
2023-04-27 17:22:36,26708378,2772173
2023-04-27 17:22:37,26895155,2895872
2023-04-27 17:22:38,28214067,2945843
2023-04-27 17:22:39,29491200,2975334
2023-04-27 17:22:40,29736960,2723021
2023-04-27 17:22:41,28898918,3579085
2023-04-27 17:22:42,29473178,3370189
2023-04-27 17:22:43,28389376,3656909
2023-04-27 17:22:44,26837811,3431629
2023-04-27 17:22:45,26895155,3361997
2023-04-27 17:22:46,25885082,2477261
2023-04-27 17:22:47,26234880,2591949
2023-04-27 17:22:48,26406912,2254438
2023-04-27 17:22:49,26376602,1942323
2023-04-27 17:22:50,26546176,1980006
2023-04-27 17:22:51,26852557,2208563
2023-04-27 17:22:52,26723123,2571469
2023-04-27 17:22:53,27117978,2441216
2023-04-27 17:22:54,27029504,2456781
2023-04-27 17:22:55,27233485,2427290
2023-04-27 17:22:56,28751462,2697626
2023-04-27 17:22:57,28601549,2240512
2023-04-27 17:22:58,27865907,2165146
2023-04-27 17:22:59,28977562,2143846
2023-04-27 17:23:00,28786688,2424013
2023-04-27 17:23:01,29505126,2110259
2023-04-27 17:23:02,27917517,2224947
2023-04-27 17:23:03,28921856,1998848
2023-04-27 17:23:04,31897190,1933312
2023-04-27 17:23:05,39719731,1680179
2023-04-27 17:23:06,38007603,1399194
2023-04-27 17:23:07,38999654,1091994
2023-04-27 17:23:08,39938458,1216512
2023-04-27 17:23:09,36933632,1309901
2023-04-27 17:23:10,28127232,1337754
2023-04-27 17:23:11,28945613,1800602
2023-04-27 17:23:12,28372992,1949696
2023-04-27 17:23:13,27085210,1910374
2023-04-27 17:23:14,24604672,1966080
2023-04-27 17:23:15,25548390,1966080
2023-04-27 17:23:16,26493747,1487667
2023-04-27 17:23:17,28044493,1595802
2023-04-27 17:23:18,28205875,1625293
2023-04-27 17:23:19,30159667,1433600
2023-04-27 17:23:20,28249293,1440154
