"Time","Disk Reads (Page In)","Disk Writes (Page Out)","Total","Swap In (Reads)","Swap Out (Writes)"
2023-04-27 17:21:48,0,70451,70451,0,0
2023-04-27 17:21:49,0,76186,76186,0,0
2023-04-27 17:21:50,394854,1105920,1500774,0,0
2023-04-27 17:21:51,3226829,5209293,8436122,0,0
2023-04-27 17:21:52,5902336,9692774,15595110,0,0
2023-04-27 17:21:53,7589888,16230810,23820698,0,0
2023-04-27 17:21:54,9705882,22130688,31836570,0,0
2023-04-27 17:21:55,11271373,26103808,37375181,0,0
2023-04-27 17:21:56,10695475,26942669,37638144,0,0
2023-04-27 17:21:57,10572595,25819546,36392141,0,0
2023-04-27 17:21:58,11037901,23741235,34779136,0,0
2023-04-27 17:21:59,11077222,21562163,32639386,0,0
2023-04-27 17:22:00,10716774,22087270,32804045,0,0
2023-04-27 17:22:01,10219520,22033203,32252723,0,0
2023-04-27 17:22:02,9505997,25036390,34542387,0,0
2023-04-27 17:22:03,9777971,24344986,34122957,0,0
2023-04-27 17:22:04,8969421,25585254,34554675,0,0
2023-04-27 17:22:05,8608154,25068339,33676493,0,0
2023-04-27 17:22:06,8540979,25119949,33660928,0,0
2023-04-27 17:22:07,7539917,24286822,31826739,0,0
2023-04-27 17:22:08,5975245,26795213,32770458,0,0
2023-04-27 17:22:09,6138266,26856653,32994918,0,0
2023-04-27 17:22:10,5999002,26592870,32591872,0,0
2023-04-27 17:22:11,5808947,26664960,32473907,0,0
2023-04-27 17:22:12,5714739,27334246,33048986,0,0
2023-04-27 17:22:13,5310874,26940211,32251085,0,0
2023-04-27 17:22:14,4767744,26105446,30873190,0,0
2023-04-27 17:22:15,4174643,27333427,31508070,0,0
2023-04-27 17:22:16,4062413,26587955,30650368,0,0
2023-04-27 17:22:17,4383539,27305574,31689114,0,0
2023-04-27 17:22:18,4707942,26538803,31246746,0,0
2023-04-27 17:22:19,4553933,27874918,32428851,0,0
2023-04-27 17:22:20,4567040,27466957,32033997,0,0
2023-04-27 17:22:21,3968205,27901133,31869338,0,0
2023-04-27 17:22:22,3767501,26791117,30558618,0,0
2023-04-27 17:22:23,3552870,27661107,31213978,0,0
2023-04-27 17:22:24,3135078,26685440,29820518,0,0
2023-04-27 17:22:25,3322675,25358336,28681011,0,0
2023-04-27 17:22:26,2993357,26113638,29106995,0,0
2023-04-27 17:22:27,2461696,25881805,28343501,0,0
2023-04-27 17:22:28,2791014,24041062,26832077,0,0
2023-04-27 17:22:29,3539763,26469990,30009754,0,0
2023-04-27 17:22:30,3117875,26822246,29940122,0,0
2023-04-27 17:22:31,3026944,25824461,28851405,0,0
2023-04-27 17:22:32,3070362,25473843,28544205,0,0
2023-04-27 17:22:33,2827059,26055475,28882534,0,0
2023-04-27 17:22:34,2498560,24698880,27197440,0,0
2023-04-27 17:22:35,2838528,25776947,28615475,0,0
2023-04-27 17:22:36,2772173,26796851,29569024,0,0
2023-04-27 17:22:37,2899149,26944307,29843456,0,0
2023-04-27 17:22:38,2945843,28221440,31167283,0,0
2023-04-27 17:22:39,2975334,29491200,32466534,0,0
2023-04-27 17:22:40,2719744,29736960,32456704,0,0
2023-04-27 17:22:41,3579085,28898918,32478003,0,0
2023-04-27 17:22:42,3370189,29469901,32840090,0,0
2023-04-27 17:22:43,3656909,28386918,32043827,0,0
2023-04-27 17:22:44,3431629,26844365,30275994,0,0
2023-04-27 17:22:45,3365274,26895155,30260429,0,0
2023-04-27 17:22:46,2477261,25854771,28332032,0,0
2023-04-27 17:22:47,2591949,26238157,28830106,0,0
2023-04-27 17:22:48,2254438,26413466,28667904,0,0
2023-04-27 17:22:49,1932493,26370048,28302541,0,0
2023-04-27 17:22:50,1976730,26546176,28522906,0,0
2023-04-27 17:22:51,2208563,26853376,29061939,0,0
2023-04-27 17:22:52,2571469,26722304,29293773,0,0
2023-04-27 17:22:53,2441216,27127808,29569024,0,0
2023-04-27 17:22:54,2466611,27029504,29496115,0,0
2023-04-27 17:22:55,2430566,27240858,29671424,0,0
2023-04-27 17:22:56,2697626,28757197,31454822,0,0
2023-04-27 17:22:57,2240512,28602368,30842880,0,0
2023-04-27 17:22:58,2161869,27846246,30008115,0,0
2023-04-27 17:22:59,2143846,28980838,31124685,0,0
2023-04-27 17:23:00,2420736,28778496,31199232,0,0
2023-04-27 17:23:01,2110259,29465805,31576064,0,0
2023-04-27 17:23:02,2224947,27928986,30153933,0,0
2023-04-27 17:23:03,2002125,28927590,30929715,0,0
2023-04-27 17:23:04,1933312,35717939,37651251,0,0
2023-04-27 17:23:05,1680179,39720550,41400730,0,0
2023-04-27 17:23:06,1412301,38048563,39460864,0,0
2023-04-27 17:23:07,1091994,39004570,40096563,0,0
