"Time","Read","Write"
2023-04-27 17:21:48,0,6.60
2023-04-27 17:21:49,0,7.20
2023-04-27 17:21:50,17,41.4
2023-04-27 17:21:51,134,275
2023-04-27 17:21:52,261,513
2023-04-27 17:21:53,336,866
2023-04-27 17:21:54,439,1175
2023-04-27 17:21:55,507,1535
2023-04-27 17:21:56,487,1660
2023-04-27 17:21:57,474,1713
2023-04-27 17:21:58,489,1738
2023-04-27 17:21:59,474,1743
2023-04-27 17:22:00,454,1751
2023-04-27 17:22:01,439,1790
2023-04-27 17:22:02,413,1898
2023-04-27 17:22:03,436,1853
2023-04-27 17:22:04,407,1919
2023-04-27 17:22:05,389,1924
2023-04-27 17:22:06,375,1910
2023-04-27 17:22:07,317,1951
2023-04-27 17:22:08,238,2078
2023-04-27 17:22:09,246,2106
2023-04-27 17:22:10,250,2121
2023-04-27 17:22:11,246,2157
2023-04-27 17:22:12,252,2186
2023-04-27 17:22:13,241,2215
2023-04-27 17:22:14,216,2220
2023-04-27 17:22:15,188,2261
2023-04-27 17:22:16,186,2227
2023-04-27 17:22:17,201,2273
2023-04-27 17:22:18,214,2196
2023-04-27 17:22:19,208,2233
2023-04-27 17:22:20,211,2233
2023-04-27 17:22:21,181,2277
2023-04-27 17:22:22,164,2222
2023-04-27 17:22:23,152,2255
2023-04-27 17:22:24,131,2214
2023-04-27 17:22:25,137,2153
2023-04-27 17:22:26,124,2193
2023-04-27 17:22:27,102,2172
2023-04-27 17:22:28,116,2097
2023-04-27 17:22:29,160,2191
2023-04-27 17:22:30,139,2190
2023-04-27 17:22:31,140,2130
2023-04-27 17:22:32,142,2120
2023-04-27 17:22:33,134,2174
2023-04-27 17:22:34,112,2124
2023-04-27 17:22:35,125,2204
2023-04-27 17:22:36,120,2254
2023-04-27 17:22:37,126,2286
2023-04-27 17:22:38,121,2336
2023-04-27 17:22:39,122,2375
2023-04-27 17:22:40,115,2369
2023-04-27 17:22:41,156,2311
2023-04-27 17:22:42,146,2319
2023-04-27 17:22:43,162,2259
2023-04-27 17:22:44,148,2213
2023-04-27 17:22:45,143,2203
2023-04-27 17:22:46,101,2166
2023-04-27 17:22:47,106,2183
2023-04-27 17:22:48,91.2,2211
2023-04-27 17:22:49,80.6,2226
2023-04-27 17:22:50,84.8,2242
2023-04-27 17:22:51,95.2,2267
2023-04-27 17:22:52,118,2249
2023-04-27 17:22:53,115,2255
2023-04-27 17:22:54,116,2245
2023-04-27 17:22:55,113,2270
2023-04-27 17:22:56,125,2345
2023-04-27 17:22:57,98.8,2356
2023-04-27 17:22:58,93.8,2334
2023-04-27 17:22:59,88.2,2396
2023-04-27 17:23:00,104,2359
2023-04-27 17:23:01,92.2,2371
2023-04-27 17:23:02,96,2298
2023-04-27 17:23:03,87,2340
2023-04-27 17:23:04,88,2250
2023-04-27 17:23:05,73.6,2222
2023-04-27 17:23:06,60.2,2131
2023-04-27 17:23:07,50.4,2191
2023-04-27 17:23:08,53.6,2228
2023-04-27 17:23:09,59.2,2302
2023-04-27 17:23:10,59.2,2295
2023-04-27 17:23:11,82.4,2331
2023-04-27 17:23:12,86.4,2287
2023-04-27 17:23:13,86.2,2219
2023-04-27 17:23:14,85.4,2134
2023-04-27 17:23:15,83.4,2211
2023-04-27 17:23:16,59.6,2285
2023-04-27 17:23:17,63.4,2351
2023-04-27 17:23:18,61.6,2366
2023-04-27 17:23:19,55.6,2403
2023-04-27 17:23:20,56,2289
2023-04-27 17:23:21,58.2,2247
2023-04-27 17:23:22,54.2,2224
2023-04-27 17:23:23,54,2242
2023-04-27 17:23:24,56.2,2265
2023-04-27 17:23:25,48.6,2322
2023-04-27 17:23:26,49.2,2360
2023-04-27 17:23:27,49.4,2326
2023-04-27 17:23:28,51.8,2324
2023-04-27 17:23:29,49,2345
2023-04-27 17:23:30,50.6,2374
2023-04-27 17:23:31,47.4,2348
2023-04-27 17:23:32,49.2,2421
2023-04-27 17:23:33,44,2437
2023-04-27 17:23:34,43.8,2402
2023-04-27 17:23:35,44.2,2368
2023-04-27 17:23:36,47.4,2414
2023-04-27 17:23:37,44.4,2385
2023-04-27 17:23:38,42,2378
2023-04-27 17:23:39,42.6,2412
2023-04-27 17:23:40,39.8,2472
2023-04-27 17:23:41,38.6,2320
2023-04-27 17:23:42,40.4,2286
2023-04-27 17:23:43,42,2319
2023-04-27 17:23:44,46.4,2218
2023-04-27 17:23:45,47.6,2232
2023-04-27 17:23:46,43.4,2283
2023-04-27 17:23:47,44.6,2245
2023-04-27 17:23:48,41.4,2202
2023-04-27 17:23:49,33.2,2254
2023-04-27 17:23:50,32,2179
2023-04-27 17:23:51,34.8,2197
2023-04-27 17:23:52,32,2210
2023-04-27 17:23:53,32.4,2167
2023-04-27 17:23:54,31.4,2167
2023-04-27 17:23:55,31.2,2075
2023-04-27 17:23:56,36.2,2065
2023-04-27 17:23:57,34.6,2088
2023-04-27 17:23:58,36,2105
2023-04-27 17:23:59,37.8,2085
2023-04-27 17:24:00,37,2180
2023-04-27 17:24:01,29,2211
2023-04-27 17:24:02,29,2155
2023-04-27 17:24:03,31.4,2105
2023-04-27 17:24:04,34.8,2086
2023-04-27 17:24:05,34.2,2114
2023-04-27 17:24:06,32.2,2126
2023-04-27 17:24:07,34,2216
2023-04-27 17:24:08,32.2,2229
2023-04-27 17:24:09,30.2,2221
2023-04-27 17:24:10,29.8,2155
2023-04-27 17:24:11,33.4,2170
2023-04-27 17:24:12,29.4,2117
2023-04-27 17:24:13,27.2,2121
2023-04-27 17:24:14,28.2,2187
2023-04-27 17:24:15,29.2,2232
2023-04-27 17:24:16,30.6,2173
2023-04-27 17:24:17,29.4,2138
2023-04-27 17:24:18,30.2,2144
2023-04-27 17:24:19,24.6,2101
2023-04-27 17:24:20,27.6,2093
2023-04-27 17:24:21,24.8,2085
2023-04-27 17:24:22,26,2130
2023-04-27 17:24:23,27,2106
2023-04-27 17:24:24,32.6,2047
2023-04-27 17:24:25,29.8,2049
2023-04-27 17:24:26,32.2,2026
2023-04-27 17:24:27,29.8,2030
2023-04-27 17:24:28,26.2,2042
2023-04-27 17:24:29,22.4,2093
2023-04-27 17:24:30,22.8,2022
2023-04-27 17:24:31,19.2,2045
2023-04-27 17:24:32,20.8,2063
2023-04-27 17:24:33,21.2,2096
2023-04-27 17:24:34,23.8,2116
2023-04-27 17:24:35,22,2154
2023-04-27 17:24:36,23.4,2153
2023-04-27 17:24:37,23.4,2104
2023-04-27 17:24:38,24.6,2092
2023-04-27 17:24:39,20.2,2042
2023-04-27 17:24:40,20.6,2053
2023-04-27 17:24:41,23.4,2093
2023-04-27 17:24:42,24.6,2133
2023-04-27 17:24:43,22.8,2140
2023-04-27 17:24:44,26.2,2175
2023-04-27 17:24:45,28,2193
2023-04-27 17:24:46,26.8,2120
2023-04-27 17:24:47,27.4,2079
2023-04-27 17:24:48,30.2,2093
2023-04-27 17:24:49,27.2,2051
2023-04-27 17:24:50,24.8,2050
2023-04-27 17:24:51,25,2018
2023-04-27 17:24:52,25.6,2009
2023-04-27 17:24:53,27,2001
2023-04-27 17:24:54,27.6,2005
2023-04-27 17:24:55,29,1983
2023-04-27 17:24:56,27,2014
2023-04-27 17:24:57,24,2024
2023-04-27 17:24:58,20.6,2026
2023-04-27 17:24:59,22.2,2055
2023-04-27 17:25:00,21.2,2043
2023-04-27 17:25:01,22.2,2082
2023-04-27 17:25:02,21.4,2058
2023-04-27 17:25:03,20.4,2020
2023-04-27 17:25:04,17.8,2018
2023-04-27 17:25:05,16.2,2002
2023-04-27 17:25:06,13,1987
2023-04-27 17:25:07,15.2,2010
2023-04-27 17:25:08,16.2,2050
2023-04-27 17:25:09,19,2043
2023-04-27 17:25:10,21.8,2043
2023-04-27 17:25:11,24.4,2049
2023-04-27 17:25:12,21.4,2068
2023-04-27 17:25:13,19.8,2035
2023-04-27 17:25:14,16.6,2061
2023-04-27 17:25:15,13.2,2059
2023-04-27 17:25:16,12,2026
2023-04-27 17:25:17,14.8,2027
2023-04-27 17:25:18,17.2,2011
2023-04-27 17:25:19,19,2026
2023-04-27 17:25:20,21,2035
2023-04-27 17:25:21,22.6,2049
2023-04-27 17:25:22,21.4,1998
2023-04-27 17:25:23,21.2,2032
2023-04-27 17:25:24,21.2,2035
2023-04-27 17:25:25,23.4,1990
2023-04-27 17:25:26,22.2,2011
2023-04-27 17:25:27,21.2,2033
2023-04-27 17:25:28,19,1998
2023-04-27 17:25:29,17.2,1960
2023-04-27 17:25:30,13.4,1977
2023-04-27 17:25:31,12.8,1980
2023-04-27 17:25:32,13.4,1972
2023-04-27 17:25:33,12.8,2000
2023-04-27 17:25:34,12.4,2002
2023-04-27 17:25:35,14.6,2045
2023-04-27 17:25:36,13.6,2015
2023-04-27 17:25:37,14.6,2024
2023-04-27 17:25:38,17.6,1982
2023-04-27 17:25:39,16,1991
2023-04-27 17:25:40,14,1937
2023-04-27 17:25:41,15,1974
2023-04-27 17:25:42,11.4,1945
2023-04-27 17:25:43,11.4,1912
2023-04-27 17:25:44,13.4,1869
2023-04-27 17:25:45,14.2,1919
2023-04-27 17:25:46,13.4,1833
2023-04-27 17:25:47,13.6,1864
2023-04-27 17:25:48,12.4,1879
2023-04-27 17:25:49,11.4,1924
2023-04-27 17:25:50,11.6,1869
2023-04-27 17:25:51,11,1960
2023-04-27 17:25:52,11.8,1946
2023-04-27 17:25:53,10.8,2038
2023-04-27 17:25:54,12,2010
2023-04-27 17:25:55,10,2119
2023-04-27 17:25:56,9.80,2074
2023-04-27 17:25:57,9.80,2084
2023-04-27 17:25:58,8.20,2024
2023-04-27 17:25:59,9.40,2071
2023-04-27 17:26:00,11.8,2064
2023-04-27 17:26:01,12,2043
2023-04-27 17:26:02,11.6,2074
2023-04-27 17:26:03,14.2,2055
2023-04-27 17:26:04,12,1996
2023-04-27 17:26:05,10,1972
2023-04-27 17:26:06,10.2,1977
2023-04-27 17:26:07,10.8,1938
2023-04-27 17:26:08,9.60,2005
2023-04-27 17:26:09,12.6,2060
2023-04-27 17:26:10,11.8,2003
2023-04-27 17:26:11,11.8,2027
2023-04-27 17:26:12,11.8,2002
2023-04-27 17:26:13,13.2,1950
2023-04-27 17:26:14,10.2,1944
2023-04-27 17:26:15,11.2,1968
2023-04-27 17:26:16,10.2,2011
2023-04-27 17:26:17,8.80,2068
2023-04-27 17:26:18,7.40,2064
2023-04-27 17:26:19,7.80,2038
2023-04-27 17:26:20,8,2032
2023-04-27 17:26:21,9.40,1990
2023-04-27 17:26:22,9.40,1997
2023-04-27 17:26:23,7.80,1973
2023-04-27 17:26:24,9,1961
2023-04-27 17:26:25,8.20,1980
2023-04-27 17:26:26,6.60,2011
2023-04-27 17:26:27,7.80,2029
2023-04-27 17:26:28,10,2053
2023-04-27 17:26:29,8.80,2035
2023-04-27 17:26:30,9,2052
2023-04-27 17:26:31,10.4,2012
2023-04-27 17:26:32,10.6,1985
2023-04-27 17:26:33,11.4,2001
2023-04-27 17:26:34,10.8,2035
