"Disk Reads","Disk Reads"
2023-04-27 17:21:48,0.0 B/s
2023-04-27 17:21:50,394.9 kB/s
2023-04-27 17:21:52,5.9 MB/s
2023-04-27 17:21:54,9.7 MB/s
2023-04-27 17:21:56,10.7 MB/s
2023-04-27 17:21:58,11.0 MB/s
2023-04-27 17:22:00,10.7 MB/s
2023-04-27 17:22:02,9.5 MB/s
2023-04-27 17:22:04,9.0 MB/s
2023-04-27 17:22:06,8.5 MB/s
2023-04-27 17:22:08,6.0 MB/s
2023-04-27 17:22:10,6.0 MB/s
2023-04-27 17:22:12,5.7 MB/s
2023-04-27 17:22:14,4.8 MB/s
2023-04-27 17:22:16,4.1 MB/s
2023-04-27 17:22:18,4.7 MB/s
2023-04-27 17:22:20,4.6 MB/s
2023-04-27 17:22:22,3.8 MB/s
2023-04-27 17:22:24,3.1 MB/s
2023-04-27 17:22:26,3.0 MB/s
2023-04-27 17:22:28,2.8 MB/s
2023-04-27 17:22:30,3.1 MB/s
2023-04-27 17:22:32,3.1 MB/s
2023-04-27 17:22:34,2.5 MB/s
2023-04-27 17:22:36,2.8 MB/s
2023-04-27 17:22:38,2.9 MB/s
2023-04-27 17:22:40,2.7 MB/s
2023-04-27 17:22:42,3.4 MB/s
2023-04-27 17:22:44,3.4 MB/s
2023-04-27 17:22:46,2.5 MB/s
2023-04-27 17:22:48,2.3 MB/s
2023-04-27 17:22:50,2.0 MB/s
2023-04-27 17:22:52,2.6 MB/s
2023-04-27 17:22:54,2.5 MB/s
2023-04-27 17:22:56,2.7 MB/s
2023-04-27 17:22:58,2.2 MB/s
2023-04-27 17:23:00,2.4 MB/s
2023-04-27 17:23:02,2.2 MB/s
2023-04-27 17:23:04,1.9 MB/s
2023-04-27 17:23:06,1.4 MB/s
2023-04-27 17:23:08,1.2 MB/s
2023-04-27 17:23:10,1.3 MB/s
2023-04-27 17:23:12,1.9 MB/s
2023-04-27 17:23:14,2.0 MB/s
2023-04-27 17:23:16,1.5 MB/s
2023-04-27 17:23:18,1.6 MB/s
2023-04-27 17:23:20,1.4 MB/s
2023-04-27 17:23:22,1.3 MB/s
2023-04-27 17:23:24,1.3 MB/s
2023-04-27 17:23:26,1.1 MB/s
2023-04-27 17:23:28,1.2 MB/s
2023-04-27 17:23:30,1.2 MB/s
2023-04-27 17:23:32,1.1 MB/s
2023-04-27 17:23:34,927.3 kB/s
2023-04-27 17:23:36,1.1 MB/s
2023-04-27 17:23:38,956.8 kB/s
2023-04-27 17:23:40,907.7 kB/s
2023-04-27 17:23:42,912.6 kB/s
2023-04-27 17:23:44,1.1 MB/s
2023-04-27 17:23:46,1.0 MB/s
2023-04-27 17:23:48,953.5 kB/s
2023-04-27 17:23:50,736.5 kB/s
