"Disk Writes","Disk Writes"
2023-04-27 17:21:48,70.5 kB/s
2023-04-27 17:21:50,1.1 MB/s
2023-04-27 17:21:52,9.7 MB/s
2023-04-27 17:21:54,22.1 MB/s
2023-04-27 17:21:56,26.9 MB/s
2023-04-27 17:21:58,23.7 MB/s
2023-04-27 17:22:00,22.1 MB/s
2023-04-27 17:22:02,25.0 MB/s
2023-04-27 17:22:04,25.6 MB/s
2023-04-27 17:22:06,25.1 MB/s
2023-04-27 17:22:08,26.8 MB/s
2023-04-27 17:22:10,26.6 MB/s
2023-04-27 17:22:12,27.3 MB/s
2023-04-27 17:22:14,26.1 MB/s
2023-04-27 17:22:16,26.6 MB/s
2023-04-27 17:22:18,26.5 MB/s
2023-04-27 17:22:20,27.5 MB/s
2023-04-27 17:22:22,26.8 MB/s
2023-04-27 17:22:24,26.7 MB/s
2023-04-27 17:22:26,26.1 MB/s
2023-04-27 17:22:28,24.0 MB/s
2023-04-27 17:22:30,26.8 MB/s
2023-04-27 17:22:32,25.5 MB/s
2023-04-27 17:22:34,24.7 MB/s
2023-04-27 17:22:36,26.8 MB/s
2023-04-27 17:22:38,28.2 MB/s
2023-04-27 17:22:40,29.7 MB/s
2023-04-27 17:22:42,29.5 MB/s
2023-04-27 17:22:44,26.8 MB/s
2023-04-27 17:22:46,25.9 MB/s
2023-04-27 17:22:48,26.4 MB/s
2023-04-27 17:22:50,26.5 MB/s
2023-04-27 17:22:52,26.7 MB/s
2023-04-27 17:22:54,27.0 MB/s
2023-04-27 17:22:56,28.8 MB/s
2023-04-27 17:22:58,27.8 MB/s
2023-04-27 17:23:00,28.8 MB/s
2023-04-27 17:23:02,27.9 MB/s
2023-04-27 17:23:04,35.7 MB/s
2023-04-27 17:23:06,38.0 MB/s
2023-04-27 17:23:08,39.9 MB/s
2023-04-27 17:23:10,28.1 MB/s
2023-04-27 17:23:12,28.4 MB/s
2023-04-27 17:23:14,24.6 MB/s
2023-04-27 17:23:16,26.5 MB/s
2023-04-27 17:23:18,28.3 MB/s
2023-04-27 17:23:20,28.2 MB/s
2023-04-27 17:23:22,26.7 MB/s
2023-04-27 17:23:24,27.0 MB/s
2023-04-27 17:23:26,29.0 MB/s
2023-04-27 17:23:28,27.9 MB/s
2023-04-27 17:23:30,29.1 MB/s
2023-04-27 17:23:32,29.8 MB/s
2023-04-27 17:23:34,29.5 MB/s
2023-04-27 17:23:36,29.7 MB/s
2023-04-27 17:23:38,28.8 MB/s
2023-04-27 17:23:40,31.6 MB/s
2023-04-27 17:23:42,27.5 MB/s
2023-04-27 17:23:44,26.3 MB/s
2023-04-27 17:23:46,27.6 MB/s
2023-04-27 17:23:48,26.4 MB/s
2023-04-27 17:23:50,26.3 MB/s
2023-04-27 17:23:52,26.5 MB/s
2023-04-27 17:23:54,26.3 MB/s
2023-04-27 17:23:56,24.1 MB/s
2023-04-27 17:23:58,24.3 MB/s
2023-04-27 17:24:00,25.6 MB/s
2023-04-27 17:24:02,24.8 MB/s
2023-04-27 17:24:04,23.7 MB/s
2023-04-27 17:24:06,24.9 MB/s
2023-04-27 17:24:08,27.3 MB/s
2023-04-27 17:24:10,25.4 MB/s
2023-04-27 17:24:12,24.0 MB/s
