"Time","Data Fsyncs","Log Fsyncs"
2023-04-27 17:21:48,2.40,1
2023-04-27 17:21:49,2.60,1.20
2023-04-27 17:21:50,23.2,20.6
2023-04-27 17:21:51,102,91.2
2023-04-27 17:21:52,184,154
2023-04-27 17:21:53,303,204
2023-04-27 17:21:54,432,269
2023-04-27 17:21:55,549,306
2023-04-27 17:21:56,603,265
2023-04-27 17:21:57,642,256
2023-04-27 17:21:58,656,272
2023-04-27 17:21:59,652,262
2023-04-27 17:22:00,667,272
2023-04-27 17:22:01,684,298
2023-04-27 17:22:02,702,284
2023-04-27 17:22:03,702,281
2023-04-27 17:22:04,718,304
2023-04-27 17:22:05,713,312
2023-04-27 17:22:06,727,320
2023-04-27 17:22:07,745,342
2023-04-27 17:22:08,806,360
2023-04-27 17:22:09,805,334
2023-04-27 17:22:10,813,341
2023-04-27 17:22:11,807,348
2023-04-27 17:22:12,831,354
2023-04-27 17:22:13,812,351
2023-04-27 17:22:14,833,393
2023-04-27 17:22:15,871,370
2023-04-27 17:22:16,846,369
2023-04-27 17:22:17,873,367
2023-04-27 17:22:18,854,345
2023-04-27 17:22:19,863,321
2023-04-27 17:22:20,845,337
2023-04-27 17:22:21,860,343
2023-04-27 17:22:22,821,347
2023-04-27 17:22:23,840,345
2023-04-27 17:22:24,825,355
2023-04-27 17:22:25,793,361
2023-04-27 17:22:26,815,370
2023-04-27 17:22:27,830,363
2023-04-27 17:22:28,783,364
2023-04-27 17:22:29,826,340
2023-04-27 17:22:30,831,331
2023-04-27 17:22:31,803,326
2023-04-27 17:22:32,787,343
2023-04-27 17:22:33,814,364
2023-04-27 17:22:34,788,376
2023-04-27 17:22:35,824,389
2023-04-27 17:22:36,857,391
2023-04-27 17:22:37,868,394
2023-04-27 17:22:38,891,382
2023-04-27 17:22:39,906,367
2023-04-27 17:22:40,902,358
2023-04-27 17:22:41,873,348
2023-04-27 17:22:42,866,324
2023-04-27 17:22:43,846,326
2023-04-27 17:22:44,819,355
2023-04-27 17:22:45,823,350
2023-04-27 17:22:46,807,353
2023-04-27 17:22:47,823,364
2023-04-27 17:22:48,833,375
2023-04-27 17:22:49,845,381
2023-04-27 17:22:50,857,381
2023-04-27 17:22:51,859,387
2023-04-27 17:22:52,858,385
2023-04-27 17:22:53,846,370
2023-04-27 17:22:54,844,361
2023-04-27 17:22:55,830,375
2023-04-27 17:22:56,869,372
2023-04-27 17:22:57,886,375
2023-04-27 17:22:58,883,386
2023-04-27 17:22:59,914,393
2023-04-27 17:23:00,892,364
2023-04-27 17:23:01,901,352
2023-04-27 17:23:02,848,361
2023-04-27 17:23:03,866,365
2023-04-27 17:23:04,802,332
