"Time","Log Writes","Log Written"
2023-04-27 17:21:48,0.800,717
2023-04-27 17:21:49,1,819
2023-04-27 17:21:50,31,45568
2023-04-27 17:21:51,154,230707
2023-04-27 17:21:52,260,362496
2023-04-27 17:21:53,349,475034
2023-04-27 17:21:54,460,603136
2023-04-27 17:21:55,528,695398
2023-04-27 17:21:56,457,571904
2023-04-27 17:21:57,448,573338
2023-04-27 17:21:58,479,603853
2023-04-27 17:21:59,468,587571
2023-04-27 17:22:00,488,586854
2023-04-27 17:22:01,534,624435
2023-04-27 17:22:02,500,562074
2023-04-27 17:22:03,496,549376
2023-04-27 17:22:04,537,586342
2023-04-27 17:22:05,555,603853
2023-04-27 17:22:06,572,628634
2023-04-27 17:22:07,622,680755
2023-04-27 17:22:08,657,715469
2023-04-27 17:22:09,611,653107
2023-04-27 17:22:10,623,659558
2023-04-27 17:22:11,640,671232
2023-04-27 17:22:12,654,671130
2023-04-27 17:22:13,649,637645
2023-04-27 17:22:14,733,714650
2023-04-27 17:22:15,688,653210
2023-04-27 17:22:16,680,639590
2023-04-27 17:22:17,675,628736
2023-04-27 17:22:18,639,606310
2023-04-27 17:22:19,596,568832
2023-04-27 17:22:20,627,601805
2023-04-27 17:22:21,650,610714
2023-04-27 17:22:22,660,606618
2023-04-27 17:22:23,653,579277
2023-04-27 17:22:24,667,602010
2023-04-27 17:22:25,680,598938
2023-04-27 17:22:26,701,586342
2023-04-27 17:22:27,681,589107
2023-04-27 17:22:28,685,599654
2023-04-27 17:22:29,641,534426
2023-04-27 17:22:30,627,518042
2023-04-27 17:22:31,619,514662
2023-04-27 17:22:32,657,532378
2023-04-27 17:22:33,696,542618
2023-04-27 17:22:34,708,532582
2023-04-27 17:22:35,730,535757
2023-04-27 17:22:36,723,531968
2023-04-27 17:22:37,725,529920
2023-04-27 17:22:38,704,527667
2023-04-27 17:22:39,681,521114
2023-04-27 17:22:40,660,515994
2023-04-27 17:22:41,648,528282
2023-04-27 17:22:42,602,484147
2023-04-27 17:22:43,608,495002
2023-04-27 17:22:44,679,579482
2023-04-27 17:22:45,679,578253
2023-04-27 17:22:46,688,580813
2023-04-27 17:22:47,711,588288
2023-04-27 17:22:48,731,599859
2023-04-27 17:22:49,737,569037
2023-04-27 17:22:50,724,550093
2023-04-27 17:22:51,741,555008
2023-04-27 17:22:52,733,542515
2023-04-27 17:22:53,707,501043
2023-04-27 17:22:54,687,475648
2023-04-27 17:22:55,723,500224
2023-04-27 17:22:56,712,481178
2023-04-27 17:22:57,721,495002
2023-04-27 17:22:58,739,510669
2023-04-27 17:22:59,757,546816
2023-04-27 17:23:00,694,495104
2023-04-27 17:23:01,679,491827
2023-04-27 17:23:02,703,508826
2023-04-27 17:23:03,716,517427
2023-04-27 17:23:04,646,464896
2023-04-27 17:23:05,709,524493
2023-04-27 17:23:06,700,513126
2023-04-27 17:23:07,691,509338
2023-04-27 17:23:08,659,485478
2023-04-27 17:23:09,703,502170
2023-04-27 17:23:10,690,476160
2023-04-27 17:23:11,678,461619
2023-04-27 17:23:12,675,463053
2023-04-27 17:23:13,682,468173
2023-04-27 17:23:14,728,499712
2023-04-27 17:23:15,749,515686
2023-04-27 17:23:16,772,534835
2023-04-27 17:23:17,732,496128
2023-04-27 17:23:18,745,512922
2023-04-27 17:23:19,685,471142
2023-04-27 17:23:20,675,477696
2023-04-27 17:23:21,687,478413
2023-04-27 17:23:22,733,504832
2023-04-27 17:23:23,726,494285
2023-04-27 17:23:24,728,493158
2023-04-27 17:23:25,723,474112
2023-04-27 17:23:26,712,473498
2023-04-27 17:23:27,745,517427
2023-04-27 17:23:28,761,530534
2023-04-27 17:23:29,763,539034
2023-04-27 17:23:30,747,529613
2023-04-27 17:23:31,751,521933
2023-04-27 17:23:32,735,499405
2023-04-27 17:23:33,716,488960
2023-04-27 17:23:34,751,519578
2023-04-27 17:23:35,782,554906
2023-04-27 17:23:36,739,537702
2023-04-27 17:23:37,746,544154
2023-04-27 17:23:38,756,553677
2023-04-27 17:23:39,716,515072
2023-04-27 17:23:40,688,493363
2023-04-27 17:23:41,712,515789
2023-04-27 17:23:42,710,511693
