"Time","Time to Use Redo Log Space "
2023-04-27 17:21:48,140434
2023-04-27 17:21:49,122880
2023-04-27 17:21:50,2209
2023-04-27 17:21:51,436
2023-04-27 17:21:52,278
2023-04-27 17:21:53,212
2023-04-27 17:21:54,167
2023-04-27 17:21:55,145
2023-04-27 17:21:56,176
2023-04-27 17:21:57,176
2023-04-27 17:21:58,167
2023-04-27 17:21:59,171
2023-04-27 17:22:00,172
2023-04-27 17:22:01,161
2023-04-27 17:22:02,179
2023-04-27 17:22:03,183
2023-04-27 17:22:04,172
2023-04-27 17:22:05,167
2023-04-27 17:22:06,160
2023-04-27 17:22:07,148
2023-04-27 17:22:08,141
2023-04-27 17:22:09,154
2023-04-27 17:22:10,153
2023-04-27 17:22:11,150
2023-04-27 17:22:12,150
2023-04-27 17:22:13,158
2023-04-27 17:22:14,141
2023-04-27 17:22:15,154
2023-04-27 17:22:16,157
2023-04-27 17:22:17,160
2023-04-27 17:22:18,166
2023-04-27 17:22:19,177
2023-04-27 17:22:20,167
2023-04-27 17:22:21,165
2023-04-27 17:22:22,166
2023-04-27 17:22:23,174
2023-04-27 17:22:24,167
2023-04-27 17:22:25,168
2023-04-27 17:22:26,172
2023-04-27 17:22:27,171
2023-04-27 17:22:28,168
2023-04-27 17:22:29,188
2023-04-27 17:22:30,194
2023-04-27 17:22:31,196
2023-04-27 17:22:32,189
2023-04-27 17:22:33,186
2023-04-27 17:22:34,189
2023-04-27 17:22:35,188
2023-04-27 17:22:36,189
2023-04-27 17:22:37,190
2023-04-27 17:22:38,191
2023-04-27 17:22:39,193
2023-04-27 17:22:40,195
2023-04-27 17:22:41,191
2023-04-27 17:22:42,208
2023-04-27 17:22:43,203
2023-04-27 17:22:44,174
2023-04-27 17:22:45,174
2023-04-27 17:22:46,173
2023-04-27 17:22:47,171
2023-04-27 17:22:48,168
2023-04-27 17:22:49,177
2023-04-27 17:22:50,183
2023-04-27 17:22:51,181
2023-04-27 17:22:52,186
2023-04-27 17:22:53,201
2023-04-27 17:22:54,212
2023-04-27 17:22:55,201
2023-04-27 17:22:56,209
2023-04-27 17:22:57,203
2023-04-27 17:22:58,197
2023-04-27 17:22:59,184
2023-04-27 17:23:00,203
2023-04-27 17:23:01,205
2023-04-27 17:23:02,198
2023-04-27 17:23:03,195
2023-04-27 17:23:04,217
2023-04-27 17:23:05,192
2023-04-27 17:23:06,196
2023-04-27 17:23:07,198
2023-04-27 17:23:08,207
2023-04-27 17:23:09,200
2023-04-27 17:23:10,211
2023-04-27 17:23:11,218
2023-04-27 17:23:12,217
2023-04-27 17:23:13,215
2023-04-27 17:23:14,201
2023-04-27 17:23:15,195
2023-04-27 17:23:16,188
2023-04-27 17:23:17,203
2023-04-27 17:23:18,196
2023-04-27 17:23:19,214
2023-04-27 17:23:20,211
2023-04-27 17:23:21,210
2023-04-27 17:23:22,199
2023-04-27 17:23:23,204
2023-04-27 17:23:24,204
2023-04-27 17:23:25,212
2023-04-27 17:23:26,213
2023-04-27 17:23:27,195
2023-04-27 17:23:28,190
2023-04-27 17:23:29,187
2023-04-27 17:23:30,190
2023-04-27 17:23:31,193
2023-04-27 17:23:32,202
2023-04-27 17:23:33,206
2023-04-27 17:23:34,194
2023-04-27 17:23:35,181
2023-04-27 17:23:36,187
2023-04-27 17:23:37,185
2023-04-27 17:23:38,182
2023-04-27 17:23:39,195
2023-04-27 17:23:40,204
2023-04-27 17:23:41,195
2023-04-27 17:23:42,197
2023-04-27 17:23:43,197
2023-04-27 17:23:44,193
2023-04-27 17:23:45,200
2023-04-27 17:23:46,202
2023-04-27 17:23:47,202
2023-04-27 17:23:48,204
2023-04-27 17:23:49,213
2023-04-27 17:23:50,205
2023-04-27 17:23:51,193
2023-04-27 17:23:52,195
2023-04-27 17:23:53,202
2023-04-27 17:23:54,204
2023-04-27 17:23:55,209
2023-04-27 17:23:56,219
2023-04-27 17:23:57,218
2023-04-27 17:23:58,200
2023-04-27 17:23:59,189
2023-04-27 17:24:00,190
2023-04-27 17:24:01,194
2023-04-27 17:24:02,186
2023-04-27 17:24:03,191
2023-04-27 17:24:04,186
2023-04-27 17:24:05,190
2023-04-27 17:24:06,194
2023-04-27 17:24:07,202
2023-04-27 17:24:08,207
2023-04-27 17:24:09,210
2023-04-27 17:24:10,208
2023-04-27 17:24:11,195
2023-04-27 17:24:12,195
2023-04-27 17:24:13,195
2023-04-27 17:24:14,194
2023-04-27 17:24:15,187
2023-04-27 17:24:16,189
2023-04-27 17:24:17,199
2023-04-27 17:24:18,196
2023-04-27 17:24:19,208
2023-04-27 17:24:20,209
2023-04-27 17:24:21,212
2023-04-27 17:24:22,214
2023-04-27 17:24:23,213
2023-04-27 17:24:24,195
2023-04-27 17:24:25,196
2023-04-27 17:24:26,200
2023-04-27 17:24:27,201
2023-04-27 17:24:28,187
2023-04-27 17:24:29,197
2023-04-27 17:24:30,198
2023-04-27 17:24:31,184
2023-04-27 17:24:32,189
2023-04-27 17:24:33,201
2023-04-27 17:24:34,196
2023-04-27 17:24:35,195
2023-04-27 17:24:36,202
2023-04-27 17:24:37,184
2023-04-27 17:24:38,186
2023-04-27 17:24:39,186
2023-04-27 17:24:40,186
2023-04-27 17:24:41,186
2023-04-27 17:24:42,194
2023-04-27 17:24:43,202
2023-04-27 17:24:44,201
2023-04-27 17:24:45,200
2023-04-27 17:24:46,193
2023-04-27 17:24:47,192
2023-04-27 17:24:48,182
2023-04-27 17:24:49,190
2023-04-27 17:24:50,194
2023-04-27 17:24:51,200
2023-04-27 17:24:52,193
2023-04-27 17:24:53,199
2023-04-27 17:24:54,208
2023-04-27 17:24:55,207
2023-04-27 17:24:56,194
2023-04-27 17:24:57,201
2023-04-27 17:24:58,203
2023-04-27 17:24:59,192
2023-04-27 17:25:00,204
2023-04-27 17:25:01,209
2023-04-27 17:25:02,206
2023-04-27 17:25:03,214
2023-04-27 17:25:04,212
2023-04-27 17:25:05,205
2023-04-27 17:25:06,210
2023-04-27 17:25:07,210
2023-04-27 17:25:08,197
2023-04-27 17:25:09,188
2023-04-27 17:25:10,179
2023-04-27 17:25:11,185
2023-04-27 17:25:12,185
