"Time","iowait","irq","nice","softirq","steal","system","user","Max Core Utilization"
2023-04-27 17:21:48,0.200,0,0,0.100,0,0.700,3.50,5.00
2023-04-27 17:21:49,0.200,0,0,0.200,0,1.10,5.70,8.00
2023-04-27 17:21:50,1.40,0,0,0.100,0,1.80,6.40,8.80
2023-04-27 17:21:51,6.70,0,0,0.400,0,4.20,9.30,15.8
2023-04-27 17:21:52,12.1,0,0,0.500,0,7.00,12.5,25.4
2023-04-27 17:21:53,18.1,0,0,1.00,0.1000,9.50,15.9,34.4
2023-04-27 17:21:54,24.4,0,0,1.000,0.200,11.8,16.9,41.0
2023-04-27 17:21:55,29.9,0,0,1.40,0.200,13.7,20.4,48.6
2023-04-27 17:21:56,30.9,0,0,1.50,0.200,13.4,20.4,48.0
2023-04-27 17:21:57,31.7,0,0,1.60,0.200,12.3,20.5,46.0
2023-04-27 17:21:58,31.8,0,0,1.70,0.300,12.7,20.7,47.0
2023-04-27 17:21:59,31.6,0,0,1.90,0.200,13.1,21.0,47.4
2023-04-27 17:22:00,31.2,0,0,1.90,0.200,12.7,20.1,46.4
2023-04-27 17:22:01,31.2,0,0,1.80,0.300,12.8,21.3,47.6
2023-04-27 17:22:02,31.7,0,0,2.00,0.400,13.0,21.1,48.0
2023-04-27 17:22:03,31.8,0,0,1.60,0.200,12.0,20.8,46.6
2023-04-27 17:22:04,31.6,0,0,1.80,0.200,11.4,21.3,47.4
2023-04-27 17:22:05,31.4,0,0,1.90,0.200,12.0,22.0,48.8
2023-04-27 17:22:06,31.3,0,0,2.00,0.200,12.0,21.5,49.4
2023-04-27 17:22:07,30.7,0,0,2.10,0.200,12.8,23.4,52.0
2023-04-27 17:22:08,30.4,0,0,2.20,0.200,13.2,24.2,52.4
2023-04-27 17:22:09,30.6,0,0,2.20,0.200,13.2,23.7,51.0
2023-04-27 17:22:10,30.2,0,0,2.30,0.300,13.0,23.8,52.0
2023-04-27 17:22:11,30.0,0,0,2.10,0.300,13.4,24.3,52.8
2023-04-27 17:22:12,29.7,0,0,1.90,0.200,13.8,23.7,52.4
2023-04-27 17:22:13,29.7,0,0,2.20,0.200,13.5,24.1,52.8
2023-04-27 17:22:14,29.1,0,0,2.10,0.200,13.8,25.5,55.2
2023-04-27 17:22:15,29.8,0,0,1.90,0.200,13.8,25.1,53.6
2023-04-27 17:22:16,29.6,0,0,2.20,0.200,13.9,24.7,53.0
