"Database Query/s (QPS)","Database Query/s (QPS)"
2023-04-27 18:21:28,19.92
2023-04-27 18:21:30,19.90
2023-04-27 18:21:32,24.44
2023-04-27 18:21:34,29.11
2023-04-27 18:21:36,33.66
2023-04-27 18:21:38,38.32
2023-04-27 18:21:40,43.05
2023-04-27 18:21:42,47.74
2023-04-27 18:21:44,50.93
2023-04-27 18:21:46,53.79
2023-04-27 18:21:48,56.89
2023-04-27 18:21:50,59.18
2023-04-27 18:21:52,63.16
2023-04-27 18:21:54,67.63
2023-04-27 18:21:56,72.05
2023-04-27 18:21:58,76.61
2023-04-27 18:22:00,80.91
2023-04-27 18:22:02,85.43
2023-04-27 18:22:04,88.88
2023-04-27 18:22:06,93.34
2023-04-27 18:22:08,97.89
2023-04-27 18:22:10,102.29
2023-04-27 18:22:12,106.48
2023-04-27 18:22:14,110.86
2023-04-27 18:22:16,115.42
2023-04-27 18:22:18,119.89
2023-04-27 18:22:20,124.48
2023-04-27 18:22:22,128.81
2023-04-27 18:22:24,133.39
2023-04-27 18:22:26,137.85
2023-04-27 18:22:28,142.49
2023-04-27 18:22:30,147.18
2023-04-27 18:22:32,151.64
2023-04-27 18:22:34,156.00
2023-04-27 18:22:36,158.96
2023-04-27 18:22:38,163.02
2023-04-27 18:22:40,167.21
2023-04-27 18:22:42,171.51
2023-04-27 18:22:44,176.14
2023-04-27 18:22:46,180.62
2023-04-27 18:22:48,185.19
2023-04-27 18:22:50,189.66
2023-04-27 18:22:52,194.27
2023-04-27 18:22:54,198.74
2023-04-27 18:22:56,203.36
2023-04-27 18:22:58,207.82
2023-04-27 18:23:00,212.21
2023-04-27 18:23:02,217.01
2023-04-27 18:23:04,221.31
2023-04-27 18:23:06,224.68
2023-04-27 18:23:08,228.75
2023-04-27 18:23:10,233.23
2023-04-27 18:23:12,237.85
2023-04-27 18:23:14,242.44
2023-04-27 18:23:16,247.05
2023-04-27 18:23:18,251.11
2023-04-27 18:23:20,255.55
2023-04-27 18:23:22,259.79
2023-04-27 18:23:24,264.07
2023-04-27 18:23:26,268.27
2023-04-27 18:23:28,272.80
2023-04-27 18:23:30,277.59
2023-04-27 18:23:32,282.18
2023-04-27 18:23:34,286.86
2023-04-27 18:23:36,291.15
2023-04-27 18:23:38,295.44
2023-04-27 18:23:40,300.06
2023-04-27 18:23:42,304.45
2023-04-27 18:23:44,308.87
2023-04-27 18:23:46,313.73
2023-04-27 18:23:48,318.30
2023-04-27 18:23:50,322.82
2023-04-27 18:23:52,327.23
2023-04-27 18:23:54,331.97
2023-04-27 18:23:56,335.60
2023-04-27 18:23:58,340.19
2023-04-27 18:24:00,344.82
2023-04-27 18:24:02,349.50
2023-04-27 18:24:04,354.33
2023-04-27 18:24:06,359.08
2023-04-27 18:24:08,363.28
2023-04-27 18:24:10,368.09
2023-04-27 18:24:12,372.47
2023-04-27 18:24:14,376.98
2023-04-27 18:24:16,381.79
2023-04-27 18:24:18,386.30
2023-04-27 18:24:20,391.05
2023-04-27 18:24:22,395.73
2023-04-27 18:24:24,400.59
2023-04-27 18:24:26,405.31
2023-04-27 18:24:28,409.93
2023-04-27 18:24:30,414.86
2023-04-27 18:24:32,419.51
2023-04-27 18:24:34,424.24
2023-04-27 18:24:36,428.99
2023-04-27 18:24:38,433.56
2023-04-27 18:24:40,437.89
2023-04-27 18:24:42,442.40
2023-04-27 18:24:44,447.15
2023-04-27 18:24:46,451.75
2023-04-27 18:24:48,456.52
2023-04-27 18:24:50,461.00
2023-04-27 18:24:52,465.86
2023-04-27 18:24:54,470.59
2023-04-27 18:24:56,475.24
2023-04-27 18:24:58,479.75
2023-04-27 18:25:00,484.39
2023-04-27 18:25:02,489.07
2023-04-27 18:25:04,493.90
2023-04-27 18:25:06,498.73
2023-04-27 18:25:08,503.45
2023-04-27 18:25:10,507.91
2023-04-27 18:25:12,512.44
2023-04-27 18:25:14,517.00
2023-04-27 18:25:16,521.46
2023-04-27 18:25:18,525.99
2023-04-27 18:25:20,530.51
2023-04-27 18:25:22,535.38
2023-04-27 18:25:24,540.01
2023-04-27 18:25:26,544.69
2023-04-27 18:25:28,549.49
2023-04-27 18:25:30,554.01
2023-04-27 18:25:32,558.53
2023-04-27 18:25:34,562.90
2023-04-27 18:25:36,567.57
2023-04-27 18:25:38,572.11
2023-04-27 18:25:40,576.79
2023-04-27 18:25:42,581.00
2023-04-27 18:25:44,585.68
2023-04-27 18:25:46,590.34
2023-04-27 18:25:48,594.76
2023-04-27 18:25:50,599.71
2023-04-27 18:25:52,604.54
2023-04-27 18:25:54,609.21
2023-04-27 18:25:56,613.78
2023-04-27 18:25:58,618.52
2023-04-27 18:26:00,623.32
2023-04-27 18:26:02,628.10
2023-04-27 18:26:04,632.77
2023-04-27 18:26:06,637.36
2023-04-27 18:26:08,642.12
2023-04-27 18:26:10,647.22
2023-04-27 18:26:12,651.64
2023-04-27 18:26:14,656.34
2023-04-27 18:26:16,661.11
2023-04-27 18:26:18,665.79
2023-04-27 18:26:20,670.55
2023-04-27 18:26:22,675.16
2023-04-27 18:26:24,679.86
2023-04-27 18:26:26,684.61
2023-04-27 18:26:28,689.34
2023-04-27 18:26:30,694.18

