"Time","Write","Read"
2023-04-27 18:21:29,30310,0
2023-04-27 18:21:30,30310,0
2023-04-27 18:21:31,1531904,0
2023-04-27 18:21:32,3394765,0
2023-04-27 18:21:33,5359206,0
2023-04-27 18:21:34,7278592,0
2023-04-27 18:21:35,9091482,0
2023-04-27 18:21:36,9524838,0
2023-04-27 18:21:37,9533030,0
2023-04-27 18:21:38,9403597,0
2023-04-27 18:21:39,9450291,0
2023-04-27 18:21:40,9439642,0
2023-04-27 18:21:41,9302835,0
2023-04-27 18:21:42,9274982,0
2023-04-27 18:21:43,8993997,0
2023-04-27 18:21:44,8148582,0
2023-04-27 18:21:45,7538278,0
2023-04-27 18:21:46,6958285,0
2023-04-27 18:21:47,6286541,0
2023-04-27 18:21:48,5979341,5734
2023-04-27 18:21:49,5666406,11469
2023-04-27 18:21:50,5523046,88474
2023-04-27 18:21:51,5624627,353894
2023-04-27 18:21:52,5985894,565248
2023-04-27 18:21:53,6436454,714342
2023-04-27 18:21:54,7425229,884736
2023-04-27 18:21:55,8179712,985498
2023-04-27 18:21:56,8659763,896205
2023-04-27 18:21:57,8844902,901120
2023-04-27 18:21:58,8991539,887194
2023-04-27 18:21:59,8919450,889651
2023-04-27 18:22:00,8912896,920781
2023-04-27 18:22:01,8993178,842957
2023-04-27 18:22:02,9021850,858522
2023-04-27 18:22:03,14959411,901120
2023-04-27 18:22:04,15921971,844595
2023-04-27 18:22:05,15863808,788890
2023-04-27 18:22:06,15738470,875725
2023-04-27 18:22:07,15745843,787251
2023-04-27 18:22:08,9800909,824115
2023-04-27 18:22:09,9414246,905216
2023-04-27 18:22:10,9433907,960922
2023-04-27 18:22:11,9469952,960102
2023-04-27 18:22:12,9316762,927334
2023-04-27 18:22:13,9094758,954368
2023-04-27 18:22:14,8615526,948634
2023-04-27 18:22:15,8625357,831488
2023-04-27 18:22:16,8572928,852787
2023-04-27 18:22:17,8705638,908493
2023-04-27 18:22:18,8803123,829850
2023-04-27 18:22:19,8751514,797901
2023-04-27 18:22:20,8771994,851149
2023-04-27 18:22:21,8846541,774144
2023-04-27 18:22:22,8838349,750387
2023-04-27 18:22:23,8862925,731546
2023-04-27 18:22:24,8924365,727450
2023-04-27 18:22:25,8936653,759398
2023-04-27 18:22:26,8833434,833946
2023-04-27 18:22:27,8824422,892109
2023-04-27 18:22:28,8966144,900301
2023-04-27 18:22:29,9044787,984678
2023-04-27 18:22:30,9051341,924877
2023-04-27 18:22:31,9065267,919142
2023-04-27 18:22:32,9181594,851149
2023-04-27 18:22:33,9180774,835584
2023-04-27 18:22:34,9024307,727450
2023-04-27 18:22:35,15862170,653722
2023-04-27 18:22:36,15854797,615219
2023-04-27 18:22:37,15710618,570982
2023-04-27 18:22:38,15334605,564429
2023-04-27 18:22:39,15251866,579174
2023-04-27 18:22:40,8264090,608666
2023-04-27 18:22:41,8299315,583270
2023-04-27 18:22:42,8345190,616858
2023-04-27 18:22:43,8676966,605389
2023-04-27 18:22:44,8849818,629965
2023-04-27 18:22:45,8971059,762675
2023-04-27 18:22:46,9003827,692224
2023-04-27 18:22:47,8992358,670106
2023-04-27 18:22:48,9052979,640614
2023-04-27 18:22:49,8949760,667648
2023-04-27 18:22:50,8970240,607846
2023-04-27 18:22:51,9073459,700416
2023-04-27 18:22:52,9152922,724173
2023-04-27 18:22:53,9057075,740557
2023-04-27 18:22:54,9044787,679117
2023-04-27 18:22:55,9158656,716800
2023-04-27 18:22:56,9164390,673382
2023-04-27 18:22:57,9137357,644710
2023-04-27 18:22:58,9174221,643072
2023-04-27 18:22:59,9258598,665190
2023-04-27 18:23:00,9120154,616038
2023-04-27 18:23:01,9119334,625050
2023-04-27 18:23:02,9212723,637338
2023-04-27 18:23:03,9181594,666010
2023-04-27 18:23:04,9115238,562790
2023-04-27 18:23:05,8868659,573440
2023-04-27 18:23:06,15133901,516915
2023-04-27 18:23:07,15473869,497254
2023-04-27 18:23:08,15396045,453018
2023-04-27 18:23:09,15446835,484147
2023-04-27 18:23:10,15681126,433357
2023-04-27 18:23:11,9411789,556237
2023-04-27 18:23:12,9004646,553779
2023-04-27 18:23:13,9104589,542310
2023-04-27 18:23:14,9184051,589005
2023-04-27 18:23:15,9221734,606208
2023-04-27 18:23:16,9089024,546406
2023-04-27 18:23:17,8884224,506266
2023-04-27 18:23:18,8765440,516915
2023-04-27 18:23:19,8527053,530842
2023-04-27 18:23:20,8538522,525107
2023-04-27 18:23:21,8543437,456294
2023-04-27 18:23:22,8590950,471859
2023-04-27 18:23:23,8594227,435814
2023-04-27 18:23:24,8620442,385024
2023-04-27 18:23:25,8451686,371098
2023-04-27 18:23:26,8344371,372736
2023-04-27 18:23:27,8414003,391578
2023-04-27 18:23:28,8525414,421888
2023-04-27 18:23:29,8691712,443187
2023-04-27 18:23:30,8939110,448922
2023-04-27 18:23:31,9149645,489062
2023-04-27 18:23:32,9351168,529203
2023-04-27 18:23:33,9404416,578355
2023-04-27 18:23:34,9316762,556237
2023-04-27 18:23:35,9248768,527565
2023-04-27 18:23:36,9046426,524288
2023-04-27 18:23:37,11934925,461210
2023-04-27 18:23:38,15029862,391578
2023-04-27 18:23:39,15058534,389120
2023-04-27 18:23:40,15186330,384205
2023-04-27 18:23:41,15430451,403046
2023-04-27 18:23:42,12143002,532480
2023-04-27 18:23:43,10974003,580813
2023-04-27 18:23:44,11001856,548864
2023-04-27 18:23:45,10977280,601293
2023-04-27 18:23:46,11010048,566067
2023-04-27 18:23:47,11376230,482509
2023-04-27 18:23:48,9459302,466944
2023-04-27 18:23:49,9306112,457114
2023-04-27 18:23:50,9261875,380109
2023-04-27 18:23:51,9182413,405504
2023-04-27 18:23:52,9087386,403046
2023-04-27 18:23:53,9126707,466944
2023-04-27 18:23:54,9253683,525926
2023-04-27 18:23:55,9323315,638976
2023-04-27 18:23:56,9366733,715981
2023-04-27 18:23:57,9448653,728269
2023-04-27 18:23:58,9328230,661914
2023-04-27 18:23:59,9384755,616038
2023-04-27 18:24:00,9283994,544768
2023-04-27 18:24:01,9221734,431718
2023-04-27 18:24:02,9191424,406323
2023-04-27 18:24:03,9292186,382566
2023-04-27 18:24:04,9335603,425165
2023-04-27 18:24:05,9392128,439091
2023-04-27 18:24:06,9400320,480051
2023-04-27 18:24:07,9315123,493158
2023-04-27 18:24:08,12059443,578355
2023-04-27 18:24:09,15680307,520192
2023-04-27 18:24:10,15633613,489062
2023-04-27 18:24:11,15573811,564429
2023-04-27 18:24:12,15585280,536576
2023-04-27 18:24:13,12794266,453837
2023-04-27 18:24:14,10738074,499712
2023-04-27 18:24:15,10776576,533299
2023-04-27 18:24:16,10874880,447283
2023-04-27 18:24:17,10875699,416154
2023-04-27 18:24:18,10788864,473498
2023-04-27 18:24:19,9084928,398950
2023-04-27 18:24:20,9103770,369459
2023-04-27 18:24:21,9121792,321946
2023-04-27 18:24:22,9080013,348160
2023-04-27 18:24:23,9200435,278528
2023-04-27 18:24:24,9345434,333414
2023-04-27 18:24:25,9450291,405504
2023-04-27 18:24:26,9350349,431718
2023-04-27 18:24:27,9509274,497254
2023-04-27 18:24:28,9442918,548864
2023-04-27 18:24:29,9486336,530842
2023-04-27 18:24:30,9443738,462029
2023-04-27 18:24:31,9571533,522650
2023-04-27 18:24:32,9596109,430899
2023-04-27 18:24:33,9731277,342426
2023-04-27 18:24:34,9740288,367821
2023-04-27 18:24:35,9614131,367002
2023-04-27 18:24:36,9514189,362906
2023-04-27 18:24:37,9424077,384205
2023-04-27 18:24:38,9250406,434176
2023-04-27 18:24:39,13747814,432538
2023-04-27 18:24:40,15324774,474317
2023-04-27 18:24:41,15329690,383386
2023-04-27 18:24:42,15236301,431718
2023-04-27 18:24:43,15191245,441549
2023-04-27 18:24:44,10693018,448102
2023-04-27 18:24:45,10933043,436634
2023-04-27 18:24:46,10927309,486605
2023-04-27 18:24:47,11120640,468582
2023-04-27 18:24:48,11189453,478413
2023-04-27 18:24:49,10994483,456294
2023-04-27 18:24:50,9148006,475136
2023-04-27 18:24:51,9256141,494797
2023-04-27 18:24:52,9195520,471040
2023-04-27 18:24:53,9208627,453837
2023-04-27 18:24:54,9348710,454656
2023-04-27 18:24:55,9356083,407142
2023-04-27 18:24:56,9293824,404685
2023-04-27 18:24:57,9203712,457933
2023-04-27 18:24:58,9134899,451379
2023-04-27 18:24:59,9038234,484966
2023-04-27 18:25:00,9044787,493978
2023-04-27 18:25:01,8938291,453018
2023-04-27 18:25:02,9009562,436634
2023-04-27 18:25:03,9138176,459571
2023-04-27 18:25:04,9282355,444826
2023-04-27 18:25:05,9269248,459571
2023-04-27 18:25:06,9428992,430080
2023-04-27 18:25:07,9468314,444826
2023-04-27 18:25:08,9455206,412058
2023-04-27 18:25:09,9477325,430899
2023-04-27 18:25:10,13196493,393216
2023-04-27 18:25:11,15421440,434176
2023-04-27 18:25:12,15332966,392397
2023-04-27 18:25:13,15248589,411238
2023-04-27 18:25:14,15178957,371098
2023-04-27 18:25:15,11486003,384205
2023-04-27 18:25:16,11288576,390758
2023-04-27 18:25:17,11259904,445645
2023-04-27 18:25:18,11281203,416973
2023-04-27 18:25:19,11155866,440730
2023-04-27 18:25:20,11180442,454656
2023-04-27 18:25:21,9111962,415334
2023-04-27 18:25:22,9284813,366182
2023-04-27 18:25:23,9250406,422707
2023-04-27 18:25:24,9333146,401408
2023-04-27 18:25:25,9312666,460390
2023-04-27 18:25:26,9305293,462029
2023-04-27 18:25:27,9197978,475955
2023-04-27 18:25:28,9287270,464486
2023-04-27 18:25:29,9278259,486605
2023-04-27 18:25:30,9266790,398950
2023-04-27 18:25:31,9161933,410419
2023-04-27 18:25:32,9148006,381747
2023-04-27 18:25:33,9117696,430080
2023-04-27 18:25:34,9058714,391578
2023-04-27 18:25:35,9064448,411238
2023-04-27 18:25:36,9131622,403866
2023-04-27 18:25:37,9057075,453018
2023-04-27 18:25:38,9031680,325222
2023-04-27 18:25:39,9108685,344883
2023-04-27 18:25:40,9103770,384205
2023-04-27 18:25:41,13813350,396493
2023-04-27 18:25:42,14922547,338330
2023-04-27 18:25:43,14934835,387482
2023-04-27 18:25:44,14936474,394854
2023-04-27 18:25:45,14847181,413696
2023-04-27 18:25:46,10192486,389120
2023-04-27 18:25:47,11445043,401408
2023-04-27 18:25:48,11427021,484966
