"Disk Reads","Disk Reads"
2023-04-27 18:21:28,0.0 B/s
2023-04-27 18:21:30,0.0 B/s
2023-04-27 18:21:32,0.0 B/s
2023-04-27 18:21:34,0.0 B/s
2023-04-27 18:21:36,0.0 B/s
2023-04-27 18:21:38,0.0 B/s
2023-04-27 18:21:40,0.0 B/s
2023-04-27 18:21:42,0.0 B/s
2023-04-27 18:21:44,0.0 B/s
2023-04-27 18:21:46,0.0 B/s
2023-04-27 18:21:48,5.7 kB/s
2023-04-27 18:21:50,88.5 kB/s
2023-04-27 18:21:52,565.2 kB/s
2023-04-27 18:21:54,885.6 kB/s
2023-04-27 18:21:56,896.2 kB/s
2023-04-27 18:21:58,874.9 kB/s
2023-04-27 18:22:00,911.0 kB/s
2023-04-27 18:22:02,860.2 kB/s
2023-04-27 18:22:04,844.6 kB/s
2023-04-27 18:22:06,874.9 kB/s
2023-04-27 18:22:08,824.1 kB/s
2023-04-27 18:22:10,960.9 kB/s
2023-04-27 18:22:12,927.3 kB/s
2023-04-27 18:22:14,948.6 kB/s
2023-04-27 18:22:16,852.8 kB/s
2023-04-27 18:22:18,829.8 kB/s
2023-04-27 18:22:20,844.6 kB/s
2023-04-27 18:22:22,750.4 kB/s
2023-04-27 18:22:24,727.4 kB/s
2023-04-27 18:22:26,833.9 kB/s
2023-04-27 18:22:28,900.3 kB/s
2023-04-27 18:22:30,924.9 kB/s
2023-04-27 18:22:32,851.1 kB/s
2023-04-27 18:22:34,728.3 kB/s
2023-04-27 18:22:36,615.2 kB/s
2023-04-27 18:22:38,564.4 kB/s
2023-04-27 18:22:40,608.7 kB/s
2023-04-27 18:22:42,616.9 kB/s
2023-04-27 18:22:44,630.0 kB/s
2023-04-27 18:22:46,692.2 kB/s
2023-04-27 18:22:48,640.6 kB/s
2023-04-27 18:22:50,607.8 kB/s
2023-04-27 18:22:52,724.2 kB/s
2023-04-27 18:22:54,679.1 kB/s
2023-04-27 18:22:56,673.4 kB/s
2023-04-27 18:22:58,642.3 kB/s
2023-04-27 18:23:00,616.0 kB/s
2023-04-27 18:23:02,637.3 kB/s
2023-04-27 18:23:04,562.8 kB/s
2023-04-27 18:23:06,516.9 kB/s
2023-04-27 18:23:08,453.0 kB/s
2023-04-27 18:23:10,434.2 kB/s
2023-04-27 18:23:12,553.8 kB/s
2023-04-27 18:23:14,589.0 kB/s
2023-04-27 18:23:16,546.4 kB/s
2023-04-27 18:23:18,516.9 kB/s
2023-04-27 18:23:20,525.1 kB/s
2023-04-27 18:23:22,471.9 kB/s
2023-04-27 18:23:24,383.4 kB/s
2023-04-27 18:23:26,372.7 kB/s
2023-04-27 18:23:28,421.9 kB/s
2023-04-27 18:23:30,448.9 kB/s
2023-04-27 18:23:32,529.2 kB/s
2023-04-27 18:23:34,558.7 kB/s
2023-04-27 18:23:36,524.3 kB/s
2023-04-27 18:23:38,393.2 kB/s
2023-04-27 18:23:40,384.2 kB/s
2023-04-27 18:23:42,532.5 kB/s
2023-04-27 18:23:44,548.9 kB/s
2023-04-27 18:23:46,566.1 kB/s
2023-04-27 18:23:48,466.9 kB/s
2023-04-27 18:23:50,380.1 kB/s
2023-04-27 18:23:52,403.0 kB/s
2023-04-27 18:23:54,525.9 kB/s
2023-04-27 18:23:56,716.0 kB/s
2023-04-27 18:23:58,661.9 kB/s
2023-04-27 18:24:00,544.8 kB/s
2023-04-27 18:24:02,406.3 kB/s
2023-04-27 18:24:04,425.2 kB/s
2023-04-27 18:24:06,480.9 kB/s
2023-04-27 18:24:08,578.4 kB/s
2023-04-27 18:24:10,489.1 kB/s
2023-04-27 18:24:12,536.6 kB/s
2023-04-27 18:24:14,499.7 kB/s
2023-04-27 18:24:16,447.3 kB/s
2023-04-27 18:24:18,473.5 kB/s
2023-04-27 18:24:20,369.5 kB/s
2023-04-27 18:24:22,348.2 kB/s
2023-04-27 18:24:24,333.4 kB/s
2023-04-27 18:24:26,431.7 kB/s
2023-04-27 18:24:28,548.0 kB/s
2023-04-27 18:24:30,462.0 kB/s
2023-04-27 18:24:32,430.9 kB/s
2023-04-27 18:24:34,367.8 kB/s
2023-04-27 18:24:36,362.9 kB/s
2023-04-27 18:24:38,434.2 kB/s
2023-04-27 18:24:40,474.3 kB/s
2023-04-27 18:24:42,431.7 kB/s
2023-04-27 18:24:44,448.1 kB/s
2023-04-27 18:24:46,486.6 kB/s
2023-04-27 18:24:48,478.4 kB/s
2023-04-27 18:24:50,475.1 kB/s
2023-04-27 18:24:52,471.0 kB/s
2023-04-27 18:24:54,454.7 kB/s
2023-04-27 18:24:56,404.7 kB/s
2023-04-27 18:24:58,451.4 kB/s
2023-04-27 18:25:00,494.0 kB/s
2023-04-27 18:25:02,436.6 kB/s
2023-04-27 18:25:04,444.8 kB/s
2023-04-27 18:25:06,439.1 kB/s
2023-04-27 18:25:08,410.4 kB/s
2023-04-27 18:25:10,393.2 kB/s
2023-04-27 18:25:12,392.4 kB/s
2023-04-27 18:25:14,371.1 kB/s
2023-04-27 18:25:16,390.8 kB/s
2023-04-27 18:25:18,417.0 kB/s
2023-04-27 18:25:20,454.7 kB/s
2023-04-27 18:25:22,366.2 kB/s
2023-04-27 18:25:24,401.4 kB/s
2023-04-27 18:25:26,462.0 kB/s
2023-04-27 18:25:28,464.5 kB/s
2023-04-27 18:25:30,399.0 kB/s
2023-04-27 18:25:32,380.9 kB/s
2023-04-27 18:25:34,391.6 kB/s
2023-04-27 18:25:36,403.9 kB/s
2023-04-27 18:25:38,325.2 kB/s
2023-04-27 18:25:40,384.2 kB/s
2023-04-27 18:25:42,338.3 kB/s
2023-04-27 18:25:44,394.9 kB/s
2023-04-27 18:25:46,389.1 kB/s
2023-04-27 18:25:48,485.0 kB/s
2023-04-27 18:25:50,440.7 kB/s
2023-04-27 18:25:52,405.5 kB/s
2023-04-27 18:25:54,327.7 kB/s
2023-04-27 18:25:56,439.1 kB/s
2023-04-27 18:25:58,421.1 kB/s
2023-04-27 18:26:00,366.2 kB/s
2023-04-27 18:26:02,299.8 kB/s
2023-04-27 18:26:04,435.8 kB/s
2023-04-27 18:26:06,481.7 kB/s
2023-04-27 18:26:08,375.2 kB/s
2023-04-27 18:26:10,336.7 kB/s
2023-04-27 18:26:12,406.3 kB/s
2023-04-27 18:26:14,457.9 kB/s
2023-04-27 18:26:16,412.9 kB/s
2023-04-27 18:26:18,370.3 kB/s
2023-04-27 18:26:20,335.1 kB/s
2023-04-27 18:26:22,351.4 kB/s
2023-04-27 18:26:24,377.7 kB/s
2023-04-27 18:26:26,429.3 kB/s
2023-04-27 18:26:28,389.1 kB/s
2023-04-27 18:26:30,326.0 kB/s

