"Disk Writes","Disk Writes"
2023-04-27 18:21:28,30.3 kB/s
2023-04-27 18:21:30,30.3 kB/s
2023-04-27 18:21:32,3.4 MB/s
2023-04-27 18:21:34,7.3 MB/s
2023-04-27 18:21:36,9.5 MB/s
2023-04-27 18:21:38,9.4 MB/s
2023-04-27 18:21:40,9.4 MB/s
2023-04-27 18:21:42,9.3 MB/s
2023-04-27 18:21:44,8.1 MB/s
2023-04-27 18:21:46,7.0 MB/s
2023-04-27 18:21:48,6.0 MB/s
2023-04-27 18:21:50,5.5 MB/s
2023-04-27 18:21:52,6.0 MB/s
2023-04-27 18:21:54,7.4 MB/s
2023-04-27 18:21:56,8.7 MB/s
2023-04-27 18:21:58,9.0 MB/s
2023-04-27 18:22:00,8.9 MB/s
2023-04-27 18:22:02,9.1 MB/s
2023-04-27 18:22:04,15.9 MB/s
2023-04-27 18:22:06,15.7 MB/s
2023-04-27 18:22:08,9.7 MB/s
2023-04-27 18:22:10,9.4 MB/s
2023-04-27 18:22:12,9.3 MB/s
2023-04-27 18:22:14,8.6 MB/s
2023-04-27 18:22:16,8.6 MB/s
2023-04-27 18:22:18,8.8 MB/s
2023-04-27 18:22:20,8.8 MB/s
2023-04-27 18:22:22,8.8 MB/s
2023-04-27 18:22:24,8.9 MB/s
2023-04-27 18:22:26,8.8 MB/s
2023-04-27 18:22:28,9.0 MB/s
2023-04-27 18:22:30,9.1 MB/s
2023-04-27 18:22:32,9.2 MB/s
2023-04-27 18:22:34,9.0 MB/s
2023-04-27 18:22:36,15.9 MB/s
2023-04-27 18:22:38,15.3 MB/s
2023-04-27 18:22:40,8.3 MB/s
2023-04-27 18:22:42,8.3 MB/s
2023-04-27 18:22:44,8.9 MB/s
2023-04-27 18:22:46,9.0 MB/s
2023-04-27 18:22:48,9.0 MB/s
2023-04-27 18:22:50,9.0 MB/s
2023-04-27 18:22:52,9.1 MB/s
2023-04-27 18:22:54,9.0 MB/s
2023-04-27 18:22:56,9.2 MB/s
2023-04-27 18:22:58,9.2 MB/s
2023-04-27 18:23:00,9.1 MB/s
2023-04-27 18:23:02,9.2 MB/s
2023-04-27 18:23:04,9.1 MB/s
2023-04-27 18:23:06,15.2 MB/s
