"Time","iowait","irq","nice","softirq","steal","system","user","Max Core Utilization"
2023-04-27 18:21:29,0,0,0,0.1000,0,0.900,3.60,4.60
2023-04-27 18:21:30,0,0,0,0,0,1.10,3.60,4.80
2023-04-27 18:21:31,5.10,0,0,0.200,0,1.80,5.40,9.40
2023-04-27 18:21:32,11.6,0,0,0.700,0.100,3.00,7.10,14.0
2023-04-27 18:21:33,17.9,0,0,1.20,0.200,4.50,8.70,19.4
2023-04-27 18:21:34,24.2,0,0,1.70,0.200,5.50,10.3,24.4
2023-04-27 18:21:35,30.2,0,0,1.90,0.200,6.80,12.2,28.8
2023-04-27 18:21:36,31.6,0,0,2.00,0.200,7.00,12.4,29.6
2023-04-27 18:21:37,31.5,0,0,1.90,0.1000,6.70,12.5,29.6
2023-04-27 18:21:38,31.4,0,0,1.70,0,6.70,12.9,28.8
2023-04-27 18:21:39,31.6,0,0,1.30,0,6.50,13.2,28.8
2023-04-27 18:21:40,32.0,0,0,1.50,0,6.40,13.5,30.0
2023-04-27 18:21:41,31.8,0,0,1.50,0,6.60,13.3,29.8
2023-04-27 18:21:42,31.7,0,0,1.50,0.1000,6.70,13.4,29.6
2023-04-27 18:21:43,31.0,0,0,1.50,0.1000,7.50,13.6,30.8
2023-04-27 18:21:44,28.5,0,0,1.70,0.200,11.8,15.3,34.6
2023-04-27 18:21:45,26.1,0,0,1.50,0.200,17.6,16.7,37.6
2023-04-27 18:21:46,24.1,0,0,1.50,0.200,21.7,18.7,43.8
2023-04-27 18:21:47,21.7,0,0,1.50,0.100,27.7,20.6,53.8
2023-04-27 18:21:48,20.2,0,0,1.60,0.100,30.7,21.9,59.6
2023-04-27 18:21:49,17.3,0,0,1.60,0,32.5,28.0,67.2
2023-04-27 18:21:50,16.0,0,0,1.90,0,32.2,30.4,67.2
2023-04-27 18:21:51,16.5,0,0,1.80,0,32.2,29.6,66.8
2023-04-27 18:21:52,18.9,0,0,1.60,0.1000,26.3,27.7,55.8
2023-04-27 18:21:53,21.4,0,0,1.70,0.1000,22.5,25.9,52.4
2023-04-27 18:21:54,27.3,0,0,1.50,0.1000,16.3,17.7,40.2
2023-04-27 18:21:55,31.5,0,0,1.20,0.1000,10.6,13.3,31.2
2023-04-27 18:21:56,33.6,0,0,1.30,0.200,6.40,11.6,29.2
2023-04-27 18:21:57,34.1,0,0,1.40,0.1000,6.40,11.3,28.4
2023-04-27 18:21:58,34.5,0,0,1.30,0.1000,6.20,11.0,27.6
2023-04-27 18:21:59,34.1,0,0,1.60,0.1000,6.50,10.9,27.8
2023-04-27 18:22:00,34.0,0,0,2.00,0.200,6.50,10.4,28.0
2023-04-27 18:22:01,33.6,0,0,1.80,0.1000,6.40,11.2,27.4
2023-04-27 18:22:02,33.4,0,0,2.00,0.1000,6.60,10.7,26.4
2023-04-27 18:22:03,33.3,0,0,2.00,0.1000,6.80,10.4,26.4
2023-04-27 18:22:04,34.0,0,0,2.00,0.1000,6.40,10.1,25.2
2023-04-27 18:22:05,33.9,0,0,1.70,0,6.60,10.7,25.0
2023-04-27 18:22:06,34.2,0,0,1.90,0.1000,6.90,9.90,25.0
2023-04-27 18:22:07,33.8,0,0,1.60,0.1000,7.10,10.5,26.4
2023-04-27 18:22:08,33.7,0,0,1.60,0.200,7.30,11.1,27.6
2023-04-27 18:22:09,33.0,0,0,1.70,0.200,7.30,11.2,28.0
2023-04-27 18:22:10,32.9,0,0,1.60,0.200,7.20,11.1,28.4
2023-04-27 18:22:11,33.0,0,0,1.60,0.100,6.80,11.0,27.8
2023-04-27 18:22:12,32.9,0,0,1.80,0.100,6.20,11.3,27.6
2023-04-27 18:22:13,32.5,0,0,1.80,0,5.70,11.9,27.0
2023-04-27 18:22:14,32.5,0,0,1.70,0.1000,5.70,12.2,27.8
2023-04-27 18:22:15,32.1,0,0,1.80,0.1000,5.80,12.5,27.6
2023-04-27 18:22:16,31.7,0,0,1.70,0.200,6.00,12.7,28.8
2023-04-27 18:22:17,31.9,0,0,1.50,0.200,6.20,12.3,27.6
2023-04-27 18:22:18,31.8,0,0,1.60,0.200,5.90,11.9,27.0
2023-04-27 18:22:19,31.0,0,0,1.60,0.1000,6.30,14.0,28.4
2023-04-27 18:22:20,31.1,0,0,1.40,0.1000,6.20,14.6,29.0
2023-04-27 18:22:21,31.4,0,0,1.50,0,6.20,14.6,29.6
2023-04-27 18:22:22,31.5,0,0,1.50,0.1000,6.20,14.8,30.6
2023-04-27 18:22:23,31.5,0,0,1.30,0.1000,6.80,14.6,30.8
2023-04-27 18:22:24,32.2,0,0,1.10,0.1000,6.50,12.8,29.0
2023-04-27 18:22:25,32.3,0,0,1.30,0.1000,6.60,12.3,29.0
2023-04-27 18:22:26,31.9,0,0,1.30,0.1000,6.60,12.7,28.8
2023-04-27 18:22:27,31.7,0,0,1.20,0,6.60,12.7,29.0
2023-04-27 18:22:28,31.7,0,0,1.50,0.100,6.10,12.9,28.4
2023-04-27 18:22:29,32.0,0,0,1.60,0.200,6.40,12.0,27.8
2023-04-27 18:22:30,32.0,0,0,1.60,0.200,6.40,11.7,27.6
2023-04-27 18:22:31,32.0,0,0,1.50,0.200,6.40,11.5,27.6
2023-04-27 18:22:32,32.3,0,0,1.80,0.200,6.20,11.8,27.6
2023-04-27 18:22:33,32.9,0,0,1.50,0.1000,6.40,11.5,28.0
2023-04-27 18:22:34,32.5,0,0,1.40,0,6.00,12.3,28.2
2023-04-27 18:22:35,33.4,0,0,1.50,0.100,5.70,11.8,27.2
2023-04-27 18:22:36,33.5,0,0,1.50,0.100,5.50,11.8,26.4
2023-04-27 18:22:37,33.4,0,0,1.50,0.100,5.70,11.8,26.8
2023-04-27 18:22:38,32.5,0,0,1.50,0.200,6.00,12.6,28.2
2023-04-27 18:22:39,32.7,0,0,1.90,0.200,6.50,12.7,29.4
2023-04-27 18:22:40,31.9,0,0,1.80,0.200,6.80,13.3,31.0
2023-04-27 18:22:41,31.8,0,0,1.70,0.200,7.00,13.1,31.2
2023-04-27 18:22:42,32.0,0,0,1.50,0.200,7.30,12.6,30.4
2023-04-27 18:22:43,32.4,0,0,1.50,0.1000,7.50,11.7,29.4
2023-04-27 18:22:44,32.6,0,0,1.20,0.1000,7.20,11.0,28.6
2023-04-27 18:22:45,32.7,0,0,1.20,0,7.20,10.8,28.0
2023-04-27 18:22:46,32.7,0,0,1.60,0.200,7.00,10.9,28.8
2023-04-27 18:22:47,32.5,0,0,1.50,0.200,6.50,10.7,28.2
2023-04-27 18:22:48,32.9,0,0,1.50,0.200,6.40,11.4,28.8
2023-04-27 18:22:49,31.6,0,0,1.60,0.200,6.70,14.5,30.8
2023-04-27 18:22:50,31.5,0,0,1.60,0.200,6.30,15,30.2
2023-04-27 18:22:51,31.7,0,0,1.40,0,6.60,14.8,29.4
2023-04-27 18:22:52,31.9,0,0,1.60,0,6.70,15.1,29.4
2023-04-27 18:22:53,32.0,0,0,1.60,0.1000,6.10,14.4,28.0
2023-04-27 18:22:54,32.7,0,0,1.60,0.1000,5.90,12.1,27.0
2023-04-27 18:22:55,33.0,0,0,1.60,0.200,6.30,11.6,27.2
2023-04-27 18:22:56,33.2,0,0,1.50,0.200,6.10,11.9,27.8
2023-04-27 18:22:57,32.7,0,0,1.50,0.200,6.30,12.4,29.0
2023-04-27 18:22:58,32.3,0,0,1.50,0.1000,6.30,13.2,29.8
2023-04-27 18:22:59,32.5,0,0,1.50,0.200,5.90,12.5,28.0
2023-04-27 18:23:00,32.0,0,0,1.30,0.100,6.00,12.6,27.8
2023-04-27 18:23:01,31.6,0,0,1.40,0.100,6.30,12.6,27.6
2023-04-27 18:23:02,32.3,0,0,1.30,0.100,6.20,11.9,27.0
2023-04-27 18:23:03,32.6,0,0,1.40,0.100,6.30,10.9,26.2
2023-04-27 18:23:04,32.6,0,0,1.10,0.1000,6.50,11.6,27.4
2023-04-27 18:23:05,32.3,0,0,1.40,0.200,6.40,12.3,29.6
2023-04-27 18:23:06,32.8,0,0,1.50,0.200,6.40,11.5,29.2
2023-04-27 18:23:07,33.0,0,0,1.50,0.200,6.30,11.0,27.8
2023-04-27 18:23:08,32.5,0,0,1.40,0.200,6.80,11.6,29.2
2023-04-27 18:23:09,32.6,0,0,1.60,0.1000,7.40,11.2,30.0
2023-04-27 18:23:10,33.1,0,0,1.60,0,7.60,10.8,29.2
2023-04-27 18:23:11,33.0,0,0,1.30,0,7.40,10.8,28.6
2023-04-27 18:23:12,32.5,0,0,1.20,0.1000,7.00,11.6,29.4
