"Database Query/s (QPS)","Database Query/s (QPS)"
2023-04-27 20:26:36,56.85
2023-04-27 20:26:38,56.82
2023-04-27 20:26:40,56.85
2023-04-27 20:26:42,56.88
2023-04-27 20:26:44,56.89
2023-04-27 20:26:46,56.88
2023-04-27 20:26:48,56.88
2023-04-27 20:26:50,56.90
2023-04-27 20:26:52,56.88
2023-04-27 20:26:54,56.90
2023-04-27 20:26:56,56.90
2023-04-27 20:26:58,56.91
2023-04-27 20:27:00,56.90
2023-04-27 20:27:02,56.91
2023-04-27 20:27:04,56.91
2023-04-27 20:27:06,56.93
2023-04-27 20:27:08,56.94
2023-04-27 20:27:10,56.94
2023-04-27 20:27:12,56.95
2023-04-27 20:27:14,56.95
2023-04-27 20:27:16,56.95
2023-04-27 20:27:18,56.95
2023-04-27 20:27:20,56.92
2023-04-27 20:27:22,56.82
2023-04-27 20:27:24,56.82
2023-04-27 20:27:26,56.84
2023-04-27 20:27:28,56.82
2023-04-27 20:27:30,56.78
2023-04-27 20:27:32,56.71
2023-04-27 20:27:34,56.05
2023-04-27 20:27:36,55.60
2023-04-27 20:27:38,55.60
2023-04-27 20:27:40,55.60
2023-04-27 20:27:42,55.59
2023-04-27 20:27:44,55.59
2023-04-27 20:27:46,55.60
2023-04-27 20:27:48,55.58
2023-04-27 20:27:50,55.58
2023-04-27 20:27:52,55.56
2023-04-27 20:27:54,55.49
2023-04-27 20:27:56,55.48
2023-04-27 20:27:58,55.44
2023-04-27 20:28:00,55.44
2023-04-27 20:28:02,55.48
2023-04-27 20:28:04,55.46
2023-04-27 20:28:06,55.48
2023-04-27 20:28:08,55.48
2023-04-27 20:28:10,55.47
2023-04-27 20:28:12,55.46
2023-04-27 20:28:14,55.48
2023-04-27 20:28:16,55.47
2023-04-27 20:28:18,55.47
2023-04-27 20:28:20,55.47
2023-04-27 20:28:22,55.48
2023-04-27 20:28:24,55.43
2023-04-27 20:28:26,55.41
2023-04-27 20:28:28,55.41
2023-04-27 20:28:30,55.42
2023-04-27 20:28:32,55.40
2023-04-27 20:28:34,55.40
2023-04-27 20:28:36,55.42
2023-04-27 20:28:38,55.34
