"Time","Write","Read"
2023-04-27 20:26:37,1638,0
2023-04-27 20:26:38,12288,0
2023-04-27 20:26:39,12288,391578
2023-04-27 20:26:40,12288,391578
2023-04-27 20:26:41,22938,391578
2023-04-27 20:26:42,24576,391578
2023-04-27 20:26:43,17203,391578
2023-04-27 20:26:44,17203,0
2023-04-27 20:26:45,25395,0
2023-04-27 20:26:46,16250470,0
2023-04-27 20:26:47,26252083,0
2023-04-27 20:26:48,26248806,0
2023-04-27 20:26:49,26248806,0
2023-04-27 20:26:50,26247987,0
2023-04-27 20:26:51,10012262,0
2023-04-27 20:26:52,7140147,0
2023-04-27 20:26:53,26258637,0
2023-04-27 20:26:54,26259456,0
2023-04-27 20:26:55,26252083,0
2023-04-27 20:26:56,26252083,0
2023-04-27 20:26:57,19133235,0
2023-04-27 20:26:58,1724416,0
2023-04-27 20:26:59,26262733,0
2023-04-27 20:27:00,26262733,0
2023-04-27 20:27:01,26262733,0
2023-04-27 20:27:02,26251264,0
2023-04-27 20:27:03,24541594,0
2023-04-27 20:27:04,2458,0
2023-04-27 20:27:05,26242253,0
2023-04-27 20:27:06,26278298,0
2023-04-27 20:27:07,26295501,0
2023-04-27 20:27:08,26297958,0
2023-04-27 20:27:09,26331546,0
2023-04-27 20:27:10,91750,0
2023-04-27 20:27:11,26293043,0
2023-04-27 20:27:12,26273382,0
2023-04-27 20:27:13,26274202,0
2023-04-27 20:27:14,26240614,0
2023-04-27 20:27:15,26240614,0
2023-04-27 20:27:16,3277,0
2023-04-27 20:27:17,26235699,0
2023-04-27 20:27:18,26242253,0
2023-04-27 20:27:19,26242253,0
2023-04-27 20:27:20,26242253,0
2023-04-27 20:27:21,26242253,0
2023-04-27 20:27:22,11469,0
2023-04-27 20:27:23,18357453,0
2023-04-27 20:27:24,26240614,0
2023-04-27 20:27:25,26249626,0
2023-04-27 20:27:26,26249626,0
2023-04-27 20:27:27,26250445,0
2023-04-27 20:27:28,7894630,0
2023-04-27 20:27:29,11469,0
2023-04-27 20:27:30,5931008,0
2023-04-27 20:27:31,26241434,0
2023-04-27 20:27:32,26240614,0
2023-04-27 20:27:33,26243072,0
2023-04-27 20:27:34,26243072,0
2023-04-27 20:27:35,20314522,0
2023-04-27 20:27:36,4096,0
2023-04-27 20:27:37,26242253,0
2023-04-27 20:27:38,26241434,0
2023-04-27 20:27:39,26241434,0
2023-04-27 20:27:40,26272563,0
2023-04-27 20:27:41,26272563,0
2023-04-27 20:27:42,35226,0
2023-04-27 20:27:43,26270925,0
2023-04-27 20:27:44,26270925,0
2023-04-27 20:27:45,26239795,0
2023-04-27 20:27:46,26239795,0
2023-04-27 20:27:47,26238976,0
2023-04-27 20:27:48,4096,0
2023-04-27 20:27:49,20495565,0
2023-04-27 20:27:50,26241434,0
2023-04-27 20:27:51,26241434,0
2023-04-27 20:27:52,26239795,0
2023-04-27 20:27:53,26238976,0
2023-04-27 20:27:54,5758976,0
2023-04-27 20:27:55,15495987,0
2023-04-27 20:27:56,26252083,0
2023-04-27 20:27:57,26258637,0
2023-04-27 20:27:58,26256998,0
2023-04-27 20:27:59,26261914,0
2023-04-27 20:28:00,10779034,0
2023-04-27 20:28:01,12273254,0
2023-04-27 20:28:02,26307789,0
2023-04-27 20:28:03,26311066,0
2023-04-27 20:28:04,26294682,0
2023-04-27 20:28:05,26294682,0
2023-04-27 20:28:06,14044365,0
2023-04-27 20:28:07,8969421,0
2023-04-27 20:28:08,26239795,0
2023-04-27 20:28:09,26239795,0
2023-04-27 20:28:10,26261914,0
2023-04-27 20:28:11,26261914,0
2023-04-27 20:28:12,17298227,0
2023-04-27 20:28:13,2025062,0
2023-04-27 20:28:14,26262733,0
2023-04-27 20:28:15,26240614,0
2023-04-27 20:28:16,26240614,0
2023-04-27 20:28:17,26243072,0
2023-04-27 20:28:18,24242586,0
2023-04-27 20:28:19,4915,0
2023-04-27 20:28:20,26242253,0
2023-04-27 20:28:21,26242253,0
2023-04-27 20:28:22,26237338,0
2023-04-27 20:28:23,26240614,0
2023-04-27 20:28:24,26240614,0
2023-04-27 20:28:25,3277,0
2023-04-27 20:28:26,22779494,0
2023-04-27 20:28:27,26242253,0
2023-04-27 20:28:28,26238976,0
2023-04-27 20:28:29,26238976,0
2023-04-27 20:28:30,26239795,0
2023-04-27 20:28:31,3463578,0
2023-04-27 20:28:32,19698483,0
2023-04-27 20:28:33,26242253,0
2023-04-27 20:28:34,26242253,0
2023-04-27 20:28:35,26251264,0
2023-04-27 20:28:36,26251264,0
2023-04-27 20:28:37,6558515,0
2023-04-27 20:28:38,17691443,0
2023-04-27 20:28:39,26262733,0
2023-04-27 20:28:40,26252902,0
2023-04-27 20:28:41,26278298,0
2023-04-27 20:28:42,26275840,0
2023-04-27 20:28:43,8599142,0
2023-04-27 20:28:44,14372045,0
2023-04-27 20:28:45,14378598,0
2023-04-27 20:28:46,14363853,0
2023-04-27 20:28:47,14363034,0
2023-04-27 20:28:48,14365491,0
2023-04-27 20:28:49,21299,0
2023-04-27 20:28:50,14746,0
2023-04-27 20:28:51,7727514,0
2023-04-27 20:28:52,26243072,0
2023-04-27 20:28:53,26242253,0
2023-04-27 20:28:54,26243072,0
2023-04-27 20:28:55,26243072,0
2023-04-27 20:28:56,18519654,0
2023-04-27 20:28:57,57344,0
2023-04-27 20:28:58,26300416,0
2023-04-27 20:28:59,26304512,0
2023-04-27 20:29:00,26304512,0
2023-04-27 20:29:01,26304512,0
2023-04-27 20:29:02,26249626,0
2023-04-27 20:29:03,4915,0
2023-04-27 20:29:04,26238976,0
2023-04-27 20:29:05,26238976,0
2023-04-27 20:29:06,26239795,0
2023-04-27 20:29:07,26244710,0
2023-04-27 20:29:08,26244710,0
2023-04-27 20:29:09,5734,0
2023-04-27 20:29:10,25362432,0
2023-04-27 20:29:11,26244710,0
2023-04-27 20:29:12,26270925,0
2023-04-27 20:29:13,26274202,0
2023-04-27 20:29:14,26274202,0
2023-04-27 20:29:15,917504,0
2023-04-27 20:29:16,36864,0
2023-04-27 20:29:17,19700941,0
2023-04-27 20:29:18,26242253,0
2023-04-27 20:29:19,26242253,0
2023-04-27 20:29:20,26242253,0
2023-04-27 20:29:21,26239795,0
2023-04-27 20:29:22,6547046,0
2023-04-27 20:29:23,2458,0
2023-04-27 20:29:24,26240614,0
2023-04-27 20:29:25,26240614,0
2023-04-27 20:29:26,26241434,0
2023-04-27 20:29:27,26240614,0
2023-04-27 20:29:28,26243072,0
2023-04-27 20:29:29,4915,0
2023-04-27 20:29:30,17168794,0
2023-04-27 20:29:31,26252902,0
2023-04-27 20:29:32,26251264,0
2023-04-27 20:29:33,26250445,0
2023-04-27 20:29:34,26250445,0
2023-04-27 20:29:35,9086566,0
2023-04-27 20:29:36,9532211,0
2023-04-27 20:29:37,26252083,0
2023-04-27 20:29:38,26250445,0
2023-04-27 20:29:39,26250445,0
2023-04-27 20:29:40,26250445,0
2023-04-27 20:29:41,16719872,0
2023-04-27 20:29:42,26214,0
2023-04-27 20:29:43,26264371,0
2023-04-27 20:29:44,26264371,0
2023-04-27 20:29:45,26264371,0
2023-04-27 20:29:46,26264371,0
2023-04-27 20:29:47,26247987,0
2023-04-27 20:29:48,13107,0
2023-04-27 20:29:49,14645658,0
2023-04-27 20:29:50,26252083,0
2023-04-27 20:29:51,26252083,0
2023-04-27 20:29:52,26297139,58982
2023-04-27 20:29:53,26293862,58982
2023-04-27 20:29:54,11662131,58982
2023-04-27 20:29:55,9397043,58982
2023-04-27 20:29:56,26294682,58982
2023-04-27 20:29:57,26239795,0
2023-04-27 20:29:58,26247168,0
2023-04-27 20:29:59,26252083,0
2023-04-27 20:30:00,16910746,0
2023-04-27 20:30:01,6148096,0
2023-04-27 20:30:02,26252902,0
2023-04-27 20:30:03,26245530,0
2023-04-27 20:30:04,26239795,0
2023-04-27 20:30:05,26239795,0
2023-04-27 20:30:06,20104806,0
2023-04-27 20:30:07,3277,0
2023-04-27 20:30:08,26243072,0
2023-04-27 20:30:09,26243072,0
2023-04-27 20:30:10,26243072,0
2023-04-27 20:30:11,26243072,0
2023-04-27 20:30:12,26239795,0
2023-04-27 20:30:13,18842,26214
2023-04-27 20:30:14,25674547,26214
