"Time","Read","Write"
2023-04-27 20:26:37,0,0.200
2023-04-27 20:26:38,0,1.20
2023-04-27 20:26:39,20.6,1.20
2023-04-27 20:26:40,20.6,1.20
2023-04-27 20:26:41,20.6,4
2023-04-27 20:26:42,20.6,4
2023-04-27 20:26:43,20.6,3.60
2023-04-27 20:26:44,0,3.60
2023-04-27 20:26:45,0,4
2023-04-27 20:26:46,0,66.6
2023-04-27 20:26:47,0,107
2023-04-27 20:26:48,0,106
2023-04-27 20:26:49,0,106
2023-04-27 20:26:50,0,107
2023-04-27 20:26:51,0,41.8
2023-04-27 20:26:52,0,29.4
2023-04-27 20:26:53,0,104
2023-04-27 20:26:54,0,104
2023-04-27 20:26:55,0,103
2023-04-27 20:26:56,0,103
2023-04-27 20:26:57,0,76.6
2023-04-27 20:26:58,0,9.40
2023-04-27 20:26:59,0,106
2023-04-27 20:27:00,0,106
2023-04-27 20:27:01,0,106
2023-04-27 20:27:02,0,105
2023-04-27 20:27:03,0,97.4
2023-04-27 20:27:04,0,0.400
2023-04-27 20:27:05,0,103
2023-04-27 20:27:06,0,104
2023-04-27 20:27:07,0,104
2023-04-27 20:27:08,0,105
2023-04-27 20:27:09,0,107
2023-04-27 20:27:10,0,4.60
2023-04-27 20:27:11,0,108
2023-04-27 20:27:12,0,107
2023-04-27 20:27:13,0,107
2023-04-27 20:27:14,0,105
2023-04-27 20:27:15,0,105
2023-04-27 20:27:16,0,0.600
2023-04-27 20:27:17,0,102
2023-04-27 20:27:18,0,103
2023-04-27 20:27:19,0,103
2023-04-27 20:27:20,0,103
2023-04-27 20:27:21,0,103
2023-04-27 20:27:22,0,2.40
2023-04-27 20:27:23,0,73.2
2023-04-27 20:27:24,0,105
2023-04-27 20:27:25,0,107
2023-04-27 20:27:26,0,107
2023-04-27 20:27:27,0,107
2023-04-27 20:27:28,0,34.2
2023-04-27 20:27:29,0,2.40
2023-04-27 20:27:30,0,24.4
2023-04-27 20:27:31,0,104
2023-04-27 20:27:32,0,103
2023-04-27 20:27:33,0,104
2023-04-27 20:27:34,0,104
2023-04-27 20:27:35,0,79.8
2023-04-27 20:27:36,0,0.600
2023-04-27 20:27:37,0,105
2023-04-27 20:27:38,0,104
2023-04-27 20:27:39,0,104
2023-04-27 20:27:40,0,107
2023-04-27 20:27:41,0,107
