"Disk Reads","Disk Reads"
2023-04-27 20:26:36,0.0 B/s
2023-04-27 20:26:38,0.0 B/s
2023-04-27 20:26:40,391.6 kB/s
2023-04-27 20:26:42,391.6 kB/s
2023-04-27 20:26:44,0.0 B/s
2023-04-27 20:26:46,0.0 B/s
2023-04-27 20:26:48,0.0 B/s
2023-04-27 20:26:50,0.0 B/s
2023-04-27 20:26:52,0.0 B/s
2023-04-27 20:26:54,0.0 B/s
2023-04-27 20:26:56,0.0 B/s
2023-04-27 20:26:58,0.0 B/s
2023-04-27 20:27:00,0.0 B/s
2023-04-27 20:27:02,0.0 B/s
2023-04-27 20:27:04,0.0 B/s
2023-04-27 20:27:06,0.0 B/s
2023-04-27 20:27:08,0.0 B/s
2023-04-27 20:27:10,0.0 B/s
2023-04-27 20:27:12,0.0 B/s
2023-04-27 20:27:14,0.0 B/s
2023-04-27 20:27:16,0.0 B/s
2023-04-27 20:27:18,0.0 B/s
2023-04-27 20:27:20,0.0 B/s
2023-04-27 20:27:22,0.0 B/s
2023-04-27 20:27:24,0.0 B/s
2023-04-27 20:27:26,0.0 B/s
2023-04-27 20:27:28,0.0 B/s
2023-04-27 20:27:30,0.0 B/s
2023-04-27 20:27:32,0.0 B/s
2023-04-27 20:27:34,0.0 B/s
2023-04-27 20:27:36,0.0 B/s
2023-04-27 20:27:38,0.0 B/s
2023-04-27 20:27:40,0.0 B/s
2023-04-27 20:27:42,0.0 B/s
2023-04-27 20:27:44,0.0 B/s
2023-04-27 20:27:46,0.0 B/s
2023-04-27 20:27:48,0.0 B/s
2023-04-27 20:27:50,0.0 B/s
2023-04-27 20:27:52,0.0 B/s
2023-04-27 20:27:54,0.0 B/s
2023-04-27 20:27:56,0.0 B/s
2023-04-27 20:27:58,0.0 B/s
2023-04-27 20:28:00,0.0 B/s
2023-04-27 20:28:02,0.0 B/s
2023-04-27 20:28:04,0.0 B/s
2023-04-27 20:28:06,0.0 B/s
2023-04-27 20:28:08,0.0 B/s
2023-04-27 20:28:10,0.0 B/s
2023-04-27 20:28:12,0.0 B/s
2023-04-27 20:28:14,0.0 B/s
2023-04-27 20:28:16,0.0 B/s
2023-04-27 20:28:18,0.0 B/s
2023-04-27 20:28:20,0.0 B/s
2023-04-27 20:28:22,0.0 B/s
2023-04-27 20:28:24,0.0 B/s
2023-04-27 20:28:26,0.0 B/s
2023-04-27 20:28:28,0.0 B/s
2023-04-27 20:28:30,0.0 B/s
2023-04-27 20:28:32,0.0 B/s
2023-04-27 20:28:34,0.0 B/s
2023-04-27 20:28:36,0.0 B/s
2023-04-27 20:28:38,0.0 B/s
2023-04-27 20:28:40,0.0 B/s
2023-04-27 20:28:42,0.0 B/s
2023-04-27 20:28:44,0.0 B/s
2023-04-27 20:28:46,0.0 B/s
2023-04-27 20:28:48,0.0 B/s
2023-04-27 20:28:50,0.0 B/s
2023-04-27 20:28:52,0.0 B/s
2023-04-27 20:28:54,0.0 B/s
2023-04-27 20:28:56,0.0 B/s
2023-04-27 20:28:58,0.0 B/s
2023-04-27 20:29:00,0.0 B/s
2023-04-27 20:29:02,0.0 B/s
2023-04-27 20:29:04,0.0 B/s
2023-04-27 20:29:06,0.0 B/s
2023-04-27 20:29:08,0.0 B/s
2023-04-27 20:29:10,0.0 B/s
2023-04-27 20:29:12,0.0 B/s
2023-04-27 20:29:14,0.0 B/s
2023-04-27 20:29:16,0.0 B/s
2023-04-27 20:29:18,0.0 B/s
2023-04-27 20:29:20,0.0 B/s
2023-04-27 20:29:22,0.0 B/s
2023-04-27 20:29:24,0.0 B/s
2023-04-27 20:29:26,0.0 B/s
2023-04-27 20:29:28,0.0 B/s
2023-04-27 20:29:30,0.0 B/s
2023-04-27 20:29:32,0.0 B/s
2023-04-27 20:29:34,0.0 B/s
2023-04-27 20:29:36,0.0 B/s
2023-04-27 20:29:38,0.0 B/s
2023-04-27 20:29:40,0.0 B/s
2023-04-27 20:29:42,0.0 B/s
2023-04-27 20:29:44,0.0 B/s
2023-04-27 20:29:46,0.0 B/s
2023-04-27 20:29:48,0.0 B/s
2023-04-27 20:29:50,0.0 B/s
2023-04-27 20:29:52,59.0 kB/s
2023-04-27 20:29:54,59.0 kB/s
2023-04-27 20:29:56,59.0 kB/s
2023-04-27 20:29:58,0.0 B/s
2023-04-27 20:30:00,0.0 B/s
2023-04-27 20:30:02,0.0 B/s
2023-04-27 20:30:04,0.0 B/s
2023-04-27 20:30:06,0.0 B/s
2023-04-27 20:30:08,0.0 B/s
2023-04-27 20:30:10,0.0 B/s
2023-04-27 20:30:12,0.0 B/s
2023-04-27 20:30:14,26.2 kB/s
2023-04-27 20:30:16,26.2 kB/s
2023-04-27 20:30:18,0.0 B/s
2023-04-27 20:30:20,0.0 B/s
2023-04-27 20:30:22,0.0 B/s
2023-04-27 20:30:24,0.0 B/s
2023-04-27 20:30:26,0.0 B/s
2023-04-27 20:30:28,4.1 kB/s
2023-04-27 20:30:30,4.1 kB/s
2023-04-27 20:30:32,4.1 kB/s
2023-04-27 20:30:34,0.0 B/s
2023-04-27 20:30:36,0.0 B/s
2023-04-27 20:30:38,0.0 B/s
2023-04-27 20:30:40,0.0 B/s
2023-04-27 20:30:42,0.0 B/s
2023-04-27 20:30:44,0.0 B/s
2023-04-27 20:30:46,0.0 B/s
2023-04-27 20:30:48,819.2 B/s
2023-04-27 20:30:50,819.2 B/s
2023-04-27 20:30:52,0.0 B/s
2023-04-27 20:30:54,0.0 B/s
2023-04-27 20:30:56,0.0 B/s
2023-04-27 20:30:58,0.0 B/s
2023-04-27 20:31:00,0.0 B/s
2023-04-27 20:31:02,0.0 B/s
2023-04-27 20:31:04,0.0 B/s
2023-04-27 20:31:06,0.0 B/s
2023-04-27 20:31:08,0.0 B/s
2023-04-27 20:31:10,0.0 B/s
2023-04-27 20:31:12,0.0 B/s
2023-04-27 20:31:14,0.0 B/s
2023-04-27 20:31:16,0.0 B/s
2023-04-27 20:31:18,0.0 B/s
2023-04-27 20:31:20,0.0 B/s
2023-04-27 20:31:22,0.0 B/s
2023-04-27 20:31:24,0.0 B/s
2023-04-27 20:31:26,0.0 B/s
2023-04-27 20:31:28,1.6 kB/s
2023-04-27 20:31:30,1.6 kB/s
2023-04-27 20:31:32,1.6 kB/s
2023-04-27 20:31:34,0.0 B/s
2023-04-27 20:31:36,0.0 B/s
2023-04-27 20:31:38,0.0 B/s
2023-04-27 20:31:40,0.0 B/s
2023-04-27 20:31:42,0.0 B/s
2023-04-27 20:31:44,0.0 B/s
2023-04-27 20:31:46,0.0 B/s
2023-04-27 20:31:48,0.0 B/s
2023-04-27 20:31:50,0.0 B/s
2023-04-27 20:31:52,0.0 B/s
2023-04-27 20:31:54,0.0 B/s
2023-04-27 20:31:56,0.0 B/s
2023-04-27 20:31:58,0.0 B/s
2023-04-27 20:32:00,0.0 B/s
2023-04-27 20:32:02,0.0 B/s
2023-04-27 20:32:04,0.0 B/s
2023-04-27 20:32:06,0.0 B/s

