"Disk Writes","Disk Writes"
2023-04-27 20:26:36,2.5 kB/s
2023-04-27 20:26:38,12.3 kB/s
2023-04-27 20:26:40,12.3 kB/s
2023-04-27 20:26:42,24.6 kB/s
2023-04-27 20:26:44,17.2 kB/s
2023-04-27 20:26:46,21.7 MB/s
2023-04-27 20:26:48,26.2 MB/s
2023-04-27 20:26:50,26.2 MB/s
2023-04-27 20:26:52,12.0 MB/s
2023-04-27 20:26:54,26.3 MB/s
2023-04-27 20:26:56,26.3 MB/s
2023-04-27 20:26:58,2.5 MB/s
2023-04-27 20:27:00,26.3 MB/s
2023-04-27 20:27:02,26.3 MB/s
2023-04-27 20:27:04,2.5 kB/s
2023-04-27 20:27:06,26.3 MB/s
2023-04-27 20:27:08,26.3 MB/s
2023-04-27 20:27:10,91.8 kB/s
2023-04-27 20:27:12,26.3 MB/s
2023-04-27 20:27:14,26.2 MB/s
2023-04-27 20:27:16,3.3 kB/s
2023-04-27 20:27:18,26.2 MB/s
2023-04-27 20:27:20,26.2 MB/s
2023-04-27 20:27:22,9.8 kB/s
2023-04-27 20:27:24,26.2 MB/s
2023-04-27 20:27:26,26.2 MB/s
2023-04-27 20:27:28,18.0 kB/s
2023-04-27 20:27:30,6.5 MB/s
2023-04-27 20:27:32,26.2 MB/s
2023-04-27 20:27:34,26.2 MB/s
2023-04-27 20:27:36,4.1 kB/s
2023-04-27 20:27:38,26.2 MB/s
2023-04-27 20:27:40,26.3 MB/s
2023-04-27 20:27:42,35.2 kB/s
2023-04-27 20:27:44,26.3 MB/s
2023-04-27 20:27:46,26.2 MB/s
2023-04-27 20:27:48,4.1 kB/s
2023-04-27 20:27:50,26.2 MB/s
2023-04-27 20:27:52,26.2 MB/s
2023-04-27 20:27:54,18.0 kB/s
2023-04-27 20:27:56,26.3 MB/s
2023-04-27 20:27:58,26.3 MB/s
2023-04-27 20:28:00,2.9 MB/s
2023-04-27 20:28:02,26.3 MB/s
2023-04-27 20:28:04,26.3 MB/s
2023-04-27 20:28:06,4.1 MB/s
2023-04-27 20:28:08,26.2 MB/s
2023-04-27 20:28:10,26.3 MB/s
2023-04-27 20:28:12,15.6 MB/s
2023-04-27 20:28:14,26.3 MB/s
2023-04-27 20:28:16,26.2 MB/s
2023-04-27 20:28:18,21.9 MB/s
2023-04-27 20:28:20,26.2 MB/s
2023-04-27 20:28:22,26.2 MB/s
2023-04-27 20:28:24,26.2 MB/s
2023-04-27 20:28:26,26.2 MB/s
2023-04-27 20:28:28,26.2 MB/s
2023-04-27 20:28:30,26.2 MB/s
2023-04-27 20:28:32,26.2 MB/s
2023-04-27 20:28:34,26.2 MB/s
2023-04-27 20:28:36,26.3 MB/s
2023-04-27 20:28:38,25.6 MB/s
2023-04-27 20:28:40,26.3 MB/s
2023-04-27 20:28:42,26.3 MB/s
2023-04-27 20:28:44,14.4 MB/s
2023-04-27 20:28:46,14.4 MB/s
2023-04-27 20:28:48,14.4 MB/s
2023-04-27 20:28:50,14.7 kB/s
2023-04-27 20:28:52,26.2 MB/s
2023-04-27 20:28:54,26.2 MB/s
2023-04-27 20:28:56,8.3 MB/s
2023-04-27 20:28:58,26.3 MB/s
2023-04-27 20:29:00,26.3 MB/s
2023-04-27 20:29:02,26.2 MB/s
2023-04-27 20:29:04,26.2 MB/s
2023-04-27 20:29:06,26.2 MB/s
2023-04-27 20:29:08,26.2 MB/s
2023-04-27 20:29:10,26.2 MB/s
2023-04-27 20:29:12,26.3 MB/s
2023-04-27 20:29:14,26.3 MB/s
2023-04-27 20:29:16,36.9 kB/s
2023-04-27 20:29:18,26.2 MB/s
2023-04-27 20:29:20,26.2 MB/s
2023-04-27 20:29:22,8.2 kB/s
2023-04-27 20:29:24,26.2 MB/s
