"Time","iowait","irq","nice","softirq","steal","system","user","Max Core Utilization"
2023-04-27 20:26:37,0,0,0,0.100,0,0.700,3.60,4.40
2023-04-27 20:26:38,0.1000,0,0,0.100,0,0.600,4.00,4.80
2023-04-27 20:26:39,0.300,0,0,0.100,0,1.000,5.20,7.20
2023-04-27 20:26:40,0.300,0,0,0.100,0,1.50,14.9,20.2
2023-04-27 20:26:41,0.400,0,0,0.100,0,2.70,23.6,31.6
2023-04-27 20:26:42,0.400,0,0,0.1000,0,3.40,32.7,44.0
2023-04-27 20:26:43,0.300,0,0,0.300,0,4.00,41.9,56.6
2023-04-27 20:26:44,0.100,0,0,0.300,0,4.20,50.1,73.8
2023-04-27 20:26:45,0.100,0,0,0.400,0,4.10,50.4,72.6
2023-04-27 20:26:46,3.40,0,0,0.400,0,5.50,45.6,70.0
2023-04-27 20:26:47,6.30,0,0,0.300,0,5.10,42.8,62.6
2023-04-27 20:26:48,6.30,0,0,0.300,0,5.30,42.7,68.8
2023-04-27 20:26:49,6.30,0,0,0.300,0,5.60,44.9,69.2
2023-04-27 20:26:50,6.30,0,0,0.400,0,5.90,44.9,60.2
2023-04-27 20:26:51,2.90,0,0,0.400,0,3.80,50.5,57.6
2023-04-27 20:26:52,0.800,0,0,0.400,0,5.80,51.1,63.4
2023-04-27 20:26:53,6.20,0,0,0.400,0,5.60,45.2,52.2
2023-04-27 20:26:54,6.20,0,0,0.400,0,5.60,42.8,55.0
2023-04-27 20:26:55,6.20,0,0,0.200,0,5.30,43.0,57.6
2023-04-27 20:26:56,6.20,0,0,0.200,0,5.20,43.0,55.2
2023-04-27 20:26:57,5.40,0,0,0.300,0,3.20,46.0,63.4
2023-04-27 20:26:58,0.100,0,0,0.1000,0,4.70,50.3,62.8
2023-04-27 20:26:59,5.60,0,0,0.1000,0.200,4.50,43.9,53.0
2023-04-27 20:27:00,5.60,0,0,0.300,0.200,4.60,43.8,51.8
2023-04-27 20:27:01,5.60,0,0,0.400,0.200,4.90,43.3,51.2
2023-04-27 20:27:02,5.60,0,0,0.500,0.200,5.30,42.8,51.2
2023-04-27 20:27:03,5.50,0,0,0.600,0.200,3.60,44.7,60.0
2023-04-27 20:27:04,0,0,0,0.700,0,4.50,50.3,78.0
2023-04-27 20:27:05,6.30,0,0,0.600,0,5.40,43.0,62.4
2023-04-27 20:27:06,6.30,0,0,0.500,0,5.60,43.2,76.0
2023-04-27 20:27:07,6.30,0,0,0.300,0,5.20,43.7,65.0
2023-04-27 20:27:08,6.30,0,0,0.200,0,5.30,43.8,52.0
2023-04-27 20:27:09,6.30,0,0,0.100,0,4.00,44.7,51.0
2023-04-27 20:27:10,0,0,0,0.100,0,3.20,51.6,58.6
2023-04-27 20:27:11,6.60,0,0,0.100,0,5,43.4,58.6
2023-04-27 20:27:12,6.60,0,0,0.200,0,5.10,43.2,49.0
2023-04-27 20:27:13,6.60,0,0,0.200,0,5.30,42.8,53.4
2023-04-27 20:27:14,6.60,0,0,0.300,0,5.70,42.8,60.8
2023-04-27 20:27:15,6.60,0,0,0.300,0,5.60,43.1,62.6
2023-04-27 20:27:16,0,0,0,0.300,0,3.60,51.2,69.0
2023-04-27 20:27:17,6.40,0,0,0.400,0,5.20,43.2,68.6
2023-04-27 20:27:18,6.50,0,0,0.500,0,5.10,42.9,60
2023-04-27 20:27:19,6.50,0,0,0.500,0,5.40,44.8,53.2
2023-04-27 20:27:20,6.50,0,0,0.500,0,5.40,44.8,70.2
2023-04-27 20:27:21,6.50,0,0,0.500,0,5.50,44.8,79.4
2023-04-27 20:27:22,0.1000,0,0,0.400,0,3.80,52.8,82.2
2023-04-27 20:27:23,4.00,0,0,0.400,0,5.20,47.6,68.6
2023-04-27 20:27:24,6.10,0,0,0.300,0,4.90,43.4,51.4
2023-04-27 20:27:25,6.10,0,0,0.200,0,5,42.8,57.2
2023-04-27 20:27:26,6.10,0,0,0.300,0,4.90,43.2,74.0
2023-04-27 20:27:27,6.10,0,0,0.400,0,5.00,43.8,61.0
2023-04-27 20:27:28,2.10,0,0,0.300,0,3.30,49.6,66.0
2023-04-27 20:27:29,0,0,0,0.400,0.1000,3.00,52.2,64.2
2023-04-27 20:27:30,0.500,0,0,0.400,0.200,4.00,51.0,56.6
2023-04-27 20:27:31,6.30,0,0,0.300,0.200,4.10,44.2,56.6
2023-04-27 20:27:32,6.30,0,0,0.300,0.200,4.10,43.7,56.4
2023-04-27 20:27:33,6.30,0,0,0.300,0.200,4.70,43.2,67.0
2023-04-27 20:27:34,6.30,0,0,0.300,0.1000,4.80,43.0,71.4
2023-04-27 20:27:35,5.80,0,0,0.500,0,3.80,44.6,71.8
2023-04-27 20:27:36,0,0,0,0.600,0,4.50,50.6,85.8
2023-04-27 20:27:37,6.20,0,0,0.500,0,5.30,42.9,68.8
2023-04-27 20:27:38,6.20,0,0,0.500,0,5.20,42.9,63.0
