"Database Query/s (QPS)","Database Query/s (QPS)"
2023-04-27 17:49:02,20.89
2023-04-27 17:49:04,20.85
2023-04-27 17:49:06,27.97
2023-04-27 17:49:08,34.30
2023-04-27 17:49:10,44.32
2023-04-27 17:49:12,51.54
2023-04-27 17:49:14,61.37
2023-04-27 17:49:16,70.46
2023-04-27 17:49:18,79.66
2023-04-27 17:49:20,87.84
2023-04-27 17:49:22,97.53
2023-04-27 17:49:24,108.59
2023-04-27 17:49:26,120.95
2023-04-27 17:49:28,130.95
2023-04-27 17:49:30,141.98
2023-04-27 17:49:32,153.86
2023-04-27 17:49:34,165.56
2023-04-27 17:49:36,177.34
2023-04-27 17:49:38,188.82
2023-04-27 17:49:40,199.59
2023-04-27 17:49:42,211.25
2023-04-27 17:49:44,223.83
2023-04-27 17:49:46,234.33
2023-04-27 17:49:48,244.99
2023-04-27 17:49:50,256.86
2023-04-27 17:49:52,268.30
2023-04-27 17:49:54,280.94
2023-04-27 17:49:56,291.40
2023-04-27 17:49:58,302.75
2023-04-27 17:50:00,312.85
2023-04-27 17:50:02,324.32
2023-04-27 17:50:04,336.79
2023-04-27 17:50:06,347.26
2023-04-27 17:50:08,359.05
2023-04-27 17:50:10,370.96
2023-04-27 17:50:12,382.46
2023-04-27 17:50:14,395.00
2023-04-27 17:50:16,405.19
2023-04-27 17:50:18,415.93
2023-04-27 17:50:20,427.27
2023-04-27 17:50:22,439.75
2023-04-27 17:50:24,449.80
2023-04-27 17:50:26,462.16
2023-04-27 17:50:28,473.63
2023-04-27 17:50:30,484.66
2023-04-27 17:50:32,496.47
2023-04-27 17:50:34,510.57
2023-04-27 17:50:36,522.32
2023-04-27 17:50:38,533.67
2023-04-27 17:50:40,546.35
2023-04-27 17:50:42,557.42
2023-04-27 17:50:44,569.55
2023-04-27 17:50:46,580.15
2023-04-27 17:50:48,592.87
2023-04-27 17:50:50,603.84
2023-04-27 17:50:52,616.62
2023-04-27 17:50:54,627.78
2023-04-27 17:50:56,639.21
2023-04-27 17:50:58,651.85
2023-04-27 17:51:00,664.32
2023-04-27 17:51:02,676.09
2023-04-27 17:51:04,686.41
2023-04-27 17:51:06,699.58
2023-04-27 17:51:08,709.25
2023-04-27 17:51:10,721.82
2023-04-27 17:51:12,729.65
2023-04-27 17:51:14,733.37
2023-04-27 17:51:16,737.36
2023-04-27 17:51:18,740.66
2023-04-27 17:51:20,743.49
2023-04-27 17:51:22,751.21
2023-04-27 17:51:24,759.82
2023-04-27 17:51:26,770.90
2023-04-27 17:51:28,780.47
2023-04-27 17:51:30,792.12
2023-04-27 17:51:32,802.21
2023-04-27 17:51:34,811.71
2023-04-27 17:51:36,821.70
2023-04-27 17:51:38,830.97
2023-04-27 17:51:40,840.82
2023-04-27 17:51:42,852.01
2023-04-27 17:51:44,864.19
2023-04-27 17:51:46,875.09
2023-04-27 17:51:48,885.39
2023-04-27 17:51:50,895.05
2023-04-27 17:51:52,907.33
2023-04-27 17:51:54,916.77
2023-04-27 17:51:56,924.89
2023-04-27 17:51:58,935.14
2023-04-27 17:52:00,945.29
2023-04-27 17:52:02,953.81
2023-04-27 17:52:04,966.15
2023-04-27 17:52:06,977.51
2023-04-27 17:52:08,987.78
2023-04-27 17:52:10,997.98
2023-04-27 17:52:12,1.01 K
2023-04-27 17:52:14,1.02 K
2023-04-27 17:52:16,1.03 K
2023-04-27 17:52:18,1.04 K
2023-04-27 17:52:20,1.05 K
2023-04-27 17:52:22,1.06 K
2023-04-27 17:52:24,1.07 K
2023-04-27 17:52:26,1.08 K
2023-04-27 17:52:28,1.09 K
2023-04-27 17:52:30,1.10 K
2023-04-27 17:52:32,1.11 K
2023-04-27 17:52:34,1.13 K
2023-04-27 17:52:36,1.13 K
2023-04-27 17:52:38,1.15 K
2023-04-27 17:52:40,1.16 K
2023-04-27 17:52:42,1.17 K
2023-04-27 17:52:44,1.18 K
2023-04-27 17:52:46,1.19 K
2023-04-27 17:52:48,1.20 K
2023-04-27 17:52:50,1.21 K
2023-04-27 17:52:52,1.22 K
2023-04-27 17:52:54,1.23 K
2023-04-27 17:52:56,1.24 K
2023-04-27 17:52:58,1.25 K
2023-04-27 17:53:00,1.26 K
2023-04-27 17:53:02,1.27 K
2023-04-27 17:53:04,1.28 K
2023-04-27 17:53:06,1.29 K
2023-04-27 17:53:08,1.30 K
2023-04-27 17:53:10,1.31 K
2023-04-27 17:53:12,1.32 K
2023-04-27 17:53:14,1.33 K
2023-04-27 17:53:16,1.35 K
2023-04-27 17:53:18,1.36 K
2023-04-27 17:53:20,1.37 K
2023-04-27 17:53:22,1.38 K
2023-04-27 17:53:24,1.39 K
2023-04-27 17:53:26,1.40 K
2023-04-27 17:53:28,1.41 K
2023-04-27 17:53:30,1.42 K
2023-04-27 17:53:32,1.44 K
2023-04-27 17:53:34,1.45 K
2023-04-27 17:53:36,1.46 K
2023-04-27 17:53:38,1.47 K
2023-04-27 17:53:40,1.48 K
2023-04-27 17:53:42,1.49 K
2023-04-27 17:53:44,1.50 K
2023-04-27 17:53:46,1.51 K
2023-04-27 17:53:48,1.52 K
2023-04-27 17:53:50,1.53 K
2023-04-27 17:53:52,1.54 K
2023-04-27 17:53:54,1.55 K
2023-04-27 17:53:56,1.56 K
2023-04-27 17:53:58,1.58 K
2023-04-27 17:54:00,1.59 K
2023-04-27 17:54:02,1.60 K
2023-04-27 17:54:04,1.61 K

