"Time","Write","Read"
2023-04-27 17:49:03,54886,3277
2023-04-27 17:49:04,1638,0
2023-04-27 17:49:05,2163507,1127219
2023-04-27 17:49:06,7507149,2363392
2023-04-27 17:49:07,16739533,3421798
2023-04-27 17:49:08,21988147,4350771
2023-04-27 17:49:09,27509555,5487821
2023-04-27 17:49:10,29215949,5314970
2023-04-27 17:49:11,29924557,4695654
2023-04-27 17:49:12,26336461,4434330
2023-04-27 17:49:13,26103808,4203315
2023-04-27 17:49:14,26327450,3973939
2023-04-27 17:49:15,29270835,3726541
2023-04-27 17:49:16,27876557,3615130
2023-04-27 17:49:17,28416410,3194061
2023-04-27 17:49:18,27434189,3193242
2023-04-27 17:49:19,26903347,2625536
2023-04-27 17:49:20,25373901,2282291
2023-04-27 17:49:21,26034176,2147123
2023-04-27 17:49:22,25056051,2080768
2023-04-27 17:49:23,25764659,1922662
2023-04-27 17:49:24,25332122,1988198
2023-04-27 17:49:25,25766298,2130739
2023-04-27 17:49:26,26102170,1964442
2023-04-27 17:49:27,27176141,1746534
2023-04-27 17:49:28,27856077,1381990
2023-04-27 17:49:29,27889664,1114112
2023-04-27 17:49:30,27983872,752026
2023-04-27 17:49:31,26367590,752026
2023-04-27 17:49:32,25850675,927334
2023-04-27 17:49:33,25228902,1050214
2023-04-27 17:49:34,26652672,1107558
2023-04-27 17:49:35,25905562,1079706
2023-04-27 17:49:36,28037120,911770
2023-04-27 17:49:37,27720909,700416
2023-04-27 17:49:38,27807744,595558
2023-04-27 17:49:39,27751219,465306
2023-04-27 17:49:40,28383642,378470
2023-04-27 17:49:41,25993216,411238
2023-04-27 17:49:42,25683558,519373
2023-04-27 17:49:43,26053018,440730
2023-04-27 17:49:44,25627034,490701
2023-04-27 17:49:45,26040730,699597
2023-04-27 17:49:46,27729920,892928
2023-04-27 17:49:47,27171226,827392
2023-04-27 17:49:48,26503578,944538
2023-04-27 17:49:49,24680858,901939
2023-04-27 17:49:50,24258150,909312
2023-04-27 17:49:51,23622451,768410
2023-04-27 17:49:52,22958899,829850
2023-04-27 17:49:53,22839296,641434
2023-04-27 17:49:54,25472205,767590
2023-04-27 17:49:55,25239552,724173
2023-04-27 17:49:56,25157632,826573
2023-04-27 17:49:57,26526515,882278
2023-04-27 17:49:58,25998950,1033830
2023-04-27 17:49:59,36462592,945357
2023-04-27 17:50:00,37686477,804454
2023-04-27 17:50:01,38238618,760218
2023-04-27 17:50:02,38680986,741376
2023-04-27 17:50:03,39559168,862618
2023-04-27 17:50:04,28117402,850330
2023-04-27 17:50:05,26392986,972390
2023-04-27 17:50:06,27135181,987955
2023-04-27 17:50:07,26359398,925696
2023-04-27 17:50:08,26140672,727450
2023-04-27 17:50:09,25733530,820019
2023-04-27 17:50:10,26715750,734822
2023-04-27 17:50:11,25735168,566067
2023-04-27 17:50:12,26277478,901120
2023-04-27 17:50:13,26305331,1300070
2023-04-27 17:50:14,25831834,1653965
2023-04-27 17:50:15,25443533,1772749
2023-04-27 17:50:16,26275021,1861222
2023-04-27 17:50:17,25242829,1575322
2023-04-27 17:50:18,24720998,1560576
2023-04-27 17:50:19,25224806,1114112
2023-04-27 17:50:20,23563469,970752
2023-04-27 17:50:21,22601728,1301709
2023-04-27 17:50:22,24194253,1266483
2023-04-27 17:50:23,26109542,811008
2023-04-27 17:50:24,27029504,1113293
2023-04-27 17:50:25,26782106,1102643
2023-04-27 17:50:26,25569690,1175552
2023-04-27 17:50:27,26208666,1116570
2023-04-27 17:50:28,24390042,1164083
2023-04-27 17:50:29,23256269,1040384
2023-04-27 17:50:30,26041549,1158349
2023-04-27 17:50:31,26716570,965837
2023-04-27 17:50:32,25920307,979763
2023-04-27 17:50:33,26257818,1073971
2023-04-27 17:50:34,25421414,924058
2023-04-27 17:50:35,25368166,924877
2023-04-27 17:50:36,26900890,737280
2023-04-27 17:50:37,26676429,756941
2023-04-27 17:50:38,26202931,670925
2023-04-27 17:50:39,26211123,730726
2023-04-27 17:50:40,25448448,627507
2023-04-27 17:50:41,24430182,562790
2023-04-27 17:50:42,24050893,591462
2023-04-27 17:50:43,25015910,603750
2023-04-27 17:50:44,26403635,459571
2023-04-27 17:50:45,25715507,556237
2023-04-27 17:50:46,24554701,576717
2023-04-27 17:50:47,23355392,572621
2023-04-27 17:50:48,23278387,496435
2023-04-27 17:50:49,22404301,525107
2023-04-27 17:50:50,24050893,453837
2023-04-27 17:50:51,25011814,459571
2023-04-27 17:50:52,25402573,382566
2023-04-27 17:50:53,26181632,392397
2023-04-27 17:50:54,27104870,412058
2023-04-27 17:50:55,26642022,363725
2023-04-27 17:50:56,25334579,456294
2023-04-27 17:50:57,25587712,444006
2023-04-27 17:50:58,23707648,457114
2023-04-27 17:50:59,22977741,508723
2023-04-27 17:51:00,21168128,557056
2023-04-27 17:51:01,24187699,413696
2023-04-27 17:51:02,24138547,402227
2023-04-27 17:51:03,25419776,525926
2023-04-27 17:51:04,25106842,419430
2023-04-27 17:51:05,25346048,451379
2023-04-27 17:51:06,23308698,434995
