"Time","Read","Write"
2023-04-27 17:49:03,0.200,5
2023-04-27 17:49:04,0,0.600
2023-04-27 17:49:05,49.6,96.6
2023-04-27 17:49:06,114,405
2023-04-27 17:49:07,164,849
2023-04-27 17:49:08,209,1214
2023-04-27 17:49:09,261,1652
2023-04-27 17:49:10,255,1964
2023-04-27 17:49:11,222,2125
2023-04-27 17:49:12,210,2101
2023-04-27 17:49:13,198,2197
2023-04-27 17:49:14,187,2237
2023-04-27 17:49:15,175,2371
2023-04-27 17:49:16,166,2334
2023-04-27 17:49:17,146,2404
2023-04-27 17:49:18,142,2350
2023-04-27 17:49:19,117,2320
2023-04-27 17:49:20,101,2251
2023-04-27 17:49:21,99.4,2282
2023-04-27 17:49:22,95.6,2243
2023-04-27 17:49:23,90.2,2285
2023-04-27 17:49:24,94.4,2325
2023-04-27 17:49:25,98.2,2380
2023-04-27 17:49:26,87.8,2439
2023-04-27 17:49:27,77.8,2543
2023-04-27 17:49:28,61.8,2575
2023-04-27 17:49:29,48.6,2565
2023-04-27 17:49:30,35.8,2551
2023-04-27 17:49:31,35.6,2461
2023-04-27 17:49:32,41.4,2432
2023-04-27 17:49:33,44.2,2440
2023-04-27 17:49:34,44.4,2485
2023-04-27 17:49:35,42.8,2474
2023-04-27 17:49:36,35.4,2586
2023-04-27 17:49:37,28.6,2558
2023-04-27 17:49:38,23.8,2531
2023-04-27 17:49:39,20.4,2559
2023-04-27 17:49:40,16.4,2573
2023-04-27 17:49:41,17,2463
2023-04-27 17:49:42,21.2,2449
2023-04-27 17:49:43,20.2,2491
2023-04-27 17:49:44,22.6,2463
2023-04-27 17:49:45,31.4,2461
2023-04-27 17:49:46,42.4,2516
2023-04-27 17:49:47,40.6,2472
2023-04-27 17:49:48,44.4,2430
2023-04-27 17:49:49,41.2,2337
2023-04-27 17:49:50,41.6,2339
2023-04-27 17:49:51,32.2,2318
2023-04-27 17:49:52,33.4,2322
2023-04-27 17:49:53,27,2337
2023-04-27 17:49:54,33,2488
2023-04-27 17:49:55,30,2476
2023-04-27 17:49:56,33.6,2451
2023-04-27 17:49:57,34.2,2504
2023-04-27 17:49:58,39.4,2465
2023-04-27 17:49:59,35.6,2305
2023-04-27 17:50:00,31,2371
2023-04-27 17:50:01,29.8,2435
2023-04-27 17:50:02,32.6,2451
2023-04-27 17:50:03,40,2484
2023-04-27 17:50:04,40.6,2590
2023-04-27 17:50:05,45,2492
2023-04-27 17:50:06,46.2,2524
2023-04-27 17:50:07,42.2,2495
2023-04-27 17:50:08,32.8,2505
2023-04-27 17:50:09,36.2,2488
2023-04-27 17:50:10,33.4,2563
2023-04-27 17:50:11,27,2526
2023-04-27 17:50:12,43.4,2527
2023-04-27 17:50:13,63.4,2506
2023-04-27 17:50:14,80,2461
2023-04-27 17:50:15,84.8,2421
2023-04-27 17:50:16,89.8,2448
2023-04-27 17:50:17,75,2423
2023-04-27 17:50:18,71.8,2374
2023-04-27 17:50:19,50.2,2383
2023-04-27 17:50:20,45.2,2309
2023-04-27 17:50:21,57.4,2285
2023-04-27 17:50:22,56.4,2368
2023-04-27 17:50:23,36.6,2461
2023-04-27 17:50:24,50.2,2530
2023-04-27 17:50:25,48.8,2493
2023-04-27 17:50:26,54.8,2419
2023-04-27 17:50:27,53,2408
2023-04-27 17:50:28,55.2,2370
2023-04-27 17:50:29,47.8,2324
2023-04-27 17:50:30,50.8,2472
2023-04-27 17:50:31,42.2,2497
2023-04-27 17:50:32,43.2,2503
2023-04-27 17:50:33,48.4,2516
2023-04-27 17:50:34,44.4,2499
2023-04-27 17:50:35,48.2,2502
2023-04-27 17:50:36,38.8,2595
2023-04-27 17:50:37,38.8,2563
2023-04-27 17:50:38,33.2,2506
2023-04-27 17:50:39,33.4,2490
2023-04-27 17:50:40,28.2,2462
2023-04-27 17:50:41,25,2396
2023-04-27 17:50:42,25,2375
2023-04-27 17:50:43,24.8,2447
2023-04-27 17:50:44,20,2504
2023-04-27 17:50:45,21.8,2479
2023-04-27 17:50:46,22.6,2386
2023-04-27 17:50:47,23.6,2353
