"Disk Reads","Disk Reads"
2023-04-27 17:49:02,3.3 kB/s
2023-04-27 17:49:04,0.0 B/s
2023-04-27 17:49:06,2.4 MB/s
2023-04-27 17:49:08,4.4 MB/s
2023-04-27 17:49:10,5.3 MB/s
2023-04-27 17:49:12,4.4 MB/s
2023-04-27 17:49:14,4.0 MB/s
2023-04-27 17:49:16,3.6 MB/s
2023-04-27 17:49:18,3.2 MB/s
2023-04-27 17:49:20,2.3 MB/s
2023-04-27 17:49:22,2.1 MB/s
2023-04-27 17:49:24,2.0 MB/s
2023-04-27 17:49:26,2.0 MB/s
2023-04-27 17:49:28,1.4 MB/s
2023-04-27 17:49:30,755.3 kB/s
2023-04-27 17:49:32,927.3 kB/s
2023-04-27 17:49:34,1.1 MB/s
2023-04-27 17:49:36,911.8 kB/s
2023-04-27 17:49:38,595.6 kB/s
2023-04-27 17:49:40,378.5 kB/s
2023-04-27 17:49:42,519.4 kB/s
2023-04-27 17:49:44,490.7 kB/s
2023-04-27 17:49:46,892.9 kB/s
2023-04-27 17:49:48,944.5 kB/s
2023-04-27 17:49:50,909.3 kB/s
2023-04-27 17:49:52,829.8 kB/s
2023-04-27 17:49:54,767.6 kB/s
2023-04-27 17:49:56,826.6 kB/s
2023-04-27 17:49:58,1.0 MB/s
2023-04-27 17:50:00,804.5 kB/s
2023-04-27 17:50:02,741.4 kB/s
2023-04-27 17:50:04,850.3 kB/s
2023-04-27 17:50:06,988.0 kB/s
2023-04-27 17:50:08,727.4 kB/s
2023-04-27 17:50:10,734.8 kB/s
2023-04-27 17:50:12,901.1 kB/s
2023-04-27 17:50:14,1.7 MB/s
2023-04-27 17:50:16,1.9 MB/s
2023-04-27 17:50:18,1.6 MB/s
2023-04-27 17:50:20,970.8 kB/s
2023-04-27 17:50:22,1.3 MB/s
2023-04-27 17:50:24,1.1 MB/s
2023-04-27 17:50:26,1.2 MB/s
2023-04-27 17:50:28,1.2 MB/s
2023-04-27 17:50:30,1.2 MB/s
2023-04-27 17:50:32,979.8 kB/s
2023-04-27 17:50:34,924.1 kB/s
2023-04-27 17:50:36,737.3 kB/s
2023-04-27 17:50:38,670.9 kB/s
2023-04-27 17:50:40,627.5 kB/s
2023-04-27 17:50:42,591.5 kB/s
2023-04-27 17:50:44,459.6 kB/s
2023-04-27 17:50:46,576.7 kB/s
2023-04-27 17:50:48,509.5 kB/s
2023-04-27 17:50:50,453.8 kB/s
2023-04-27 17:50:52,382.6 kB/s
2023-04-27 17:50:54,412.1 kB/s
2023-04-27 17:50:56,456.3 kB/s
2023-04-27 17:50:58,457.1 kB/s
2023-04-27 17:51:00,557.1 kB/s
2023-04-27 17:51:02,402.2 kB/s
2023-04-27 17:51:04,419.4 kB/s
2023-04-27 17:51:06,435.0 kB/s
2023-04-27 17:51:08,385.8 kB/s
2023-04-27 17:51:10,425.2 kB/s
2023-04-27 17:51:12,476.0 kB/s
2023-04-27 17:51:14,498.9 kB/s
2023-04-27 17:51:16,648.0 kB/s
2023-04-27 17:51:18,971.6 kB/s
2023-04-27 17:51:20,1.2 MB/s
2023-04-27 17:51:22,2.1 MB/s
2023-04-27 17:51:24,3.4 MB/s
2023-04-27 17:51:26,4.2 MB/s
2023-04-27 17:51:28,4.6 MB/s
2023-04-27 17:51:30,4.5 MB/s
2023-04-27 17:51:32,4.6 MB/s
2023-04-27 17:51:34,4.4 MB/s
2023-04-27 17:51:36,4.5 MB/s
2023-04-27 17:51:38,4.9 MB/s
2023-04-27 17:51:40,4.8 MB/s
2023-04-27 17:51:42,4.1 MB/s
2023-04-27 17:51:44,3.8 MB/s
2023-04-27 17:51:46,4.0 MB/s
2023-04-27 17:51:48,3.8 MB/s
2023-04-27 17:51:50,3.4 MB/s
2023-04-27 17:51:52,3.2 MB/s
2023-04-27 17:51:54,3.2 MB/s
2023-04-27 17:51:56,3.0 MB/s
2023-04-27 17:51:58,3.0 MB/s
2023-04-27 17:52:00,2.7 MB/s
2023-04-27 17:52:02,2.8 MB/s
2023-04-27 17:52:04,2.9 MB/s
2023-04-27 17:52:06,2.8 MB/s
2023-04-27 17:52:08,2.7 MB/s
2023-04-27 17:52:10,2.8 MB/s
2023-04-27 17:52:12,2.9 MB/s
2023-04-27 17:52:14,2.8 MB/s
2023-04-27 17:52:16,2.8 MB/s
2023-04-27 17:52:18,2.7 MB/s
2023-04-27 17:52:20,2.3 MB/s
2023-04-27 17:52:22,2.3 MB/s
2023-04-27 17:52:24,2.4 MB/s
2023-04-27 17:52:26,2.5 MB/s
2023-04-27 17:52:28,2.5 MB/s
2023-04-27 17:52:30,2.7 MB/s
2023-04-27 17:52:32,2.3 MB/s
2023-04-27 17:52:34,2.3 MB/s
2023-04-27 17:52:36,2.1 MB/s
2023-04-27 17:52:38,2.1 MB/s
2023-04-27 17:52:40,2.3 MB/s
2023-04-27 17:52:42,2.3 MB/s
2023-04-27 17:52:44,1.9 MB/s
2023-04-27 17:52:46,1.8 MB/s
2023-04-27 17:52:48,2.0 MB/s
2023-04-27 17:52:50,2.0 MB/s
2023-04-27 17:52:52,1.8 MB/s
2023-04-27 17:52:54,1.7 MB/s
2023-04-27 17:52:56,1.7 MB/s
2023-04-27 17:52:58,1.9 MB/s
2023-04-27 17:53:00,2.0 MB/s
2023-04-27 17:53:02,1.8 MB/s
2023-04-27 17:53:04,1.7 MB/s
2023-04-27 17:53:06,1.9 MB/s
2023-04-27 17:53:08,1.6 MB/s
2023-04-27 17:53:10,1.7 MB/s
2023-04-27 17:53:12,1.7 MB/s
2023-04-27 17:53:14,1.7 MB/s
2023-04-27 17:53:16,1.7 MB/s
2023-04-27 17:53:18,1.6 MB/s
2023-04-27 17:53:20,1.3 MB/s
2023-04-27 17:53:22,1.3 MB/s
2023-04-27 17:53:24,1.4 MB/s
2023-04-27 17:53:26,1.3 MB/s
2023-04-27 17:53:28,1.3 MB/s
2023-04-27 17:53:30,1.3 MB/s
2023-04-27 17:53:32,1.3 MB/s
2023-04-27 17:53:34,1.4 MB/s
2023-04-27 17:53:36,1.3 MB/s
2023-04-27 17:53:38,1.4 MB/s
2023-04-27 17:53:40,1.3 MB/s
2023-04-27 17:53:42,1.3 MB/s
2023-04-27 17:53:44,1.0 MB/s
2023-04-27 17:53:46,1.1 MB/s
2023-04-27 17:53:48,1.3 MB/s
2023-04-27 17:53:50,1.2 MB/s
2023-04-27 17:53:52,951.9 kB/s
2023-04-27 17:53:54,1.1 MB/s
2023-04-27 17:53:56,1.1 MB/s
2023-04-27 17:53:58,1.2 MB/s
2023-04-27 17:54:00,984.7 kB/s
2023-04-27 17:54:02,1.0 MB/s
2023-04-27 17:54:04,1.0 MB/s

