"Disk Writes","Disk Writes"
2023-04-27 17:49:02,58.2 kB/s
2023-04-27 17:49:04,1.6 kB/s
2023-04-27 17:49:06,7.5 MB/s
2023-04-27 17:49:08,22.0 MB/s
2023-04-27 17:49:10,29.2 MB/s
2023-04-27 17:49:12,26.3 MB/s
2023-04-27 17:49:14,26.3 MB/s
2023-04-27 17:49:16,27.9 MB/s
2023-04-27 17:49:18,27.5 MB/s
2023-04-27 17:49:20,25.4 MB/s
2023-04-27 17:49:22,25.1 MB/s
2023-04-27 17:49:24,25.4 MB/s
2023-04-27 17:49:26,26.1 MB/s
2023-04-27 17:49:28,27.9 MB/s
2023-04-27 17:49:30,28.1 MB/s
2023-04-27 17:49:32,25.8 MB/s
2023-04-27 17:49:34,26.6 MB/s
2023-04-27 17:49:36,28.1 MB/s
2023-04-27 17:49:38,27.8 MB/s
2023-04-27 17:49:40,28.4 MB/s
2023-04-27 17:49:42,25.7 MB/s
2023-04-27 17:49:44,25.6 MB/s
2023-04-27 17:49:46,27.7 MB/s
2023-04-27 17:49:48,26.5 MB/s
2023-04-27 17:49:50,24.3 MB/s
2023-04-27 17:49:52,23.0 MB/s
2023-04-27 17:49:54,25.5 MB/s
2023-04-27 17:49:56,25.1 MB/s
2023-04-27 17:49:58,26.0 MB/s
2023-04-27 17:50:00,37.7 MB/s
2023-04-27 17:50:02,38.7 MB/s
2023-04-27 17:50:04,28.1 MB/s
2023-04-27 17:50:06,27.1 MB/s
2023-04-27 17:50:08,26.2 MB/s
2023-04-27 17:50:10,26.7 MB/s
2023-04-27 17:50:12,26.3 MB/s
2023-04-27 17:50:14,25.8 MB/s
2023-04-27 17:50:16,26.3 MB/s
2023-04-27 17:50:18,24.7 MB/s
2023-04-27 17:50:20,23.6 MB/s
2023-04-27 17:50:22,24.2 MB/s
2023-04-27 17:50:24,27.1 MB/s
2023-04-27 17:50:26,25.6 MB/s
2023-04-27 17:50:28,24.4 MB/s
2023-04-27 17:50:30,26.1 MB/s
2023-04-27 17:50:32,26.0 MB/s
2023-04-27 17:50:34,25.4 MB/s
2023-04-27 17:50:36,26.9 MB/s
2023-04-27 17:50:38,26.2 MB/s
2023-04-27 17:50:40,25.4 MB/s
2023-04-27 17:50:42,24.1 MB/s
2023-04-27 17:50:44,26.4 MB/s
2023-04-27 17:50:46,24.5 MB/s
2023-04-27 17:50:48,23.3 MB/s
2023-04-27 17:50:50,24.1 MB/s
2023-04-27 17:50:52,25.4 MB/s
2023-04-27 17:50:54,27.1 MB/s
2023-04-27 17:50:56,25.3 MB/s
2023-04-27 17:50:58,23.7 MB/s
2023-04-27 17:51:00,21.2 MB/s
2023-04-27 17:51:02,24.1 MB/s
2023-04-27 17:51:04,25.1 MB/s
2023-04-27 17:51:06,23.3 MB/s
2023-04-27 17:51:08,24.5 MB/s
2023-04-27 17:51:10,25.4 MB/s
2023-04-27 17:51:12,21.2 MB/s
2023-04-27 17:51:14,16.6 MB/s
2023-04-27 17:51:16,13.5 MB/s
2023-04-27 17:51:18,13.8 MB/s
2023-04-27 17:51:20,12.9 MB/s
2023-04-27 17:51:22,13.8 MB/s
2023-04-27 17:51:24,18.6 MB/s
2023-04-27 17:51:26,21.8 MB/s
2023-04-27 17:51:28,25.3 MB/s
2023-04-27 17:51:30,24.8 MB/s
2023-04-27 17:51:32,25.5 MB/s
2023-04-27 17:51:34,25.9 MB/s
2023-04-27 17:51:36,26.7 MB/s
2023-04-27 17:51:38,23.4 MB/s
2023-04-27 17:51:40,23.1 MB/s
2023-04-27 17:51:42,21.8 MB/s
2023-04-27 17:51:44,20.2 MB/s
2023-04-27 17:51:46,21.0 MB/s
2023-04-27 17:51:48,22.1 MB/s
2023-04-27 17:51:50,22.4 MB/s
2023-04-27 17:51:52,18.8 MB/s
2023-04-27 17:51:54,21.5 MB/s
2023-04-27 17:51:56,24.2 MB/s
2023-04-27 17:51:58,23.1 MB/s
