"Time","Data Fsyncs","Log Fsyncs"
2023-04-27 17:49:03,2,0.600
2023-04-27 17:49:04,0,0
2023-04-27 17:49:05,51.2,46.4
2023-04-27 17:49:06,183,154
2023-04-27 17:49:07,370,228
2023-04-27 17:49:08,533,291
2023-04-27 17:49:09,727,385
2023-04-27 17:49:10,847,448
2023-04-27 17:49:11,935,411
2023-04-27 17:49:12,915,420
2023-04-27 17:49:13,955,460
2023-04-27 17:49:14,957,460
2023-04-27 17:49:15,1019,431
2023-04-27 17:49:16,1007,447
2023-04-27 17:49:17,1035,433
2023-04-27 17:49:18,1004,432
2023-04-27 17:49:19,1010,411
2023-04-27 17:49:20,981,409
2023-04-27 17:49:21,965,421
2023-04-27 17:49:22,972,428
2023-04-27 17:49:23,1012,416
2023-04-27 17:49:24,998,453
2023-04-27 17:49:25,1020,479
2023-04-27 17:49:26,1041,490
2023-04-27 17:49:27,1073,512
2023-04-27 17:49:28,1084,508
2023-04-27 17:49:29,1108,504
2023-04-27 17:49:30,1100,486
2023-04-27 17:49:31,1053,471
2023-04-27 17:49:32,1046,484
2023-04-27 17:49:33,1029,502
2023-04-27 17:49:34,1017,496
2023-04-27 17:49:35,1015,519
2023-04-27 17:49:36,1075,518
2023-04-27 17:49:37,1071,512
2023-04-27 17:49:38,1076,502
2023-04-27 17:49:39,1106,498
2023-04-27 17:49:40,1111,486
2023-04-27 17:49:41,1059,492
2023-04-27 17:49:42,1044,475
2023-04-27 17:49:43,1045,479
2023-04-27 17:49:44,1024,496
2023-04-27 17:49:45,1021,500
2023-04-27 17:49:46,1057,489
2023-04-27 17:49:47,1051,492
2023-04-27 17:49:48,1022,486
2023-04-27 17:49:49,983,486
2023-04-27 17:49:50,987,484
2023-04-27 17:49:51,1000,487
2023-04-27 17:49:52,972,503
2023-04-27 17:49:53,991,528
2023-04-27 17:49:54,1059,525
2023-04-27 17:49:55,1059,505
2023-04-27 17:49:56,1029,512
2023-04-27 17:49:57,1070,497
2023-04-27 17:49:58,1047,487
2023-04-27 17:49:59,951,465
2023-04-27 17:50:00,979,474
2023-04-27 17:50:01,1004,477
2023-04-27 17:50:02,1000,478
2023-04-27 17:50:03,1020,488
2023-04-27 17:50:04,1087,507
2023-04-27 17:50:05,1069,517
2023-04-27 17:50:06,1076,509
2023-04-27 17:50:07,1068,517
2023-04-27 17:50:08,1066,509
2023-04-27 17:50:09,1069,507
2023-04-27 17:50:10,1068,518
2023-04-27 17:50:11,1062,533
2023-04-27 17:50:12,1059,517
2023-04-27 17:50:13,1053,509
2023-04-27 17:50:14,1025,517
2023-04-27 17:50:15,1011,501
2023-04-27 17:50:16,1013,483
2023-04-27 17:50:17,1020,505
2023-04-27 17:50:18,1003,487
2023-04-27 17:50:19,1019,457
2023-04-27 17:50:20,989,477
2023-04-27 17:50:21,974,509
2023-04-27 17:50:22,993,502
2023-04-27 17:50:23,1053,497
2023-04-27 17:50:24,1058,510
2023-04-27 17:50:25,1053,493
2023-04-27 17:50:26,1022,475
2023-04-27 17:50:27,1015,459
2023-04-27 17:50:28,970,498
2023-04-27 17:50:29,972,508
2023-04-27 17:50:30,1044,504
2023-04-27 17:50:31,1063,507
2023-04-27 17:50:32,1067,522
2023-04-27 17:50:33,1074,518
2023-04-27 17:50:34,1065,535
2023-04-27 17:50:35,1046,541
2023-04-27 17:50:36,1070,542
2023-04-27 17:50:37,1063,547
2023-04-27 17:50:38,1069,530
2023-04-27 17:50:39,1051,513
2023-04-27 17:50:40,1027,527
2023-04-27 17:50:41,1019,517
2023-04-27 17:50:42,1007,504
2023-04-27 17:50:43,1003,520
2023-04-27 17:50:44,1042,515
2023-04-27 17:50:45,1041,514
2023-04-27 17:50:46,1006,502
2023-04-27 17:50:47,991,525
2023-04-27 17:50:48,1009,517
2023-04-27 17:50:49,981,509
2023-04-27 17:50:50,1006,491
2023-04-27 17:50:51,1041,516
2023-04-27 17:50:52,1041,517
2023-04-27 17:50:53,1045,511
2023-04-27 17:50:54,1076,515
2023-04-27 17:50:55,1061,521
2023-04-27 17:50:56,1040,521
2023-04-27 17:50:57,1047,515
2023-04-27 17:50:58,1018,539
2023-04-27 17:50:59,999,556
2023-04-27 17:51:00,991,561
2023-04-27 17:51:01,1022,549
2023-04-27 17:51:02,1037,549
2023-04-27 17:51:03,1062,526
2023-04-27 17:51:04,1048,502
2023-04-27 17:51:05,1039,506
2023-04-27 17:51:06,1011,524
2023-04-27 17:51:07,1019,511
2023-04-27 17:51:08,1031,497
2023-04-27 17:51:09,1039,521
2023-04-27 17:51:10,1045,517
2023-04-27 17:51:11,1061,512
2023-04-27 17:51:12,903,455
2023-04-27 17:51:13,793,401
2023-04-27 17:51:14,693,338
2023-04-27 17:51:15,595,282
2023-04-27 17:51:16,523,216
2023-04-27 17:51:17,528,221
2023-04-27 17:51:18,523,225
2023-04-27 17:51:19,480,202
2023-04-27 17:51:20,497,198
2023-04-27 17:51:21,487,228
2023-04-27 17:51:22,573,256
2023-04-27 17:51:23,608,288
2023-04-27 17:51:24,768,352
2023-04-27 17:51:25,830,425
2023-04-27 17:51:26,907,447
2023-04-27 17:51:27,957,485
2023-04-27 17:51:28,1025,485
2023-04-27 17:51:29,1023,490
2023-04-27 17:51:30,1010,496
2023-04-27 17:51:31,1019,501
2023-04-27 17:51:32,1038,485
2023-04-27 17:51:33,1058,498
2023-04-27 17:51:34,1043,506
2023-04-27 17:51:35,1059,473
2023-04-27 17:51:36,1053,472
2023-04-27 17:51:37,1015,472
2023-04-27 17:51:38,984,478
2023-04-27 17:51:39,983,474
2023-04-27 17:51:40,971,469
2023-04-27 17:51:41,935,468
2023-04-27 17:51:42,920,470
2023-04-27 17:51:43,888,496
2023-04-27 17:51:44,883,498
2023-04-27 17:51:45,889,528
2023-04-27 17:51:46,923,513
2023-04-27 17:51:47,939,511
2023-04-27 17:51:48,954,501
2023-04-27 17:51:49,928,475
2023-04-27 17:51:50,921,457
2023-04-27 17:51:51,888,488
2023-04-27 17:51:52,879,489
2023-04-27 17:51:53,881,474
2023-04-27 17:51:54,905,489
2023-04-27 17:51:55,938,464
2023-04-27 17:51:56,937,435
2023-04-27 17:51:57,930,434
2023-04-27 17:51:58,915,446
2023-04-27 17:51:59,906,450
2023-04-27 17:52:00,892,465
2023-04-27 17:52:01,899,452
2023-04-27 17:52:02,899,432
2023-04-27 17:52:03,901,431
2023-04-27 17:52:04,894,454
2023-04-27 17:52:05,905,457
2023-04-27 17:52:06,914,491
2023-04-27 17:52:07,938,515
2023-04-27 17:52:08,948,508
2023-04-27 17:52:09,955,482
2023-04-27 17:52:10,943,489
2023-04-27 17:52:11,945,477
2023-04-27 17:52:12,944,479
2023-04-27 17:52:13,911,479
2023-04-27 17:52:14,924,485
2023-04-27 17:52:15,902,501
2023-04-27 17:52:16,916,484
2023-04-27 17:52:17,913,462
2023-04-27 17:52:18,929,474
2023-04-27 17:52:19,893,486
2023-04-27 17:52:20,932,449
2023-04-27 17:52:21,930,460
2023-04-27 17:52:22,923,476
2023-04-27 17:52:23,932,463
2023-04-27 17:52:24,955,446
2023-04-27 17:52:25,907,459
2023-04-27 17:52:26,905,474
2023-04-27 17:52:27,890,483
2023-04-27 17:52:28,891,500
2023-04-27 17:52:29,895,510
2023-04-27 17:52:30,898,524
2023-04-27 17:52:31,896,508
2023-04-27 17:52:32,920,503
2023-04-27 17:52:33,918,502
2023-04-27 17:52:34,922,497
2023-04-27 17:52:35,964,488
2023-04-27 17:52:36,959,475
2023-04-27 17:52:37,940,473
2023-04-27 17:52:38,940,475
2023-04-27 17:52:39,924,480
2023-04-27 17:52:40,916,483
2023-04-27 17:52:41,908,500
2023-04-27 17:52:42,933,492
2023-04-27 17:52:43,932,466
2023-04-27 17:52:44,965,461
2023-04-27 17:52:45,922,467
2023-04-27 17:52:46,896,488
2023-04-27 17:52:47,895,483
2023-04-27 17:52:48,915,472
2023-04-27 17:52:49,877,464
2023-04-27 17:52:50,888,465
2023-04-27 17:52:51,928,440
2023-04-27 17:52:52,908,444
2023-04-27 17:52:53,904,459
2023-04-27 17:52:54,912,474
2023-04-27 17:52:55,936,466
2023-04-27 17:52:56,932,475
2023-04-27 17:52:57,941,494
2023-04-27 17:52:58,938,499
2023-04-27 17:52:59,940,508
2023-04-27 17:53:00,927,528
2023-04-27 17:53:01,945,494
2023-04-27 17:53:02,933,488
2023-04-27 17:53:03,911,493
2023-04-27 17:53:04,928,456
2023-04-27 17:53:05,923,427
2023-04-27 17:53:06,872,472
2023-04-27 17:53:07,883,454
2023-04-27 17:53:08,921,434
2023-04-27 17:53:09,888,467
2023-04-27 17:53:10,897,474
2023-04-27 17:53:11,919,465
2023-04-27 17:53:12,913,486
2023-04-27 17:53:13,891,501
2023-04-27 17:53:14,925,477
2023-04-27 17:53:15,914,485
2023-04-27 17:53:16,910,493
2023-04-27 17:53:17,905,514
2023-04-27 17:53:18,931,508
2023-04-27 17:53:19,935,509
2023-04-27 17:53:20,941,500
2023-04-27 17:53:21,942,485
2023-04-27 17:53:22,944,460
2023-04-27 17:53:23,911,464
2023-04-27 17:53:24,901,479
2023-04-27 17:53:25,914,472
2023-04-27 17:53:26,925,480
2023-04-27 17:53:27,925,499
2023-04-27 17:53:28,942,499
2023-04-27 17:53:29,945,500
2023-04-27 17:53:30,943,524
2023-04-27 17:53:31,944,523
2023-04-27 17:53:32,948,508
2023-04-27 17:53:33,948,496
2023-04-27 17:53:34,949,490
2023-04-27 17:53:35,940,483
2023-04-27 17:53:36,947,465
2023-04-27 17:53:37,944,466
2023-04-27 17:53:38,934,482
2023-04-27 17:53:39,915,482
2023-04-27 17:53:40,913,492
2023-04-27 17:53:41,904,518
2023-04-27 17:53:42,906,500
2023-04-27 17:53:43,893,510
2023-04-27 17:53:44,903,518
2023-04-27 17:53:45,913,487
2023-04-27 17:53:46,911,470
2023-04-27 17:53:47,913,477
2023-04-27 17:53:48,909,468
2023-04-27 17:53:49,888,450
2023-04-27 17:53:50,887,482
2023-04-27 17:53:51,888,480
2023-04-27 17:53:52,918,464
2023-04-27 17:53:53,919,486
2023-04-27 17:53:54,936,486
2023-04-27 17:53:55,931,468
2023-04-27 17:53:56,940,471
2023-04-27 17:53:57,915,478
2023-04-27 17:53:58,930,470
2023-04-27 17:53:59,910,491
2023-04-27 17:54:00,908,498
2023-04-27 17:54:01,898,492
2023-04-27 17:54:02,906,500
2023-04-27 17:54:03,902,479
2023-04-27 17:54:04,907,484

