"Time","Log Writes","Log Written"
2023-04-27 17:49:03,0.200,102
2023-04-27 17:49:04,0,0
2023-04-27 17:49:05,72.6,109056
2023-04-27 17:49:06,246,337818
2023-04-27 17:49:07,362,490291
2023-04-27 17:49:08,462,632422
2023-04-27 17:49:09,611,824115
2023-04-27 17:49:10,714,910131
2023-04-27 17:49:11,653,812646
2023-04-27 17:49:12,662,801997
2023-04-27 17:49:13,725,852070
2023-04-27 17:49:14,726,832205
2023-04-27 17:49:15,679,777728
2023-04-27 17:49:16,704,810803
2023-04-27 17:49:17,692,819507
2023-04-27 17:49:18,701,812134
2023-04-27 17:49:19,668,754995
2023-04-27 17:49:20,673,748032
2023-04-27 17:49:21,695,737178
2023-04-27 17:49:22,703,705229
2023-04-27 17:49:23,679,656691
2023-04-27 17:49:24,736,711987
2023-04-27 17:49:25,778,747213
2023-04-27 17:49:26,800,764621
2023-04-27 17:49:27,838,786022
2023-04-27 17:49:28,830,764826
2023-04-27 17:49:29,831,757350
2023-04-27 17:49:30,797,713626
2023-04-27 17:49:31,776,672870
2023-04-27 17:49:32,802,694784
2023-04-27 17:49:33,833,719667
2023-04-27 17:49:34,824,688333
2023-04-27 17:49:35,859,717722
2023-04-27 17:49:36,850,699085
2023-04-27 17:49:37,836,662118
2023-04-27 17:49:38,817,648704
2023-04-27 17:49:39,810,631194
2023-04-27 17:49:40,794,610611
2023-04-27 17:49:41,812,637850
2023-04-27 17:49:42,789,620646
2023-04-27 17:49:43,803,630374
2023-04-27 17:49:44,832,661402
2023-04-27 17:49:45,835,658739
2023-04-27 17:49:46,812,634982
2023-04-27 17:49:47,812,627507
2023-04-27 17:49:48,799,609382
2023-04-27 17:49:49,796,612557
2023-04-27 17:49:50,791,595354
2023-04-27 17:49:51,794,591462
2023-04-27 17:49:52,819,604672
2023-04-27 17:49:53,858,630682
2023-04-27 17:49:54,842,594739
2023-04-27 17:49:55,814,577946
2023-04-27 17:49:56,823,591872
2023-04-27 17:49:57,798,577843
2023-04-27 17:49:58,784,561562
2023-04-27 17:49:59,765,562176
2023-04-27 17:50:00,773,554598
2023-04-27 17:50:01,783,550707
2023-04-27 17:50:02,784,546918
2023-04-27 17:50:03,800,568934
2023-04-27 17:50:04,826,600166
2023-04-27 17:50:05,847,622797
2023-04-27 17:50:06,837,621875
2023-04-27 17:50:07,855,666112
2023-04-27 17:50:08,837,644915
2023-04-27 17:50:09,837,628122
2023-04-27 17:50:10,852,640102
2023-04-27 17:50:11,874,655974
2023-04-27 17:50:12,846,606003
2023-04-27 17:50:13,844,597914
2023-04-27 17:50:14,854,607437
2023-04-27 17:50:15,827,574669
2023-04-27 17:50:16,795,545690
2023-04-27 17:50:17,830,574669
2023-04-27 17:50:18,789,542925
2023-04-27 17:50:19,743,496128
2023-04-27 17:50:20,778,530022
2023-04-27 17:50:21,832,569856
2023-04-27 17:50:22,819,572416
2023-04-27 17:50:23,810,555930
2023-04-27 17:50:24,830,573542
2023-04-27 17:50:25,805,550093
2023-04-27 17:50:26,778,520499
2023-04-27 17:50:27,751,500429
2023-04-27 17:50:28,829,583066
2023-04-27 17:50:29,849,618701
2023-04-27 17:50:30,843,623923
2023-04-27 17:50:31,845,636518
2023-04-27 17:50:32,869,643789
2023-04-27 17:50:33,861,608154
2023-04-27 17:50:34,879,606618
2023-04-27 17:50:35,888,616550
2023-04-27 17:50:36,889,616755
2023-04-27 17:50:37,898,622899
2023-04-27 17:50:38,863,596787
2023-04-27 17:50:39,832,571904
2023-04-27 17:50:40,855,570982
2023-04-27 17:50:41,834,547738
2023-04-27 17:50:42,817,532070
2023-04-27 17:50:43,841,548966
2023-04-27 17:50:44,840,551936
2023-04-27 17:50:45,839,550400
2023-04-27 17:50:46,813,535962
2023-04-27 17:50:47,859,584192
2023-04-27 17:50:48,853,603648
2023-04-27 17:50:49,842,599245
2023-04-27 17:50:50,811,586957
2023-04-27 17:50:51,864,627405
2023-04-27 17:50:52,855,591974
2023-04-27 17:50:53,840,579379
2023-04-27 17:50:54,841,566067
2023-04-27 17:50:55,848,570675
2023-04-27 17:50:56,842,556544
2023-04-27 17:50:57,836,579482
2023-04-27 17:50:58,881,619110
2023-04-27 17:50:59,906,638362
2023-04-27 17:51:00,926,640410
2023-04-27 17:51:01,908,637133
2023-04-27 17:51:02,913,656998
2023-04-27 17:51:03,878,622490
2023-04-27 17:51:04,837,609382
2023-04-27 17:51:05,836,615936
2023-04-27 17:51:06,865,635085
2023-04-27 17:51:07,838,596992
2023-04-27 17:51:08,804,586445
2023-04-27 17:51:09,853,627814
2023-04-27 17:51:10,847,633549
2023-04-27 17:51:11,837,616550
2023-04-27 17:51:12,739,535962
2023-04-27 17:51:13,650,459059
2023-04-27 17:51:14,537,355430
2023-04-27 17:51:15,440,280064
2023-04-27 17:51:16,327,201114
2023-04-27 17:51:17,337,209818
2023-04-27 17:51:18,347,208998
2023-04-27 17:51:19,312,190976
2023-04-27 17:51:20,303,187904
2023-04-27 17:51:21,363,232653
2023-04-27 17:51:22,419,271155
2023-04-27 17:51:23,481,323072
2023-04-27 17:51:24,579,394854
2023-04-27 17:51:25,700,478003
2023-04-27 17:51:26,727,493568
2023-04-27 17:51:27,774,531046
2023-04-27 17:51:28,767,521011
2023-04-27 17:51:29,780,526541
2023-04-27 17:51:30,797,542618
2023-04-27 17:51:31,812,564941
2023-04-27 17:51:32,792,568013
2023-04-27 17:51:33,811,593101
2023-04-27 17:51:34,817,580506
2023-04-27 17:51:35,754,525926
2023-04-27 17:51:36,749,511795
2023-04-27 17:51:37,737,500838
2023-04-27 17:51:38,743,497254
2023-04-27 17:51:39,745,509747
2023-04-27 17:51:40,741,513229
2023-04-27 17:51:41,736,521216
2023-04-27 17:51:42,748,506163
2023-04-27 17:51:43,800,550093
2023-04-27 17:51:44,800,544768
2023-04-27 17:51:45,849,583168
2023-04-27 17:51:46,824,568218
2023-04-27 17:51:47,825,574771
2023-04-27 17:51:48,802,550195
2023-04-27 17:51:49,767,533197
2023-04-27 17:51:50,732,504013
2023-04-27 17:51:51,789,530330
2023-04-27 17:51:52,786,521523
2023-04-27 17:51:53,763,495718
2023-04-27 17:51:54,784,514867
2023-04-27 17:51:55,746,488755
2023-04-27 17:51:56,701,482304
2023-04-27 17:51:57,700,490803
2023-04-27 17:51:58,719,510259
2023-04-27 17:51:59,727,513126
2023-04-27 17:52:00,750,525107
2023-04-27 17:52:01,725,487834
2023-04-27 17:52:02,689,467046
2023-04-27 17:52:03,690,466739
2023-04-27 17:52:04,727,502374
2023-04-27 17:52:05,736,523469
2023-04-27 17:52:06,792,561766
2023-04-27 17:52:07,827,574362
2023-04-27 17:52:08,815,565658
2023-04-27 17:52:09,768,526746
2023-04-27 17:52:10,779,541286
2023-04-27 17:52:11,761,512205
2023-04-27 17:52:12,767,529101
2023-04-27 17:52:13,768,529920
2023-04-27 17:52:14,781,529613
2023-04-27 17:52:15,813,559206
2023-04-27 17:52:16,786,561664
2023-04-27 17:52:17,752,528896
2023-04-27 17:52:18,770,538931
2023-04-27 17:52:19,793,560128
2023-04-27 17:52:20,728,499917
2023-04-27 17:52:21,746,529408
2023-04-27 17:52:22,770,549171
2023-04-27 17:52:23,746,542106
2023-04-27 17:52:24,708,513741
2023-04-27 17:52:25,727,510669
2023-04-27 17:52:26,751,501862
2023-04-27 17:52:27,769,530432
2023-04-27 17:52:28,805,555110
2023-04-27 17:52:29,825,577434
2023-04-27 17:52:30,856,596685
2023-04-27 17:52:31,831,587571
2023-04-27 17:52:32,824,557568
2023-04-27 17:52:33,809,550093
2023-04-27 17:52:34,807,562893
2023-04-27 17:52:35,787,566579
2023-04-27 17:52:36,763,544154
2023-04-27 17:52:37,763,556134
2023-04-27 17:52:38,769,546406
2023-04-27 17:52:39,779,538317
2023-04-27 17:52:40,785,534938
2023-04-27 17:52:41,819,558899
2023-04-27 17:52:42,799,535962
2023-04-27 17:52:43,756,509030
2023-04-27 17:52:44,740,485581
2023-04-27 17:52:45,754,512000
2023-04-27 17:52:46,788,535962
2023-04-27 17:52:47,780,533504
2023-04-27 17:52:48,767,527155
2023-04-27 17:52:49,760,529613
2023-04-27 17:52:50,759,531149
2023-04-27 17:52:51,718,498893
2023-04-27 17:52:52,734,534323
2023-04-27 17:52:53,756,553165
2023-04-27 17:52:54,782,593101
2023-04-27 17:52:55,766,558694
2023-04-27 17:52:56,780,577946
2023-04-27 17:52:57,801,579891
2023-04-27 17:52:58,809,580608
2023-04-27 17:52:59,818,553984
2023-04-27 17:53:00,850,575590
2023-04-27 17:53:01,793,525926
2023-04-27 17:53:02,791,534528
2023-04-27 17:53:03,802,539136
2023-04-27 17:53:04,741,506982
2023-04-27 17:53:05,695,480358
2023-04-27 17:53:06,772,540262
2023-04-27 17:53:07,735,492237
2023-04-27 17:53:08,704,478413
2023-04-27 17:53:09,759,511590
2023-04-27 17:53:10,765,517837
2023-04-27 17:53:11,746,486912
2023-04-27 17:53:12,782,511386
2023-04-27 17:53:13,805,537190
2023-04-27 17:53:14,764,520806
2023-04-27 17:53:15,783,535347
2023-04-27 17:53:16,799,558182
2023-04-27 17:53:17,835,583987
2023-04-27 17:53:18,822,549990
2023-04-27 17:53:19,831,562586
2023-04-27 17:53:20,812,541798
2023-04-27 17:53:21,789,536678
2023-04-27 17:53:22,745,516301
2023-04-27 17:53:23,761,533504
2023-04-27 17:53:24,779,545997
2023-04-27 17:53:25,765,537190
2023-04-27 17:53:26,773,523059
2023-04-27 17:53:27,812,545178
2023-04-27 17:53:28,804,537805
2023-04-27 17:53:29,807,525722
2023-04-27 17:53:30,848,578150
2023-04-27 17:53:31,856,603750
2023-04-27 17:53:32,826,591258
2023-04-27 17:53:33,809,592077
2023-04-27 17:53:34,799,594125
2023-04-27 17:53:35,789,572723
2023-04-27 17:53:36,756,552858
2023-04-27 17:53:37,762,558694
2023-04-27 17:53:38,788,572109
2023-04-27 17:53:39,791,586854
2023-04-27 17:53:40,808,582963
2023-04-27 17:53:41,856,617062
2023-04-27 17:53:42,823,585114
2023-04-27 17:53:43,839,586445
2023-04-27 17:53:44,850,582246
2023-04-27 17:53:45,799,554803
2023-04-27 17:53:46,765,507904
2023-04-27 17:53:47,775,517222
2023-04-27 17:53:48,761,518042
2023-04-27 17:53:49,730,500531
2023-04-27 17:53:50,784,551834
2023-04-27 17:53:51,784,568218
2023-04-27 17:53:52,759,559718
2023-04-27 17:53:53,796,588083
2023-04-27 17:53:54,793,573440
2023-04-27 17:53:55,759,523674
2023-04-27 17:53:56,765,540262
2023-04-27 17:53:57,778,529306
2023-04-27 17:53:58,765,536474
2023-04-27 17:53:59,801,565658
2023-04-27 17:54:00,825,600781
2023-04-27 17:54:01,812,588493
2023-04-27 17:54:02,822,603648
2023-04-27 17:54:03,782,551117
2023-04-27 17:54:04,794,570061

