"Time","Time to Use Redo Log Space "
2023-04-27 17:49:03,983040
2023-04-27 17:49:04,∞
2023-04-27 17:49:05,923
2023-04-27 17:49:06,298
2023-04-27 17:49:07,205
2023-04-27 17:49:08,159
2023-04-27 17:49:09,122
2023-04-27 17:49:10,111
2023-04-27 17:49:11,124
2023-04-27 17:49:12,126
2023-04-27 17:49:13,118
2023-04-27 17:49:14,121
2023-04-27 17:49:15,129
2023-04-27 17:49:16,124
2023-04-27 17:49:17,123
2023-04-27 17:49:18,124
2023-04-27 17:49:19,133
2023-04-27 17:49:20,135
2023-04-27 17:49:21,137
2023-04-27 17:49:22,143
2023-04-27 17:49:23,153
2023-04-27 17:49:24,141
2023-04-27 17:49:25,135
2023-04-27 17:49:26,132
2023-04-27 17:49:27,128
2023-04-27 17:49:28,132
2023-04-27 17:49:29,133
2023-04-27 17:49:30,141
2023-04-27 17:49:31,150
2023-04-27 17:49:32,145
2023-04-27 17:49:33,140
2023-04-27 17:49:34,146
2023-04-27 17:49:35,140
2023-04-27 17:49:36,144
2023-04-27 17:49:37,152
2023-04-27 17:49:38,155
2023-04-27 17:49:39,159
2023-04-27 17:49:40,165
2023-04-27 17:49:41,158
2023-04-27 17:49:42,162
2023-04-27 17:49:43,160
2023-04-27 17:49:44,152
2023-04-27 17:49:45,153
2023-04-27 17:49:46,159
2023-04-27 17:49:47,160
2023-04-27 17:49:48,165
2023-04-27 17:49:49,164
2023-04-27 17:49:50,169
2023-04-27 17:49:51,170
2023-04-27 17:49:52,166
2023-04-27 17:49:53,160
2023-04-27 17:49:54,169
2023-04-27 17:49:55,174
2023-04-27 17:49:56,170
2023-04-27 17:49:57,174
2023-04-27 17:49:58,179
2023-04-27 17:49:59,179
2023-04-27 17:50:00,182
2023-04-27 17:50:01,183
2023-04-27 17:50:02,184
2023-04-27 17:50:03,177
2023-04-27 17:50:04,168
2023-04-27 17:50:05,162
2023-04-27 17:50:06,162
2023-04-27 17:50:07,151
2023-04-27 17:50:08,156
2023-04-27 17:50:09,160
2023-04-27 17:50:10,157
2023-04-27 17:50:11,153
2023-04-27 17:50:12,166
2023-04-27 17:50:13,168
2023-04-27 17:50:14,166
2023-04-27 17:50:15,175
2023-04-27 17:50:16,184
2023-04-27 17:50:17,175
2023-04-27 17:50:18,185
2023-04-27 17:50:19,203
2023-04-27 17:50:20,190
2023-04-27 17:50:21,177
2023-04-27 17:50:22,176
2023-04-27 17:50:23,181
2023-04-27 17:50:24,176
2023-04-27 17:50:25,183
2023-04-27 17:50:26,193
2023-04-27 17:50:27,201
2023-04-27 17:50:28,173
2023-04-27 17:50:29,163
2023-04-27 17:50:30,161
2023-04-27 17:50:31,158
2023-04-27 17:50:32,156
2023-04-27 17:50:33,166
2023-04-27 17:50:34,166
2023-04-27 17:50:35,163
2023-04-27 17:50:36,163
2023-04-27 17:50:37,162
2023-04-27 17:50:38,169
2023-04-27 17:50:39,176
2023-04-27 17:50:40,176
2023-04-27 17:50:41,184
2023-04-27 17:50:42,189
2023-04-27 17:50:43,183
2023-04-27 17:50:44,182
2023-04-27 17:50:45,183
2023-04-27 17:50:46,188
2023-04-27 17:50:47,172
2023-04-27 17:50:48,167
2023-04-27 17:50:49,168
2023-04-27 17:50:50,172
2023-04-27 17:50:51,160
2023-04-27 17:50:52,170
2023-04-27 17:50:53,174
2023-04-27 17:50:54,178
2023-04-27 17:50:55,176
2023-04-27 17:50:56,181
2023-04-27 17:50:57,174
2023-04-27 17:50:58,163
2023-04-27 17:50:59,158
2023-04-27 17:51:00,157
2023-04-27 17:51:01,158
2023-04-27 17:51:02,153
2023-04-27 17:51:03,162
2023-04-27 17:51:04,165
2023-04-27 17:51:05,163
2023-04-27 17:51:06,159
2023-04-27 17:51:07,169
2023-04-27 17:51:08,172
2023-04-27 17:51:09,160
2023-04-27 17:51:10,159
2023-04-27 17:51:11,163
2023-04-27 17:51:12,188
2023-04-27 17:51:13,219
2023-04-27 17:51:14,283
2023-04-27 17:51:15,359
2023-04-27 17:51:16,501
2023-04-27 17:51:17,480
2023-04-27 17:51:18,482
2023-04-27 17:51:19,527
2023-04-27 17:51:20,536
2023-04-27 17:51:21,433
2023-04-27 17:51:22,371
2023-04-27 17:51:23,312
2023-04-27 17:51:24,255
2023-04-27 17:51:25,211
