"Time","iowait","irq","nice","softirq","steal","system","user","Max Core Utilization"
2023-04-27 17:49:03,0.1000,0,0,0.100,0,1.20,3.10,4.40
2023-04-27 17:49:04,0,0,0,0.100,0,0.900,3.30,4.80
2023-04-27 17:49:05,1.70,0,0,0.200,0,1.70,5,7.40
2023-04-27 17:49:06,5.70,0,0,0.500,0.200,3.80,9.70,16.4
2023-04-27 17:49:07,10.5,0,0,0.700,0.200,6.00,13.6,24.4
2023-04-27 17:49:08,14.8,0,0,0.900,0.200,8.20,17.0,32.4
2023-04-27 17:49:09,19.2,0,0,1.30,0.200,10.3,21.4,41.4
2023-04-27 17:49:10,21.6,0,0,1.50,0.400,11.6,24.3,48.0
2023-04-27 17:49:11,22.3,0,0,1.60,0.200,12.1,24.0,47.8
2023-04-27 17:49:12,21.6,0,0,1.90,0.200,11.9,24.9,49.2
2023-04-27 17:49:13,21.6,0,0,1.90,0.200,12.8,26.2,51.2
2023-04-27 17:49:14,21.7,0,0,1.90,0.300,12.9,26.4,52.8
2023-04-27 17:49:15,22.5,0,0,1.90,0.200,13.5,25.5,50.2
2023-04-27 17:49:16,22.0,0,0,1.90,0.200,13.4,26.6,51.6
2023-04-27 17:49:17,22.1,0,0,1.90,0.200,13.1,26.4,50.2
2023-04-27 17:49:18,22.0,0,0,1.90,0.400,12.6,26.8,50.0
2023-04-27 17:49:19,20.8,0,0,2.20,0.300,12.6,30.0,50.6
2023-04-27 17:49:20,20.8,0,0,2.30,0.200,12.9,31.1,51.8
2023-04-27 17:49:21,21.2,0,0,2.30,0.300,13.2,30.4,51.8
2023-04-27 17:49:22,21.4,0,0,2.20,0.400,13.8,30.3,52.6
2023-04-27 17:49:23,21.2,0,0,2.40,0.200,13.1,30.5,53.0
2023-04-27 17:49:24,22.1,0,0,2.20,0.300,13.4,27.9,52.8
2023-04-27 17:49:25,21.5,0,0,2.30,0.300,13.0,28.5,53.4
2023-04-27 17:49:26,21.4,0,0,2.10,0.300,13.2,29.0,52.8
2023-04-27 17:49:27,21.1,0,0,2.00,0.200,12.8,30.5,53.2
2023-04-27 17:49:28,21.2,0,0,2.00,0.200,13.5,30.8,53.2
2023-04-27 17:49:29,21.1,0,0,1.90,0.200,13.3,31.1,51.8
2023-04-27 17:49:30,21.1,0,0,1.90,0.300,13.2,30.7,52.2
2023-04-27 17:49:31,20.5,0,0,2.00,0.200,12.3,30.4,51.4
2023-04-27 17:49:32,20.6,0,0,2.10,0.200,13.0,29.8,51.6
2023-04-27 17:49:33,20.5,0,0,1.80,0.300,13.2,29.1,51.0
2023-04-27 17:49:34,20.8,0,0,1.80,0.300,13.3,28.5,49.4
2023-04-27 17:49:35,20.7,0,0,1.90,0.200,13.2,29.7,50.0
2023-04-27 17:49:36,21.1,0,0,2.00,0.200,14.3,29.8,51.8
2023-04-27 17:49:37,21.1,0,0,1.90,0.200,14.2,30.1,51.2
2023-04-27 17:49:38,21.1,0,0,2.10,0.300,13.9,29.5,50.6
2023-04-27 17:49:39,21.1,0,0,2.20,0.200,14.7,29.4,51.8
2023-04-27 17:49:40,21.1,0,0,2.00,0.200,15.0,28.8,50.2
2023-04-27 17:49:41,20.7,0,0,1.80,0.300,14.5,28.7,49.4
2023-04-27 17:49:42,20.8,0,0,2.00,0.400,14.4,27.6,49.2
2023-04-27 17:49:43,21.1,0,0,2.20,0.200,14.4,28.3,49.2
2023-04-27 17:49:44,21.4,0,0,2.10,0.200,13.2,28.3,49.2
2023-04-27 17:49:45,21.6,0,0,2.30,0.300,13.0,27.1,50.2
2023-04-27 17:49:46,22.0,0,0,2.50,0.300,13.4,26.8,49.4
2023-04-27 17:49:47,21.6,0,0,2.30,0.200,12.9,28.0,50.0
2023-04-27 17:49:48,21.4,0,0,2.00,0.200,12.8,27.6,48.8
2023-04-27 17:49:49,19.5,0,0,1.90,0.300,13.3,30.9,52.0
2023-04-27 17:49:50,19.6,0,0,1.80,0.300,13.5,32.0,51.0
2023-04-27 17:49:51,19.2,0,0,1.80,0.200,13.5,32.2,52.2
2023-04-27 17:49:52,18.8,0,0,1.80,0.200,14.4,31.6,51.6
2023-04-27 17:49:53,18.7,0,0,1.70,0.300,15.2,32.7,56.2
2023-04-27 17:49:54,20.4,0,0,1.80,0.300,15.2,30.1,53.0
2023-04-27 17:49:55,20.2,0,0,1.90,0.200,14.9,29.4,52.2
2023-04-27 17:49:56,20.2,0,0,1.90,0.200,14.2,29.8,51.8
2023-04-27 17:49:57,20.9,0,0,2.10,0.300,13.7,29.8,51.8
2023-04-27 17:49:58,20.5,0,0,2.10,0.300,13.1,28.8,47.8
2023-04-27 17:49:59,22.4,0,0,2.10,0.200,13.2,28.0,46.8
2023-04-27 17:50:00,22.6,0,0,1.90,0.200,13.9,28.7,48.4
2023-04-27 17:50:01,22.9,0,0,1.70,0.300,14.1,28.7,48.8
2023-04-27 17:50:02,22.7,0,0,1.80,0.300,14.1,29.0,50.8
2023-04-27 17:50:03,23.0,0,0,1.90,0.200,14.2,29.6,51.8
2023-04-27 17:50:04,20.7,0,0,1.80,0.300,14.2,30.5,53.2
2023-04-27 17:50:05,20.4,0,0,1.70,0.300,13.3,30.6,53.0
2023-04-27 17:50:06,20.7,0,0,1.90,0.300,13.0,30.6,51.8
2023-04-27 17:50:07,20.7,0,0,1.60,0.200,12.8,29.9,49.0
2023-04-27 17:50:08,20.6,0,0,1.80,0.300,13.4,30.1,49.4
2023-04-27 17:50:09,20.6,0,0,2.00,0.200,14.1,30,50.8
2023-04-27 17:50:10,20.8,0,0,2.10,0.200,14.5,29.8,50.2
2023-04-27 17:50:11,20.2,0,0,2.30,0.200,15.0,29.9,51.2
2023-04-27 17:50:12,20.2,0,0,2.50,0.300,14.9,30.4,52.0
2023-04-27 17:50:13,20.6,0,0,2.60,0.200,14.2,29.7,51.2
2023-04-27 17:50:14,20.5,0,0,2.70,0.200,13.3,29.7,49.2
2023-04-27 17:50:15,20.4,0,0,2.80,0.400,13.4,29.2,49.2
2023-04-27 17:50:16,21.0,0,0,2.60,0.300,13.3,28.7,48.2
2023-04-27 17:50:17,20.7,0,0,2.40,0.200,13.9,29.0,48.6
2023-04-27 17:50:18,20.5,0,0,2.10,0.200,13.5,29.2,49.4
2023-04-27 17:50:19,19.7,0,0,2.00,0.200,13.7,30.8,50.4
2023-04-27 17:50:20,19.1,0,0,1.80,0.200,13.2,31.7,50.0
2023-04-27 17:50:21,18.6,0,0,1.70,0.200,12.9,32.1,51.6
2023-04-27 17:50:22,19.1,0,0,1.80,0.200,12.5,32.1,51.4
2023-04-27 17:50:23,19.3,0,0,2.10,0.200,11.8,32.3,48.4
2023-04-27 17:50:24,20.3,0,0,2.00,0.300,12.0,31.3,48.4
2023-04-27 17:50:25,20.1,0,0,1.80,0.200,12.7,30.4,49.4
2023-04-27 17:50:26,20.2,0,0,2.00,0.200,13.4,30.2,48.4
2023-04-27 17:50:27,20.2,0,0,1.80,0.200,13.5,29.6,48.6
2023-04-27 17:50:28,20.1,0,0,1.70,0.300,14.0,29.8,50.6
