"Time","Write","Read"
2023-04-27 18:53:15,0,0
2023-04-27 18:53:16,0,0
2023-04-27 18:53:17,514458,4915
2023-04-27 18:53:18,1289421,4915
2023-04-27 18:53:19,1991475,4915
2023-04-27 18:53:20,2735309,4915
2023-04-27 18:53:21,3474227,4915
2023-04-27 18:53:22,3694592,0
2023-04-27 18:53:23,3646259,0
2023-04-27 18:53:24,3726541,0
2023-04-27 18:53:25,3740467,0
2023-04-27 18:53:26,3730637,0
2023-04-27 18:53:27,3791258,0
2023-04-27 18:53:28,3815014,0
2023-04-27 18:53:29,3756032,0
2023-04-27 18:53:30,3747840,0
2023-04-27 18:53:31,3842867,0
2023-04-27 18:53:32,3833856,0
2023-04-27 18:53:33,3846144,0
2023-04-27 18:53:34,3887104,0
2023-04-27 18:53:35,3910042,0
2023-04-27 18:53:36,3853517,0
2023-04-27 18:53:37,3811738,0
2023-04-27 18:53:38,3768320,0
2023-04-27 18:53:39,3782246,0
2023-04-27 18:53:40,3769139,0
2023-04-27 18:53:41,3748659,0
2023-04-27 18:53:42,3757670,0
2023-04-27 18:53:43,3678208,0
2023-04-27 18:53:44,3295642,0
2023-04-27 18:53:45,2933555,0
2023-04-27 18:53:46,2552627,0
2023-04-27 18:53:47,2177434,20480
2023-04-27 18:53:48,1899725,73728
2023-04-27 18:53:49,1702298,174490
2023-04-27 18:53:50,1714586,359629
2023-04-27 18:53:51,1814528,627507
2023-04-27 18:53:52,9388851,908493
2023-04-27 18:53:53,11480269,974848
2023-04-27 18:53:54,11870208,1200947
2023-04-27 18:53:55,11971789,1205043
2023-04-27 18:53:56,11962778,1200947
2023-04-27 18:53:57,4485939,1146061
2023-04-27 18:53:58,2570650,1244365
2023-04-27 18:53:59,2435482,1161626
2023-04-27 18:54:00,2370765,1162445
2023-04-27 18:54:01,2388787,1106739
2023-04-27 18:54:02,2421555,1108378
2023-04-27 18:54:03,2431386,1247642
2023-04-27 18:54:04,2533786,1295155
2023-04-27 18:54:05,2613248,1495040
2023-04-27 18:54:06,2613248,1599898
2023-04-27 18:54:07,2530509,1566310
2023-04-27 18:54:08,2448589,1393459
2023-04-27 18:54:09,2424013,1424589
2023-04-27 18:54:10,2418278,1437696
2023-04-27 18:54:11,2460058,1350861
2023-04-27 18:54:12,2608333,1386906
2023-04-27 18:54:13,2704998,1496678
2023-04-27 18:54:14,2697626,1420493
2023-04-27 18:54:15,2772173,1305805
2023-04-27 18:54:16,2762342,1284506
2023-04-27 18:54:17,2674688,1260749
2023-04-27 18:54:18,2603418,1164083
2023-04-27 18:54:19,2646016,1141146
2023-04-27 18:54:20,2574746,1106739
2023-04-27 18:54:21,2577203,1139507
2023-04-27 18:54:22,2597683,1123942
2023-04-27 18:54:23,2547712,1131315
2023-04-27 18:54:24,9368371,1144422
2023-04-27 18:54:25,9380659,1157530
2023-04-27 18:54:26,9456026,1251738
2023-04-27 18:54:27,9561702,1276314
2023-04-27 18:54:28,9729638,1342669
2023-04-27 18:54:29,2922906,1467187
2023-04-27 18:54:30,3126067,1496678
2023-04-27 18:54:31,3114598,1413939
2023-04-27 18:54:32,3063808,1438515
2023-04-27 18:54:33,3042509,1398374
2023-04-27 18:54:34,3081830,1330381
2023-04-27 18:54:35,2976973,1286963
2023-04-27 18:54:36,3008102,1288602
2023-04-27 18:54:37,3034317,1245184
2023-04-27 18:54:38,3008922,1196851
2023-04-27 18:54:39,2990899,1159987
2023-04-27 18:54:40,2956493,1146880
2023-04-27 18:54:41,3066266,1253376
2023-04-27 18:54:42,3124429,1206682
2023-04-27 18:54:43,3191603,1345946
2023-04-27 18:54:44,3225190,1328742
2023-04-27 18:54:45,3319398,1341030
2023-04-27 18:54:46,3298918,1227981
2023-04-27 18:54:47,3357901,1286963
2023-04-27 18:54:48,3441459,1195213
2023-04-27 18:54:49,3493069,1220608
2023-04-27 18:54:50,3523379,1173094
2023-04-27 18:54:51,3550413,1145242
2023-04-27 18:54:52,3554509,1168998
2023-04-27 18:54:53,3504538,1197670
2023-04-27 18:54:54,3548774,1203405
2023-04-27 18:54:55,10194944,1184563
2023-04-27 18:54:56,11472077,1118208
2023-04-27 18:54:57,11461427,1114112
2023-04-27 18:54:58,11476173,1006797
2023-04-27 18:54:59,11470438,944538
2023-04-27 18:55:00,4801331,984678
2023-04-27 18:55:01,3615130,1043661
2023-04-27 18:55:02,3611034,951910
2023-04-27 18:55:03,3649536,972390
2023-04-27 18:55:04,3660186,972390
2023-04-27 18:55:05,3673293,939622
2023-04-27 18:55:06,3576627,918323
2023-04-27 18:55:07,3611034,946176
2023-04-27 18:55:08,3646259,967475
2023-04-27 18:55:09,3614310,919962
2023-04-27 18:55:10,3613491,899482
2023-04-27 18:55:11,3640525,902758
2023-04-27 18:55:12,3615949,944538
2023-04-27 18:55:13,3579085,921600
2023-04-27 18:55:14,3560243,901120
2023-04-27 18:55:15,3529933,869171
2023-04-27 18:55:16,3485696,879821
2023-04-27 18:55:17,3448013,865894
2023-04-27 18:55:18,3435725,948634
2023-04-27 18:55:19,3441459,1005158
2023-04-27 18:55:20,3467674,1028915
2023-04-27 18:55:21,3511910,992870
2023-04-27 18:55:22,3570893,951091
2023-04-27 18:55:23,3582362,840499
2023-04-27 18:55:24,3609395,809370
2023-04-27 18:55:25,3618406,835584
2023-04-27 18:55:26,3599565,867533
2023-04-27 18:55:27,11513856,744653
2023-04-27 18:55:28,12499354,723354
2023-04-27 18:55:29,12523110,688128
2023-04-27 18:55:30,12467405,687309
2023-04-27 18:55:31,12348621,655360
2023-04-27 18:55:32,4347494,759398
2023-04-27 18:55:33,3352986,724992
2023-04-27 18:55:34,3222733,651264
2023-04-27 18:55:35,3273523,611942
2023-04-27 18:55:36,3377562,554598
2023-04-27 18:55:37,3418522,548045
2023-04-27 18:55:38,3424256,688947
2023-04-27 18:55:39,3529933,818381
2023-04-27 18:55:40,3413606,761037
2023-04-27 18:55:41,3440640,833126
2023-04-27 18:55:42,3452109,831488
2023-04-27 18:55:43,3476685,770867
2023-04-27 18:55:44,3498803,702874
2023-04-27 18:55:45,3629875,741376
2023-04-27 18:55:46,3620045,665190
2023-04-27 18:55:47,3629056,700416
2023-04-27 18:55:48,3624141,657818
2023-04-27 18:55:49,3570893,673382
2023-04-27 18:55:50,3585638,709427
2023-04-27 18:55:51,3566797,766771
2023-04-27 18:55:52,3608576,660275
2023-04-27 18:55:53,3617587,738918
2023-04-27 18:55:54,3674931,728269
2023-04-27 18:55:55,3646259,761856
2023-04-27 18:55:56,3692954,733184
2023-04-27 18:55:57,3697869,773325
2023-04-27 18:55:58,5907251,690586
2023-04-27 18:55:59,12466586,616038
2023-04-27 18:56:00,12699238,666010
2023-04-27 18:56:01,12678758,679117
2023-04-27 18:56:02,12625510,757760
2023-04-27 18:56:03,10381722,731546
2023-04-27 18:56:04,3789619,783974
2023-04-27 18:56:05,3712614,651264
2023-04-27 18:56:06,3692134,599654
2023-04-27 18:56:07,3717530,554598
2023-04-27 18:56:08,3713434,566067
2023-04-27 18:56:09,3715891,561152
2023-04-27 18:56:10,3582362,522650
2023-04-27 18:56:11,3597107,491520
2023-04-27 18:56:12,3593011,511181
2023-04-27 18:56:13,3635610,557056
2023-04-27 18:56:14,3655270,634061
2023-04-27 18:56:15,3666739,740557
2023-04-27 18:56:16,3647078,836403
2023-04-27 18:56:17,3563520,767590
2023-04-27 18:56:18,3373466,800358
2023-04-27 18:56:19,3189965,732365
2023-04-27 18:56:20,2994176,671744
2023-04-27 18:56:21,2884403,616858
2023-04-27 18:56:22,2886861,636518
2023-04-27 18:56:23,3022029,568525
2023-04-27 18:56:24,3072819,531661
2023-04-27 18:56:25,3045786,448922
2023-04-27 18:56:26,2999910,543130
2023-04-27 18:56:27,2960589,569344
2023-04-27 18:56:28,2826240,568525
2023-04-27 18:56:29,2823782,634880
2023-04-27 18:56:30,4607181,654541
2023-04-27 18:56:31,11833344,479232
2023-04-27 18:56:32,11810406,378470
2023-04-27 18:56:33,11793203,326861
2023-04-27 18:56:34,11711283,276070
2023-04-27 18:56:35,9904947,268698
2023-04-27 18:56:36,2683699,297370
2023-04-27 18:56:37,2849997,342426
2023-04-27 18:56:38,2894234,373555
2023-04-27 18:56:39,2955674,363725
2023-04-27 18:56:40,2981069,406323
2023-04-27 18:56:41,2930278,451379
2023-04-27 18:56:42,2790195,412058
2023-04-27 18:56:43,2744320,397312
2023-04-27 18:56:44,2767258,407142
2023-04-27 18:56:45,2828698,446464
2023-04-27 18:56:46,2835251,396493
2023-04-27 18:56:47,2778726,426803
2023-04-27 18:56:48,2813952,461210
2023-04-27 18:56:49,2763162,396493
2023-04-27 18:56:50,2772173,283443
2023-04-27 18:56:51,2854093,319488
2023-04-27 18:56:52,3000730,337510
2023-04-27 18:56:53,3124429,318669
2023-04-27 18:56:54,3244032,459571
2023-04-27 18:56:55,3323494,513638
2023-04-27 18:56:56,3410330,475955
2023-04-27 18:56:57,3290726,404685
2023-04-27 18:56:58,3121971,380928
2023-04-27 18:56:59,3001549,356352
2023-04-27 18:57:00,2976973,522650
2023-04-27 18:57:01,2913075,550502
2023-04-27 18:57:02,8832614,566886
2023-04-27 18:57:03,11304141,615219
2023-04-27 18:57:04,11296768,638976
2023-04-27 18:57:05,11164877,471040
2023-04-27 18:57:06,11142758,452198
2023-04-27 18:57:07,5310054,545587
2023-04-27 18:57:08,3058893,507904
2023-04-27 18:57:09,3152282,409600
2023-04-27 18:57:10,3267789,410419
2023-04-27 18:57:11,3319398,503808
2023-04-27 18:57:12,3255501,453837
2023-04-27 18:57:13,3062989,412058
2023-04-27 18:57:14,3024486,467763
2023-04-27 18:57:15,3016294,519373
2023-04-27 18:57:16,2955674,545587
2023-04-27 18:57:17,2953216,589824
2023-04-27 18:57:18,3044147,693043
2023-04-27 18:57:19,3100672,647987
2023-04-27 18:57:20,3088384,579994
2023-04-27 18:57:21,3062989,467763
2023-04-27 18:57:22,3073638,440730
2023-04-27 18:57:23,3127706,321126
2023-04-27 18:57:24,3153101,396493
2023-04-27 18:57:25,3257958,389120
2023-04-27 18:57:26,3322675,421888
2023-04-27 18:57:27,3356262,384205
2023-04-27 18:57:28,3212083,398950
2023-04-27 18:57:29,3109683,395674
2023-04-27 18:57:30,3004006,399770
2023-04-27 18:57:31,3035136,421069
2023-04-27 18:57:32,3024486,409600
2023-04-27 18:57:33,3085926,462848
2023-04-27 18:57:34,11475354,336691
2023-04-27 18:57:35,11413914,327680
2023-04-27 18:57:36,11327078,363725
2023-04-27 18:57:37,11395891,343245
2023-04-27 18:57:38,11462246,325222
2023-04-27 18:57:39,3213722,439091
2023-04-27 18:57:40,3413606,455475
2023-04-27 18:57:41,3461939,442368
2023-04-27 18:57:42,3352166,475136
2023-04-27 18:57:43,3217818,453018
2023-04-27 18:57:44,3051520,439910
2023-04-27 18:57:45,2881946,458752
2023-04-27 18:57:46,2849178,348160
2023-04-27 18:57:47,2909798,401408
2023-04-27 18:57:48,3068723,462029
2023-04-27 18:57:49,3195699,404685
2023-04-27 18:57:50,3279258,371098
2023-04-27 18:57:51,3303834,415334
2023-04-27 18:57:52,3251405,362086
2023-04-27 18:57:53,3134259,287539
2023-04-27 18:57:54,3067904,296550
2023-04-27 18:57:55,3025306,272794
2023-04-27 18:57:56,3049062,291635
2023-04-27 18:57:57,3112960,299008
2023-04-27 18:57:58,3158835,370278
2023-04-27 18:57:59,3149005,423526
2023-04-27 18:58:00,3117056,497254
2023-04-27 18:58:01,3111322,532480
2023-04-27 18:58:02,3169485,544768
2023-04-27 18:58:03,3275981,490701
2023-04-27 18:58:04,3393946,462029
2023-04-27 18:58:05,10294067,423526
2023-04-27 18:58:06,11860378,332595
2023-04-27 18:58:07,11735859,284262
2023-04-27 18:58:08,11626086,329318
2023-04-27 18:58:09,11567923,305562
2023-04-27 18:58:10,4803789,295731
2023-04-27 18:58:11,3359539,327680
2023-04-27 18:58:12,3371827,363725
2023-04-27 18:58:13,3388211,388301
2023-04-27 18:58:14,3330867,401408
2023-04-27 18:58:15,3168666,445645

