"Disk Writes","Disk Writes"
2023-04-27 18:53:14,13.1 kB/s
2023-04-27 18:53:16,0.0 B/s
2023-04-27 18:53:18,1.3 MB/s
2023-04-27 18:53:20,2.7 MB/s
2023-04-27 18:53:22,3.7 MB/s
2023-04-27 18:53:24,3.7 MB/s
2023-04-27 18:53:26,3.7 MB/s
2023-04-27 18:53:28,3.8 MB/s
2023-04-27 18:53:30,3.7 MB/s
2023-04-27 18:53:32,3.8 MB/s
2023-04-27 18:53:34,3.9 MB/s
2023-04-27 18:53:36,3.9 MB/s
2023-04-27 18:53:38,3.8 MB/s
2023-04-27 18:53:40,3.8 MB/s
2023-04-27 18:53:42,3.8 MB/s
2023-04-27 18:53:44,3.3 MB/s
2023-04-27 18:53:46,2.6 MB/s
2023-04-27 18:53:48,1.9 MB/s
2023-04-27 18:53:50,1.7 MB/s
2023-04-27 18:53:52,9.4 MB/s
2023-04-27 18:53:54,11.8 MB/s
2023-04-27 18:53:56,12.0 MB/s
2023-04-27 18:53:58,2.6 MB/s
2023-04-27 18:54:00,2.4 MB/s
2023-04-27 18:54:02,2.4 MB/s
2023-04-27 18:54:04,2.5 MB/s
2023-04-27 18:54:06,2.6 MB/s
2023-04-27 18:54:08,2.4 MB/s
2023-04-27 18:54:10,2.4 MB/s
2023-04-27 18:54:12,2.6 MB/s
2023-04-27 18:54:14,2.7 MB/s
2023-04-27 18:54:16,2.8 MB/s
2023-04-27 18:54:18,2.6 MB/s
2023-04-27 18:54:20,2.6 MB/s
2023-04-27 18:54:22,2.6 MB/s
2023-04-27 18:54:24,9.4 MB/s
2023-04-27 18:54:26,9.5 MB/s
2023-04-27 18:54:28,9.7 MB/s
2023-04-27 18:54:30,3.1 MB/s
2023-04-27 18:54:32,3.1 MB/s
2023-04-27 18:54:34,3.1 MB/s
2023-04-27 18:54:36,3.0 MB/s
2023-04-27 18:54:38,3.0 MB/s
2023-04-27 18:54:40,3.0 MB/s
2023-04-27 18:54:42,3.1 MB/s
2023-04-27 18:54:44,3.2 MB/s
2023-04-27 18:54:46,3.3 MB/s
2023-04-27 18:54:48,3.4 MB/s
2023-04-27 18:54:50,3.5 MB/s
2023-04-27 18:54:52,3.6 MB/s
2023-04-27 18:54:54,3.5 MB/s
2023-04-27 18:54:56,11.5 MB/s
2023-04-27 18:54:58,11.5 MB/s
2023-04-27 18:55:00,4.7 MB/s
2023-04-27 18:55:02,3.6 MB/s
2023-04-27 18:55:04,3.7 MB/s
2023-04-27 18:55:06,3.6 MB/s
2023-04-27 18:55:08,3.6 MB/s
2023-04-27 18:55:10,3.6 MB/s
2023-04-27 18:55:12,3.6 MB/s
2023-04-27 18:55:14,3.6 MB/s
2023-04-27 18:55:16,3.5 MB/s
2023-04-27 18:55:18,3.4 MB/s
2023-04-27 18:55:20,3.5 MB/s
2023-04-27 18:55:22,3.6 MB/s
2023-04-27 18:55:24,3.6 MB/s
2023-04-27 18:55:26,3.6 MB/s
2023-04-27 18:55:28,12.5 MB/s
2023-04-27 18:55:30,12.5 MB/s
2023-04-27 18:55:32,4.3 MB/s
2023-04-27 18:55:34,3.2 MB/s
2023-04-27 18:55:36,3.4 MB/s
2023-04-27 18:55:38,3.4 MB/s
2023-04-27 18:55:40,3.4 MB/s
2023-04-27 18:55:42,3.4 MB/s
2023-04-27 18:55:44,3.5 MB/s
2023-04-27 18:55:46,3.6 MB/s
2023-04-27 18:55:48,3.6 MB/s
2023-04-27 18:55:50,3.6 MB/s
2023-04-27 18:55:52,3.6 MB/s
2023-04-27 18:55:54,3.7 MB/s
2023-04-27 18:55:56,3.7 MB/s
2023-04-27 18:55:58,5.8 MB/s
2023-04-27 18:56:00,12.7 MB/s
2023-04-27 18:56:02,12.6 MB/s
2023-04-27 18:56:04,3.8 MB/s
2023-04-27 18:56:06,3.7 MB/s
2023-04-27 18:56:08,3.7 MB/s
2023-04-27 18:56:10,3.6 MB/s
2023-04-27 18:56:12,3.6 MB/s
2023-04-27 18:56:14,3.7 MB/s
2023-04-27 18:56:16,3.6 MB/s
2023-04-27 18:56:18,3.4 MB/s
2023-04-27 18:56:20,3.0 MB/s
2023-04-27 18:56:22,2.9 MB/s
2023-04-27 18:56:24,3.1 MB/s
2023-04-27 18:56:26,3.0 MB/s
2023-04-27 18:56:28,2.8 MB/s
2023-04-27 18:56:30,4.7 MB/s
2023-04-27 18:56:32,11.8 MB/s
2023-04-27 18:56:34,11.7 MB/s
2023-04-27 18:56:36,2.7 MB/s
2023-04-27 18:56:38,2.9 MB/s
2023-04-27 18:56:40,3.0 MB/s
2023-04-27 18:56:42,2.8 MB/s
2023-04-27 18:56:44,2.8 MB/s
2023-04-27 18:56:46,2.8 MB/s
2023-04-27 18:56:48,2.8 MB/s
2023-04-27 18:56:50,2.8 MB/s
2023-04-27 18:56:52,3.0 MB/s
2023-04-27 18:56:54,3.2 MB/s
2023-04-27 18:56:56,3.4 MB/s
2023-04-27 18:56:58,3.1 MB/s
2023-04-27 18:57:00,3.0 MB/s
2023-04-27 18:57:02,9.0 MB/s
2023-04-27 18:57:04,11.3 MB/s
2023-04-27 18:57:06,11.1 MB/s
2023-04-27 18:57:08,3.1 MB/s
2023-04-27 18:57:10,3.3 MB/s
2023-04-27 18:57:12,3.3 MB/s
2023-04-27 18:57:14,3.0 MB/s
2023-04-27 18:57:16,3.0 MB/s
2023-04-27 18:57:18,3.0 MB/s
2023-04-27 18:57:20,3.1 MB/s
2023-04-27 18:57:22,3.1 MB/s
2023-04-27 18:57:24,3.2 MB/s
2023-04-27 18:57:26,3.3 MB/s
2023-04-27 18:57:28,3.2 MB/s
2023-04-27 18:57:30,3.0 MB/s
2023-04-27 18:57:32,3.0 MB/s
2023-04-27 18:57:34,11.5 MB/s
2023-04-27 18:57:36,11.3 MB/s
2023-04-27 18:57:38,11.5 MB/s
2023-04-27 18:57:40,3.4 MB/s
2023-04-27 18:57:42,3.3 MB/s
2023-04-27 18:57:44,3.1 MB/s
2023-04-27 18:57:46,2.9 MB/s
2023-04-27 18:57:48,3.1 MB/s
2023-04-27 18:57:50,3.3 MB/s
2023-04-27 18:57:52,3.3 MB/s
2023-04-27 18:57:54,3.1 MB/s
2023-04-27 18:57:56,3.0 MB/s
2023-04-27 18:57:58,3.2 MB/s
2023-04-27 18:58:00,3.1 MB/s
2023-04-27 18:58:02,3.2 MB/s
2023-04-27 18:58:04,3.4 MB/s
2023-04-27 18:58:06,11.9 MB/s
2023-04-27 18:58:08,11.6 MB/s
2023-04-27 18:58:10,4.8 MB/s
2023-04-27 18:58:12,3.4 MB/s
2023-04-27 18:58:14,3.3 MB/s

