"Time","iowait","irq","nice","softirq","steal","system","user","Max Core Utilization"
2023-04-27 18:53:15,0,0,0,0,0,1.000,3.30,4.60
2023-04-27 18:53:16,0,0,0,0,0,0.900,3.40,4.60
2023-04-27 18:53:17,1.90,0,0,0.200,0,1.90,5.10,7.60
2023-04-27 18:53:18,4.70,0,0,0.400,0,3.00,7.20,10.8
2023-04-27 18:53:19,7.10,0,0,0.500,0.1000,4.20,11.9,18.4
2023-04-27 18:53:20,9.90,0,0,0.900,0.200,5.70,14.0,24.0
2023-04-27 18:53:21,12.9,0,0,1.00,0.200,7.00,15.8,28.6
2023-04-27 18:53:22,13.9,0,0,1.00,0.200,7.50,16.0,29.6
2023-04-27 18:53:23,14.0,0,0,1.00,0.300,7.80,16.1,31.0
2023-04-27 18:53:24,14.4,0,0,1.00,0.300,7.60,13.7,25.4
2023-04-27 18:53:25,14.5,0,0,1.000,0.200,7.00,13.7,24.6
2023-04-27 18:53:26,14.3,0,0,1.40,0.200,7.00,14.3,23.0
2023-04-27 18:53:27,14.3,0,0,1.40,0.200,6.90,14.1,24.0
2023-04-27 18:53:28,14.2,0,0,1.40,0.300,7.00,14.6,23.4
2023-04-27 18:53:29,14.1,0,0,1.60,0.200,7.80,14.7,25.6
2023-04-27 18:53:30,14.0,0,0,1.50,0.200,8.10,15.0,26.6
2023-04-27 18:53:31,14.1,0,0,1.10,0.300,8.20,15,29.6
2023-04-27 18:53:32,14.1,0,0,1.10,0.400,8.40,15.1,30.8
2023-04-27 18:53:33,14.2,0,0,1.40,0.200,8.10,14.4,29.4
2023-04-27 18:53:34,14.2,0,0,1.30,0.200,7.90,14.0,28.8
2023-04-27 18:53:35,14.4,0,0,1.40,0.300,7.80,13.3,27.4
2023-04-27 18:53:36,14.5,0,0,1.40,0.200,7.80,12.6,25.8
2023-04-27 18:53:37,14.5,0,0,1.40,0.200,7.80,12.6,25.8
2023-04-27 18:53:38,14.5,0,0,1.20,0.200,7.80,12.9,26.6
2023-04-27 18:53:39,14.7,0,0,1.50,0.300,7.30,13.8,28.4
2023-04-27 18:53:40,14.5,0,0,1.40,0.200,7.30,15.0,30.0
2023-04-27 18:53:41,14.3,0,0,1.50,0.200,7.30,15.8,30.6
