"Disk Reads","Disk Reads"
2023-04-27 20:05:00,0.0 B/s
2023-04-27 20:05:05,0.0 B/s
2023-04-27 20:05:10,0.0 B/s
2023-04-27 20:05:15,0.0 B/s
2023-04-27 20:05:20,0.0 B/s
2023-04-27 20:05:25,22.9 kB/s
2023-04-27 20:05:30,0.0 B/s
2023-04-27 20:05:35,63.9 kB/s
2023-04-27 20:05:40,0.0 B/s
2023-04-27 20:05:45,0.0 B/s
2023-04-27 20:05:50,0.0 B/s
2023-04-27 20:05:55,0.0 B/s
2023-04-27 20:06:00,0.0 B/s
2023-04-27 20:06:05,0.0 B/s
2023-04-27 20:06:10,0.0 B/s
2023-04-27 20:06:15,0.0 B/s
2023-04-27 20:06:20,0.0 B/s
2023-04-27 20:06:25,0.0 B/s
2023-04-27 20:06:30,0.0 B/s
2023-04-27 20:06:35,0.0 B/s
2023-04-27 20:06:40,0.0 B/s
2023-04-27 20:06:45,0.0 B/s
2023-04-27 20:06:50,0.0 B/s
2023-04-27 20:06:55,15.6 kB/s
2023-04-27 20:07:00,0.0 B/s
2023-04-27 20:07:05,0.0 B/s
2023-04-27 20:07:10,0.0 B/s
2023-04-27 20:07:15,0.0 B/s
2023-04-27 20:07:20,0.0 B/s
2023-04-27 20:07:25,0.0 B/s
2023-04-27 20:07:30,0.0 B/s
2023-04-27 20:07:35,819.2 B/s
2023-04-27 20:07:40,0.0 B/s
2023-04-27 20:07:45,0.0 B/s
2023-04-27 20:07:50,245.8 kB/s
2023-04-27 20:07:55,0.0 B/s
2023-04-27 20:08:00,0.0 B/s
2023-04-27 20:08:05,0.0 B/s
2023-04-27 20:08:10,0.0 B/s
2023-04-27 20:08:15,0.0 B/s
2023-04-27 20:08:20,0.0 B/s
2023-04-27 20:08:25,0.0 B/s
2023-04-27 20:08:30,4.9 kB/s
2023-04-27 20:08:35,0.0 B/s
2023-04-27 20:08:40,0.0 B/s
2023-04-27 20:08:45,0.0 B/s
2023-04-27 20:08:50,13.1 kB/s
2023-04-27 20:08:55,0.0 B/s
2023-04-27 20:09:00,0.0 B/s
2023-04-27 20:09:05,0.0 B/s
2023-04-27 20:09:10,0.0 B/s
2023-04-27 20:09:15,0.0 B/s
2023-04-27 20:09:20,0.0 B/s
2023-04-27 20:09:25,0.0 B/s
2023-04-27 20:09:30,0.0 B/s
2023-04-27 20:09:35,0.0 B/s
2023-04-27 20:09:40,0.0 B/s
2023-04-27 20:09:45,0.0 B/s
2023-04-27 20:09:50,13.9 kB/s
2023-04-27 20:09:55,0.0 B/s
2023-04-27 20:10:00,0.0 B/s
2023-04-27 20:10:05,10.6 kB/s
2023-04-27 20:10:10,0.0 B/s
2023-04-27 20:10:15,0.0 B/s
2023-04-27 20:10:20,0.0 B/s
2023-04-27 20:10:25,0.0 B/s
2023-04-27 20:10:30,0.0 B/s
2023-04-27 20:10:35,0.0 B/s
2023-04-27 20:10:40,0.0 B/s
2023-04-27 20:10:45,0.0 B/s
2023-04-27 20:10:50,0.0 B/s
2023-04-27 20:10:55,0.0 B/s
2023-04-27 20:11:00,0.0 B/s
2023-04-27 20:11:05,0.0 B/s

