"Disk Writes","Disk Writes"
2023-04-27 20:05:00,287.5 kB/s
2023-04-27 20:05:05,276.9 kB/s
2023-04-27 20:05:10,15.7 MB/s
2023-04-27 20:05:15,14.8 MB/s
2023-04-27 20:05:20,28.4 MB/s
2023-04-27 20:05:25,53.5 MB/s
2023-04-27 20:05:30,27.8 MB/s
2023-04-27 20:05:35,27.8 MB/s
2023-04-27 20:05:40,46.9 MB/s
2023-04-27 20:05:45,26.6 MB/s
2023-04-27 20:05:50,54.6 MB/s
2023-04-27 20:05:55,28.3 MB/s
2023-04-27 20:06:00,50.7 MB/s
2023-04-27 20:06:05,30.7 MB/s
2023-04-27 20:06:10,54.9 MB/s
2023-04-27 20:06:15,28.4 MB/s
2023-04-27 20:06:20,26.6 MB/s
2023-04-27 20:06:25,54.7 MB/s
2023-04-27 20:06:30,44.2 MB/s
2023-04-27 20:06:35,10.8 MB/s
2023-04-27 20:06:40,54.6 MB/s
2023-04-27 20:06:45,28.3 MB/s
2023-04-27 20:06:50,26.6 MB/s
2023-04-27 20:06:55,54.7 MB/s
2023-04-27 20:07:00,54.6 MB/s
2023-04-27 20:07:05,470.2 kB/s
2023-04-27 20:07:10,54.7 MB/s
2023-04-27 20:07:15,54.7 MB/s
2023-04-27 20:07:20,321.1 kB/s
2023-04-27 20:07:25,51.9 MB/s
2023-04-27 20:07:30,49.8 MB/s
2023-04-27 20:07:35,36.1 MB/s
2023-04-27 20:07:40,26.0 MB/s
2023-04-27 20:07:45,28.4 MB/s
2023-04-27 20:07:50,54.6 MB/s
2023-04-27 20:07:55,26.7 MB/s
2023-04-27 20:08:00,28.3 MB/s
2023-04-27 20:08:05,54.6 MB/s
2023-04-27 20:08:10,26.6 MB/s
2023-04-27 20:08:15,54.5 MB/s
2023-04-27 20:08:20,28.4 MB/s
2023-04-27 20:08:25,33.1 MB/s
2023-04-27 20:08:30,48.2 MB/s
2023-04-27 20:08:35,28.4 MB/s
2023-04-27 20:08:40,26.6 MB/s
2023-04-27 20:08:45,54.7 MB/s
2023-04-27 20:08:50,28.3 MB/s
2023-04-27 20:08:55,26.7 MB/s
2023-04-27 20:09:00,54.6 MB/s
2023-04-27 20:09:05,50.6 MB/s
2023-04-27 20:09:10,4.4 MB/s
2023-04-27 20:09:15,54.7 MB/s
2023-04-27 20:09:20,54.5 MB/s
2023-04-27 20:09:25,17.2 MB/s
2023-04-27 20:09:30,37.8 MB/s
2023-04-27 20:09:35,54.5 MB/s
2023-04-27 20:09:40,354.7 kB/s
2023-04-27 20:09:45,54.6 MB/s
2023-04-27 20:09:50,54.7 MB/s
2023-04-27 20:09:55,1.6 MB/s
2023-04-27 20:10:00,53.3 MB/s
2023-04-27 20:10:05,54.6 MB/s
2023-04-27 20:10:10,267.1 kB/s
2023-04-27 20:10:15,53.8 MB/s
2023-04-27 20:10:20,49.4 MB/s
2023-04-27 20:10:25,6.2 MB/s
2023-04-27 20:10:30,39.8 MB/s
2023-04-27 20:10:35,50.0 MB/s
2023-04-27 20:10:40,21.9 MB/s
2023-04-27 20:10:45,25.2 MB/s
2023-04-27 20:10:50,44.7 MB/s
2023-04-27 20:10:55,52.6 MB/s
2023-04-27 20:11:00,28.6 MB/s
2023-04-27 20:11:05,28.3 MB/s

