"Time","iowait","irq","nice","softirq","steal","system","user","Max Core Utilization"
2023-04-27 20:05:01,0.300,0,0,0.200,0.1000,0.700,3.60,5.00
2023-04-27 20:05:02,0.300,0,0,0.1000,0.1000,0.800,3.40,5.00
2023-04-27 20:05:03,0.300,0,0,0.1000,0.1000,1.10,4.60,7.60
2023-04-27 20:05:04,0.300,0,0,0.1000,0,3.00,13.1,21.4
2023-04-27 20:05:05,0.300,0,0,0.200,0,5,21.1,37.0
2023-04-27 20:05:06,0.200,0,0,0.200,0,6.50,29.5,50.4
2023-04-27 20:05:07,0.200,0,0,0.300,0,7.20,39.0,52.8
2023-04-27 20:05:08,0.200,0,0,0.300,0,8.30,46.9,68.4
2023-04-27 20:05:09,0.200,0,0,0.500,0,10.9,43.8,73.2
2023-04-27 20:05:10,0.200,0,0,0.500,0.1000,11.2,42.2,62.2
2023-04-27 20:05:11,1.80,0,0,0.400,0.1000,11.6,42.6,56.0
2023-04-27 20:05:12,1.80,0,0,0.300,0.1000,12.2,41.7,55.4
2023-04-27 20:05:13,1.80,0,0,0.300,0.1000,12.0,41.7,65.8
2023-04-27 20:05:14,1.80,0,0,0.300,0.1000,9.30,44.6,79.0
2023-04-27 20:05:15,1.80,0,0,0.200,0,8.00,47.4,79.0
2023-04-27 20:05:16,0.300,0,0,0.200,0,7.60,47.1,77.6
2023-04-27 20:05:17,0.300,0,0,0.200,0,11.6,43.6,78.0
2023-04-27 20:05:18,0.400,0,0,0.400,0,15.1,36.2,70.4
2023-04-27 20:05:19,0.400,0,0,0.300,0,15,38.7,75.0
2023-04-27 20:05:20,0.400,0,0,0.300,0,15.0,38.7,81.2
2023-04-27 20:05:21,1.80,0,0,0.600,0,15.7,39.0,85.6
2023-04-27 20:05:22,4.80,0,0,0.600,0,12.2,42.7,76.2
2023-04-27 20:05:23,4.70,0,0,0.400,0,9.00,49.5,84.2
2023-04-27 20:05:24,4.70,0,0,0.500,0.1000,10.5,45.8,76.6
2023-04-27 20:05:25,5.30,0,0,0.900,0.1000,15.8,37.1,62.8
2023-04-27 20:05:26,4.60,0,0,0.700,0.1000,15.2,36.3,54.6
2023-04-27 20:05:27,5.50,0,0,0.800,0.1000,15.2,36.5,65.0
2023-04-27 20:05:28,5.50,0,0,0.900,0.1000,14.9,36.6,70.2
2023-04-27 20:05:29,5.50,0,0,0.800,0,12.9,38.6,73.4
2023-04-27 20:05:30,4.90,0,0,0.400,0,7.60,47.0,82.0
2023-04-27 20:05:31,4.00,0,0,0.400,0,8.90,46.5,89.4
2023-04-27 20:05:32,0.500,0,0,0.500,0,13.3,39.2,80.0
2023-04-27 20:05:33,0.500,0,0,0.400,0,13.5,39.5,63.8
2023-04-27 20:05:34,0.600,0,0,0.300,0,13.5,39.3,57.2
2023-04-27 20:05:35,0.600,0,0,0.300,0.100,13.8,39.0,62.6
2023-04-27 20:05:36,0.500,0,0,0.400,0.100,12.2,40.0,63.2
2023-04-27 20:05:37,3.80,0,0,0.400,0.100,8.30,47.0,72.4
2023-04-27 20:05:38,3.80,0,0,0.500,0.100,11.8,43.4,88.6
2023-04-27 20:05:39,3.70,0,0,0.700,0.100,15,35.9,89.0
2023-04-27 20:05:40,3.70,0,0,0.700,0,14.3,36.8,88.8
2023-04-27 20:05:41,3.80,0,0,0.500,0,14.1,37.3,72.0
2023-04-27 20:05:42,0.400,0,0,0.500,0,14.3,37.6,61.2
2023-04-27 20:05:43,0.400,0,0,0.600,0,10.7,41.0,61.2
2023-04-27 20:05:44,0.400,0,0,0.400,0,7.20,49.0,71.8
2023-04-27 20:05:45,0.400,0,0,0.400,0,11.6,44.8,57.0
2023-04-27 20:05:46,1.000,0,0,0.600,0,14.8,36.9,59.4
2023-04-27 20:05:47,5.30,0,0,0.600,0,14.6,36.8,56.2
2023-04-27 20:05:48,5.30,0,0,0.500,0,14.8,37.0,60.4
2023-04-27 20:05:49,5.30,0,0,0.500,0,15.4,38.8,71.6
2023-04-27 20:05:50,5.30,0,0,0.500,0,11.9,42.7,74.8
2023-04-27 20:05:51,4.60,0,0,0.400,0,8.80,50.1,85.0
2023-04-27 20:05:52,0.300,0,0,0.300,0.100,9.20,49.2,86.4
2023-04-27 20:05:53,0.700,0,0,0.300,0.100,14.2,41.0,81.4
2023-04-27 20:05:54,0.700,0,0,0.700,0.100,14.1,37.2,82.2
2023-04-27 20:05:55,0.700,0,0,0.700,0.100,14.3,36.6,78.4
2023-04-27 20:05:56,0.700,0,0,0.600,0.100,14.3,36.7,76.6
2023-04-27 20:05:57,2.90,0,0,0.700,0,14.0,38.1,76.6
2023-04-27 20:05:58,3.70,0,0,0.800,0,9.50,45.8,81.0
2023-04-27 20:05:59,3.70,0,0,0.400,0,10.6,45.9,71.4
2023-04-27 20:06:00,3.70,0,0,0.700,0.1000,15.5,37.8,63.0
2023-04-27 20:06:01,3.70,0,0,0.700,0.1000,15.2,36.6,56.8
2023-04-27 20:06:02,3.10,0,0,0.700,0.1000,14.9,36.1,57.2
2023-04-27 20:06:03,2.40,0,0,0.500,0.1000,14.8,36.3,57.2
2023-04-27 20:06:04,2.40,0,0,0.600,0.1000,13.5,37.6,58.4
2023-04-27 20:06:05,2.40,0,0,0.400,0,7.50,46.8,55.8
2023-04-27 20:06:06,2.40,0,0,0.500,0,8.80,47.0,66.4
2023-04-27 20:06:07,0.500,0,0,0.400,0,13.5,39.2,58.2
2023-04-27 20:06:08,0.200,0,0,0.600,0,13.9,37.9,57.0
2023-04-27 20:06:09,0.200,0,0,0.500,0,14.4,37.7,72.2
2023-04-27 20:06:10,0.200,0,0,0.400,0,15.0,36.9,75.4
2023-04-27 20:06:11,0.200,0,0,0.400,0,13.7,38.1,82.8
2023-04-27 20:06:12,0.200,0,0,0.400,0,7.70,46.7,94.4
2023-04-27 20:06:13,0.200,0,0,0.300,0.1000,7.50,47.9,94.0
2023-04-27 20:06:14,0.800,0,0,0.500,0.1000,15.2,39.7,82.6
2023-04-27 20:06:15,0.800,0,0,0.600,0.1000,14.7,36.8,64.0
2023-04-27 20:06:16,0.800,0,0,0.600,0.1000,15.1,36.5,54.2
2023-04-27 20:06:17,0.800,0,0,0.600,0.1000,15.6,35.6,53.6
2023-04-27 20:06:18,3.80,0,0,0.700,0,16.0,36.0,57.4
2023-04-27 20:06:19,4.80,0,0,0.600,0,8.10,46.4,55.2
2023-04-27 20:06:20,4.80,0,0,0.600,0,8.30,50.4,70.4
2023-04-27 20:06:21,5.30,0,0,0.600,0.1000,14.9,44.0,73.8
2023-04-27 20:06:22,5.30,0,0,0.500,0.1000,15.9,39.8,63.0
2023-04-27 20:06:23,3.90,0,0,0.600,0.1000,15.8,39.8,68.2
2023-04-27 20:06:24,2.50,0,0,0.600,0.1000,16.1,37.5,59.6
2023-04-27 20:06:25,2.50,0,0,0.500,0.1000,16.6,36.2,61.2
2023-04-27 20:06:26,2.00,0,0,0.400,0,10.1,42.4,65.0
2023-04-27 20:06:27,2.00,0,0,0.400,0,9.10,46.6,67.4
2023-04-27 20:06:28,1.40,0,0,0.1000,0,13.9,42.0,58.8
2023-04-27 20:06:29,7.00,0,0,0.300,0.1000,17.4,33.6,57.0
2023-04-27 20:06:30,7.10,0,0,0.400,0.1000,17.1,33.6,55.0
2023-04-27 20:06:31,7.10,0,0,0.400,0.1000,17.5,33.3,68.4
2023-04-27 20:06:32,7.10,0,0,0.500,0.1000,17.1,33.8,66.8
2023-04-27 20:06:33,6.50,0,0,0.600,0.1000,10.9,38.8,69.6
2023-04-27 20:06:34,1.60,0,0,0.300,0,7.30,47.5,75.8
2023-04-27 20:06:35,1.50,0,0,0.300,0,9.20,45.8,82.6
2023-04-27 20:06:36,2.10,0,0,0.500,0,13.2,38.0,73.0
2023-04-27 20:06:37,2.10,0,0,0.500,0,13.6,37.0,74.4
2023-04-27 20:06:38,1.50,0,0,0.600,0,14.3,36.0,68.2
2023-04-27 20:06:39,3.00,0,0,0.700,0,15.3,35.6,69.6
2023-04-27 20:06:40,3.00,0,0,0.700,0,13.3,37.5,69.8
2023-04-27 20:06:41,2.40,0,0,0.500,0,8.60,45.9,67.6
2023-04-27 20:06:42,2.40,0,0,0.500,0,8.20,46.7,62.0
2023-04-27 20:06:43,2.40,0,0,0.300,0,7.90,47.9,67.0
2023-04-27 20:06:44,0.800,0,0,0.300,0,13.3,41.4,66.8
2023-04-27 20:06:45,0.800,0,0,0.400,0.1000,14.4,36.7,58.2
2023-04-27 20:06:46,0.800,0,0,0.400,0.1000,14.4,36.8,60.8
2023-04-27 20:06:47,0.800,0,0,0.300,0.1000,14.3,36.8,63.2
2023-04-27 20:06:48,0.800,0,0,0.300,0.1000,14.0,36.3,56.0
2023-04-27 20:06:49,0,0,0,0.400,0.1000,8.50,45.3,57.0
2023-04-27 20:06:50,0.200,0,0,0.200,0,7.80,50,60.2
2023-04-27 20:06:51,0.200,0,0,0.300,0,13.0,45.5,63.4
2023-04-27 20:06:52,0.200,0,0,0.500,0.1000,15.5,39.0,62.8
2023-04-27 20:06:53,0.300,0,0,0.500,0.1000,15.9,39.1,67.6
2023-04-27 20:06:54,4.90,0,0,0.400,0.1000,16.2,36.9,62.2
2023-04-27 20:06:55,4.90,0,0,0.600,0.1000,16.1,37.1,62.0
2023-04-27 20:06:56,4.90,0,0,0.500,0.1000,11.0,41.2,72.6
2023-04-27 20:06:57,4.90,0,0,0.500,0,9.00,47.7,84.2
2023-04-27 20:06:58,4.80,0,0,0.600,0,12.6,43.7,94.8
2023-04-27 20:06:59,0.900,0,0,0.900,0,14.7,36.5,84.0
2023-04-27 20:07:00,0.800,0,0,0.900,0.1000,17.0,35.9,85.0
2023-04-27 20:07:01,0.800,0,0,1.000,0.1000,17.4,35.6,82.0
2023-04-27 20:07:02,0.800,0,0,0.800,0.1000,17.6,34.8,83.4
2023-04-27 20:07:03,0.800,0,0,0.700,0.1000,14.6,38.3,83.6
2023-04-27 20:07:04,0.200,0,0,0.400,0.1000,11.2,45.3,89.4
2023-04-27 20:07:05,0.1000,0,0,0.400,0,10.2,44.4,86.8
2023-04-27 20:07:06,0.800,0,0,0.500,0,15.1,37.1,80.8
2023-04-27 20:07:07,0.900,0,0,0.600,0,14.6,36.3,74.0
2023-04-27 20:07:08,0.900,0,0,0.700,0.1000,14.3,36.3,58.8
2023-04-27 20:07:09,0.800,0,0,0.600,0.200,14.1,36.7,53.4
2023-04-27 20:07:10,5.40,0,0,0.600,0.200,14.1,38.2,64.6
2023-04-27 20:07:11,4.70,0,0,0.400,0.200,8.90,46.1,78.2
2023-04-27 20:07:12,4.60,0,0,0.400,0.200,9.60,47.6,85.2
2023-04-27 20:07:13,5.20,0,0,0.400,0.1000,17.0,39.7,78.8
2023-04-27 20:07:14,5.20,0,0,0.500,0,17.1,35.8,75.6
2023-04-27 20:07:15,6.50,0,0,0.400,0.1000,17.5,35.2,64.8
2023-04-27 20:07:16,6.50,0,0,0.400,0.1000,17.4,35.2,61.6
2023-04-27 20:07:17,6.50,0,0,0.500,0.1000,16.9,35.2,54.4
2023-04-27 20:07:18,5.90,0,0,0.400,0.1000,9.00,43.2,62.8
2023-04-27 20:07:19,5.90,0,0,0.300,0.1000,9.60,49.1,69.8
2023-04-27 20:07:20,0.300,0,0,0.300,0.1000,12.5,45.4,62.8
2023-04-27 20:07:21,0.400,0,0,0.600,0.1000,16.2,38.3,55.2
