"Database Query/s (QPS)","Database Query/s (QPS)"
2023-04-27 17:35:52,19.92
2023-04-27 17:35:54,22.83
2023-04-27 17:35:56,30.76
2023-04-27 17:35:58,38.17
2023-04-27 17:36:00,47.88
2023-04-27 17:36:02,52.67
2023-04-27 17:36:04,62.23
2023-04-27 17:36:06,70.02
2023-04-27 17:36:08,78.14
2023-04-27 17:36:10,87.89
2023-04-27 17:36:12,95.51
2023-04-27 17:36:14,101.98
2023-04-27 17:36:16,110.92
2023-04-27 17:36:18,122.13
2023-04-27 17:36:20,128.97
2023-04-27 17:36:22,139.57
2023-04-27 17:36:24,148.00
2023-04-27 17:36:26,157.48
2023-04-27 17:36:28,167.69
2023-04-27 17:36:30,174.36
2023-04-27 17:36:32,185.12
2023-04-27 17:36:34,195.30
2023-04-27 17:36:36,205.79
2023-04-27 17:36:38,213.25
2023-04-27 17:36:40,224.06
2023-04-27 17:36:42,232.27
2023-04-27 17:36:44,242.19
2023-04-27 17:36:46,252.98
2023-04-27 17:36:48,261.52
2023-04-27 17:36:50,270.24
2023-04-27 17:36:52,278.94
2023-04-27 17:36:54,288.90
2023-04-27 17:36:56,298.82
2023-04-27 17:36:58,307.21
2023-04-27 17:37:00,315.11
2023-04-27 17:37:02,324.76
2023-04-27 17:37:04,332.87
2023-04-27 17:37:06,343.34
2023-04-27 17:37:08,352.47
2023-04-27 17:37:10,360.80
2023-04-27 17:37:12,372.92
2023-04-27 17:37:14,380.82
2023-04-27 17:37:16,389.59
2023-04-27 17:37:18,397.45
2023-04-27 17:37:20,403.49
2023-04-27 17:37:22,411.11
2023-04-27 17:37:24,419.83
2023-04-27 17:37:26,428.74
2023-04-27 17:37:28,434.84
2023-04-27 17:37:30,444.25
2023-04-27 17:37:32,454.00
2023-04-27 17:37:34,461.83
2023-04-27 17:37:36,469.42
2023-04-27 17:37:38,477.12
2023-04-27 17:37:40,487.54
2023-04-27 17:37:42,495.53
2023-04-27 17:37:44,503.91
2023-04-27 17:37:46,512.19
2023-04-27 17:37:48,520.42
2023-04-27 17:37:50,529.42
2023-04-27 17:37:52,539.21
2023-04-27 17:37:54,548.42
2023-04-27 17:37:56,557.37
2023-04-27 17:37:58,567.09
2023-04-27 17:38:00,577.14
2023-04-27 17:38:02,586.59
2023-04-27 17:38:04,596.09
2023-04-27 17:38:06,604.12
2023-04-27 17:38:08,612.58
2023-04-27 17:38:10,622.87
2023-04-27 17:38:12,630.54
2023-04-27 17:38:14,640.76
2023-04-27 17:38:16,648.54
2023-04-27 17:38:18,658.31
2023-04-27 17:38:20,667.08
2023-04-27 17:38:22,676.72
2023-04-27 17:38:24,686.74
2023-04-27 17:38:26,696.06
2023-04-27 17:38:28,705.04
2023-04-27 17:38:30,714.19
2023-04-27 17:38:32,722.01
2023-04-27 17:38:34,733.43
2023-04-27 17:38:36,742.10
2023-04-27 17:38:38,752.00
2023-04-27 17:38:40,761.48
2023-04-27 17:38:42,769.74
2023-04-27 17:38:44,780.42
2023-04-27 17:38:46,790.32
2023-04-27 17:38:48,799.90
2023-04-27 17:38:50,808.15
2023-04-27 17:38:52,817.28
2023-04-27 17:38:54,826.26
2023-04-27 17:38:56,835.58
2023-04-27 17:38:58,845.37
2023-04-27 17:39:00,853.47
2023-04-27 17:39:02,862.74
2023-04-27 17:39:04,870.21
2023-04-27 17:39:06,879.75
2023-04-27 17:39:08,887.85
2023-04-27 17:39:10,898.36
2023-04-27 17:39:12,905.48
2023-04-27 17:39:14,914.56
2023-04-27 17:39:16,923.81
2023-04-27 17:39:18,932.82
2023-04-27 17:39:20,941.71
2023-04-27 17:39:22,950.30
2023-04-27 17:39:24,959.84
2023-04-27 17:39:26,967.90
2023-04-27 17:39:28,977.76
2023-04-27 17:39:30,984.57
2023-04-27 17:39:32,993.91
2023-04-27 17:39:34,1.00 K
2023-04-27 17:39:36,1.01 K
2023-04-27 17:39:38,1.02 K
2023-04-27 17:39:40,1.03 K
2023-04-27 17:39:42,1.04 K
2023-04-27 17:39:44,1.05 K
2023-04-27 17:39:46,1.06 K
2023-04-27 17:39:48,1.07 K
2023-04-27 17:39:50,1.08 K
2023-04-27 17:39:52,1.09 K
2023-04-27 17:39:54,1.10 K
2023-04-27 17:39:56,1.11 K
2023-04-27 17:39:58,1.12 K
2023-04-27 17:40:00,1.13 K
2023-04-27 17:40:02,1.14 K
2023-04-27 17:40:04,1.15 K
2023-04-27 17:40:06,1.15 K
2023-04-27 17:40:08,1.17 K
2023-04-27 17:40:10,1.17 K
2023-04-27 17:40:12,1.18 K
2023-04-27 17:40:14,1.19 K
2023-04-27 17:40:16,1.20 K
2023-04-27 17:40:18,1.21 K
2023-04-27 17:40:20,1.22 K
2023-04-27 17:40:22,1.23 K
2023-04-27 17:40:24,1.24 K
2023-04-27 17:40:26,1.25 K
2023-04-27 17:40:28,1.25 K
2023-04-27 17:40:30,1.26 K
2023-04-27 17:40:32,1.27 K
2023-04-27 17:40:34,1.28 K
2023-04-27 17:40:36,1.29 K
2023-04-27 17:40:38,1.30 K
2023-04-27 17:40:40,1.31 K
2023-04-27 17:40:42,1.32 K
2023-04-27 17:40:44,1.33 K
2023-04-27 17:40:46,1.34 K
2023-04-27 17:40:48,1.35 K
2023-04-27 17:40:50,1.36 K
2023-04-27 17:40:52,1.36 K

