"Time","Write","Read"
2023-04-27 17:35:52,212173,0
2023-04-27 17:35:53,357171,0
2023-04-27 17:35:54,4059955,59802
2023-04-27 17:35:55,12002918,59802
2023-04-27 17:35:56,21337702,59802
2023-04-27 17:35:57,46208614,86016
2023-04-27 17:35:58,57298125,86016
2023-04-27 17:35:59,58528563,52429
2023-04-27 17:36:00,57860915,78643
2023-04-27 17:36:01,78605517,78643
2023-04-27 17:36:02,67308749,104858
2023-04-27 17:36:03,62196122,104858
2023-04-27 17:36:04,84861747,131072
2023-04-27 17:36:05,94045798,104858
2023-04-27 17:36:06,70310298,131072
2023-04-27 17:36:07,62072422,78643
2023-04-27 17:36:08,88208998,78643
2023-04-27 17:36:09,73274163,52429
2023-04-27 17:36:10,63391334,52429
2023-04-27 17:36:11,91018854,52429
2023-04-27 17:36:12,97676493,52429
2023-04-27 17:36:13,74521805,52429
2023-04-27 17:36:14,97527398,26214
2023-04-27 17:36:15,99247718,78643
2023-04-27 17:36:16,74175283,52429
2023-04-27 17:36:17,97822310,78643
2023-04-27 17:36:18,93849190,104858
2023-04-27 17:36:19,65758003,104858
2023-04-27 17:36:20,83910656,52429
2023-04-27 17:36:21,94204723,52429
2023-04-27 17:36:22,64575078,26214
2023-04-27 17:36:23,79747482,0
2023-04-27 17:36:24,96126566,0
2023-04-27 17:36:25,75159142,26214
2023-04-27 17:36:26,75092787,26214
2023-04-27 17:36:27,94874010,26214
2023-04-27 17:36:28,82054349,52429
2023-04-27 17:36:29,79764685,78643
2023-04-27 17:36:30,98568602,52429
2023-04-27 17:36:31,84773274,78643
2023-04-27 17:36:32,67924787,78643
2023-04-27 17:36:33,95703859,52429
2023-04-27 17:36:34,79426355,26214
2023-04-27 17:36:35,61670195,26214
2023-04-27 17:36:36,85997978,52429
2023-04-27 17:36:37,95340134,52429
2023-04-27 17:36:38,80817357,52429
2023-04-27 17:36:39,101466112,78643
2023-04-27 17:36:40,101391565,78643
2023-04-27 17:36:41,88715264,52429
2023-04-27 17:36:42,99040461,52429
2023-04-27 17:36:43,83803341,78643
2023-04-27 17:36:44,65822720,52429
2023-04-27 17:36:45,94391501,52429
2023-04-27 17:36:46,83360154,26214
2023-04-27 17:36:47,61961011,26214
2023-04-27 17:36:48,80939418,26214
2023-04-27 17:36:49,94774886,26214
2023-04-27 17:36:50,65530266,26214
2023-04-27 17:36:51,87404544,52429
2023-04-27 17:36:52,100022682,52429
2023-04-27 17:36:53,81303142,26214
2023-04-27 17:36:54,89557402,26214
2023-04-27 17:36:55,98481766,26214
2023-04-27 17:36:56,77857587,26214
2023-04-27 17:36:57,86768845,52429
2023-04-27 17:36:58,98290893,78643
2023-04-27 17:36:59,79122432,78643
2023-04-27 17:37:00,95490867,78643
2023-04-27 17:37:01,105730867,52429
2023-04-27 17:37:02,82514739,52429
2023-04-27 17:37:03,93039821,26214
2023-04-27 17:37:04,96462438,52429
2023-04-27 17:37:05,71729971,52429
2023-04-27 17:37:06,87163699,78643
2023-04-27 17:37:07,94022042,52429
2023-04-27 17:37:08,72157594,52429
2023-04-27 17:37:09,83056230,52429
2023-04-27 17:37:10,96328090,52429
2023-04-27 17:37:11,69179802,26214
2023-04-27 17:37:12,66926182,26214
2023-04-27 17:37:13,96082330,52429
2023-04-27 17:37:14,79350989,26214
2023-04-27 17:37:15,65813709,26214
2023-04-27 17:37:16,88393318,26214
2023-04-27 17:37:17,92044493,52429
2023-04-27 17:37:18,63260262,26214
2023-04-27 17:37:19,68390912,52429
2023-04-27 17:37:20,94297293,52429
2023-04-27 17:37:21,71754547,52429
2023-04-27 17:37:22,62947328,26214
2023-04-27 17:37:23,65463091,26214
2023-04-27 17:37:24,84657766,0
2023-04-27 17:37:25,58946355,0
2023-04-27 17:37:26,59150336,0
2023-04-27 17:37:27,81409638,26214
2023-04-27 17:37:28,89910477,63898
2023-04-27 17:37:29,62933402,63898
2023-04-27 17:37:30,62432051,63898
2023-04-27 17:37:31,80872243,63898
2023-04-27 17:37:32,73160294,63898
2023-04-27 17:37:33,61047603,26214
2023-04-27 17:37:34,70678118,26214
2023-04-27 17:37:35,95459738,26214
2023-04-27 17:37:36,76161843,26214
2023-04-27 17:37:37,61276160,26214
2023-04-27 17:37:38,83433062,26214
2023-04-27 17:37:39,85269709,26214
2023-04-27 17:37:40,62417306,26214
2023-04-27 17:37:41,65174733,52429
2023-04-27 17:37:42,96095437,52429
2023-04-27 17:37:43,76649267,52429
2023-04-27 17:37:44,65386086,52429
2023-04-27 17:37:45,92318925,52429
2023-04-27 17:37:46,94152294,26214
2023-04-27 17:37:47,65283686,0
2023-04-27 17:37:48,83127501,0
2023-04-27 17:37:49,96936755,0
2023-04-27 17:37:50,69307597,26214
2023-04-27 17:37:51,64147456,26214
2023-04-27 17:37:52,89795789,26214
2023-04-27 17:37:53,76392858,26214
2023-04-27 17:37:54,62741709,52429
2023-04-27 17:37:55,88900403,52429
2023-04-27 17:37:56,96923648,52429
2023-04-27 17:37:57,71624294,52429
2023-04-27 17:37:58,88901222,52429
2023-04-27 17:37:59,98518630,26214
2023-04-27 17:38:00,73473229,0
2023-04-27 17:38:01,73629696,0
2023-04-27 17:38:02,97502003,0
2023-04-27 17:38:03,72442675,0
2023-04-27 17:38:04,63103795,26214
2023-04-27 17:38:05,90152960,52429
2023-04-27 17:38:06,88757043,78643
2023-04-27 17:38:07,64625869,78643
2023-04-27 17:38:08,95127142,78643
2023-04-27 17:38:09,95815270,52429
2023-04-27 17:38:10,66637824,26214
2023-04-27 17:38:11,80477389,26214
2023-04-27 17:38:12,94480794,26214
2023-04-27 17:38:13,64531661,52429
2023-04-27 17:38:14,63042355,52429
2023-04-27 17:38:15,82268160,52429
2023-04-27 17:38:16,77219430,26214
2023-04-27 17:38:17,62359962,52429
2023-04-27 17:38:18,67742106,26214
2023-04-27 17:38:19,92764570,26214
2023-04-27 17:38:20,73759130,26214
2023-04-27 17:38:21,59233075,26214
2023-04-27 17:38:22,82536038,0
2023-04-27 17:38:23,85756314,0
2023-04-27 17:38:24,61529293,0
2023-04-27 17:38:25,71196672,0
2023-04-27 17:38:26,90940211,0
2023-04-27 17:38:27,68238541,0
2023-04-27 17:38:28,60966502,26214
2023-04-27 17:38:29,88556339,26214
2023-04-27 17:38:30,80588800,52429
2023-04-27 17:38:31,61170483,104858
2023-04-27 17:38:32,75886592,104858
2023-04-27 17:38:33,93000499,78643
2023-04-27 17:38:34,61879910,78643
2023-04-27 17:38:35,60144026,78643
2023-04-27 17:38:36,85638349,26214
2023-04-27 17:38:37,78577664,26214
2023-04-27 17:38:38,60370944,26214
2023-04-27 17:38:39,74951066,26214
2023-04-27 17:38:40,92828467,0
2023-04-27 17:38:41,68336026,0
2023-04-27 17:38:42,71271219,0
2023-04-27 17:38:43,91638170,0
2023-04-27 17:38:44,79428813,0
2023-04-27 17:38:45,60287386,0
2023-04-27 17:38:46,73030042,0
2023-04-27 17:38:47,80064512,26214
2023-04-27 17:38:48,58950451,26214
2023-04-27 17:38:49,72929280,52429
2023-04-27 17:38:50,93570662,52429
2023-04-27 17:38:51,80052224,52429
2023-04-27 17:38:52,64821658,26214
2023-04-27 17:38:53,92090368,35226
2023-04-27 17:38:54,79434547,35226
2023-04-27 17:38:55,60775629,46694
2023-04-27 17:38:56,87242342,46694
2023-04-27 17:38:57,87222682,46694
2023-04-27 17:38:58,60787098,37683
2023-04-27 17:38:59,72562278,11469
2023-04-27 17:39:00,92177203,0
2023-04-27 17:39:01,66139750,26214
2023-04-27 17:39:02,62624563,26214
2023-04-27 17:39:03,83341312,26214
2023-04-27 17:39:04,81360486,26214
2023-04-27 17:39:05,59484570,26214
2023-04-27 17:39:06,70491341,0
2023-04-27 17:39:07,91114701,0
2023-04-27 17:39:08,68878336,78643
2023-04-27 17:39:09,55519642,78643
2023-04-27 17:39:10,70281626,78643
2023-04-27 17:39:11,77339034,78643
2023-04-27 17:39:12,59841741,78643
2023-04-27 17:39:13,66283110,26214
2023-04-27 17:39:14,93319168,26214
2023-04-27 17:39:15,80275046,26214
2023-04-27 17:39:16,61114778,26214
2023-04-27 17:39:17,78843904,52429
2023-04-27 17:39:18,84717568,26214
2023-04-27 17:39:19,59130675,26214
2023-04-27 17:39:20,59703296,26214
2023-04-27 17:39:21,90135757,26214
2023-04-27 17:39:22,67671654,0
2023-04-27 17:39:23,56022630,0
2023-04-27 17:39:24,57004032,0
2023-04-27 17:39:25,84951040,0
2023-04-27 17:39:26,56786944,26214
2023-04-27 17:39:27,58289357,52429
2023-04-27 17:39:28,59498496,52429
2023-04-27 17:39:29,89867878,52429
2023-04-27 17:39:30,63316787,52429
2023-04-27 17:39:31,67352166,26214
2023-04-27 17:39:32,90532250,0
2023-04-27 17:39:33,91326874,26214
2023-04-27 17:39:34,62189568,26214
2023-04-27 17:39:35,79923610,26214
2023-04-27 17:39:36,83209421,26214
2023-04-27 17:39:37,59424768,26214
2023-04-27 17:39:38,58682573,0
2023-04-27 17:39:39,86921216,26214
2023-04-27 17:39:40,69840077,26214
2023-04-27 17:39:41,60375040,52429
2023-04-27 17:39:42,88471962,52429
2023-04-27 17:39:43,90832896,52429
2023-04-27 17:39:44,61162291,52429
2023-04-27 17:39:45,57929728,52429
2023-04-27 17:39:46,86247014,52429
2023-04-27 17:39:47,62237082,52429
2023-04-27 17:39:48,60550349,78643
2023-04-27 17:39:49,89554125,52429
2023-04-27 17:39:50,91927347,52429
2023-04-27 17:39:51,63591219,26214
2023-04-27 17:39:52,75087053,52429
2023-04-27 17:39:53,91380122,52429
2023-04-27 17:39:54,61566157,52429
2023-04-27 17:39:55,58512998,52429
2023-04-27 17:39:56,84466074,52429
2023-04-27 17:39:57,78094336,26214
2023-04-27 17:39:58,59828634,0
2023-04-27 17:39:59,79339520,0
2023-04-27 17:40:00,93246259,0
2023-04-27 17:40:01,65738342,0
2023-04-27 17:40:02,55694131,0
2023-04-27 17:40:03,78572749,0
2023-04-27 17:40:04,68790682,0
2023-04-27 17:40:05,55376282,0
2023-04-27 17:40:06,67044147,0
2023-04-27 17:40:07,91419443,0
2023-04-27 17:40:08,68302438,0
2023-04-27 17:40:09,69234688,0
2023-04-27 17:40:10,91335066,0
2023-04-27 17:40:11,80512614,0
2023-04-27 17:40:12,59338752,26214
2023-04-27 17:40:13,73155379,26214
2023-04-27 17:40:14,79867085,26214
2023-04-27 17:40:15,57775718,52429
2023-04-27 17:40:16,58139443,52429
2023-04-27 17:40:17,81457971,26214
2023-04-27 17:40:18,76573082,26214
2023-04-27 17:40:19,60565094,26214
2023-04-27 17:40:20,85988966,0
2023-04-27 17:40:21,90207846,0
2023-04-27 17:40:22,67149005,0
2023-04-27 17:40:23,61487514,0
2023-04-27 17:40:24,88412160,26214
2023-04-27 17:40:25,61971661,26214
2023-04-27 17:40:26,59822899,26214
2023-04-27 17:40:27,75858739,26214
2023-04-27 17:40:28,87440589,26214
2023-04-27 17:40:29,61118054,0
